
[00:00:00.000 --> 00:00:01.880]   Hello, everybody.
[00:00:01.880 --> 00:00:06.240]   It's Sam from the Financial Samurai Podcast and I have a special guest with me, Simone
[00:00:06.240 --> 00:00:07.240]   Stolzoff.
[00:00:07.240 --> 00:00:08.240]   Say hello.
[00:00:08.240 --> 00:00:09.240]   Hi, Sam.
[00:00:09.240 --> 00:00:10.240]   Nice to be here.
[00:00:10.240 --> 00:00:16.800]   So, Simone is based in San Francisco and he recently wrote a book called The Good Enough
[00:00:16.800 --> 00:00:19.000]   Job with Portfolio Penguin Random House.
[00:00:19.000 --> 00:00:25.440]   So, he's a fellow author and the subtitle is called Reclaiming Life from Work.
[00:00:25.440 --> 00:00:31.800]   I love this topic because as you all might know, I left my day job in banking in 2012,
[00:00:31.800 --> 00:00:36.920]   my wife left her day job in finance in 2015 and we haven't gone back.
[00:00:36.920 --> 00:00:42.200]   And so, every year that goes by, it's kind of like us looking from the outside in wondering
[00:00:42.200 --> 00:00:47.640]   what's going on with work and purpose and life and all that.
[00:00:47.640 --> 00:00:52.880]   So, I'm here to have Simone tell me why he started writing this book, why he wrote this
[00:00:52.880 --> 00:00:56.560]   book and what he discovered on his journey.
[00:00:56.560 --> 00:00:57.560]   Yeah.
[00:00:57.560 --> 00:01:00.200]   So, first, thanks for having me on, Sam.
[00:01:00.200 --> 00:01:03.120]   I've been a long-time listener, so it's a pleasure to be here.
[00:01:03.120 --> 00:01:04.960]   There's sort of two ways into the book for me.
[00:01:04.960 --> 00:01:09.360]   The first is I'm a journalist by training and for as long as I've been a journalist,
[00:01:09.360 --> 00:01:14.300]   my beat has been work, the workplace, how different companies operate, also the labor
[00:01:14.300 --> 00:01:16.400]   market at a broader scale.
[00:01:16.400 --> 00:01:23.240]   And I was observing how central work had become to so many American, in particular, identities,
[00:01:23.240 --> 00:01:25.360]   senses of meaning and purpose in life.
[00:01:25.360 --> 00:01:27.000]   And then the second is personal.
[00:01:27.000 --> 00:01:33.000]   So about four years ago, I ended up leaving the newsroom to take a job at this design
[00:01:33.000 --> 00:01:35.280]   agency called IDEO.
[00:01:35.280 --> 00:01:40.360]   And in that sort of transition between being a journalist to being a designer, it didn't
[00:01:40.360 --> 00:01:45.320]   feel like I was choosing between two jobs as much as it felt like I was choosing between
[00:01:45.320 --> 00:01:47.520]   two versions of me.
[00:01:47.520 --> 00:01:52.400]   And so I started wondering, so how did my identity become so entwined with my career?
[00:01:52.400 --> 00:01:54.720]   And I knew that it wasn't just me.
[00:01:54.720 --> 00:01:59.180]   So in my research in the past few years, it's really exploring this question of how do we
[00:01:59.180 --> 00:02:05.360]   conflate who we are with what we do and why is this phenomenon particularly prevalent
[00:02:05.360 --> 00:02:06.720]   here in the US?
[00:02:06.720 --> 00:02:08.400]   Yeah, definitely.
[00:02:08.400 --> 00:02:12.800]   So I didn't realize this until you pointed out because I'm wearing a hat from San Francisco
[00:02:12.800 --> 00:02:17.280]   University High School, which is a private school here in San Francisco.
[00:02:17.280 --> 00:02:19.560]   And you attended this private school.
[00:02:19.560 --> 00:02:25.040]   And the reason why I wear this hat is because I was a coach for three years from 2017 almost
[00:02:25.040 --> 00:02:27.680]   to 2020 when the pandemic hit.
[00:02:27.680 --> 00:02:34.180]   And so going to SF University High School, you then went to Penn, an Ivy League school,
[00:02:34.180 --> 00:02:37.120]   and you studied creative writing.
[00:02:37.120 --> 00:02:41.880]   And how long were you working after Penn until you went to Stanford for your master's in
[00:02:41.880 --> 00:02:42.880]   journalism?
[00:02:42.880 --> 00:02:47.240]   Yeah, I had about six years or so.
[00:02:47.240 --> 00:02:52.280]   I guess I was like 27 when I went back to school to rebrand myself as a journalist.
[00:02:52.280 --> 00:02:55.840]   And so I was really playing Goldilocks with careers in my 20s.
[00:02:55.840 --> 00:02:58.280]   I moved right back to San Francisco.
[00:02:58.280 --> 00:03:01.800]   In college, I studied creative writing and poetry, but also economics.
[00:03:01.800 --> 00:03:05.560]   And so there was this tension between sort of the pursuit of art and the pursuit of commerce
[00:03:05.560 --> 00:03:06.560]   in my life.
[00:03:06.560 --> 00:03:09.440]   I came back and I worked in advertising for a few years.
[00:03:09.440 --> 00:03:11.760]   I worked in tech for a few years.
[00:03:11.760 --> 00:03:16.240]   All the while trying to find a dream job, kind of a perfect job that encapsulates all
[00:03:16.240 --> 00:03:17.520]   of my interests.
[00:03:17.520 --> 00:03:21.920]   And then I went back to grad school to square my hips towards journalism.
[00:03:21.920 --> 00:03:26.600]   And so as a writer myself, I've written in the past how being a professional writer is
[00:03:26.600 --> 00:03:28.440]   very difficult.
[00:03:28.440 --> 00:03:32.080]   To actually do it as a full-time job, it's not easy.
[00:03:32.080 --> 00:03:38.440]   I think most people, just kind of like maybe actors, they have being an actor or writer
[00:03:38.440 --> 00:03:42.200]   as a part-time job and then they have a day job doing something else.
[00:03:42.200 --> 00:03:48.720]   So as an attendee of some of these schools, which are all very expensive, how did you
[00:03:48.720 --> 00:03:54.240]   kind of reconcile the commerce part of it where you wanted to graduate and make money
[00:03:54.240 --> 00:03:56.760]   and also do what you wanted to do?
[00:03:56.760 --> 00:03:58.160]   How does one reconcile that?
[00:03:58.160 --> 00:04:01.920]   Because I'm a parent myself and I'm thinking to myself, "Wow, is college really going to
[00:04:01.920 --> 00:04:08.560]   cost $750,000 in 15 years for my daughter if she goes to a private school and gets zero
[00:04:08.560 --> 00:04:09.560]   scholarships?"
[00:04:09.560 --> 00:04:15.800]   Yeah, it's like one of the central tensions in my own life is how do I think about the
[00:04:15.800 --> 00:04:23.440]   security and stability that a stable, well-paying job might provide me with my own desire to
[00:04:23.440 --> 00:04:30.400]   pursue art or pursue things that feel more in line with the creative side of me.
[00:04:30.400 --> 00:04:34.960]   Fast forward, there's a great irony in that leaving journalism, leaving the newsroom is
[00:04:34.960 --> 00:04:37.640]   actually the best thing that happened to my writing career.
[00:04:37.640 --> 00:04:39.360]   It allowed me to write the book.
[00:04:39.360 --> 00:04:45.440]   It allowed me to have a job that didn't expend all of my editorial energy and time.
[00:04:45.440 --> 00:04:49.920]   But going back to college, especially at a place like Penn that's very pre-professional,
[00:04:49.920 --> 00:04:54.160]   a lot of my peers were in Wharton, in the business school.
[00:04:54.160 --> 00:05:00.160]   They were very much on a track that provided a lot of legibility into what is the step,
[00:05:00.160 --> 00:05:05.720]   what is the next step, working at places like Goldman, like yourself, or maybe the big consulting
[00:05:05.720 --> 00:05:07.160]   firms.
[00:05:07.160 --> 00:05:15.120]   It was hard to try and pursue something that was maybe more risky or less known in terms
[00:05:15.120 --> 00:05:16.760]   of what the outcome would be.
[00:05:16.760 --> 00:05:20.680]   I think that's actually a big disservice for places that are really pre-professional like
[00:05:20.680 --> 00:05:24.640]   Penn is that there were a lot of dreams deferred.
[00:05:24.640 --> 00:05:29.560]   Even for me, as a poetry student, I ended up trying to find the business application
[00:05:29.560 --> 00:05:31.960]   of poetry, which was copywriting.
[00:05:31.960 --> 00:05:38.240]   And my friends that were urban studies or even theater kids ended up going to work for
[00:05:38.240 --> 00:05:44.640]   McKinsey or BCG because there was not real comfort with uncertainty.
[00:05:44.640 --> 00:05:47.360]   I think we see that a lot, especially among young people.
[00:05:47.360 --> 00:05:51.560]   Not to say that this is something that we should blame them for, especially coming out
