
[00:00:00.000 --> 00:00:03.280]   [Silence]
[00:00:03.280 --> 00:00:04.920]   For those of you that enjoy alcohol,
[00:00:04.920 --> 00:00:07.760]   I, again, I really like to say,
[00:00:07.760 --> 00:00:09.440]   I feel guilty about telling you this
[00:00:09.440 --> 00:00:11.880]   because I know how much some people enjoy a good drink
[00:00:11.880 --> 00:00:12.720]   every once in a while.
[00:00:12.720 --> 00:00:13.540]   And I say a good drink
[00:00:13.540 --> 00:00:16.080]   because some people do like the taste of alcohol.
[00:00:16.080 --> 00:00:16.960]   I suppose I lucked out
[00:00:16.960 --> 00:00:18.620]   and then I don't really like the taste of alcohol.
[00:00:18.620 --> 00:00:19.960]   And that just puts me to sleep,
[00:00:19.960 --> 00:00:21.560]   but I know that people do enjoy it.
[00:00:21.560 --> 00:00:26.560]   And I do want to point out that there is zero evidence
[00:00:27.120 --> 00:00:30.960]   that provided somebody is of drinking age,
[00:00:30.960 --> 00:00:34.200]   or certainly not in the stage of brain development,
[00:00:34.200 --> 00:00:37.720]   that having one drink or two drinks every now and again,
[00:00:37.720 --> 00:00:40.780]   meaning every three or four weeks or once a month,
[00:00:40.780 --> 00:00:44.380]   that is not going to cause major health concerns
[00:00:44.380 --> 00:00:46.960]   or major health issues for most people.
[00:00:46.960 --> 00:00:49.140]   I suppose if you have zero
[00:00:49.140 --> 00:00:51.000]   or very little alcohol dehydrogenase,
[00:00:51.000 --> 00:00:51.840]   it might make you feel sick,
[00:00:51.840 --> 00:00:53.200]   but then you're probably not the kind of person
[00:00:53.200 --> 00:00:55.120]   that's going to be drinking at all.
[00:00:55.120 --> 00:00:57.940]   So again, if you enjoy alcoholic drinks,
[00:00:57.940 --> 00:01:03.000]   I'm not trying to take them away from you by any means,
[00:01:03.000 --> 00:01:05.240]   but you should know what drinking does
[00:01:05.240 --> 00:01:07.640]   if you're consuming it in this kind of typical
[00:01:07.640 --> 00:01:09.520]   chronic pattern, as we can now refer to it,
[00:01:09.520 --> 00:01:11.760]   which is that one or two a night
[00:01:11.760 --> 00:01:15.520]   or a few stacked up on Friday
[00:01:15.520 --> 00:01:17.200]   and maybe three or four on Saturday,
[00:01:17.200 --> 00:01:20.240]   this kind of pattern of drinking, which is quite common.
[00:01:20.240 --> 00:01:21.760]   And one of the more serious effects
[00:01:21.760 --> 00:01:23.920]   that we should think about is the impact
[00:01:23.920 --> 00:01:25.360]   on the so-called gut brain axis,
[00:01:25.360 --> 00:01:27.160]   or for sake of today's discussion,
[00:01:27.160 --> 00:01:29.040]   the gut liver brain axis.
[00:01:29.040 --> 00:01:30.600]   I don't think the gut liver brain axis
[00:01:30.600 --> 00:01:32.160]   has ever been discussed on this podcast,
[00:01:32.160 --> 00:01:34.440]   maybe any podcast, although the moment I say that,
[00:01:34.440 --> 00:01:37.680]   I'm going to, you know, the gut liver brain axis,
[00:01:37.680 --> 00:01:38.920]   people are going to come after me with,
[00:01:38.920 --> 00:01:41.280]   I suppose, gut, liver, brain, and brains.
[00:01:41.280 --> 00:01:46.040]   In any event, you have a brain, you have a gut.
[00:01:46.040 --> 00:01:48.160]   That gut runs from your throat
[00:01:48.160 --> 00:01:52.880]   down to the end of your intestine.
[00:01:52.880 --> 00:01:54.840]   Your gut and your brain communicate
[00:01:54.840 --> 00:01:58.200]   by way of nerve cells, neurons, and nerve connections,
[00:01:58.200 --> 00:02:00.080]   the vagus nerve in particular,
[00:02:00.080 --> 00:02:02.520]   and by way of chemical signaling.
[00:02:02.520 --> 00:02:05.200]   Your gut also communicates by way of chemical signaling,
[00:02:05.200 --> 00:02:07.960]   and believe it or not, by way of neural signaling too,
[00:02:07.960 --> 00:02:09.240]   to your liver.
[00:02:09.240 --> 00:02:10.680]   And as we talked about earlier,
[00:02:10.680 --> 00:02:13.640]   the liver is the first site in which alcohol
[00:02:13.640 --> 00:02:17.060]   is broken down and metabolized into its component parts.
[00:02:17.060 --> 00:02:21.120]   The liver is also communicating with the brain
[00:02:21.120 --> 00:02:23.760]   through chemical signaling and neural signaling.
[00:02:23.760 --> 00:02:27.080]   So we have the gut liver brain axis.
[00:02:27.080 --> 00:02:31.720]   And what you find is that people who ingest alcohol
[00:02:31.720 --> 00:02:35.840]   at any amount are inducing a disruption
[00:02:35.840 --> 00:02:37.900]   in the so-called gut microbiome,
