
[00:00:00.000 --> 00:00:01.500]   So that's our plan.
[00:00:01.500 --> 00:00:04.360]   So let's get started with the deep dive.
[00:00:04.360 --> 00:00:10.880]   So the topic of the deep dive today is the deep reset.
[00:00:10.880 --> 00:00:14.880]   Now the deep reset is a term I introduced
[00:00:14.880 --> 00:00:16.960]   in my email newsletter and talked about briefly
[00:00:16.960 --> 00:00:19.160]   on this podcast back in the early months
[00:00:19.160 --> 00:00:21.940]   of the coronavirus pandemic.
[00:00:21.940 --> 00:00:25.540]   I wanna revisit it today and make it more structured,
[00:00:25.540 --> 00:00:27.140]   make it more pragmatic.
[00:00:27.140 --> 00:00:29.880]   So to understand the deep reset,
[00:00:29.880 --> 00:00:33.240]   I wanna talk about three different forces
[00:00:33.240 --> 00:00:35.340]   that exist in the world today
[00:00:35.340 --> 00:00:37.680]   that I think are gonna converge together
[00:00:37.680 --> 00:00:40.860]   to create this new phenomenon.
[00:00:40.860 --> 00:00:42.420]   So if you're watching instead of listing,
[00:00:42.420 --> 00:00:44.460]   so if you're watching the video of this segment
[00:00:44.460 --> 00:00:46.880]   at youtube.com/calnewportmedia,
[00:00:46.880 --> 00:00:49.480]   you'll see I have the tablet up here
[00:00:49.480 --> 00:00:52.440]   where I've listed three different forces,
[00:00:52.440 --> 00:00:55.200]   and I'm gonna write right in the middle here,
[00:00:55.200 --> 00:00:58.140]   deep reset, 'cause these all,
[00:00:59.120 --> 00:00:59.960]   hand lays, beautiful,
[00:00:59.960 --> 00:01:02.600]   these all are feeding into the deep reset.
[00:01:02.600 --> 00:01:03.680]   All right, so what are the forces
[00:01:03.680 --> 00:01:04.960]   that I think are gonna feed into this thing
[00:01:04.960 --> 00:01:06.280]   I'm gonna call the deep reset?
[00:01:06.280 --> 00:01:09.760]   First, the fact that millennials
[00:01:09.760 --> 00:01:12.900]   are approaching middle age.
[00:01:12.900 --> 00:01:15.720]   So let's be precise about demographics here.
[00:01:15.720 --> 00:01:18.120]   People use these generation descriptions,
[00:01:18.120 --> 00:01:20.840]   I believe, too vaguely.
[00:01:20.840 --> 00:01:22.440]   Like we're in the bad habit, for example,
[00:01:22.440 --> 00:01:24.880]   of using the word millennial to mean young person,
[00:01:24.880 --> 00:01:27.240]   but let's be very demographically specific here.
[00:01:27.240 --> 00:01:29.240]   The millennials, by most accounts,
[00:01:29.240 --> 00:01:34.240]   are more or less people born between 1981 and 1996.
[00:01:34.240 --> 00:01:37.760]   So that puts Jesse and I at the older end
[00:01:37.760 --> 00:01:41.300]   of the millennials, so we're 40.
[00:01:41.300 --> 00:01:43.040]   The youngest millennials are in their late 20s.
[00:01:43.040 --> 00:01:46.800]   The bulk of this generation is in their 30s right now.
[00:01:46.800 --> 00:01:50.500]   So these are more or less the children of the baby boomers.
[00:01:50.500 --> 00:01:53.880]   All right, so the millennials are approaching middle age.
[00:01:53.880 --> 00:01:54.780]   Jesse and I are older,
[00:01:54.780 --> 00:01:56.940]   but the rest of them are going through their 30s.
[00:01:56.940 --> 00:02:00.480]   This is a very important cultural shift
[00:02:00.480 --> 00:02:04.200]   because the millennials is a very large population boom.
[00:02:04.200 --> 00:02:06.720]   The baby boomers was a very large population boom,
[00:02:06.720 --> 00:02:11.120]   so their children is itself gonna be a very large boom.
[00:02:11.120 --> 00:02:13.480]   That's why our demographic was originally called
[00:02:13.480 --> 00:02:16.640]   the echo boom, because it was an echo of the baby boom.
[00:02:16.640 --> 00:02:20.780]   So we have this very large group population demographic
[00:02:20.780 --> 00:02:23.580]   that are now approaching middle age,
[00:02:23.580 --> 00:02:25.640]   which means those that are gonna end up,
[00:02:25.640 --> 00:02:28.520]   let's say, getting married or starting a family,
[00:02:28.520 --> 00:02:30.540]   they're doing that right now.
[00:02:30.540 --> 00:02:34.280]   All right, number two, second of three forces,
[00:02:34.280 --> 00:02:36.760]   relevant in the world right now,
[00:02:36.760 --> 00:02:41.160]   is the philosophy of work as a means to an end
[00:02:41.160 --> 00:02:43.560]   that the millennials have developed
[00:02:43.560 --> 00:02:46.260]   over the past, let's say, 20 years.
[00:02:46.260 --> 00:02:49.040]   So we got into this briefly
[00:02:49.040 --> 00:02:52.440]   in my deep dive from episode 218.
[00:02:52.440 --> 00:02:54.920]   So just to give you the short summary here,
[00:02:54.920 --> 00:02:57.040]   when the millennials were growing up,
[00:02:57.040 --> 00:03:00.560]   so this was the 1990s into the early 2000s,
[00:03:00.560 --> 00:03:02.680]   when the first millennials were growing up,
[00:03:02.680 --> 00:03:05.280]   their parents, the baby boomers,
[00:03:05.280 --> 00:03:06.840]   wanted to offer them advice
[00:03:06.840 --> 00:03:09.120]   about what to do with their career.
[00:03:09.120 --> 00:03:12.800]   Now, the baby boomers had these two extreme experiences.
[00:03:12.800 --> 00:03:14.520]   When they were little, they had seen their parents
[00:03:14.520 --> 00:03:17.080]   had had this sort of corporate conformist experience.
[00:03:17.080 --> 00:03:19.360]   This was the era of the organization man.
[00:03:19.360 --> 00:03:22.640]   This was the 1950s in which you moved to the suburbs
[00:03:22.640 --> 00:03:24.500]   and you dedicated your life to IBM
[00:03:24.500 --> 00:03:27.520]   and they would give you lifetime employment in return.
[00:03:27.520 --> 00:03:29.720]   As people left this urban cores of cities
[00:03:29.720 --> 00:03:32.320]   and small villages, these corporate loyalties
[00:03:32.320 --> 00:03:34.840]   became a substitute for civic engagement.
[00:03:34.840 --> 00:03:36.520]   So it was a time of conformity,
[00:03:36.520 --> 00:03:37.800]   but it also sort of made sense.
[00:03:37.800 --> 00:03:40.540]   These are the same people who had subordinated themselves
[00:03:40.540 --> 00:03:43.040]   to the larger cause of fighting fascism
[00:03:43.040 --> 00:03:43.880]   during World War II.
[00:03:43.880 --> 00:03:45.480]   So they were used to this idea,
[00:03:45.480 --> 00:03:47.440]   subordinate yourself to the larger cause
[00:03:47.440 --> 00:03:48.660]   as a source of meaning.
[00:03:48.660 --> 00:03:50.160]   The baby boomers didn't buy that
[00:03:50.160 --> 00:03:51.960]   because by the time you get to the '60s,
[00:03:51.960 --> 00:03:53.840]   you have all these social disruptions happening.
[00:03:53.840 --> 00:03:56.120]   You have the civil rights movement, you have Vietnam,
[00:03:56.120 --> 00:03:58.120]   you have the women's liberation movement,
[00:03:58.120 --> 00:04:00.120]   all of these social forces,
[00:04:00.120 --> 00:04:02.280]   these social disruptions are happening.
[00:04:02.280 --> 00:04:05.360]   And suddenly their parents ethos
[00:04:05.360 --> 00:04:07.920]   seemed stiflingly conformist.
[00:04:07.920 --> 00:04:10.160]   And so the baby boomers created
[00:04:10.160 --> 00:04:11.900]   the counter-cultural movement,
[00:04:11.900 --> 00:04:13.740]   which went hard the other way.
[00:04:13.740 --> 00:04:17.280]   So now we had, let's get rid of work altogether.
[00:04:17.280 --> 00:04:21.220]   It's an obstacle to self-actualization.
[00:04:21.220 --> 00:04:23.720]   Let's go back to land, let's move to communes.
[00:04:23.720 --> 00:04:26.840]   You're gonna find yourself outside of work.
[00:04:26.840 --> 00:04:28.760]   That fell apart too.
[00:04:28.760 --> 00:04:31.120]   So by the time the baby boomers were having kids,
[00:04:31.120 --> 00:04:34.280]   like how do we balance these two forces?
[00:04:34.280 --> 00:04:36.240]   And they came up with, I think at the time,
[00:04:36.240 --> 00:04:38.040]   a clever innovation.
[00:04:38.040 --> 00:04:40.420]   We'll tell our kids to follow their passion.
[00:04:40.420 --> 00:04:44.580]   See, this is a tightrope act right here.
[00:04:44.580 --> 00:04:47.560]   The counter-culture idea of forget work,
[00:04:47.560 --> 00:04:51.840]   just go move to a commune and self-actualize,
[00:04:51.840 --> 00:04:52.680]   that didn't work.
[00:04:52.680 --> 00:04:56.320]   But they also still distrusted pure corporate conformity.
[00:04:56.320 --> 00:04:57.840]   So they had this compromise.
[00:04:57.840 --> 00:04:59.840]   All right, you still need to get a job
[00:04:59.840 --> 00:05:02.460]   and pay your mortgage payments and make a living,
[00:05:02.460 --> 00:05:04.240]   but make it a job you love.
[00:05:04.240 --> 00:05:06.840]   So now the job itself can be a source
[00:05:06.840 --> 00:05:08.280]   of meaning and fulfillment.
[00:05:08.280 --> 00:05:13.140]   So this is what we saw as millennials.
[00:05:13.140 --> 00:05:16.040]   We were taught this idea of follow your passion.
[00:05:16.040 --> 00:05:17.200]   That then fell apart.
[00:05:17.200 --> 00:05:18.400]   And again, I talked about this last week,
[00:05:18.400 --> 00:05:21.020]   but that then fell apart in the early 2000s.
[00:05:21.020 --> 00:05:23.920]   We had 9/11, the financial crash after 9/11.
[00:05:23.920 --> 00:05:25.240]   We barely got back on our feet
[00:05:25.240 --> 00:05:27.660]   before the 2008 financial crash happened.
[00:05:27.660 --> 00:05:29.120]   This was the period when the bulk
[00:05:29.120 --> 00:05:31.440]   of the millennial generation was leaving college
[00:05:31.440 --> 00:05:32.920]   and entering the workforce.
[00:05:32.920 --> 00:05:35.960]   This idea that you should just follow your passion,
[00:05:35.960 --> 00:05:38.400]   that idea began to lose steam.
[00:05:38.400 --> 00:05:41.000]   Employment seemed much more precarious.
[00:05:41.000 --> 00:05:44.000]   The instrumental value of money to stave off hardship
[00:05:44.000 --> 00:05:45.280]   and support things that are meaningful
[00:05:45.280 --> 00:05:46.200]   became much more clear
[00:05:46.200 --> 00:05:48.520]   when people were going through hard times.
[00:05:48.520 --> 00:05:51.540]   And so the millennials in general moved past
[00:05:51.540 --> 00:05:53.700]   the follow your passion notion
[00:05:53.700 --> 00:05:56.060]   and began to work on an alternative philosophy
[00:05:56.060 --> 00:06:00.200]   of work as a means to an end.
[00:06:00.200 --> 00:06:02.560]   This is the hack work culture.
[00:06:02.560 --> 00:06:04.820]   This is what's captured in the minimalism movement.
[00:06:04.820 --> 00:06:07.620]   This is what's captured in Tim Ferriss' lifestyle design.
[00:06:07.620 --> 00:06:09.780]   This is what's captured in the fire movement.
[00:06:09.780 --> 00:06:13.060]   This is what's captured in early influencer videos
[00:06:13.060 --> 00:06:14.620]   on Instagram and YouTube,
[00:06:14.620 --> 00:06:17.580]   where you see millennials focusing on lifestyle.
[00:06:17.580 --> 00:06:19.680]   It's the moms in the white linen dresses
[00:06:19.680 --> 00:06:21.380]   walking through the fields with their kids.
[00:06:21.380 --> 00:06:23.640]   It's the sort of impossibly ripped dads
[00:06:23.640 --> 00:06:26.320]   doing feats of endurance in YouTube videos.
[00:06:26.320 --> 00:06:28.760]   The lifestyles being pushed to the millennials
[00:06:28.760 --> 00:06:30.660]   by millennials, it was not about work.
[00:06:30.660 --> 00:06:32.660]   It was meaning in life.
[00:06:32.660 --> 00:06:37.420]   Work was a funding source for running endurance races
[00:06:37.420 --> 00:06:41.020]   and having only white dishes on white shelves
[00:06:41.020 --> 00:06:42.400]   in your walls at your house.
[00:06:42.400 --> 00:06:44.540]   So that's this big shift.
[00:06:44.540 --> 00:06:47.380]   The millennials are very attuned to this idea
[00:06:47.380 --> 00:06:50.540]   that follow your passion, forget that.
[00:06:50.540 --> 00:06:54.180]   Work supports other things that are important.
[00:06:54.180 --> 00:06:55.340]   It's a source of money.
[00:06:55.340 --> 00:06:56.180]   We can take it.
[00:06:56.180 --> 00:06:57.000]   Maybe you'll get some mean out of it.
[00:06:57.000 --> 00:06:57.840]   Maybe you don't like your job,
[00:06:57.840 --> 00:07:00.740]   but it's a financial backing
[00:07:00.740 --> 00:07:03.340]   for the systematic construction of a life that's meaningful.
[00:07:03.340 --> 00:07:04.500]   So we've adopted that.
[00:07:04.500 --> 00:07:06.540]   And this is very generational.
[00:07:06.540 --> 00:07:09.780]   Gen Z, for example, the generation born after 1996,
[00:07:09.780 --> 00:07:12.220]   who's just now entering the workforce,
[00:07:12.220 --> 00:07:14.860]   as we talked about last week, they have their own ideas.
[00:07:14.860 --> 00:07:15.700]   They're right now,
[00:07:15.700 --> 00:07:17.340]   they're stuck on this notion of quiet quitting.
[00:07:17.340 --> 00:07:20.460]   They're just taking the first basic steps of saying,
[00:07:20.460 --> 00:07:21.900]   what is work gonna mean to us?
[00:07:21.900 --> 00:07:24.160]   But for the millennials, we've been through this.
[00:07:24.160 --> 00:07:26.060]   Work is a means to an end.
[00:07:26.060 --> 00:07:27.840]   All right, so millennials approaching middle age,
[00:07:27.840 --> 00:07:31.680]   millennials adopting a work as a means to the end philosophy.
[00:07:31.680 --> 00:07:33.340]   And then we add the third element,
[00:07:33.340 --> 00:07:35.060]   the catalyst to this particular
[00:07:35.060 --> 00:07:38.300]   metaphorical biochemical mixture,
[00:07:38.300 --> 00:07:40.680]   and that is pandemic disruptions.
[00:07:41.520 --> 00:07:46.140]   So the pandemic comes along, disrupts work.
[00:07:46.140 --> 00:07:47.640]   Everything goes remote.
[00:07:47.640 --> 00:07:51.180]   The pain points that people feel with their jobs
[00:07:51.180 --> 00:07:52.860]   are amplified.
[00:07:52.860 --> 00:07:56.180]   At the same time,
[00:07:56.180 --> 00:07:59.460]   the idea that you have more freedom and flexibility
[00:07:59.460 --> 00:08:03.620]   in configuring your work and your life was also amplified.
[00:08:03.620 --> 00:08:05.900]   People were moving.
[00:08:05.900 --> 00:08:08.280]   They were doing different schooling configurations
[00:08:08.280 --> 00:08:09.120]   with their kids.
[00:08:09.120 --> 00:08:11.860]   They were pushing back on things.
[00:08:11.860 --> 00:08:13.260]   People were leaving jobs.
[00:08:13.260 --> 00:08:16.760]   There's this spirit of, hey, anything can go.
[00:08:16.760 --> 00:08:18.300]   Things are so bad
[00:08:18.300 --> 00:08:20.260]   that there's really nothing off the table now.
[00:08:20.260 --> 00:08:25.260]   And it inculcated this idea of change is possible.
[00:08:25.260 --> 00:08:27.960]   So I think those three things are gonna come together
[00:08:27.960 --> 00:08:29.820]   for this particular generation
[00:08:29.820 --> 00:08:31.700]   to lead to a lot of people to engage
[00:08:31.700 --> 00:08:33.980]   in what I call a deep reset.
[00:08:33.980 --> 00:08:36.740]   So I have a definition for this.
[00:08:36.740 --> 00:08:39.140]   I'm scrolling up if you're watching this online.
[00:08:39.140 --> 00:08:42.800]   Here's a definition of a deep reset.
[00:08:42.800 --> 00:08:45.880]   It's an intentional reconfiguration of your life
[00:08:45.880 --> 00:08:49.680]   to amplify the small number of things
[00:08:49.680 --> 00:08:51.720]   you've learned through experience that you value
[00:08:51.720 --> 00:08:56.720]   and minimize those things that get in their way.
[00:08:56.720 --> 00:09:00.200]   So a deep reset is saying, wait a second,
[00:09:00.200 --> 00:09:04.160]   let's step back and reconfigure our whole life.
[00:09:04.160 --> 00:09:06.700]   And I think at this moment,
[00:09:06.700 --> 00:09:08.240]   the millennials in particular,
[00:09:08.240 --> 00:09:10.080]   because of those three forces coming together,
[00:09:10.080 --> 00:09:11.720]   have begun doing these deep resets.
[00:09:11.720 --> 00:09:14.320]   And this is gonna be a very important work trend
[00:09:14.320 --> 00:09:18.740]   in the next handful of years that are coming up ahead.
[00:09:18.740 --> 00:09:20.680]   Now I wanna point out,
[00:09:20.680 --> 00:09:22.440]   this is different than a midlife crisis,
[00:09:22.440 --> 00:09:24.800]   which is a phenomenon that afflicted our parents.
