
[00:00:00.040 --> 00:00:09.400]   cine
[00:00:09.400 --> 00:00:10.480]   had find and
[00:02:51.320 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:02:53.080 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:02:53.080 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:02:53.080 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:02:53.080 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:02:53.080 --> 00:02:53.080]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:19.240 --> 00:03:23.100]  , I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:23.100 --> 00:03:23.100]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:23.100 --> 00:03:23.100]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:23.100 --> 00:03:53.120]  , I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:53.120 --> 00:03:53.120]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:53.120 --> 00:03:53.120]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:53.120 --> 00:03:53.120]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:53.120 --> 00:03:53.120]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:03:53.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:23.140]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:23.140 --> 00:04:53.160]  ,
[00:04:53.160 --> 00:04:53.160]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:53.160 --> 00:04:53.160]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:04:53.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.180 --> 00:05:23.180]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:23.220 --> 00:05:53.200]  ,
[00:05:53.200 --> 00:05:53.200]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:53.200 --> 00:05:53.200]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:53.200 --> 00:05:53.200]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:53.200 --> 00:05:53.200]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:05:53.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:06:23.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:06:23.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:06:23.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:06:23.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
[00:06:23.220 --> 00:06:23.220]   I don't think it's a great move and so I don't stress on this stuff a lot just because there's not really any reason to it my observation
