
[00:00:00.040 --> 00:00:11.440]   Hello I'm Armin and sometimes recently rather more common than not I'm sharing
[00:00:11.440 --> 00:00:19.880]   HNT coding and just LLM stuff on this channel. And since May there has been an
[00:00:19.880 --> 00:00:25.600]   explosion of different kind of HNT coding tools and I wanted to give you a
[00:00:25.600 --> 00:00:31.780]   little bit of an update of which tools exist and what I've learned in general
[00:00:31.780 --> 00:00:39.280]   about them in the last couple of weeks in particular. So if you're on this channel
[00:00:39.280 --> 00:00:42.940]   you probably already know who I am. I created a lot of open source software
[00:00:42.940 --> 00:00:47.660]   over the years but the kind of Python ecosystem and as of recently I'm kind of
[00:00:47.660 --> 00:00:53.060]   obsessed with HNT coding tools and I'm trying my best to use a lot of them to
[00:00:53.060 --> 00:01:01.840]   help me build my new startup. One of the ways in which I think we should look at
[00:01:01.840 --> 00:01:05.360]   the current point in time is that there has been an explosion of interest both
[00:01:05.360 --> 00:01:13.060]   from investors and from users and programmers in general about this
[00:01:13.060 --> 00:01:22.840]   general topic of using agentic tool loops to help us build software. And this has
[00:01:22.840 --> 00:01:28.480]   primarily resulted in tools that help us write more code but there's also a little
[00:01:28.480 --> 00:01:34.840]   bit of the same kind of pattern being applied for non coding agent but most of
[00:01:34.840 --> 00:01:40.080]   what's currently making it through the internet is a combination of a very
[00:01:40.080 --> 00:01:45.020]   good foundation model with some agentic tool. A lot of them are moving for some
[00:01:45.020 --> 00:01:52.280]   reason or another into the command line and it has been very hard to keep track of
[00:01:52.280 --> 00:01:56.520]   everything because every single day a new tool pops up and then there are also
[00:01:56.520 --> 00:01:56.620]   different models that they can use with them and some tools support multiple models and so forth. And I just want to give my best understanding of what's going on right now.
[00:01:56.620 --> 00:02:08.620]   so different models that they can use with them and some tools support multiple models and so forth. And I just want to give my best understanding of what's going on right now.
[00:02:08.620 --> 00:02:23.620]   And I also apologize for calling them agents. There's a lot of discussion of this is an appropriate name or not. It's probably not an appropriate name, but it is what it is. This is what seemingly we're calling this now. So it's it's a
[00:02:23.620 --> 00:02:28.620]   when I use agent here it's sort of an agentic coding tool in one form or another.
[00:02:28.620 --> 00:02:38.620]   Just to level set this here. Roughly we're looking at five different types of tools. Some of them are IDE extensions.
[00:02:38.620 --> 00:02:53.620]   So GitHub Copilot cursor are probably the most well known ones. They're both autocomplete, but they can also do basic agentic coding loops. Cursor can actually do very capable coding loops at this point. In parts also because it's the case that we're working on right now.
[00:02:53.620 --> 00:02:58.620]   So if you want to look at this, we're working on right now.
[00:02:58.620 --> 00:03:21.620]   Cursor has recently moved into the CLI as well. And they are also providing these standalone agents. So Cursor, for instance, can run on a remote server, too.
[00:03:21.620 --> 00:03:30.620]   They have these background agents. Then the tools like Devon, which are also I think the bot windsurf currently recently. So these are all kind of these are different kind of tools exist.
[00:03:30.620 --> 00:03:36.620]   And then we have these by coding tools that use very much the same kind of technology behind the scenes.
[00:03:36.620 --> 00:03:46.620]   So they're they're running, auto generating, running in a tool loop, but they often are very targeted towards user interface creation.
[00:03:46.620 --> 00:04:04.620]   And they behave quite a bit different from what you can do with with a tool like Cloud Code or similar, which really have they run on your machine and they can do pretty much everything that you give them access to.
[00:04:04.620 --> 00:04:19.620]   And when I recorded this last video here, there was really just a handful of tools that were capable of competing with Cloud Code, which was one of the first, if not the first that got mass adoption.
[00:04:19.620 --> 00:04:24.620]   But by now, honestly, there are so many of them, I don't even want to enumerate them.
[00:04:24.620 --> 00:04:34.620]   But I think there are more than 30 different kind of command line tools at this point that that have some version of a gente coding loop.
[00:04:34.620 --> 00:04:39.620]   And I don't have the time to look at all of those tools. Right.
[00:04:39.620 --> 00:04:45.620]   This is this is really not I don't have the time for that. And I don't think, honestly, anyone has time for that.
[00:04:45.620 --> 00:04:50.620]   But there are some reasons of why you want to look at more than one tool.
[00:04:50.620 --> 00:04:55.620]   For me, one of which is there has been a discussion recently about pricing and I will go into that later.
[00:04:55.620 --> 00:05:07.620]   But because there is a worry that we might be heavily being subsidized by venture capital here, that the cost of all of this will go up.
[00:05:07.620 --> 00:05:14.620]   So people have been starting to look into can you use open models to do the same thing?
[00:05:14.620 --> 00:05:20.620]   And for one reason or another, there are limitations in some of the tools that we're currently using.
[00:05:20.620 --> 00:05:30.620]   And it's very helpful to understand if those limitations are related to the coding agent versus if they're related to the model and what this might mean in the future.
[00:05:30.620 --> 00:05:35.620]   I don't want to talk too much about what kind of workloads work really well with a gente coding tools today.
[00:05:35.620 --> 00:05:56.620]   But I do want to mention that one of the main unlocks that I see today in a gente coding tools is the creation of software that can be perpetual prototypes.
[00:05:56.620 --> 00:06:01.620]   And some very good examples of this are internal tools.
[00:06:01.620 --> 00:06:12.620]   You might have been in a situation multiple times through your career where you wish you would have had a slightly better debugging tool, but you also didn't have the time at this very moment to create them.
[00:06:12.620 --> 00:06:25.620]   And this is actually one of the ways in which I really enjoy using these tools is that I'm working on something, but I can also have the agent on the side provide me a better way to visualize my data or a better way to debug a particular problem.
[00:06:25.620 --> 00:06:29.620]   And write a tool in a tool in a way that I can maybe use it a couple of times.
[00:06:29.620 --> 00:06:33.620]   And it makes this this flow generally more enjoyable.
