
[00:00:00.000 --> 00:00:17.240]   TAYLOR SMITH: Hello, everybody.
[00:00:17.240 --> 00:00:19.080]   My name is Taylor Smith.
[00:00:19.080 --> 00:00:24.480]   I am an AI developer advocate/evangelist/technical
[00:00:24.480 --> 00:00:28.640]   marketing and other titles, depending on where I am.
[00:00:28.640 --> 00:00:31.420]   I work at Red Hat in our AI business unit,
[00:00:31.420 --> 00:00:35.780]   because, yes, we do also do AI, too, now.
[00:00:35.780 --> 00:00:37.200]   Great.
[00:00:37.200 --> 00:00:38.260]   I'm really happy to be here.
[00:00:38.260 --> 00:00:40.160]   This is my first time at this conference.
[00:00:40.160 --> 00:00:42.860]   So I'm new to the conference, new to speaking
[00:00:42.860 --> 00:00:45.580]   at this conference, ready to have a good time
[00:00:45.580 --> 00:00:47.580]   and also relax in about an hour and a half
[00:00:47.580 --> 00:00:49.040]   and just learn stuff.
[00:00:49.040 --> 00:00:51.800]   Stoked that this was at 9:00 AM.
[00:00:51.800 --> 00:00:53.900]   My presentation clicker isn't working,
[00:00:53.900 --> 00:00:56.060]   so I'm going to be a little bit glued over here.
[00:00:56.060 --> 00:00:59.240]   But to kind of overview what we're going to do today,
[00:00:59.240 --> 00:01:03.140]   I'm going to talk a little bit about kind of the issues of setting
[00:01:03.140 --> 00:01:05.060]   up a large language model in production
[00:01:05.060 --> 00:01:08.820]   and the reason why you need evaluations and benchmarks
[00:01:08.820 --> 00:01:11.620]   and all of these things and why that is so critical.
[00:01:11.620 --> 00:01:14.600]   And then I do have some hands-on activities
[00:01:14.600 --> 00:01:19.120]   that we'll get to do to use some evaluation methods
[00:01:19.120 --> 00:01:21.580]   and benchmark tools to kind of get a sense of what
[00:01:21.580 --> 00:01:25.400]   is out there to use, how we can use those tools, what
[00:01:25.400 --> 00:01:27.220]   that might look like to put it all together
[00:01:27.220 --> 00:01:29.500]   for an actual production system.
[00:01:29.500 --> 00:01:31.740]   So ready?
[00:01:31.740 --> 00:01:33.700]   Are you excited?
[00:01:33.700 --> 00:01:35.020]   Yay.
[00:01:35.020 --> 00:01:36.220]   First thing in the morning.
[00:01:36.220 --> 00:01:37.060]   Love that.
[00:01:37.060 --> 00:01:38.560]   I'm glad it's 9:00 AM because that feels
[00:01:38.560 --> 00:01:39.800]   like a reasonable start time.
[00:01:39.800 --> 00:01:43.360]   I don't like that 8:00 AM stuff that happens.
[00:01:43.360 --> 00:01:47.460]   Setting up generative AI tech in production,
[00:01:47.460 --> 00:01:49.880]   if you think about it, crazy pants, OK?
[00:01:49.880 --> 00:01:51.700]   There's so many things that could go wrong.
[00:01:51.700 --> 00:01:54.120]   This is such a complex type of technology
[00:01:54.120 --> 00:01:56.080]   that is very creative.
[00:01:56.080 --> 00:01:59.840]   Setting this up to be scalable and reliable and safe
[00:01:59.840 --> 00:02:02.080]   is challenging, OK?
[00:02:02.080 --> 00:02:03.520]   That's why we need evaluations.
[00:02:03.520 --> 00:02:04.940]   That's why we need all of these tests.
[00:02:04.940 --> 00:02:05.780]   And we need to be careful.
[00:02:05.780 --> 00:02:07.160]   We need to understand the technology
[00:02:07.160 --> 00:02:08.780]   we're working with when we're looking
[00:02:08.780 --> 00:02:10.680]   to implement this as well.
[00:02:10.680 --> 00:02:13.840]   So hard to do.
[00:02:13.840 --> 00:02:16.540]   Most organizations-- so they don't typically
[00:02:16.540 --> 00:02:21.620]   start off with a multi-agent framework and go crazy.
[00:02:21.620 --> 00:02:25.240]   Typically, they're going to have a kind of standard repeatable
[00:02:25.240 --> 00:02:26.520]   path to maturity.
[00:02:26.520 --> 00:02:28.200]   They might start out with, OK, how can I
[00:02:28.200 --> 00:02:29.300]   automate some things with AI?
[00:02:29.300 --> 00:02:31.560]   How can I have like a chatbot type of situation?
[00:02:31.560 --> 00:02:34.200]   That's kind of the standard that everybody starts out with.
[00:02:34.200 --> 00:02:37.100]   OK, I maybe want to implement a RAG setup.
[00:02:37.100 --> 00:02:39.720]   All right, let's start to look at agents.
[00:02:39.720 --> 00:02:41.360]   On the Red Hat side, we're still
[00:02:41.360 --> 00:02:44.560]   dealing with probably the first three phases of this maturity
[00:02:44.560 --> 00:02:45.840]   with our customers.
[00:02:45.840 --> 00:02:47.800]   And that's where a lot of people still are.
[00:02:47.800 --> 00:02:49.680]   But we get to talk about all the cool advanced stuff
[00:02:49.680 --> 00:02:52.540]   at this conference so we can plan ahead and think
[00:02:52.540 --> 00:02:54.360]   about what we want to implement.
[00:02:54.360 --> 00:02:58.520]   But enterprises, they need to take an incremental approach
[00:02:58.520 --> 00:03:01.840]   to do this successfully.
[00:03:01.840 --> 00:03:05.440]   Gen AI models, they have a number of drawbacks, right?
[00:03:05.440 --> 00:03:07.660]   And we all know about these things.
[00:03:07.660 --> 00:03:11.560]   Policy restrictions-- typically, if you're a developer
[00:03:11.560 --> 00:03:13.720]   at a company or have whatever type of role,
[00:03:13.720 --> 00:03:16.240]   you're restricted in the type of AI that you can use.
[00:03:16.240 --> 00:03:19.540]   Red Hat was just allowed to use--
[00:03:19.540 --> 00:03:21.540]   Gemini was just made available to us.
[00:03:21.540 --> 00:03:23.000]   But before that, we weren't really
[00:03:23.000 --> 00:03:28.600]   allowed to use anything officially.
[00:03:28.600 --> 00:03:31.220]   So the company policy restrictions of the tools
[00:03:31.220 --> 00:03:32.720]   you can use and the AI you can use
[00:03:32.720 --> 00:03:35.060]   is pretty locked down, typically.
[00:03:35.060 --> 00:03:39.660]   The legal exposures and risks of these models--
[00:03:39.660 --> 00:03:43.100]   there was the glue incident.
[00:03:43.100 --> 00:03:45.280]   They're going to say crazy stuff sometimes.
[00:03:45.280 --> 00:03:46.700]   How do we guard rail against that?
[00:03:46.700 --> 00:03:49.640]   And how do we protect our customers against that
[00:03:49.640 --> 00:03:51.420]   and account for that when that does happen?
[00:03:51.420 --> 00:03:53.840]   Because it's hard to completely avoid.
[00:03:53.840 --> 00:03:56.120]   There's the bias and discrimination issues.
[00:03:56.120 --> 00:04:00.200]   Most of the internet data is still largely Eurocentric
[00:04:00.200 --> 00:04:01.640]   and US-based.
