
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:08.320]   - Welcome to our financial planning panel.
[00:00:08.320 --> 00:00:13.560]   I'm going to very briefly introduce our panelists
[00:00:13.560 --> 00:00:16.200]   because you know them all very well.
[00:00:16.200 --> 00:00:19.360]   They're all prolific writers and speakers.
[00:00:19.360 --> 00:00:22.900]   They have long ties to the Bogle heads.
[00:00:22.900 --> 00:00:27.160]   All are current or past Bogle Center board members.
[00:00:27.160 --> 00:00:31.120]   They've been frequent, much appreciated speakers
[00:00:31.120 --> 00:00:34.160]   at multiple Bogle heads conferences.
[00:00:34.160 --> 00:00:37.920]   And you've seen them a lot over the past two days
[00:00:37.920 --> 00:00:39.040]   at multiple sessions,
[00:00:39.040 --> 00:00:43.060]   including Bogle heads university on Wednesday.
[00:00:43.060 --> 00:00:45.200]   So one sentence each, Christine Benz,
[00:00:45.200 --> 00:00:47.120]   director of personal finance
[00:00:47.120 --> 00:00:50.580]   and retirement planning at Morningstar.
[00:00:50.580 --> 00:00:53.380]   Alan Roth is founder of WealthLogic,
[00:00:53.380 --> 00:00:55.960]   an hourly based investment advisory
[00:00:55.960 --> 00:00:57.340]   and financial planning firm.
[00:00:57.340 --> 00:00:58.900]   I'm obviously jumping around
[00:00:58.900 --> 00:01:02.300]   'cause I didn't look over before I started doing that.
[00:01:02.300 --> 00:01:06.760]   Mike Piper is a CPA, financial advisor,
[00:01:06.760 --> 00:01:09.340]   and among his many contributions
[00:01:09.340 --> 00:01:12.640]   is the creator of the Open Social Security Calculator.
[00:01:12.640 --> 00:01:19.020]   I thought it was interesting that in the Vanguard session,
[00:01:19.020 --> 00:01:24.020]   the point that Joel made about a lot of what can contribute
[00:01:24.700 --> 00:01:28.140]   so much to outcomes for individuals
[00:01:28.140 --> 00:01:32.000]   is on the personal financial planning side,
[00:01:32.000 --> 00:01:33.500]   not the investment side.
[00:01:33.500 --> 00:01:34.700]   As Mike was also saying,
[00:01:34.700 --> 00:01:39.700]   we talk a lot in this audience about portfolio strategies
[00:01:39.700 --> 00:01:42.540]   and allocations in different portfolios,
[00:01:42.540 --> 00:01:46.140]   but when it comes down to our individual lives,
[00:01:46.140 --> 00:01:47.740]   there's a lot more to that.
[00:01:47.740 --> 00:01:53.020]   So to start off, one of the things I wanted to ask you is,
[00:01:53.980 --> 00:01:58.100]   this is our first in-person annual meeting in a few years
[00:01:58.100 --> 00:02:00.620]   since the COVID pandemic.
[00:02:00.620 --> 00:02:04.100]   It was a global phenomenon that affected all of us
[00:02:04.100 --> 00:02:07.620]   in ways from the tragic to the trivial,
[00:02:07.620 --> 00:02:10.540]   led a lot of people to make changes in their lives
[00:02:10.540 --> 00:02:12.520]   and how they thought about their lives,
[00:02:12.520 --> 00:02:15.640]   where they wanted to live, their jobs,
[00:02:15.640 --> 00:02:17.220]   their work-life balance.
