
[00:00:00.040 --> 00:00:10.320]   ấy en the,
[00:00:10.320 --> 00:00:11.660]   box stuck. I go. I.
[00:00:11.660 --> 00:00:27.120]   wins
[00:00:27.960 --> 00:00:39.500]   in
[00:00:39.500 --> 00:00:55.180]   / play. I have,,,, counting Milk I'm g essential be over wasniene encont cual�
[00:00:56.820 --> 00:01:06.940]   recognize
[00:01:06.940 --> 00:01:09.640]   con in the
[00:01:09.640 --> 00:01:24.320]   expect
[00:02:23.640 --> 00:02:28.300]   underway. You're about a thousand dollars a month short, but you do have a credit card,
[00:02:28.300 --> 00:02:34.140]   which is available for you, and you could use it to cover your thousand dollars of expenses if you
[00:02:34.140 --> 00:02:41.140]   need to. So assume for a moment now that you start borrowing a thousand dollars per month on your
[00:02:41.140 --> 00:02:46.180]   credit card, just until you can get another job and get your feet back underneath you. Assume that
[00:02:46.180 --> 00:02:52.620]   happens. So you do that for one month, then you do it for another month, three months, four months,
[00:02:52.620 --> 00:02:53.620]   five months, and then you do it for the next month. So you do that for a month, then you do it for
[00:02:53.620 --> 00:02:53.620]   three months, four months, five months, and then you do it for the next month. So you do that for
[00:02:53.620 --> 00:02:53.620]   three months, four months, five months, and then you do it for the next month. So you do it for
[00:02:55.660 --> 00:03:23.640]   six months. And then after six months, you are now able to be re-employed, you get another job, and now you can start paying your bills again, and you no longer have to borrow money on the credit card in order to pay your bills. But over time, you've accumulated a total of six thousand dollars of debt. Perhaps some of that is grocery expenses to feed your family. Perhaps some of that is paying for your electric bill and your water bill. Perhaps some of that is
[00:03:23.680 --> 00:03:32.160]   do
[00:03:32.160 --> 00:03:53.500]   at the life
[00:03:53.540 --> 00:04:00.620]   gi
[00:04:00.620 --> 00:04:17.820]   battle. It.
[00:04:23.560 --> 00:04:32.780]   Le
[00:04:32.780 --> 00:04:50.960]   Il Ed I why
[00:05:22.480 --> 00:05:22.480]   You may set out a goal for yourself of paying off your debt very quickly and very aggressively. Perhaps you do it in six months. But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:22.480 --> 00:05:22.480]   But what that means is for a total of 12 months, your choices were severely affected by the pandemic.
[00:05:51.960 --> 00:05:51.960]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:51.960 --> 00:05:51.960]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:51.960 --> 00:05:51.960]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:51.960 --> 00:05:52.120]   More likely it might take 12 months to pay off those expenses.
[00:05:52.120 --> 00:05:52.160]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:52.160 --> 00:05:52.440]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:52.440 --> 00:05:52.480]   And yet it would be an unusual person who actually was able to pay off those expenses in six months.
[00:05:52.480 --> 00:06:22.480]  , or 18 or 24 months or many times even longer for you to pay back those six months of expenses.
[00:06:22.480 --> 00:06:22.480]   And so what happens is your income is already beholden to someone else paying off your debt. And so yes, you had six months of trial of your being without work. But unfortunately because you go into debt, that six months of trial is not a good thing.
[00:06:22.480 --> 00:06:22.480]   But unfortunately because you go into debt, that six months of trial is not a good thing.
[00:06:22.500 --> 00:06:52.480]   But unfortunately because you go into debt, that six months of trial is not a good thing.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.480 --> 00:06:52.480]   You have to pay off those expenses in six months.
[00:06:52.520 --> 00:07:22.480]  , you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.480 --> 00:07:22.480]   you have to pay off those expenses in six months.
[00:07:22.500 --> 00:07:22.600]   you have to pay off those expenses in six months.
[00:07:22.600 --> 00:07:22.600]   you have to pay off those expenses in six months.
[00:07:22.600 --> 00:07:22.600]   you have to pay off those expenses in six months.
[00:07:22.600 --> 00:07:22.640]   you have to pay off those expenses in six months.
[00:07:22.640 --> 00:07:22.680]   you have to pay off those expenses in six months.
[00:07:22.680 --> 00:07:22.720]   you have to pay off those expenses in six months.
[00:07:22.720 --> 00:07:22.760]   you have to pay off those expenses in six months.
[00:07:22.760 --> 00:07:22.800]   You have to pay off those expenses in six months.
[00:07:22.800 --> 00:07:22.840]   You have to pay off those expenses in six months.
[00:07:22.840 --> 00:07:22.880]   You have to pay off those expenses in six months.
[00:07:22.880 --> 00:07:22.880]   You have to pay off those expenses in six months.
[00:07:22.880 --> 00:07:22.920]   You have to pay off those expenses in six months.
[00:07:22.920 --> 00:07:23.000]   You have to pay off those expenses in six months.
[00:07:23.000 --> 00:07:23.080]   You have to pay off those expenses in six months.
[00:07:23.080 --> 00:07:23.120]   You have to pay off those expenses in six months.
[00:07:23.120 --> 00:07:39.200]   You have to pay off those expenses in six months.
[00:07:39.200 --> 00:07:59.280]  ,
[00:07:59.280 --> 00:08:09.200]   You have to pay off those expenses in six months.
[00:08:09.200 --> 00:08:09.200]   You have to pay off those expenses in six months.
[00:08:09.200 --> 00:08:09.200]   You have to pay off those expenses in six months.
[00:08:09.200 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.220 --> 00:08:09.220]   You have to pay off those expenses in six months.
[00:08:09.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
