
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:12.840]   - Welcome back to Ask the Compound,
[00:00:12.840 --> 00:00:14.600]   where every week we get great questions
[00:00:14.600 --> 00:00:15.800]   from you, the viewers.
[00:00:15.800 --> 00:00:19.400]   Remember our email here is askthecompoundshow@gmail.com.
[00:00:19.400 --> 00:00:20.720]   Duncan, how's it going?
[00:00:20.720 --> 00:00:22.880]   - Pretty good, pretty good, how are you?
[00:00:22.880 --> 00:00:23.720]   - I'm great.
[00:00:23.720 --> 00:00:27.340]   We're brought to you today by bird dogs.
[00:00:27.340 --> 00:00:30.720]   I just this week got a new pair of the bird dogs
[00:00:30.720 --> 00:00:32.360]   stretch khakis.
[00:00:32.360 --> 00:00:34.200]   It's nice, I have to look nice sometimes,
[00:00:34.200 --> 00:00:36.520]   dress up a little bit, but also be comfortable.
[00:00:36.520 --> 00:00:38.000]   You can buy them with or without the liner.
[00:00:38.000 --> 00:00:40.480]   The liner's pretty key, it's kinda nice.
[00:00:40.480 --> 00:00:41.560]   - You're a big liner guy.
[00:00:41.560 --> 00:00:44.240]   I actually, I like the, I have a pair without,
[00:00:44.240 --> 00:00:45.280]   I like 'em.
[00:00:45.280 --> 00:00:46.880]   - Yeah, both are good.
[00:00:46.880 --> 00:00:47.720]   We're still giving away,
[00:00:47.720 --> 00:00:49.520]   they're still giving away these dad tech hats.
[00:00:49.520 --> 00:00:50.980]   This one's got your name on it, Duncan.
[00:00:50.980 --> 00:00:53.440]   So if you go to birddogs.com/ATC
[00:00:53.440 --> 00:00:55.480]   or enter promo code ATC, you can get that.
[00:00:55.480 --> 00:00:57.540]   They also have great, great polos.
[00:00:57.540 --> 00:01:00.180]   I've been using the shorts lately just for working out
[00:01:00.180 --> 00:01:02.020]   because it's too cold to wear 'em outside anymore.
[00:01:02.020 --> 00:01:03.660]   The polos are nice, it's great.
[00:01:03.660 --> 00:01:07.140]   Birddogs.com/ATC to find more.
[00:01:07.140 --> 00:01:10.380]   - They're also our record sponsor here on Ask the Condown.
[00:01:10.380 --> 00:01:12.140]   They have sponsored more shows than anyone else.
[00:01:12.140 --> 00:01:14.300]   - Okay, so they've been on more than Bill Sweet even.
[00:01:14.300 --> 00:01:16.300]   - They have, they actually have, yeah.
[00:01:16.300 --> 00:01:17.140]   So I appreciate that.
[00:01:17.140 --> 00:01:19.220]   - They should make a pair of raw thigh raise for us.
[00:01:19.220 --> 00:01:21.260]   All right, let's get into it.
[00:01:21.260 --> 00:01:22.580]   Good questions today.
[00:01:22.580 --> 00:01:26.320]   Yeah, so up first today, we have a question from Chris.
[00:01:26.320 --> 00:01:29.240]   I'm 55 with a net worth of $1.1 million.
[00:01:29.240 --> 00:01:30.520]   I'm a software consultant
[00:01:30.520 --> 00:01:33.100]   and quite bullish on my income rising.
[00:01:33.100 --> 00:01:35.740]   Definitely live below our means,
[00:01:35.740 --> 00:01:38.960]   our kids will be highly competitive to get into top schools
[00:01:38.960 --> 00:01:42.360]   where it's estimated that four years will cost $250,000.
[00:01:42.360 --> 00:01:43.780]   In saving for his education,
[00:01:43.780 --> 00:01:46.800]   the money has been going into a couple of brokerage accounts,
[00:01:46.800 --> 00:01:49.920]   $30,000 in Lyft off, which I never pay attention to,
[00:01:49.920 --> 00:01:52.580]   and $226,000 in E-Trade.
[00:01:52.580 --> 00:01:54.000]   Guess I've gotten lucky with E-Trade
[00:01:54.000 --> 00:01:56.040]   because it has done pretty well over the years.
[00:01:56.040 --> 00:01:57.880]   This is in large part due to early investments
[00:01:57.880 --> 00:01:59.880]   in Tesla and NVIDIA, not bad.
[00:01:59.880 --> 00:02:02.580]   I'm pretty bullish on both of these stocks,
[00:02:02.580 --> 00:02:03.820]   but what do I know?
[00:02:03.820 --> 00:02:05.780]   I'm deliberating the following choices.
[00:02:05.780 --> 00:02:09.840]   One, liquidate both stocks
[00:02:09.840 --> 00:02:12.720]   and stuff into a high-interest 15-month CD.
[00:02:12.720 --> 00:02:14.800]   Two, liquidate everything in the account
[00:02:14.800 --> 00:02:17.480]   but those two stocks and stuff into a CD.
[00:02:17.480 --> 00:02:18.760]   Three, hold tight.
[00:02:18.760 --> 00:02:20.900]   The plan is to use loans for the first year,
[00:02:20.900 --> 00:02:22.940]   so we will need to start tapping into the money
[00:02:22.940 --> 00:02:25.080]   in the fall of 2025.
[00:02:25.080 --> 00:02:26.320]   What are your thoughts?
[00:02:26.320 --> 00:02:28.600]   - So Chris actually sent us his statement here.
[00:02:28.600 --> 00:02:29.600]   We didn't include it, obviously,
[00:02:29.600 --> 00:02:31.480]   but he's got massive gains in both of these stocks,
[00:02:31.480 --> 00:02:33.720]   like 5,000% or something.
[00:02:33.720 --> 00:02:35.600]   Why don't we bring in a guy who's been talking about NVIDIA
[00:02:35.600 --> 00:02:38.400]   for probably longer than Chris has been holding it.
[00:02:38.400 --> 00:02:39.480]   Mr. Josh Brown.
[00:02:39.480 --> 00:02:41.160]   - Hey!
[00:02:41.160 --> 00:02:43.440]   - Straight from CNBC to Ask the Compound.
[00:02:43.440 --> 00:02:46.280]   - I wanted to say thank you guys for having me on the show.
[00:02:46.280 --> 00:02:48.840]   I learn so much each week listening to you.
[00:02:48.840 --> 00:02:50.960]   I want to address one person in the comments
[00:02:50.960 --> 00:02:52.320]   and then we can get rolling.
[00:02:52.320 --> 00:02:56.920]   John Carlo asks, "Is Josh a subway guy or an Uber guy?"
[00:02:56.920 --> 00:02:58.320]   I guess 'cause I was late
[00:02:58.320 --> 00:03:00.200]   and you guys usually start at 1.30
[00:03:00.200 --> 00:03:02.040]   and we're getting rolling a little bit late.
[00:03:02.040 --> 00:03:04.900]   - Yeah, I mentioned you were coming straight from NYSE.
[00:03:04.900 --> 00:03:07.840]   - Yeah, so I don't do subways.
[00:03:07.840 --> 00:03:10.960]   And it's not 'cause I think I'm too good for the subway.
[00:03:10.960 --> 00:03:14.440]   It's literally just, it makes me so unhappy and depressed,
