
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:00:09.000 --> 00:00:14.000]   A historic Main Street charms you.
[00:00:14.000 --> 00:00:20.000]   And every day brings a new adventure.
[00:00:20.000 --> 00:00:26.000]   Welcome to Park City, Utah. Naturally, winter's favorite town.
[00:00:26.000 --> 00:00:30.000]   Join the experience at VisitParkCity.com.
[00:00:30.000 --> 00:00:35.000]   It's Friday here at Radical Personal Finance. That means live Q&A.
[00:00:35.000 --> 00:00:51.000]   [Music]
[00:00:51.000 --> 00:00:54.000]   Welcome to Radical Personal Finance. It's Friday. That's my favorite day of the week.
[00:00:54.000 --> 00:00:58.000]   My favorite show of the week. That means it's live Q&A.
[00:00:58.000 --> 00:01:05.000]   Welcome to the show. This is the show dedicated to providing you with the knowledge, resources, insight, and gentle encouragement
[00:01:05.000 --> 00:01:10.000]   so that you can live a rich and meaningful life now while building a plan for financial freedom in ten years or less.
[00:01:10.000 --> 00:01:15.000]   My name is Joshua. I am your host. And today I do my best to answer your questions.
[00:01:15.000 --> 00:01:23.000]   [Music]
[00:01:23.000 --> 00:01:32.000]   Again, my favorite show of the week that I record whenever I can arrange the logistics of an internet, stable internet connection and all that to allow me to record audio.
[00:01:32.000 --> 00:01:41.000]   This is a live Q&A show, so very much akin to talk radio. You receive it very soon after I record it with basically about a one-hour tape delay.
[00:01:41.000 --> 00:01:47.000]   Friday shows are open to patrons of the show. That's one way that I screen the number of callers down.
[00:01:47.000 --> 00:01:52.000]   Instead of having, you know, 50 or 100 people call in on a day, then it usually comes down to about four or five.
[00:01:52.000 --> 00:01:58.000]   But if you have a question, you have a topic that you would like to talk to me about, this is frankly your best opportunity.
[00:01:58.000 --> 00:02:04.000]   At the moment, I have one caller on the line. We'll see if anyone else calls up while I'm working with this first caller.
[00:02:04.000 --> 00:02:08.000]   But I have one caller on the line. So sometimes we have one and sometimes we have ten.
[00:02:08.000 --> 00:02:11.000]   Sometimes I can give you tons of time and sometimes only short time.
[00:02:11.000 --> 00:02:15.000]   But if you'd like to talk with me about any question that you have, if you'd like to go through a scenario,
[00:02:15.000 --> 00:02:20.000]   you'd like to brainstorm some solutions for your plan for living rich now and building your plan for financial freedom,
[00:02:20.000 --> 00:02:25.000]   or if you just have some kind of interesting question, I love to do these shows because it gives me a chance to interact with you live.
[00:02:25.000 --> 00:02:30.000]   If you'd like to join me next week, come by RadicalPersonalFinance.com/patron.
[00:02:30.000 --> 00:02:37.000]   Sign up there to become a patron of the show, and that is when you will receive access to the call-in information and all of those details.
[00:02:37.000 --> 00:02:42.000]   So RadicalPersonalFinance.com/patron if you would like to be featured on next Friday's show.
[00:02:42.000 --> 00:02:46.000]   For today, we go to Mark in Washington. Mark, welcome to the show. How can I serve you today?
[00:02:46.000 --> 00:02:49.000]   Hey, Joshua. Thanks for having me on.
[00:02:49.000 --> 00:02:50.000]   For sure.
[00:02:50.000 --> 00:02:56.000]   My wife and I will be moving internationally in a few months from now,
[00:02:56.000 --> 00:03:02.000]   and I was just wondering what you could tell me in terms of a legal or financial situation.
[00:03:02.000 --> 00:03:08.000]   What are the things that I should be paying attention to or taking care of, getting advice on making that switch?
[00:03:08.000 --> 00:03:16.000]   For example, I know wills are state-dependent. I have no idea what an international will looks like,
[00:03:16.000 --> 00:03:27.000]   but I'm wondering about that, if you have advice on that specifically, or if there are other areas more broadly from a legal, financial perspective that I ought to be paying attention to as we move.
[00:03:27.000 --> 00:03:34.000]   So you are moving outside of the U.S., and you and your wife are U.S. citizens. Is that right?
[00:03:34.000 --> 00:03:40.000]   Yes. My wife is in the process of completing the citizenship process. She will be before we move.
[00:03:40.000 --> 00:03:46.000]   Got it. Okay. So both of you will be U.S. citizens, so that makes things a little bit simpler.
[00:03:46.000 --> 00:03:52.000]   And you intend to be gone for an extended period of time? Do you think you'll ever come back to the U.S.?
[00:03:52.000 --> 00:03:59.000]   We think we'll be coming back to visit family and friends every so often, every couple of years is what we're expecting.
[00:03:59.000 --> 00:04:05.000]   But we are transitioning as a permanent move. At least that's our thinking for an extended period of time.
[00:04:05.000 --> 00:04:18.000]   Okay. I would take this if I were doing it. There are a lot of different things involved. So you mentioned wills, but here's how I would approach it if I were moving abroad for an extended period of time.
[00:04:18.000 --> 00:04:36.000]   The first thing you have to look at is what are the disadvantages of your being a U.S. resident? And in your move abroad, will you pick up any advantages from changing residency and/or changing citizenship?
[00:04:36.000 --> 00:04:54.000]   So a simple example from a financial planning perspective, if you're going to be out of the country, I forget the exact number, but it's something like 300 and something days a year, then you can be exempt on the bulk of your income from paying U.S. income taxes under certain conditions.
[00:04:54.000 --> 00:05:00.000]   Under some of the, what's it called? What's the act called? The Foreign Earned Income Exclusion Act or something?
[00:05:00.000 --> 00:05:01.000]   Exclusion Act.
[00:05:01.000 --> 00:05:06.000]   Great. Is that the proper name of it? Did I make it up properly?
[00:05:06.000 --> 00:05:13.000]   No, I think it's around $100,000 that you're excluded. You don't have to pay taxes on.
[00:05:13.000 --> 00:05:30.000]   Exactly. So if you look at your income, for example, if you're a U.S. citizen and a U.S. resident, if you look at your income and you're planning to be abroad on a basis that would satisfy the requirements of that act, again, do you know how many days it is, Mark, from your research? Is it 300 and something?
[00:05:30.000 --> 00:05:44.000]   It will be. So a little bit of background, I've lived abroad in this country before, and the residence permit we would be under does qualify as having your tax residency outside the U.S.
[00:05:44.000 --> 00:05:58.000]   So by multiple tests, we, at least the last time I was overseas, did qualify for the Foreign Earned Income Exclusion Act or Earned Income Exclusion Act, I think. So we should be meeting those tests.
[00:05:58.000 --> 00:06:16.000]   Good. So as long as your income is planned to be below that number, then that's probably the simplest thing. You retain all of the benefits of your U.S. citizenships, whatever they happen to be, you retain the benefits of your residency, we'll get to residency in just a moment, and you can avoid U.S. income taxes.
[00:06:16.000 --> 00:06:33.000]   Now, if you anticipated that your income were to go up substantially, you were starting a business, you were involved in some kind of activity where you had major earning potential, then it would be well worth your time to consider renouncing your U.S. citizenship and transitioning your citizenship to another country.
[00:06:33.000 --> 00:06:48.000]   So famously, John Templeton would be one of the famous ones who, when he was a noted investor, he moved to the Bahamas, and he lived in the Bahamas, he renounced his U.S. citizenship, and that saved him, of course, tens of millions of dollars of income taxes.
[00:06:48.000 --> 00:07:02.000]   And the United States is, as far as I'm aware, the only country in the world that believes that just because you're a U.S. citizen, the United States is entitled to their pound of flesh that's due to them in the form of taxes from your activities abroad.
[00:07:02.000 --> 00:07:12.000]   So if you are going to earn substantial amounts of money, then it's well worth your consideration to renounce your citizenship and move abroad.
[00:07:12.000 --> 00:07:18.000]   And you want to do that before you – if you have any sense that that may happen, then you'd want to do that in advance.
[00:07:18.000 --> 00:07:24.000]   But I'm not getting the impression that your move is that you're planning to earn millions of dollars over the next couple of years. Is that right?
[00:07:24.000 --> 00:07:38.000]   I would not expect so. There should be a raise, there should be an increase, but I would think it would be a long time probably, or if not ever, crossing that threshold number, unless that's what's lowered.
[00:07:38.000 --> 00:07:41.000]   Right. Okay. So then in this case, then I think it's – go ahead.
[00:07:41.000 --> 00:07:58.000]   Related to that, actually – no, I'm sorry. I'm wondering if I am not paying U.S. taxes, am I still eligible for a Roth IRA, or do you have to be – I know you have to earn wages for that, but if the income is excluded, is that still eligible? Do you know?
[00:07:58.000 --> 00:08:01.000]   I don't know. It's an interesting question. I don't know.
[00:08:01.000 --> 00:08:15.000]   Yeah, I don't know. So if any listener knows, come on by the blog post for today's show and answer in the comments, but that is an interesting question. And I couldn't guess one way or the other.
[00:08:15.000 --> 00:08:16.000]   Okay.
[00:08:16.000 --> 00:08:21.000]   But I would pursue it if it were a possibility, but I couldn't guess.
[00:08:21.000 --> 00:08:28.000]   So let's go – so for the sake of this conversation, let's assume that you're going to retain your U.S. citizenship.
