
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:10.680]   - Do you think there's intelligent life,
[00:00:10.680 --> 00:00:12.740]   however you would like to define intelligent life,
[00:00:12.740 --> 00:00:14.820]   out there in the universe?
[00:00:14.820 --> 00:00:19.540]   - My guess is that there is not intelligent life
[00:00:19.540 --> 00:00:21.740]   in the observable universe other than us.
[00:00:21.740 --> 00:00:26.240]   Simply on the basis of the fact that
[00:00:26.240 --> 00:00:29.220]   the likely number of other intelligent species
[00:00:29.220 --> 00:00:32.800]   in the observable universe, there's two likely numbers,
[00:00:32.800 --> 00:00:36.400]   zero or billions. (laughs)
[00:00:36.400 --> 00:00:37.480]   And if there had been billions,
[00:00:37.480 --> 00:00:39.040]   you would have noticed already.
[00:00:39.040 --> 00:00:42.240]   For there to be literally like a small number,
[00:00:42.240 --> 00:00:44.920]   like, you know, Star Trek, there's, you know,
[00:00:44.920 --> 00:00:48.200]   a dozen intelligent civilizations in our galaxy,
[00:00:48.200 --> 00:00:52.240]   but not a billion, that's weird.
[00:00:52.240 --> 00:00:53.400]   That's sort of bizarre to me.
[00:00:53.400 --> 00:00:55.920]   It's easy for me to imagine that there are zero others
[00:00:55.920 --> 00:00:57.540]   because there's just a big bottleneck
[00:00:57.540 --> 00:00:59.900]   to making multicellular life
[00:00:59.900 --> 00:01:01.960]   or technological life or whatever.
[00:01:01.960 --> 00:01:03.480]   It's very hard for me to imagine
[00:01:03.480 --> 00:01:05.080]   that there's a whole bunch out there
[00:01:05.080 --> 00:01:07.200]   that have somehow remained hidden from us.
[00:01:07.200 --> 00:01:09.800]   - The question I'd like to ask is,
[00:01:09.800 --> 00:01:11.760]   what would intelligent life look like?
[00:01:11.760 --> 00:01:16.040]   What I mean by that question and where it's going is,
[00:01:16.040 --> 00:01:19.840]   what if intelligent life is just fundamentalist,
[00:01:19.840 --> 00:01:22.720]   is in some very big ways different
[00:01:22.720 --> 00:01:26.400]   than the one that has on Earth?
[00:01:26.400 --> 00:01:28.820]   That there's all kinds of intelligent life
[00:01:28.820 --> 00:01:30.340]   that operates in different scales
[00:01:30.340 --> 00:01:32.220]   of both size and temporal.
[00:01:32.220 --> 00:01:34.220]   - Right, that's a great possibility
[00:01:34.220 --> 00:01:35.700]   because I think we should be humble
[00:01:35.700 --> 00:01:37.560]   about what intelligence is, what life is.
[00:01:37.560 --> 00:01:38.940]   We don't even agree on what life is,
[00:01:38.940 --> 00:01:41.940]   much less what intelligent life is, right?
[00:01:41.940 --> 00:01:43.900]   So that's an argument for humility,
[00:01:43.900 --> 00:01:45.780]   saying there could be intelligent life
[00:01:45.780 --> 00:01:48.540]   of a very different character, right?
[00:01:48.540 --> 00:01:52.980]   Like you could imagine that dolphins are intelligent
[00:01:52.980 --> 00:01:55.420]   but never invent space travel
[00:01:55.420 --> 00:01:56.400]   'cause they live in the ocean
[00:01:56.400 --> 00:01:58.140]   and they don't have thumbs, right?
[00:01:58.140 --> 00:02:00.300]   So they never invent technology,
[00:02:00.300 --> 00:02:01.740]   they never invent smelting.
[00:02:01.740 --> 00:02:06.940]   Maybe the universe is full of intelligent species
[00:02:06.940 --> 00:02:09.020]   that just don't make technology, right?
[00:02:09.020 --> 00:02:11.260]   That's compatible with the data, I think.
[00:02:11.260 --> 00:02:14.760]   And I think maybe what you're pointing at
[00:02:14.760 --> 00:02:19.340]   is even more out there versions of intelligence.
[00:02:19.340 --> 00:02:22.500]   Intelligence in intermolecular clouds
[00:02:22.500 --> 00:02:24.340]   or on the surface of a neutron star
[00:02:24.340 --> 00:02:26.700]   or in between the galaxies in giant things
[00:02:26.700 --> 00:02:29.540]   where the equivalent of a heartbeat is 100 million years.
[00:02:29.540 --> 00:02:33.940]   On the one hand, yes, we should be very open-minded
[00:02:33.940 --> 00:02:34.780]   about those things.
[00:02:34.780 --> 00:02:39.780]   On the other hand, all of us share the same laws of physics.
[00:02:39.780 --> 00:02:43.140]   There might be something about the laws of physics,
[00:02:43.140 --> 00:02:44.260]   even though we don't currently know
[00:02:44.260 --> 00:02:45.820]   exactly what that thing would be,
[00:02:45.820 --> 00:02:50.820]   that makes meters and years
[00:02:50.820 --> 00:02:53.820]   the right length and time scales for intelligent life.
[00:02:54.780 --> 00:02:57.120]   Maybe not, but we're made of atoms,
