
[00:00:00.000 --> 00:00:04.140]   [Silence]
[00:00:04.140 --> 00:00:07.860]   What happens when somebody has a glass,
[00:00:07.860 --> 00:00:10.860]   we always hear a glass or two of wine in the evening
[00:00:10.860 --> 00:00:15.860]   or a cocktail after dinner or before dinner,
[00:00:15.860 --> 00:00:18.080]   how does that impact their sleep?
[00:00:18.080 --> 00:00:21.160]   And then we'll be sure to circle back
[00:00:21.160 --> 00:00:24.200]   in terms of what is reasonable ranges of behavior
[00:00:24.200 --> 00:00:27.200]   when it comes to avoiding alcohol
[00:00:27.200 --> 00:00:29.960]   or if it's age appropriate, et cetera.
[00:00:29.960 --> 00:00:31.160]   - Enjoying alcohol.
[00:00:31.160 --> 00:00:32.000]   - Yeah.
[00:00:32.000 --> 00:00:35.240]   So alcohol, if we're thinking about classes of drugs,
[00:00:35.240 --> 00:00:38.440]   they're in a class of drugs that we call the sedatives.
[00:00:38.440 --> 00:00:40.120]   And I think one of the first problems
[00:00:40.120 --> 00:00:41.880]   that people often mistake,
[00:00:41.880 --> 00:00:46.020]   alcohol is often used as a sleep aid
[00:00:46.020 --> 00:00:47.840]   for people who are struggling with sleep
[00:00:47.840 --> 00:00:51.160]   when things like over-the-counter remedies, et cetera,
[00:00:51.160 --> 00:00:54.160]   or herbal remedies have just not worked out for them.
[00:00:54.160 --> 00:00:57.800]   And alcohol, unfortunately, is anything but a sleep aid.
[00:00:57.800 --> 00:00:59.760]   The first reason that most people use it
[00:00:59.760 --> 00:01:02.480]   is to try and help them fall asleep.
[00:01:02.480 --> 00:01:05.200]   - And this process of this event
[00:01:05.200 --> 00:01:06.260]   that we call falling asleep,
[00:01:06.260 --> 00:01:07.920]   I have to imagine is a process.
[00:01:07.920 --> 00:01:08.760]   - It is a process.
[00:01:08.760 --> 00:01:09.720]   - Like everything in biology.
[00:01:09.720 --> 00:01:13.080]   And that that process involves in some way,
[00:01:13.080 --> 00:01:14.400]   as we talked about push-pull before,
[00:01:14.400 --> 00:01:17.820]   turning off thinking, planning, et cetera,
[00:01:17.820 --> 00:01:21.060]   and turning on some sort of relaxation mechanism.
[00:01:21.060 --> 00:01:22.420]   I have to imagine that these two things
[00:01:22.420 --> 00:01:24.220]   are knobs turning in opposite directions
[00:01:24.220 --> 00:01:27.400]   that gives us this outcome we call falling asleep.
