
[00:00:00.000 --> 00:00:06.820]   Today we're going to be taking a look at how we can build a fully local agent using the Cogito
[00:00:06.820 --> 00:00:13.920]   V1 LM, which according to their benchmarks is on par and sometimes better than even Llama 4.
[00:00:13.920 --> 00:00:20.640]   So this is a really high quality LM that we can run fully locally with various hardware limitations
[00:00:20.640 --> 00:00:27.020]   as they've given us a whole suite of different model sizes to go ahead and use. Now in this
[00:00:27.020 --> 00:00:32.180]   video we're going to be specifically using this model here which is the 32 billion parameter Cogito
[00:00:32.180 --> 00:00:42.300]   V1 preview and we're going to be using LM studio to download and run our LM locally. So to download
[00:00:42.300 --> 00:00:49.280]   LM studio you will just go to the LM studio download page, download it and once it has been downloaded
[00:00:49.280 --> 00:00:56.180]   you should be able to see something like this. You may need to switch between user and developer
[00:00:56.180 --> 00:01:03.960]   over here to give you access to this page here. Now in here you would load your models so that you can
[00:01:03.960 --> 00:01:09.380]   use them locally but of course if this is your first I'm using LM studio you probably don't have any
[00:01:09.380 --> 00:01:18.400]   models preloaded so you'll need to go to discover. Let's find Cogito or another LM if you prefer
[00:01:18.400 --> 00:01:26.240]   you can use Cogito. Now in here we're going to go ahead and we're going to go with this 32 billion parameter model. Now to download these models
[00:01:26.240 --> 00:01:34.260]   let me go into one that I haven't downloaded. You would simply click the green download button. That will take a little bit of time
[00:01:34.260 --> 00:01:42.040]   So whilst we're waiting for that to download let me show you how to get the code that we're going to be running through.
[00:01:42.040 --> 00:01:48.820]   So we're going to go into the Aureolabs cookbook. We are going to Gen.AI
[00:01:48.820 --> 00:01:56.680]   Local LM studio and there is this Cogito v1 notebook. You can download this directly
[00:01:56.680 --> 00:02:02.980]   or what I would recommend because we have all of the requirements within this pyproject.tuml file
[00:02:02.980 --> 00:02:06.200]   here. What I would recommend is that you actually just clone the repo
[00:02:06.200 --> 00:02:12.520]   with this here. Now you just write git clone
[00:02:12.520 --> 00:02:18.360]   and then the repo name. I've already downloaded it so I don't need to go ahead and do that again.
[00:02:18.360 --> 00:02:24.840]   Instead I'm just going to navigate into the repo and then in here we have the same structure that we saw
[00:02:24.840 --> 00:02:28.040]   in the repo so I'm going to go into Gen.AI
[00:02:28.040 --> 00:02:37.160]   and then it is local and LM studio. Okay so now in here we are in the right place to
[00:02:37.160 --> 00:02:41.560]   begin running everything. I am going to be setting up my python environment and virtual environment
[00:02:41.560 --> 00:02:49.160]   using uv. For mac you can use brew install uv like so if you don't have uv already and once you have
[00:02:49.160 --> 00:02:57.480]   downloaded uv you would just do uvvnv python and then I'm going to be using 3.12.7 here you can use
[00:02:57.480 --> 00:03:03.880]   whatever version you would like but if you want an exact replica of what I am doing I would recommend
[00:03:03.880 --> 00:03:10.760]   going with that. Once you run that that is going to install the python version for you and create the
[00:03:10.760 --> 00:03:19.560]   virtual environment which you can then activate with source vn bin activate. Okay so now you'll see that
[00:03:19.560 --> 00:03:28.600]   we have our local LM studio environment set up and activated. Now you will also need to do uv sync
[00:03:29.480 --> 00:03:35.880]   to install everything and we can just quickly check that we do have everything installed with uv pip list
[00:03:35.880 --> 00:03:43.880]   and you should see in here that we have light lm we should see google search results graph ai lib
[00:03:43.880 --> 00:03:50.600]   and a few other things but they're the main ones that we care about right now. Now let's switch back to
[00:03:50.600 --> 00:03:56.840]   LM studio and hopefully by this point you may have had your model download although some of them especially
[00:03:56.840 --> 00:04:04.840]   those larger 32 billion parameters or larger models can take a little while to do so but once it has
[00:04:04.840 --> 00:04:13.320]   finished downloading you'll be able to one begin the LM studio server which you can reach here okay
[00:04:13.320 --> 00:04:22.520]   this is your local host port 1234 and you just want to load the LM model that you'd like to use
[00:04:22.520 --> 00:04:28.440]   i'm going to be using the cogito v1 32 billion parameter model okay and that will just take a
[00:04:28.440 --> 00:04:37.480]   moment for everything to load and whilst it is loading we can go over to our notebook now this notebook is
[00:04:37.480 --> 00:04:45.960]   within the cookbook repo local LM studio and it's like cogito v1 notebook there now the first thing i want to
[00:04:45.960 --> 00:04:57.160]   do is actually just confirm that i can connect to the LM studio server which i do by just curling to localhost
[00:04:57.160 --> 00:05:08.440]   1234 v1 which you just see v1 dpi and i'm hitting the models endpoint which will list all the models assuming
[00:05:08.440 --> 00:05:16.680]   that my server is running so if i run that we will get this so i can see in here the model i want is
[00:05:16.680 --> 00:05:24.600]   available so what we would typically do is we'd actually copy this model id and we'd bring it down
[00:05:24.600 --> 00:05:34.120]   to here and we'd actually just enter it here so our model because we're using lightln which is another
[00:05:34.120 --> 00:05:40.360]   library i'll talk about in a moment we need to specify to lightln that we are using LM studio
[00:05:40.360 --> 00:05:49.080]   so it's LM studio forward slash and then the model name as per the defined model name up here so for
[00:05:49.080 --> 00:05:54.520]   example lama4 you would be going with this model here great so we can run that there are a few things
[00:05:54.520 --> 00:06:01.240]   that we need to do here okay so what lightln is essentially doing is it is a library that allow you
[00:06:01.240 --> 00:06:11.000]   to easily interface with various LM providers so mistral cohere open ai anthropic all those providers
[00:06:11.000 --> 00:06:18.280]   you can connect to via this you know the same syntax which is is nice and it also includes local LM
[00:06:18.280 --> 00:06:25.800]   providers like LM studio or olama so to connect to LM studio we specify in the prefix here that we are
[00:06:25.800 --> 00:06:34.600]   connecting to LM studio we do need to set the LM studio api base so this i think by default is actually
[00:06:34.600 --> 00:06:39.800]   using this although i could be wrong but in any case i'm being we do want to be explicit here
[00:06:39.800 --> 00:06:47.160]   so i'm just setting the v1 of the api there then we are hitting the completion endpoint with our model
[00:06:47.160 --> 00:06:53.480]   defined here we do have to set a dummy api key so that's what i'm doing there and it's just a single
[00:06:53.480 --> 00:07:00.120]   message that i'm sending to my LM here um hello how are you that's all i'm asking and we'll just see what
[00:07:00.120 --> 00:07:09.080]   happens okay so we can also switch over to LM studio here and you can see that something has been happening
[00:07:09.080 --> 00:07:15.960]   here okay you can see in this green area it generated this prediction so we see something is happening in
[00:07:15.960 --> 00:07:23.080]   our studio and we can switch back to our notebook and we'll see that we have this model response and we
[00:07:23.080 --> 00:07:29.080]   can go all the way over to right here and see that the response here is hot i'm doing well thank you for
[00:07:29.080 --> 00:07:36.280]   asking how can i help you today okay so that is the response that we got from our local fully local LM
[00:07:36.280 --> 00:07:43.240]   which is the cogito v1 model now we here i'm showing you how to do synchronous completion
[00:07:43.240 --> 00:07:54.440]   most of the time in pretty much every use case you typically begin doing streaming or async at least in a
