
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:08.800]   - I am thrilled to kick off this panel discussion
[00:00:08.800 --> 00:00:11.280]   by introducing our panelists here today.
[00:00:11.280 --> 00:00:13.720]   We've got three great individuals
[00:00:13.720 --> 00:00:17.080]   who work on various aspects of retirement planning.
[00:00:17.080 --> 00:00:21.320]   On your far left is Rob Berger.
[00:00:21.320 --> 00:00:24.360]   Rob is the founder of RobBerger.com
[00:00:24.360 --> 00:00:26.400]   and the Financial Freedom Show.
[00:00:26.400 --> 00:00:29.280]   He has a YouTube channel where he has interviewed
[00:00:29.280 --> 00:00:30.880]   a lot of folks, he's interviewed me,
[00:00:30.880 --> 00:00:32.440]   I know he's interviewed a lot of people
[00:00:32.440 --> 00:00:34.360]   who work on retirement planning.
[00:00:34.360 --> 00:00:36.960]   He has also published a book called
[00:00:36.960 --> 00:00:39.040]   Retire Before Mom and Dad.
[00:00:39.040 --> 00:00:42.280]   And Rob was a fairly early retiree
[00:00:42.280 --> 00:00:45.300]   and often writes about how he was able to achieve that
[00:00:45.300 --> 00:00:47.680]   and how he manages drawdown
[00:00:47.680 --> 00:00:50.560]   during a fairly long time horizon.
[00:00:50.560 --> 00:00:54.280]   John Luskin is here in the middle of our three panelists.
[00:00:54.280 --> 00:00:57.380]   John, many of you know, does a lot for us
[00:00:57.380 --> 00:00:58.720]   in the Bogleheads community.
[00:00:58.720 --> 00:01:02.580]   He hosts the Bogleheads Twitter spaces
[00:01:02.580 --> 00:01:07.120]   where he has managed to land some amazing guests.
[00:01:07.120 --> 00:01:10.440]   And I believe those are all recorded for posterity.
[00:01:10.440 --> 00:01:13.200]   So if, like me, you're not sure how to operate
[00:01:13.200 --> 00:01:16.580]   Twitter spaces, you can replay them.
[00:01:16.580 --> 00:01:21.120]   He also is the producer of the Bogleheads Live podcasts.
[00:01:21.120 --> 00:01:23.440]   And John is a certified financial planner.
[00:01:23.440 --> 00:01:26.280]   He's fee-only, advice-only.
[00:01:26.280 --> 00:01:28.720]   And last but not least, Steve Chen is here
[00:01:28.720 --> 00:01:31.040]   to my immediate right.
[00:01:31.040 --> 00:01:34.760]   Steve is the founder and CEO of New Retirement,
[00:01:34.760 --> 00:01:39.440]   which is a fabulous resource, great website,
[00:01:39.440 --> 00:01:41.880]   financial planning platform that includes
[00:01:41.880 --> 00:01:45.400]   some do-it-yourself software for retirement planning,
[00:01:45.400 --> 00:01:50.240]   articles, podcasts, access to CFPs, importantly.
[00:01:50.240 --> 00:01:52.880]   They will help you find a CFP
[00:01:52.880 --> 00:01:55.720]   that matches what you're looking for.
[00:01:55.720 --> 00:01:58.440]   So we thought, for this session,
[00:01:58.440 --> 00:02:02.040]   that we would dive into some of the big questions
[00:02:02.040 --> 00:02:05.360]   that cross our minds as we approach retirement
[00:02:05.360 --> 00:02:07.120]   and as we move into retirement.
[00:02:07.120 --> 00:02:08.360]   So at the top of the list,
[00:02:08.360 --> 00:02:11.080]   I thought we would kind of think about people
[00:02:11.080 --> 00:02:16.080]   in the 55 to 65 year range, the pre-retiree range.
[00:02:16.080 --> 00:02:19.360]   And one thing that they might be thinking about
[00:02:19.360 --> 00:02:22.780]   is how to think about spending in retirement,
[00:02:22.780 --> 00:02:24.680]   how much you'll spend in retirement.
[00:02:24.680 --> 00:02:26.280]   There are these rough rules of thumb,
[00:02:26.280 --> 00:02:29.320]   like the 80% income replacement rate.
[00:02:29.320 --> 00:02:30.920]   But I think a big question for people
[00:02:30.920 --> 00:02:33.160]   embarking on retirement today is,
[00:02:33.160 --> 00:02:37.120]   with inflation as it is, how should I think about
[00:02:37.120 --> 00:02:39.600]   how much I'll actually spend in retirement?
[00:02:39.600 --> 00:02:40.960]   Steve, you wanna take that?
[00:02:40.960 --> 00:02:44.720]   - Sure, thanks, Christine.
[00:02:44.720 --> 00:02:46.680]   So I think for a lot of our users,
[00:02:46.680 --> 00:02:50.480]   they definitely, when they're preparing
[00:02:50.480 --> 00:02:53.280]   or measuring expenses, taking a close look
[00:02:53.280 --> 00:02:54.560]   at what they're actually spending,
[00:02:54.560 --> 00:02:55.960]   breaking it down, building budgets
[00:02:55.960 --> 00:02:58.680]   so they have a good handle on what's happening.
[00:02:58.680 --> 00:03:01.280]   And then as they transition,
[00:03:01.280 --> 00:03:03.000]   I think a big consideration is,
[00:03:03.000 --> 00:03:05.120]   are they gonna make any giant gear shifts?
[00:03:05.120 --> 00:03:06.840]   So if they're thinking about relocating,
[00:03:06.840 --> 00:03:09.680]   will that change their expected expense ratio?
[00:03:09.680 --> 00:03:10.800]   Like, I live in California,
[00:03:10.800 --> 00:03:13.200]   if I was gonna move to Florida,
[00:03:13.200 --> 00:03:15.040]   would my cost of living be lower?
[00:03:15.040 --> 00:03:17.880]   My tax rate from a state income tax perspective
[00:03:17.880 --> 00:03:20.480]   would be different, so that kind of factor
[00:03:20.480 --> 00:03:21.960]   would go into it.
[00:03:21.960 --> 00:03:24.560]   And I think at a high level,
