
[00:00:00.000 --> 00:00:27.000]   I don't know.
[00:00:27.000 --> 00:00:28.000]   Hello, everybody.
[00:00:28.000 --> 00:00:29.000]   Hello, everybody.
[00:00:29.000 --> 00:00:38.000]   Hello.
[00:00:38.000 --> 00:00:40.000]   Good morning, Jeremy.
[00:00:40.000 --> 00:00:42.000]   Hey guys.
[00:00:42.000 --> 00:00:44.000]   Hi.
[00:00:44.000 --> 00:00:48.000]   Doing good. I got a
[00:00:48.000 --> 00:00:57.000]   APL thing just pushed a couple of minutes ago, so let me see.
[00:00:57.000 --> 00:01:05.000]   Notepok1 of the Fast AI Numerical Linear Algebra course, but APL-ified.
[00:01:05.000 --> 00:01:08.000]   Oh, it's not on the forum yet. Where do I find it?
[00:01:08.000 --> 00:01:16.000]   I just posted in the chat here. I literally pushed it like two minutes ago, so I haven't even had a chance to post it on the forum.
[00:01:16.000 --> 00:01:18.000]   I just got it done.
[00:01:18.000 --> 00:01:21.000]   But I will make a forum post after the call.
[00:01:21.000 --> 00:01:33.000]   Okay.
[00:01:33.000 --> 00:01:46.000]   So this is about the numerical, well, computational linear algebra course, which we did, oh my God, five years ago.
[00:01:46.000 --> 00:01:49.000]   Well, three days short.
[00:01:49.000 --> 00:01:55.000]   I think five, oh my gosh, that's amazing.
[00:01:55.000 --> 00:02:02.000]   I started going through it when you mentioned it just the other day, and it seems like a great course. I don't know why I didn't do it sooner.
[00:02:02.000 --> 00:02:04.000]   Oh, thanks.
[00:02:04.000 --> 00:02:06.000]   Fantastic.
[00:02:06.000 --> 00:02:09.000]   We like to think so.
[00:02:09.000 --> 00:02:13.000]   I mean, it's not as like,
[00:02:13.000 --> 00:02:18.000]   obviously, immediately applicable kind of a thing, but you know, it's interesting.
[00:02:18.000 --> 00:02:25.000]   So, okay, so you've, so you've taken the first notebook from it.
[00:02:25.000 --> 00:02:31.000]   And
[00:02:31.000 --> 00:02:38.000]   here we go.
[00:02:38.000 --> 00:02:41.000]   APL, look at that.
[00:02:41.000 --> 00:03:00.000]   Get those two, two ones and then I can't cut the answer using our matrix multiplication.
[00:03:00.000 --> 00:03:05.000]   I see this is like a little just empty thing to fill in the space, I guess.
[00:03:05.000 --> 00:03:10.000]   Yeah, I'm not really sure how to make tables look good in APL.
[00:03:10.000 --> 00:03:20.000]   I came up with stuff together but
[00:03:20.000 --> 00:03:23.000]   one more section.
[00:03:23.000 --> 00:03:26.000]   A couple more sections here.
[00:03:26.000 --> 00:03:31.000]   I got to learn a bunch of new glyphs doing this.
[00:03:31.000 --> 00:03:35.000]   Cool.
[00:03:35.000 --> 00:03:40.000]   Nice using the power operator I'm glad we did that.
[00:03:40.000 --> 00:03:48.000]   Yeah.
[00:03:48.000 --> 00:03:53.000]   Oh.
[00:03:53.000 --> 00:03:57.000]   And I can values, my goodness.
[00:03:57.000 --> 00:04:08.000]   I don't know how to calculate in a smart way but I got them calculated, and hopefully I learned a smarter way later in the course. All right. Great.
[00:04:08.000 --> 00:04:15.000]   That's the last of it. This is my favorite bloom filter check.
[00:04:15.000 --> 00:04:18.000]   It's also the only one I know.
[00:04:18.000 --> 00:04:22.000]   Nice job, Isaac. That's cool.
[00:04:22.000 --> 00:04:24.000]   Thank you.
[00:04:24.000 --> 00:04:28.000]   Not going to get any easier.
[00:04:28.000 --> 00:04:36.000]   Well, I mean, in theory, this should be exactly what I feel is good at right. Yes, absolutely.
[00:04:36.000 --> 00:04:43.000]   I mean, the bits we have to start like opening JPEGs and stuff might get complicated, but.
[00:04:43.000 --> 00:04:51.000]   Oh yeah, I spent some time trying to figure out how to open images.
[00:04:51.000 --> 00:05:03.000]   I don't have a super easy way of doing it as far as I could tell so I'll have to take another stab at that later.
[00:05:03.000 --> 00:05:08.000]   And then Molly's posted something.
[00:05:08.000 --> 00:05:13.000]   You can talk Molly you don't have to put stuff in the chat. We like hearing from people.
[00:05:13.000 --> 00:05:21.000]   Oh no, the conversation was already going so I was waiting for it to be over.
[00:05:21.000 --> 00:05:33.000]   Yeah, so a few videos ago, you orders formula was talked about just a bit, and it was an entity.
[00:05:33.000 --> 00:05:44.000]   Yeah, the Khan Academy one shows like the power series of the power. Sorry, my color. I forget.
[00:05:44.000 --> 00:05:47.000]   Series is that like a tailor.
[00:05:47.000 --> 00:05:57.000]   Oh yeah, I guess it must be like a stainless yeah like a tailor series. Um, it shows that first sign cosine and E, and then inserts.
