
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:07.000]   - Welcome friends to this episode
[00:00:07.000 --> 00:00:09.660]   of the Everyday Educator podcast.
[00:00:09.660 --> 00:00:11.320]   I'm your host, Lisa Bailey,
[00:00:11.320 --> 00:00:14.860]   and I am excited to spend some time with you today
[00:00:14.860 --> 00:00:18.120]   as we encourage one another, learn together,
[00:00:18.120 --> 00:00:21.000]   and ponder the delights and challenges
[00:00:21.000 --> 00:00:24.520]   that make homeschooling the adventure of a lifetime.
[00:00:24.520 --> 00:00:26.680]   Whether you're just considering
[00:00:26.680 --> 00:00:29.080]   this homeschooling possibility
[00:00:29.080 --> 00:00:33.200]   or deep into the daily delight of family learning,
[00:00:33.200 --> 00:00:36.760]   I believe you'll enjoy thinking along with us.
[00:00:36.760 --> 00:00:38.160]   But don't forget,
[00:00:38.160 --> 00:00:41.600]   although this online community is awesome,
[00:00:41.600 --> 00:00:46.600]   you'll find even closer support in a local CC community.
[00:00:46.600 --> 00:00:51.080]   So go to classicalconversations.com
[00:00:51.080 --> 00:00:55.000]   and find a community near you today.
[00:00:55.000 --> 00:00:58.880]   Well, listeners, Merry Christmas.
[00:00:58.880 --> 00:01:02.860]   We are almost halfway through the month of December,
[00:01:02.860 --> 00:01:04.880]   and I know that your family
[00:01:04.880 --> 00:01:09.120]   is enjoying some time of Christmas celebration.
[00:01:09.120 --> 00:01:12.720]   Maybe your homeschool has taken a brief hiatus
[00:01:12.720 --> 00:01:15.840]   and you are enjoying some more family time
[00:01:15.840 --> 00:01:18.080]   and freedom together.
[00:01:18.080 --> 00:01:21.260]   I've got a suggestion for your family,
[00:01:21.260 --> 00:01:24.480]   for all of our families this Christmas.
[00:01:24.480 --> 00:01:29.480]   What if we intentionally spent time together
[00:01:29.480 --> 00:01:32.960]   doing the simplest things?
[00:01:32.960 --> 00:01:36.800]   What if we practice some simple habits
[00:01:36.800 --> 00:01:40.040]   designed to draw us to one another
[00:01:40.040 --> 00:01:42.920]   and to start meaningful conversations
[00:01:42.920 --> 00:01:47.160]   designed to provoke us to deeper thinking
[00:01:47.160 --> 00:01:50.960]   and to encourage us to true worship?
[00:01:50.960 --> 00:01:55.660]   What if in this season of busy,
[00:01:55.660 --> 00:02:00.440]   we celebrated Christmas by praying together,
[00:02:00.440 --> 00:02:04.320]   playing together, reading together,
[00:02:04.320 --> 00:02:09.320]   exploring together and serving together.
[00:02:09.320 --> 00:02:11.560]   This Advent season,
[00:02:11.560 --> 00:02:15.680]   the everyday educator wants to practice these habits
[00:02:15.680 --> 00:02:17.160]   along with you.
[00:02:17.160 --> 00:02:21.040]   So we're gonna talk to others who wanna try this plan too.
[00:02:21.040 --> 00:02:24.400]   So you can listen in every Tuesday
[00:02:24.400 --> 00:02:27.520]   to ponder the next verb.
[00:02:27.520 --> 00:02:32.520]   And today we're gonna be talking about read together.
[00:02:32.520 --> 00:02:38.720]   And I have a dear friend and fellow family reader,
[00:02:38.720 --> 00:02:41.320]   Tim Knotts with me today.
[00:02:41.320 --> 00:02:45.160]   Tim, thank you so much for coming on Everyday Educator.
[00:02:45.160 --> 00:02:46.360]   - I've been looking forward to it.
[00:02:46.360 --> 00:02:47.620]   Thanks, Lisa.
[00:02:47.620 --> 00:02:49.800]   - I love, Tim and I like to talk together.
[00:02:49.800 --> 00:02:52.600]   So we're gonna try to keep this conversation
[00:02:52.600 --> 00:02:56.000]   in the middle of the road and stick to our topic,
[00:02:56.000 --> 00:03:00.200]   which is really all about helping us as families
[00:03:00.200 --> 00:03:02.560]   simplify our Advent,
[00:03:02.560 --> 00:03:07.360]   getting the most wonder and celebration
[00:03:07.360 --> 00:03:10.180]   out of the time that we spend together
[00:03:10.180 --> 00:03:15.180]   without getting caught up in the whirl of busyness
[00:03:15.960 --> 00:03:20.520]   and ought tos and shoulds and fear of missing out
[00:03:20.520 --> 00:03:22.360]   when we look at what everybody else is doing.
[00:03:22.360 --> 00:03:24.640]   So, Tim, I wanna ask you first,
[00:03:24.640 --> 00:03:29.640]   what is it that you and your family love about Christmas?
[00:03:29.640 --> 00:03:31.960]   - We love lots of things.
[00:03:31.960 --> 00:03:34.360]   And I wish that I could say that I had all those answers
[00:03:34.360 --> 00:03:36.560]   to those great conundrums that you just posed, Lisa.
[00:03:36.560 --> 00:03:37.720]   - I know, right.
[00:03:37.720 --> 00:03:40.520]   - We're trying to figure it all out too,
[00:03:40.520 --> 00:03:42.800]   especially year by year as things change.
[00:03:42.800 --> 00:03:46.760]   But we love, I mean, we love all sorts of things,
[00:03:46.760 --> 00:03:51.760]   the traditions, the flavors, the stories, the family time,
[00:03:51.760 --> 00:03:56.960]   even sort of the balance of busyness
[00:03:56.960 --> 00:04:01.000]   and then followed by a little bit of rest after the holiday.
[00:04:01.000 --> 00:04:03.720]   It's all good in its own way.
[00:04:03.720 --> 00:04:07.140]   - Yeah, that is really true and super encouraging
[00:04:07.140 --> 00:04:09.120]   because if we have families who are thinking,
[00:04:09.120 --> 00:04:12.200]   oh, well, I go overboard maybe.
[00:04:12.200 --> 00:04:14.880]   Somebody might think I go overboard in the baking
[00:04:14.880 --> 00:04:18.600]   or overboard in the decorating and we like to be busy.
[00:04:18.600 --> 00:04:20.760]   Is there anything wrong with that?
[00:04:20.760 --> 00:04:23.560]   I think it's very wise reminder that you just gave us
[00:04:23.560 --> 00:04:26.880]   that it's okay to be busy and it's okay to rest
[00:04:26.880 --> 00:04:29.960]   and that perhaps the best way to celebrate
[00:04:29.960 --> 00:04:33.040]   is to find the balance there.
[00:04:33.040 --> 00:04:34.520]   Let me ask you this.
[00:04:34.520 --> 00:04:37.160]   I know that you guys are New Englanders.
[00:04:37.160 --> 00:04:41.500]   So are you exuberant celebrators,
[00:04:41.500 --> 00:04:45.480]   quiet celebrators or somewhere in between?
[00:04:45.480 --> 00:04:50.120]   - I think we have a mix in our family.
[00:04:50.120 --> 00:04:54.640]   Some of our children start celebrating Christmas
[00:04:54.640 --> 00:04:57.760]   anytime after the 4th of July.
[00:04:57.760 --> 00:05:00.000]   (laughing)
[00:05:00.000 --> 00:05:03.380]   And they know that they kind of have to celebrate it
[00:05:03.380 --> 00:05:04.800]   a little under the radar.
[00:05:04.800 --> 00:05:08.480]   And so there's some Christmas music listening that happens
[00:05:08.480 --> 00:05:13.480]   when adults aren't around. (laughing)
[00:05:13.480 --> 00:05:18.140]   I think we sort of swing into the season
[00:05:18.140 --> 00:05:22.000]   more around the Thanksgiving time like many families,
[00:05:22.000 --> 00:05:25.300]   some of us a little before and some of us a little after.
[00:05:25.300 --> 00:05:31.140]   But we definitely enjoy decorating and all the festivities
[00:05:31.140 --> 00:05:34.820]   and like to do it a little longer
[00:05:34.820 --> 00:05:36.900]   than just maybe the week of Christmas.
[00:05:36.900 --> 00:05:38.060]   - Gotcha, gotcha.
[00:05:38.060 --> 00:05:43.060]   I know our family, we also have that mix.
[00:05:43.060 --> 00:05:48.220]   We have that one child who refuses to entertain
[00:05:48.220 --> 00:05:51.900]   the notion of Christmas music until it's December.
[00:05:51.900 --> 00:05:54.420]   And so you have to be very under the radar
[00:05:54.420 --> 00:05:56.300]   if you're in her presence.
[00:05:56.300 --> 00:05:59.420]   And then I had friends that just mystified me
[00:05:59.420 --> 00:06:01.900]   because they waited until Christmas Eve
[00:06:01.900 --> 00:06:03.320]   to put up their Christmas tree.
[00:06:03.320 --> 00:06:06.920]   And December 26, by lunchtime, it was going back.
[00:06:06.920 --> 00:06:08.520]   Everything was taken down.
[00:06:08.520 --> 00:06:10.780]   And that was a mystery to me
[00:06:10.780 --> 00:06:13.060]   because my family loves Christmas
[00:06:13.060 --> 00:06:16.040]   and we pretty much take the whole month of December
[00:06:16.040 --> 00:06:17.760]   and celebrate.
[00:06:17.760 --> 00:06:22.700]   I'm sure that some people would feel that it was exuberant.
[00:06:22.700 --> 00:06:25.300]   I tell people I'm gonna keep doing it this way
[00:06:25.300 --> 00:06:28.660]   as long as it keeps making us happy and we can do it.
[00:06:28.660 --> 00:06:32.900]   So what are some of your favorite family traditions
[00:06:32.900 --> 00:06:34.860]   and how did they start?
[00:06:34.860 --> 00:06:37.940]   And I especially want to know which traditions
[00:06:37.940 --> 00:06:41.140]   were intentionally started by you and Cynthia
[00:06:41.140 --> 00:06:45.440]   and which were unintentionally repeated every year.
[00:06:45.440 --> 00:06:50.420]   - Yeah, so we grew up with pretty different traditions
[00:06:50.420 --> 00:06:53.420]   between us in our birth families.
[00:06:53.420 --> 00:06:57.900]   And it wasn't until probably our third child came along
[00:06:57.900 --> 00:06:59.460]   that we sat down and said,
[00:06:59.460 --> 00:07:01.500]   this sort of traveling back and forth
[00:07:01.500 --> 00:07:05.540]   and splitting time between grandparents every season,
[00:07:05.540 --> 00:07:07.420]   debating who's Thanksgiving it was
[00:07:07.420 --> 00:07:10.320]   and who's Christmas it was, kind of needed to stop.
[00:07:10.320 --> 00:07:12.960]   And we decided that at that point,
[00:07:12.960 --> 00:07:16.180]   we were going to have Christmas, at least as a rule,
[00:07:16.180 --> 00:07:19.300]   maybe not every single year,
[00:07:19.300 --> 00:07:22.300]   but as a general rule at our house.
[00:07:22.300 --> 00:07:24.600]   And that any of our family members
[00:07:24.600 --> 00:07:25.940]   would be welcome to join us.
[00:07:25.940 --> 00:07:29.100]   But with three and then four children,
[00:07:29.100 --> 00:07:31.880]   we said, it's time to make our own family traditions.
[00:07:31.880 --> 00:07:36.420]   And so we did, and we didn't start with very many,
[00:07:36.420 --> 00:07:39.860]   but we did decide that, yeah,
[00:07:39.860 --> 00:07:41.480]   that the Christmas tree should go up
[00:07:41.480 --> 00:07:44.260]   sometime in that week or two after Thanksgiving.
[00:07:44.260 --> 00:07:49.260]   And that we would have our Christmas present opening
[00:07:49.260 --> 00:07:53.100]   on Christmas morning,
[00:07:53.100 --> 00:07:55.700]   which is different than the way I grew up
[00:07:55.700 --> 00:07:58.560]   where we opened ours on Christmas Eve.
[00:07:58.560 --> 00:08:00.940]   - My family too, when I was growing up.
[00:08:00.940 --> 00:08:03.100]   Yeah, family presents for Christmas Eve.
[00:08:03.100 --> 00:08:04.940]   - And so there were some sort of concessions
[00:08:04.940 --> 00:08:07.500]   back and forth about what we would do and how we do it.
[00:08:07.500 --> 00:08:11.040]   And then some other ones though, they sprung up over time.
[00:08:11.040 --> 00:08:13.940]   One Christmas, I saw a delicious sounding recipe
[00:08:13.940 --> 00:08:16.080]   for orange rolls.
