
[00:00:00.000 --> 00:00:01.280]   Hello, everybody.
[00:00:01.280 --> 00:00:07.360]   It's Sam from Financial Samurai and greetings from Sonoma, wine country, California.
[00:00:07.360 --> 00:00:12.180]   Our kids are out from school this week, so we decided to come up and it's actually snowing.
[00:00:12.180 --> 00:00:16.200]   That's pretty cool because I don't think my kids have seen snow yet.
[00:00:16.200 --> 00:00:21.460]   We're too afraid to drive up to Lake Tahoe, which is about three hours and 20 minutes
[00:00:21.460 --> 00:00:26.760]   on a very good day and maybe up to eight, nine hours on a bad day.
[00:00:26.760 --> 00:00:31.840]   That's a no-go with a three-year-old and a five-and-a-half-year-old.
[00:00:31.840 --> 00:00:38.000]   Sonoma and Napa Valley are only about an hour and a half away from San Francisco, so that's
[00:00:38.000 --> 00:00:40.380]   really smooth sailing.
[00:00:40.380 --> 00:00:47.000]   So in this episode, I want to talk about buying treasury bonds yielding over 5% because I
[00:00:47.000 --> 00:00:53.280]   published a post that was widely read by tens of thousands of people and I came back with
[00:00:53.280 --> 00:00:58.240]   some really good feedback from all of you on maybe why we shouldn't buy treasury bonds
[00:00:58.240 --> 00:01:02.840]   yielding 5% or why it's not that big of a deal that I didn't really think about and
[00:01:02.840 --> 00:01:05.240]   I got some good data points from various people.
[00:01:05.240 --> 00:01:10.400]   Then I have some more feedback from people who say, "Well, forget about treasuries because
[00:01:10.400 --> 00:01:18.000]   I'm willing to invest all of my capital in stocks or 95% plus, even as a retiree."
[00:01:18.000 --> 00:01:23.400]   I thought this was quite interesting feedback because that's definitely not my way.
[00:01:23.400 --> 00:01:28.400]   As I've gotten older and wealthier with more responsibility to children, I've decided to
[00:01:28.400 --> 00:01:31.500]   go more and more into capital preservation mode.
[00:01:31.500 --> 00:01:40.580]   For me, 5%, even with inflation at 6.2% or whatever it is right now, is pretty good because
[00:01:40.580 --> 00:01:44.080]   anything above 0% is a positive.
[00:01:44.080 --> 00:01:52.760]   Sure, I'm not making a real return, but that's better than losing 19% in the S&P 500 in 2022
[00:01:52.760 --> 00:01:58.200]   and not making a real return because you are doing a double loss of losing to inflation
[00:01:58.200 --> 00:02:02.800]   and losing real money in your stock investments.
[00:02:02.800 --> 00:02:09.720]   Now in 2023, it's rare to see consecutive down years in the S&P 500, but I do think
[00:02:09.720 --> 00:02:17.520]   4,200 on the S&P 500 feels like the top, with the S&P 500 at around 4,000-ish.
[00:02:17.520 --> 00:02:22.920]   The forward P/E multiple is about 18 times, which is slightly above the long-term medium
[00:02:22.920 --> 00:02:31.560]   of about 16 times, but that's down from 20 plus times during the bubble year of 2021.
[00:02:31.560 --> 00:02:39.040]   We've made progress, but it still seems quite difficult to break out to another bull market
[00:02:39.040 --> 00:02:42.200]   with the Fed continuing to raise Fed funds rate.
[00:02:42.200 --> 00:02:50.080]   The terminal rate is probably going to go to 5.25% to 5.5% because the January CPI and
[00:02:50.080 --> 00:02:55.720]   PPI numbers were not as good as expected, so they were higher than expected.
[00:02:55.720 --> 00:02:58.080]   Retail sales was also really strong.
[00:02:58.080 --> 00:03:00.600]   Job numbers were also really high.
[00:03:00.600 --> 00:03:05.860]   So it seems like the Fed is going to raise interest rates for longer, and maybe they'll
[00:03:05.860 --> 00:03:14.880]   stop in May of 2023, and then they might keep the Fed funds rate at 5.25% to 5.5% for another
[00:03:14.880 --> 00:03:16.600]   six to 12 months.
[00:03:16.600 --> 00:03:17.880]   So that's longer than expected.
[00:03:17.880 --> 00:03:24.640]   That's longer than the S&P 500 rally we've had since October of last year was expecting.
[00:03:24.640 --> 00:03:31.120]   Therefore, there should be some downward adjustments to the S&P 500, which we've seen after it
[00:03:31.120 --> 00:03:40.440]   topped out at around 4,195, and then it recently has retrenched back to 3,986.
[00:03:40.440 --> 00:03:46.200]   But if you invest in treasury bonds with a three-month, six-month, nine-month, or one-year
[00:03:46.200 --> 00:03:52.040]   maturity, they're technically called treasury bills, you're going to get a guaranteed annualized
[00:03:52.040 --> 00:03:55.880]   5% or higher return now.
[00:03:55.880 --> 00:04:02.360]   And if you multiply the current S&P 500 level, when I wrote it, it was around 41-something
[00:04:02.360 --> 00:04:03.360]   by 5%.
[00:04:03.360 --> 00:04:05.600]   You're going to add 200 points.
[00:04:05.600 --> 00:04:10.920]   And so you're talking about 4,300-plus when I wrote it, which is above where I think the
[00:04:10.920 --> 00:04:13.320]   S&P 500 is going to go for the year.
[00:04:13.320 --> 00:04:19.040]   And even at 4,000, you times that by 5%, you get 200, so 4,200.
[00:04:19.040 --> 00:04:21.180]   I think that's kind of the top for this year.
[00:04:21.180 --> 00:04:22.560]   Who knows the future?
[00:04:22.560 --> 00:04:29.640]   But I'm happy to take a risk-free 5% return without having to pay state and local income
