
[00:00:00.000 --> 00:00:02.000]   Alright welcome back
[00:00:02.000 --> 00:00:08.320]   Something to mention somebody asked on the forums really good question was like
[00:00:08.320 --> 00:00:12.320]   How do I deal with version control and notebooks?
[00:00:12.320 --> 00:00:18.040]   the question was something like every time I change the notebook Jeremy goes and changes it on git and then I do a
[00:00:18.040 --> 00:00:20.040]   git pull and I end up with a conflict and
[00:00:20.040 --> 00:00:27.760]   Blah blah blah and that's that happens a lot with notebooks because notebooks behind the scenes are JSON files
[00:00:28.080 --> 00:00:31.840]   Which like every time you run even a cell without changing it
[00:00:31.840 --> 00:00:38.040]   It updates that little number saying like what numbered cell this is and cells now suddenly there's a change and so trying to merge
[00:00:38.040 --> 00:00:40.680]   notebook changes as a nightmare
[00:00:40.680 --> 00:00:42.080]   so
[00:00:42.080 --> 00:00:47.040]   My suggestion like a simple way to do it is is when you're looking at
[00:00:47.040 --> 00:00:50.600]   some notebook
[00:00:50.600 --> 00:00:54.880]   Like lesson 2 RF interpretation you want to start playing around with this
[00:00:57.320 --> 00:00:59.520]   First thing I would do would be to go file
[00:00:59.520 --> 00:01:02.200]   make a copy and
[00:01:02.200 --> 00:01:06.880]   Then in the copy say file rename and give it a name that starts with TMP
[00:01:06.880 --> 00:01:12.480]   So that will hide it from get right and so now you've got your own version of that notebook that you can
[00:01:12.480 --> 00:01:14.400]   That you can play with okay
[00:01:14.400 --> 00:01:19.680]   And so if you're not or get pool and see that the original changed it won't conflict with yours and you can now see
[00:01:19.680 --> 00:01:21.680]   There are two different versions
[00:01:24.040 --> 00:01:30.680]   There are different ways of kind of dealing with this Jupiter notebook get problem like everybody has it one one is there are some hooks
[00:01:30.680 --> 00:01:36.100]   You can use it like remove all of the cell outputs before you commit to get but in this case
[00:01:36.100 --> 00:01:40.560]   I actually want the outputs to be in the repo so you can read it on github and see it
[00:01:40.560 --> 00:01:44.640]   So it's a minor issue, but it's it's something which
[00:01:44.640 --> 00:01:47.320]   catches everybody
[00:01:47.320 --> 00:01:49.320]   Yes
[00:01:49.320 --> 00:02:00.040]   Before we move on to interpretation of the random forest model, I wonder if we could summarize the relationship between the
[00:02:00.040 --> 00:02:03.320]   hyperparameters on the random forest and its
[00:02:03.320 --> 00:02:11.820]   Effect on you know over fitting and dealing with collinearity and yada yada. Yeah, that sounds like a question born from experience
[00:02:11.820 --> 00:02:14.720]   absolutely
[00:02:15.480 --> 00:02:17.480]   so I
[00:02:17.480 --> 00:02:20.040]   Gotta go back to lesson 1 RF
[00:02:20.040 --> 00:02:25.760]   If you're ever unsure about where I am you can always see my top here courses ml1 lesson 1 on earth
[00:02:25.760 --> 00:02:32.440]   In terms of the hyper parameters that
[00:02:32.440 --> 00:02:40.200]   Are interesting and I'm ignoring I'm ignoring like pre-processing, but just the actual hyper parameters
[00:02:42.320 --> 00:02:46.540]   The first one of interest I would say is the set RF samples
[00:02:46.540 --> 00:02:49.800]   command which determines how many
[00:02:49.800 --> 00:02:55.840]   Rows are in each sample so in each tree you're created from how many rows
[00:02:55.840 --> 00:02:59.600]   And each tree
[00:02:59.600 --> 00:03:05.440]   So before we start a new tree we either bootstrap a sample
[00:03:05.440 --> 00:03:08.760]   so sampling with replacement from the whole thing or we pull out a
[00:03:09.240 --> 00:03:14.480]   Subsample of a smaller number of rows, and then we build a tree from there, so
[00:03:14.480 --> 00:03:23.640]   So step one is we've got our whole big data set and we grab a few rows at random from it
[00:03:23.640 --> 00:03:29.800]   And we turn them into a smaller data set and then from that we build a tree right so
[00:03:29.800 --> 00:03:35.040]   That's the size of that is set RF samples, so when we change that size
[00:03:35.040 --> 00:03:38.920]   Let's say this originally had like a million rows
[00:03:39.000 --> 00:03:45.440]   And we said set RF samples 20,000 right and then we're going to grow a tree from there
[00:03:45.440 --> 00:03:49.240]   Assuming that
[00:03:49.240 --> 00:03:56.040]   The tree remains kind of balanced as we grow it can somebody tell me how many layers deep
[00:03:56.040 --> 00:04:02.160]   Would this tree be and assuming we're growing it until every leaf is of size one. Yes
[00:04:02.160 --> 00:04:05.580]   log base 2 of 20,000
[00:04:05.580 --> 00:04:13.540]   Right okay, so the the depth of the tree
[00:04:13.540 --> 00:04:19.980]   Doesn't actually vary that much depending on the number of samples right because it's it's
[00:04:19.980 --> 00:04:23.540]   Related to the log of the size
[00:04:23.540 --> 00:04:29.780]   Can somebody tell me at the very bottom so once we go all the way down to the bottom how many?
[00:04:29.780 --> 00:04:32.580]   Leaf nodes would there be?
[00:04:35.340 --> 00:04:37.340]   Speak up what?
[00:04:37.340 --> 00:04:43.280]   20,000 right because every single leaf node has a single thing in it, so we've got
[00:04:43.280 --> 00:04:48.740]   Obviously a linear relationship between the number of leaf nodes in the size of the sample
[00:04:48.740 --> 00:04:53.620]   So when you decrease the sample size
[00:04:53.620 --> 00:04:57.460]   It means that there are less kind of
[00:04:58.460 --> 00:05:03.580]   Final decisions that can be made right so therefore the tree is is
[00:05:03.580 --> 00:05:11.140]   Going to be less rich in terms of what it can predict because it's just making less different individual decisions, and it also is making
[00:05:11.140 --> 00:05:15.860]   Less binary choices to get to those decisions, so therefore
[00:05:15.860 --> 00:05:21.940]   Setting our samples lower is going to mean that you over fit less
[00:05:21.940 --> 00:05:25.800]   But it also means that you're going to have a less
[00:05:26.660 --> 00:05:30.840]   Accurate individual tree model right and so remember the way
[00:05:30.840 --> 00:05:36.580]   Brian and the inventor of random forest describe this is that you're trying to do two things when you build a model
[00:05:36.580 --> 00:05:38.820]   when you build a model with bagging
[00:05:38.820 --> 00:05:41.220]   one is that
[00:05:41.220 --> 00:05:46.080]   Each individual tree or as SK loan would say each individual estimator
[00:05:46.080 --> 00:05:50.820]   Is as
[00:05:50.820 --> 00:05:54.460]   Accurate as possible right on the training set
[00:05:55.020 --> 00:06:02.240]   So it's like each model is a strong predictive model, but then the across the estimators
[00:06:02.240 --> 00:06:12.220]   The correlation between them is as low as possible
[00:06:12.220 --> 00:06:17.820]   So that when you average them out together you end up with something that generalizes
[00:06:17.820 --> 00:06:21.620]   So by decreasing the set RF samples number
[00:06:21.700 --> 00:06:26.460]   We are actually decreasing the power of the estimator and increasing the correlation
[00:06:26.460 --> 00:06:31.680]   And so is that going to result in a better or a worse validation set result for you?
[00:06:31.680 --> 00:06:38.160]   It depends right this is the kind of compromise which you have to figure out when you do
[00:06:38.160 --> 00:06:40.860]   machine learning models
[00:06:40.860 --> 00:06:44.340]   Can you pass that back there
[00:06:44.340 --> 00:06:49.540]   If I wait if I put the OV value
[00:06:50.940 --> 00:06:54.500]   So it is it is basically dividing every third it ensures that
[00:06:54.500 --> 00:06:59.960]   Every data won't be there in each tree, right? The OOP second
[00:06:59.960 --> 00:07:03.220]   We if I put OV equal to true. Yeah
[00:07:03.220 --> 00:07:11.540]   Yeah, so isn't that make sure that out of my entire data a different personal data won't be there in every tree
[00:07:11.540 --> 00:07:15.780]   So all our vehicles true does is it says?
[00:07:17.060 --> 00:07:22.180]   Whatever your subsample is it might be a bootstrap sample or it might be a
[00:07:22.180 --> 00:07:25.340]   subsample
[00:07:25.340 --> 00:07:27.380]   Take all of the other rows
[00:07:27.380 --> 00:07:32.980]   Right and put them into a for each tree and put them into a different data set and
[00:07:32.980 --> 00:07:39.140]   Calculate the the error on those so it doesn't actually impact training at all
[00:07:39.140 --> 00:07:44.500]   It just gives you an additional metric which is the OAB error. So if you
[00:07:45.540 --> 00:07:47.540]   Don't have a validation set
[00:07:47.540 --> 00:07:55.020]   Then this allows you to get kind of a quasi validation set for free
[00:07:55.020 --> 00:08:00.940]   If you want to
[00:08:00.940 --> 00:08:03.180]   Set out a sample
[00:08:03.180 --> 00:08:05.900]   RF sample
[00:08:05.900 --> 00:08:07.900]   so the the default is
[00:08:07.900 --> 00:08:13.100]   actually if you say reset RF samples and
[00:08:15.060 --> 00:08:21.980]   That causes it to bootstrap. So it all sample a new data set as big as the original one, but with replacement
[00:08:21.980 --> 00:08:33.020]   Okay, so obviously the second benefit of set our samples is that you can run
[00:08:33.020 --> 00:08:38.140]   More quickly and particularly if you're running on a really large data set like a hundred million rows
[00:08:38.140 --> 00:08:41.620]   You know it won't be possible to run it on the full data set
[00:08:41.620 --> 00:08:46.940]   So you'd either have to pick a subsample if you yourself before you start or you set RF samples
[00:08:46.940 --> 00:08:53.940]   The second key parameter that we learned about was min samples leaf
[00:08:53.940 --> 00:09:02.900]   Okay, so if I changed min samples leaf before we assumed that min samples leaf was equal to
[00:09:02.900 --> 00:09:05.620]   1
