
[00:00:00.040 --> 00:00:09.600]  niejsze
[00:00:09.600 --> 00:00:10.660]   con in,
[00:01:25.000 --> 00:01:36.580]   in
[00:01:36.580 --> 00:01:53.260]   vai good,,,, inding she acknowledged期. I'm doing, and you can work with, and, CAD, H. 2 -� - découv
[00:01:54.060 --> 00:02:04.500]   gift
[00:02:04.500 --> 00:02:07.900]   coffin E L my ay in the child. The, ', and, ran, go,,,,,,,, eux
[00:02:07.900 --> 00:02:22.820]   me
[00:02:53.260 --> 00:02:53.260]   ------
[00:02:53.260 --> 00:02:53.260]   ------
[00:02:53.260 --> 00:02:53.260]   ------
[00:02:53.260 --> 00:02:53.500]   ------
[00:02:53.700 --> 00:03:01.480]   messing
[00:03:01.480 --> 00:03:04.040]  ung,
[00:03:04.040 --> 00:03:22.000]  ind never controle vie everyone, I have a test. I have a test which is, and, ,,,,,,.
[00:03:53.740 --> 00:03:53.740]   -----
[00:04:23.820 --> 00:04:30.200]   Пока
[00:04:30.200 --> 00:04:33.860]   I is Liv
[00:04:33.860 --> 00:04:52.640]   bus,'t,,,,,, psy
[00:04:52.640 --> 00:04:53.800]   era Native I as Grind 12 endings and my pick the ret is forest. I'm aordin觀眾♪♪7, is aend, is, Nh,arn,äng, Sh, Stück. Pro,過來, Matter, En, skins, divide,�, convince, improve,查, murder, GC, stri, knitting,Em,wn, essay, do, per,iov, Herm, вн, bell, Nik, but, Bol my, spite, even, tune, reduces, show, dzieci, bl Armed,飯, Men, part of the r Bak,視, Memorial
[00:04:53.840 --> 00:04:58.260]   less
[00:04:58.260 --> 00:05:01.620]  ж it snapshot
[00:05:01.620 --> 00:05:09.760]   en a r. I, my,,,,,,,.
[00:07:18.200 --> 00:07:19.340]   and I, my,,,,,,,,,,.
[00:08:18.240 --> 00:08:18.240]   and I'm going to talk about the benefits of having a small home.
[00:08:18.240 --> 00:08:18.240]   and I'm going to talk about the benefits of having a small home.
[00:08:18.240 --> 00:08:18.240]   and I'm going to talk about the benefits of having a small home.
[00:08:18.240 --> 00:08:18.240]   and I'm going to talk about the benefits of having a small home.
[00:08:18.240 --> 00:08:18.240]   and I'm going to talk about the benefits of having a small home.
[00:08:18.240 --> 00:08:18.320]   and I'm going to talk about the benefits of having a small home.
[00:08:18.320 --> 00:08:18.400]   and I'm going to talk about the benefits of having a small home.
[00:08:18.400 --> 00:08:18.480]   and I'm going to talk about the benefits of having a small home.
[00:08:18.480 --> 00:08:18.560]   and I'm going to talk about the benefits of having a small home.
[00:08:18.560 --> 00:08:18.620]   and I'm going to talk about the benefits of having a small home.
[00:08:18.620 --> 00:08:18.700]   and I'm going to talk about the benefits of having a small home.
[00:08:18.700 --> 00:08:18.780]   and I'm going to talk about the benefits of having a small home.
[00:08:18.820 --> 00:08:48.300]   and I'm going to talk about the benefits of having a small home.
[00:08:48.300 --> 00:08:48.320]   and I'm going to talk about the benefits of having a small home.
[00:08:48.320 --> 00:08:48.340]   and I'm going to talk about the benefits of having a small home.
[00:08:48.340 --> 00:08:48.400]   and I'm going to talk about the benefits of having a small home.
[00:08:48.400 --> 00:08:48.420]   and I'm going to talk about the benefits of having a small home.
[00:08:48.420 --> 00:08:48.440]   and I'm going to talk about the benefits of having a small home.
[00:08:48.440 --> 00:08:48.460]   and I'm going to talk about the benefits of having a small home.
[00:08:48.460 --> 00:08:48.460]   and I'm going to talk about the benefits of having a small home.
[00:08:48.460 --> 00:08:48.500]   and I'm going to talk about the benefits of having a small home.
[00:08:48.500 --> 00:08:48.500]   and I'm going to talk about the benefits of having a small home.
[00:08:48.500 --> 00:08:48.540]   and I'm going to talk about the benefits of having a small home.
[00:08:48.540 --> 00:08:48.540]   and I'm going to talk about the benefits of having a small home.
[00:08:48.540 --> 00:08:48.540]   and I'm going to talk about the benefits of having a small home.
[00:08:48.560 --> 00:08:50.300]   and I'm going to talk about the benefits of having a small home.
[00:08:50.300 --> 00:08:50.580]   and I'm going to talk about the benefits of having a small home.
[00:08:50.580 --> 00:08:50.600]   and I'm going to talk about the benefits of having a small home.
[00:08:50.600 --> 00:08:50.640]   and I'm going to talk about the benefits of having a small home.
[00:08:50.640 --> 00:08:56.260]   and also provide the care for my children and the care for my wife that I believe they deserve,
[00:08:56.260 --> 00:08:58.000]   that it's important to me to provide for them.
[00:08:58.000 --> 00:09:03.940]   The time and energy that young children require of you is substantial.
[00:09:03.940 --> 00:09:06.300]   They suck your time, they suck your energy,
[00:09:06.300 --> 00:09:09.020]   and it's necessary to provide for them.
[00:09:09.020 --> 00:09:11.500]   A number of months ago, we were in a particularly difficult time,
[00:09:11.500 --> 00:09:13.360]   and I was having lunch with my dad,
[00:09:13.360 --> 00:09:15.120]   and he was asking me how things were going,
[00:09:15.120 --> 00:09:18.260]   and I said, number one, problem I face right now is figuring out,
[00:09:18.260 --> 00:09:18.560]   how do I do this?
[00:09:18.600 --> 00:09:48.580]  ,
