
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:05.880]   - Welcome friends to this episode
[00:00:05.880 --> 00:00:08.760]   of the "Everyday Educator" podcast.
[00:00:08.760 --> 00:00:10.440]   I'm your host, Lisa Bailey,
[00:00:10.440 --> 00:00:13.240]   and I'm excited to spend some time with you today
[00:00:13.240 --> 00:00:16.960]   as we encourage one another, learn together,
[00:00:16.960 --> 00:00:20.160]   and ponder the delights and challenges
[00:00:20.160 --> 00:00:23.760]   that make homeschooling the adventure of a lifetime.
[00:00:23.760 --> 00:00:25.920]   Whether you're just considering
[00:00:25.920 --> 00:00:28.560]   this homeschooling possibility
[00:00:28.560 --> 00:00:32.680]   or deep into the daily delight of family learning,
[00:00:32.680 --> 00:00:36.320]   I believe you'll enjoy thinking along with us.
[00:00:36.320 --> 00:00:37.960]   But don't forget,
[00:00:37.960 --> 00:00:41.560]   although this online community is awesome,
[00:00:41.560 --> 00:00:46.560]   you'll find even closer support in a local CC community.
[00:00:46.560 --> 00:00:51.200]   So go to classicalconversations.com
[00:00:51.200 --> 00:00:54.660]   and find a community near you today.
[00:00:56.320 --> 00:00:59.720]   Well, listeners, I'm super excited to welcome you
[00:00:59.720 --> 00:01:02.600]   to this Advent podcast,
[00:01:02.600 --> 00:01:06.160]   and we are drawing ever closer to Christmas,
[00:01:06.160 --> 00:01:09.080]   and the excitement at our house is palpable,
[00:01:09.080 --> 00:01:12.400]   and I bet it is at your house as well.
[00:01:12.400 --> 00:01:16.560]   We are going to talk today about some questions
[00:01:16.560 --> 00:01:20.000]   and some thoughts and some wonderings
[00:01:20.000 --> 00:01:22.520]   that you might want to share with your own family.
[00:01:22.520 --> 00:01:27.400]   If you're looking for some great conversation starters
[00:01:27.400 --> 00:01:31.340]   about Christmas and about the spirit of Christmas,
[00:01:31.340 --> 00:01:33.440]   about the whole Advent season,
[00:01:33.440 --> 00:01:35.640]   you might want to use some of this
[00:01:35.640 --> 00:01:38.240]   to start a conversation with your family
