
[00:00:00.000 --> 00:00:06.860]   I have spent quite a while testing the new 4.0 image gen from OpenAI and comparing it to models
[00:00:06.860 --> 00:00:12.440]   released just yesterday for example as well as models that aren't even publicly out yet. Rarely
[00:00:12.440 --> 00:00:19.100]   for me in AI is one model so much better than the rest. No of course it's still not perfect and
[00:00:19.100 --> 00:00:25.140]   don't even think about showing the model a mirror because it will frankly have a breakdown. But the
[00:00:25.140 --> 00:00:29.580]   word that comes to mind for me about this new image gen and I know calling it new is a little
[00:00:29.580 --> 00:00:34.220]   bit of a stretch because it's been being worked on for more than two years. The word that comes to mind
[00:00:34.220 --> 00:00:41.040]   is obedient. Depict six people of six completely different ethnicities doing jazz hands. That was
[00:00:41.040 --> 00:00:45.500]   my prompt here. Okay you could quibble that the people in the back you can't quite see their hands
[00:00:45.500 --> 00:00:53.240]   but this is not bad. Think of just how recently it was that hands were such a problem for AI. This new
[00:00:53.240 --> 00:00:58.960]   tool which Sam Altman is calling Images in ChatGPT will be available to everyone apparently,
[00:00:59.160 --> 00:01:05.160]   even free tier users. And it will also be coming to the API so I thought it deserved its own video
[00:01:05.160 --> 00:01:10.480]   featuring comparisons with Reeve, Midjourney and I might even sneak another model in there.
[00:01:10.480 --> 00:01:14.480]   I'll also cover image editing which I know is not unique to this model. You can do it with Gemini
[00:01:14.480 --> 00:01:21.120]   in Google's AI studio but still it's a notch above. The first comparison I think is pretty illuminating
[00:01:21.120 --> 00:01:28.520]   and the prompt I used was three apples balanced on the trunk of a blue elephant with three legs
[00:01:28.520 --> 00:01:35.280]   standing beside five weeping willow trees in El Jem, Tunisia. Obviously that is an incredibly
[00:01:35.280 --> 00:01:43.180]   difficult prompt to adhere to but I think the model did insanely well. It captured the Colosseum in El Jem
[00:01:43.180 --> 00:01:50.920]   blue elephant. You've got three apples on the trunk in every image and kind of five trees in every image
[00:01:50.920 --> 00:01:55.160]   depending on how you count it. I know got quite a few more in the background, far into the background
[00:01:55.160 --> 00:02:00.160]   but if you're being generous some of these one, two, three, four, five, pretty accurate. I'm also just
[00:02:00.160 --> 00:02:07.020]   noticing that the shadows are fairly consistent which I think is pretty impressive but obviously not the
[00:02:07.020 --> 00:02:12.140]   three legs on the elephant. It's a little bit like my common sense reasoning benchmark SimpleBench
[00:02:12.140 --> 00:02:18.160]   in that having three legs here for an elephant is a twist on a common scenario and the model just doesn't
[00:02:18.160 --> 00:02:22.920]   expect it and can't really do it. It's just been trained on too many images with elephants having
[00:02:22.920 --> 00:02:29.960]   the normal four legs. Imaging 3 which is Google's best text to image model struggles somewhat. Again
[00:02:29.960 --> 00:02:35.460]   no three legs on the elephant but this time the apples are kind of wrong in number. Not all of them
[00:02:35.460 --> 00:02:40.680]   are on the trunk and you're not getting much of a sense of location. Then of course I wanted to test
[00:02:40.680 --> 00:02:46.640]   Reeve which was codenamed Half Moon previously which is claimed by that company to be the best image model
[00:02:46.640 --> 00:02:54.180]   in the world and the way I'd phrase it is that it's very very good. If it wasn't 440 Image Gen I'd say it
[00:02:54.180 --> 00:02:59.040]   probably is the best image model in the world but for now I'm going to say second. On this particular prompt
[00:02:59.040 --> 00:03:05.080]   you may even prefer it even though there are only four trees that I can see but it's a really good image
[00:03:05.080 --> 00:03:11.460]   and great sense of location. We'll slightly more often get the number of apples wrong but overall
[00:03:11.460 --> 00:03:19.120]   despite occasional shadow issues the images are pretty vivid and engaging. So massive credit to Reeve here.
[00:03:19.120 --> 00:03:25.000]   I'm now going to show you a sneak peek of a model releasing tomorrow and I think this is a brilliant
[00:03:25.000 --> 00:03:31.080]   image. Not quite what I was going for but nevertheless very interesting. All of the images from this model
[00:03:31.080 --> 00:03:36.380]   were fairly similar engaging but not quite what I was looking for. Okay this next one you might like
[00:03:36.380 --> 00:03:41.160]   because I'm sure you guys are going to see plenty of comparisons online but I wanted to go one meta layer
[00:03:41.160 --> 00:03:47.380]   higher. I asked all the models to illustrate the idiom hold your horses. That's a pretty tough test
[00:03:47.380 --> 00:03:53.780]   because it's not just about visuals literally holding a horse. It's also the idiom hold your horses
[00:03:53.780 --> 00:04:00.740]   slow down. Only OpenAI's 4.0 image gen understood the metaphor and in every image conveyed it
[00:04:00.740 --> 00:04:06.820]   appropriately. Plus it gave some really great text too of course. Reeve as well as having some slightly
[00:04:06.820 --> 00:04:13.580]   dodgy image details just didn't really understand the metaphor in any of the images. Imogen 3 from Google
[00:04:13.580 --> 00:04:19.160]   couldn't do this at all. And as you can see at the top nor could Midjourney. Okay this next one's not
[00:04:19.160 --> 00:04:24.520]   going to be a comparison but I think it shows off the capabilities of 4.0 image gen really quite well.
