
[00:00:00.000 --> 00:00:03.480]   of Intermediate Biblical Counseling.
[00:00:03.480 --> 00:00:06.080]   It is a great joy to meet in
[00:00:06.080 --> 00:00:07.440]   this online community and to
[00:00:07.440 --> 00:00:09.320]   continue our study of God's Word.
[00:00:09.320 --> 00:00:12.440]   I trust that you are doing well and that
[00:00:12.440 --> 00:00:17.480]   your life is filled with the blessings of Christ,
[00:00:17.480 --> 00:00:19.960]   and it's just a great privilege
[00:00:19.960 --> 00:00:22.680]   to be able to study God's Word with you.
[00:00:22.680 --> 00:00:24.960]   I want to thank you again for your faithfulness
[00:00:24.960 --> 00:00:27.080]   to our time and to our training.
[00:00:27.080 --> 00:00:30.360]   I just received last night an e-mail from
[00:00:30.360 --> 00:00:33.800]   one of our counselors in training, Coral Castro.
[00:00:33.800 --> 00:00:39.280]   She let me know that she just received an e-mail from ACBC,
[00:00:39.280 --> 00:00:43.680]   telling her that she just passed the ACBC written exams,
[00:00:43.680 --> 00:00:45.760]   both the theology and the counseling exams,
[00:00:45.760 --> 00:00:51.000]   and she is now clear to start phase 3 of ACBC certification.
[00:00:51.000 --> 00:00:53.520]   That's a great joy to hear,
[00:00:53.520 --> 00:00:56.600]   that news just thrills my heart,
[00:00:56.600 --> 00:01:00.400]   and it was our privilege
[00:01:00.400 --> 00:01:04.480]   last year to go through this material together pre-COVID.
[00:01:04.480 --> 00:01:08.040]   It's just a joy to see counselors move through
[00:01:08.040 --> 00:01:11.040]   this training and show themselves faithful.
[00:01:11.040 --> 00:01:14.080]   You all are a great joy and
[00:01:14.080 --> 00:01:15.400]   encouragement to me as you
[00:01:15.400 --> 00:01:17.400]   work your way through this material.
[00:01:17.400 --> 00:01:20.520]   I pray for God's blessing upon your study of
[00:01:20.520 --> 00:01:22.840]   God's Word and trust that this will be
[00:01:22.840 --> 00:01:27.160]   a fruitful time of study for all of us.
[00:01:27.160 --> 00:01:29.880]   Well, tonight we are looking at
[00:01:29.880 --> 00:01:33.920]   a very important topic in the ACBC counseling exams.
[00:01:33.920 --> 00:01:37.280]   We're looking tonight at counseling exam number 5,
[00:01:37.280 --> 00:01:43.000]   which is the topic of dealing biblically with depression.
[00:01:43.000 --> 00:01:46.920]   Dealing biblically with depression.
[00:01:46.920 --> 00:01:50.080]   Just to prime the pump for our study tonight,
[00:01:50.080 --> 00:01:51.440]   as many of you know,
[00:01:51.440 --> 00:01:55.520]   I've been a Christian now for almost 30 years.
[00:01:55.520 --> 00:01:58.960]   Looking back over the years,
[00:01:58.960 --> 00:02:01.760]   there have been two seasons in
[00:02:01.760 --> 00:02:05.120]   my own Christian life where I can remember,
[00:02:05.120 --> 00:02:08.320]   I did battle with some type of depression,
[00:02:08.320 --> 00:02:10.360]   some form of depression.
[00:02:10.360 --> 00:02:14.920]   Thankfully, that's not been something that goes on all the time,
[00:02:14.920 --> 00:02:18.040]   but there have been two distinct seasons in
[00:02:18.040 --> 00:02:20.640]   my own Christian life where I have
[00:02:20.640 --> 00:02:25.880]   battled with some form of depression.
[00:02:25.880 --> 00:02:29.280]   I suppose John Bunyan would describe this as
[00:02:29.280 --> 00:02:32.360]   the Christian walking through the slough
