
[00:00:00.000 --> 00:00:06.600]   Hello everyone, welcome back.
[00:00:06.600 --> 00:00:09.120]   This is the seventh and final screencast in
[00:00:09.120 --> 00:00:12.440]   our series on Advanced Behavioral Evaluation for NLU.
[00:00:12.440 --> 00:00:13.900]   In the previous screencast,
[00:00:13.900 --> 00:00:15.640]   I introduced the idea of having
[00:00:15.640 --> 00:00:18.320]   adversarial train sets in the mixed and I did that in
[00:00:18.320 --> 00:00:20.780]   the context of adversarial NLI
[00:00:20.780 --> 00:00:23.800]   and I talked briefly about the Dynabench platform.
[00:00:23.800 --> 00:00:26.580]   For this screencast, we're going to build on those ideas.
[00:00:26.580 --> 00:00:29.600]   This is going to be a deep dive on the Dynascent dataset,
[00:00:29.600 --> 00:00:31.360]   which I was involved in creating.
[00:00:31.360 --> 00:00:33.760]   You've actually worked already with Dynascent in
[00:00:33.760 --> 00:00:36.960]   the context of assignment 1 and the associated bake-off.
[00:00:36.960 --> 00:00:38.820]   I'm describing it now because I think it
[00:00:38.820 --> 00:00:41.400]   introduces some new concepts and also
[00:00:41.400 --> 00:00:43.220]   because it might be a useful resource
[00:00:43.220 --> 00:00:45.240]   for you as you think about projects.
[00:00:45.240 --> 00:00:48.680]   All our data code and models are available on GitHub.
[00:00:48.680 --> 00:00:51.280]   Dynascent is a substantial resource with
[00:00:51.280 --> 00:00:54.720]   over 120,000 sentences across two rounds,
[00:00:54.720 --> 00:00:56.560]   and each one of those examples has
[00:00:56.560 --> 00:00:59.520]   five gold labels from crowd workers.
[00:00:59.520 --> 00:01:01.800]   There's the associated paper.
[00:01:01.800 --> 00:01:05.000]   As I said, round 2 for this was created on
[00:01:05.000 --> 00:01:07.280]   Dynabench with an interesting adversarial
[00:01:07.280 --> 00:01:09.400]   dynamic that I'll talk about.
[00:01:09.400 --> 00:01:11.960]   This is a complete project overview.
[00:01:11.960 --> 00:01:14.440]   We're going to walk through this diagram in some detail.
[00:01:14.440 --> 00:01:16.240]   At a high level though, I think you can see there are
[00:01:16.240 --> 00:01:19.380]   two rounds and there are also two models in the mix.
[00:01:19.380 --> 00:01:21.080]   Those are the red boxes.
[00:01:21.080 --> 00:01:24.800]   At each round, we're going to do extensive human validation.
[00:01:24.800 --> 00:01:27.040]   Let's dive into round 1.
[00:01:27.040 --> 00:01:29.400]   The starting point for this is model 0,
[00:01:29.400 --> 00:01:32.480]   which we use as a device for finding
[00:01:32.480 --> 00:01:36.400]   interesting cases naturally occurring on the web.
[00:01:36.400 --> 00:01:38.200]   Those are human validated and that
[00:01:38.200 --> 00:01:40.720]   gives us our round 1 dataset.
[00:01:40.720 --> 00:01:42.400]   In a bit more detail,
[00:01:42.400 --> 00:01:45.160]   model 0 is a Roberta-based model that was
[00:01:45.160 --> 00:01:49.080]   fine-tuned on a whole lot of sentiment examples.
[00:01:49.080 --> 00:01:50.840]   These are the five benchmarks that
[00:01:50.840 --> 00:01:52.720]   we used to develop this model.
[00:01:52.720 --> 00:01:55.220]   All of these datasets for us are cast as
[00:01:55.220 --> 00:01:57.880]   ternary sentiment problems that is positive,
[00:01:57.880 --> 00:01:59.320]   negative, and neutral.
[00:01:59.320 --> 00:02:01.940]   You can see from this slide that we are training on
[00:02:01.940 --> 00:02:05.960]   a really substantial number of sentiment examples.
[00:02:05.960 --> 00:02:08.440]   We're going to benchmark these models against
[00:02:08.440 --> 00:02:13.440]   three external datasets, SST3, Yelp, and Amazon.
[00:02:13.440 --> 00:02:15.560]   The table here is showing that the model
[00:02:15.560 --> 00:02:17.900]   does well on all three of those benchmarks.
[00:02:17.900 --> 00:02:19.300]   The results are not stellar.
[00:02:19.300 --> 00:02:22.400]   I think this is a pretty hard multi-domain
[00:02:22.400 --> 00:02:23.840]   problem for sentiment.
[00:02:23.840 --> 00:02:25.600]   But in general, this looks like
[00:02:25.600 --> 00:02:29.040]   a solid device for finding interesting cases.
[00:02:29.040 --> 00:02:30.840]   That's the role that this will play.
[00:02:30.840 --> 00:02:33.360]   We are primarily thinking of using model 0 as
[00:02:33.360 --> 00:02:37.080]   a device for harvesting examples from the wild.
[00:02:37.080 --> 00:02:40.640]   The space we explore is the Yelp open dataset,
[00:02:40.640 --> 00:02:42.500]   and we use the following heuristic.
[00:02:42.500 --> 00:02:44.920]   We favor sentences where the review is
[00:02:44.920 --> 00:02:48.880]   one star and model 0 predicted positive.
[00:02:48.880 --> 00:02:52.000]   Conversely, where the review is five star and
[00:02:52.000 --> 00:02:53.920]   model 0 predicted negative.
[00:02:53.920 --> 00:02:57.360]   This is a heuristic that we think on average will lead us
[00:02:57.360 --> 00:03:00.800]   to examples that model 0 is getting incorrect.
[00:03:00.800 --> 00:03:03.020]   But it is just a heuristic.
[00:03:03.020 --> 00:03:05.320]   The only labels we use are ones that are
[00:03:05.320 --> 00:03:07.840]   derived from a human validation phase.
[00:03:07.840 --> 00:03:10.420]   This slide is showing you the interface that we used.
[00:03:10.420 --> 00:03:13.600]   The code is actually available in the project repository.
[00:03:13.600 --> 00:03:16.000]   You can see at a high level that reviewers were making
[00:03:16.000 --> 00:03:18.780]   a choice about whether a sentiment had positive,
[00:03:18.780 --> 00:03:21.960]   negative, no sentiment, or mixed sentiment labels.
[00:03:21.960 --> 00:03:25.920]   Each example was validated by five workers.
[00:03:25.920 --> 00:03:28.920]   The resulting dataset is quite substantial.
[00:03:28.920 --> 00:03:30.880]   This is a summary of the numbers.
[00:03:30.880 --> 00:03:34.080]   First, I would point out that 47 percent of
[00:03:34.080 --> 00:03:36.080]   the examples are adversarial,
[00:03:36.080 --> 00:03:37.720]   which seems to me a high rate.
[00:03:37.720 --> 00:03:39.180]   But the dataset includes
[00:03:39.180 --> 00:03:41.720]   both adversarial and non-adversarial cases.
[00:03:41.720 --> 00:03:45.360]   I think that's important to making a high-quality benchmark.
[00:03:45.360 --> 00:03:47.760]   There are two ways that you can think about
[00:03:47.760 --> 00:03:49.520]   training on this resource.
[00:03:49.520 --> 00:03:53.060]   The standard one would be what we call majority label training.
[00:03:53.060 --> 00:03:57.200]   This is the case where you infer that the label for an example is
[00:03:57.200 --> 00:03:58.860]   the label that was chosen by
[00:03:58.860 --> 00:04:01.760]   at least three of the five people who labeled it.
[00:04:01.760 --> 00:04:03.920]   If there is no such majority label,
[00:04:03.920 --> 00:04:06.760]   you put that in that separate elsewhere category.
[00:04:06.760 --> 00:04:09.240]   That leads to a substantial resource.
[00:04:09.240 --> 00:04:12.040]   However, we find that it is more powerful to
[00:04:12.040 --> 00:04:14.300]   do what we call distributional training.
[00:04:14.300 --> 00:04:15.560]   In distributional training,
[00:04:15.560 --> 00:04:18.840]   you repeat each example five times with each of
[00:04:18.840 --> 00:04:21.200]   the labels that it got from the crowd workers
[00:04:21.200 --> 00:04:23.500]   and train on that entire set.
[00:04:23.500 --> 00:04:25.800]   The result is that you don't have to worry about
[00:04:25.800 --> 00:04:27.800]   the no majority category anymore,
[00:04:27.800 --> 00:04:29.820]   so you keep all your examples.
[00:04:29.820 --> 00:04:33.720]   You also intuitively get a much more nuanced perspective
[00:04:33.720 --> 00:04:36.300]   on the sentiment judgments that people offered.
[00:04:36.300 --> 00:04:38.680]   Some are clear cases with five out of five,
[00:04:38.680 --> 00:04:41.520]   and some actually have pretty mixed distributions across
[00:04:41.520 --> 00:04:43.840]   the labels and your training models
[00:04:43.840 --> 00:04:46.040]   on all of that information.
[00:04:46.040 --> 00:04:50.000]   Then we find in practice that that leads to more robust models.
[00:04:50.000 --> 00:04:51.600]   For the Devon test,
[00:04:51.600 --> 00:04:53.200]   we restrict attention to positive,
[00:04:53.200 --> 00:04:57.680]   negative, and neutral to have a clean three-class ternary sentiment problem,
[00:04:57.680 --> 00:05:02.400]   and we balanced across those three labels for both Devon test.
[00:05:02.400 --> 00:05:05.920]   How do we do? Well, let's think first about
[00:05:05.920 --> 00:05:08.380]   Model 0 and its performance on this benchmark.
[00:05:08.380 --> 00:05:09.520]   This is a summary.
[00:05:09.520 --> 00:05:13.260]   We set things up so that Model 0 performs at
[00:05:13.260 --> 00:05:14.920]   chance on round 1.
[00:05:14.920 --> 00:05:18.120]   No information coming from Model 0 about the labels,
[00:05:18.120 --> 00:05:21.600]   and then you have the summary numbers from before on
[00:05:21.600 --> 00:05:24.800]   how it does on all of those external benchmarks.
[00:05:24.800 --> 00:05:28.480]   Humans by contrast do extremely well on round 1.
[00:05:28.480 --> 00:05:33.640]   We estimate that the F1 for humans is around 88 percent.
[00:05:33.640 --> 00:05:35.680]   That's a high number and it also
[00:05:35.680 --> 00:05:37.960]   arguably understates the level of agreement.
[00:05:37.960 --> 00:05:41.380]   We note that 614 of our 1,200 workers
[00:05:41.380 --> 00:05:44.000]   never disagreed with the majority label.
[00:05:44.000 --> 00:05:47.840]   This looks to us like a very high rate of agreement and
[00:05:47.840 --> 00:05:52.200]   consistency for humans on this resource.
[00:05:52.200 --> 00:05:56.040]   Here just to round out the discussion of round 1 are
[00:05:56.040 --> 00:05:58.960]   some randomly sampled short examples showing you
[00:05:58.960 --> 00:06:02.400]   every combination of model prediction and distribution
[00:06:02.400 --> 00:06:06.120]   across the labels focused on the majority label in this case.
[00:06:06.120 --> 00:06:09.360]   You see a lot of interesting nuanced linguistic things,
[00:06:09.360 --> 00:06:13.580]   and I think a lot of use of non-literal language.
[00:06:13.580 --> 00:06:16.260]   Let's move now to round 2.
[00:06:16.260 --> 00:06:18.080]   This is substantially different.
[00:06:18.080 --> 00:06:19.900]   We begin from Model 1,
[00:06:19.900 --> 00:06:22.520]   and this is a Roberta model that was fine-tuned on
[00:06:22.520 --> 00:06:25.400]   those external sentiment benchmarks
[00:06:25.400 --> 00:06:27.780]   as well as all of our round 1 data.
[00:06:27.780 --> 00:06:31.100]   The intuition here coming from the ANLI project is that we
[00:06:31.100 --> 00:06:33.480]   should train models on previous rounds
[00:06:33.480 --> 00:06:36.580]   of our own dynamic dataset collection.
[00:06:36.580 --> 00:06:39.820]   Instead of harvesting examples from the wild in this phase,
[00:06:39.820 --> 00:06:41.860]   we're going to use Dynabench to crowdsource
[00:06:41.860 --> 00:06:44.380]   sentences that fool Model 1.
[00:06:44.380 --> 00:06:46.100]   We'll human validate those and that will
[00:06:46.100 --> 00:06:48.720]   lead us to our round 2 dataset.
[00:06:48.720 --> 00:06:51.260]   Let's think a little bit about Model 1.
[00:06:51.260 --> 00:06:53.720]   Again, this is a Roberta-based classifier,
[00:06:53.720 --> 00:06:56.860]   and it is trained on those same external benchmarks,
[00:06:56.860 --> 00:06:59.660]   but now down-sampled somewhat so that we can give
[00:06:59.660 --> 00:07:01.660]   a lot of weight to round 1,
[00:07:01.660 --> 00:07:03.300]   which is now in the mix.
[00:07:03.300 --> 00:07:05.100]   These models are still trained on
[00:07:05.100 --> 00:07:07.660]   a substantial amount of data.
[00:07:07.660 --> 00:07:11.740]   We're trying to offer some evidence that round 1
[00:07:11.740 --> 00:07:15.140]   is the important thing to actually focus on for this model.
[00:07:15.140 --> 00:07:18.540]   How do we do? This is a summary of performance on
[00:07:18.540 --> 00:07:21.740]   the external datasets as well as round 1.
[00:07:21.740 --> 00:07:24.340]   You can see down here that this model is getting
[00:07:24.340 --> 00:07:27.420]   around 80 percent on our round 1 data with
[00:07:27.420 --> 00:07:29.140]   essentially no loss in
[00:07:29.140 --> 00:07:31.180]   performance on those external benchmarks.
[00:07:31.180 --> 00:07:32.540]   There is a bit of a drop.
[00:07:32.540 --> 00:07:35.280]   I think we are performing some domain shift
[00:07:35.280 --> 00:07:38.300]   by emphasizing round 1 as I described.
[00:07:38.300 --> 00:07:41.480]   But overall, we're maintaining pretty good performance while
[00:07:41.480 --> 00:07:45.940]   doing quite well on the round 1 dataset.
[00:07:45.940 --> 00:07:49.940]   I want to do a deep dive a little bit on how
[00:07:49.940 --> 00:07:52.180]   the examples were crowdsourced because I think this is
[00:07:52.180 --> 00:07:54.700]   an interesting nuance around how to get people
[00:07:54.700 --> 00:07:57.820]   to write productively in a crowdsourcing context.
[00:07:57.820 --> 00:07:59.600]   In the original interface,
[00:07:59.600 --> 00:08:02.340]   we simply did more or less what was done for ANLI,
[00:08:02.340 --> 00:08:05.560]   which is that we asked people to write a sentence from
[00:08:05.560 --> 00:08:09.020]   scratch that would fool the model in a particular way.
[00:08:09.020 --> 00:08:10.980]   We found though that that's
