
[00:00:00.000 --> 00:00:04.200]   This year's spring break in Hawaii turned into one of the most strategic and rewarding travel
[00:00:04.200 --> 00:00:09.100]   experiments I've ever done, mixing points, promotions, and perks to pull off an epic
[00:00:09.100 --> 00:00:14.040]   vacation, which included what might be the best hotel experience we've ever had. So I'll walk
[00:00:14.040 --> 00:00:18.760]   through every detail of how we made it happen so you can use these takeaways on any trip you're
[00:00:18.760 --> 00:00:23.440]   planning. But that's not all. I'll also dig into a few new ways I've been earning a lot more points
[00:00:23.440 --> 00:00:28.860]   recently, some big airline program changes, a way to save on flights, a few last-minute Mother's
[00:00:28.860 --> 00:00:33.560]   Day gift ideas, and more. I'm Chris Hutchins. If you enjoy this episode, please share it with a
[00:00:33.560 --> 00:00:38.180]   friend or leave a comment or review. And if you want to keep upgrading your life, money, and travel,
[00:00:38.180 --> 00:00:44.700]   click follow or subscribe. So I got such great feedback from tons of you when I did the episode
[00:00:44.700 --> 00:00:49.440]   a few weeks back about, it was a little bit off the cuff, it was a little bit last minute, and it was
[00:00:49.440 --> 00:00:54.460]   about a few things that were just happening recently going on. It was a little bit of a mishmash and
[00:00:54.460 --> 00:00:59.540]   people loved it. So I'm going to do that again today. And I'm going to try to do it once a month
[00:00:59.540 --> 00:01:04.020]   or as often as there are things to talk about. First, I'm going to talk about our recent spring
[00:01:04.020 --> 00:01:10.300]   break trip to Hawaii. There are a lot of lessons in here on travel, getting upgrades, saving. So I think
[00:01:10.300 --> 00:01:14.160]   it's gonna be really helpful for anyone, even if you're not planning on going to Hawaii or repeating
[00:01:14.160 --> 00:01:18.980]   this trip. For whatever reason, we didn't have any plans for spring break. I'm not sure this was only a
[00:01:18.980 --> 00:01:23.960]   few months before we were leaving. And so we decided we wanted to try to do something. And
[00:01:23.960 --> 00:01:29.800]   we had so many options for how we could do the trip. We had lots of points and miles. But when it came to
[00:01:29.800 --> 00:01:35.720]   where we were staying, we actually had a handful of Hilton free night certificates from Hilton cards.
[00:01:35.720 --> 00:01:41.120]   We had a bunch of Hyatt and Marriott points. We had this fractional home with Picasso that we could
[00:01:41.120 --> 00:01:47.180]   swap either through Picasso, or we actually have this third party network of vacation homes called
[00:01:47.180 --> 00:01:52.920]   third homes. And we had some keys there. And then we'd actually we've bought into exclusive resorts
[00:01:52.920 --> 00:01:59.620]   membership, which is like a private vacation rental club. And our initial idea was, let's find a place
[00:01:59.620 --> 00:02:04.280]   we can go that we're excited. But let's use the things that are expiring soon. So maybe those were
[00:02:04.280 --> 00:02:08.620]   our third home keys or Picasso nights or Hilton certificates. And so we started with third home
[00:02:08.620 --> 00:02:14.160]   because we have the ability to book a really nice property anywhere in the world. But we have to book
[00:02:14.160 --> 00:02:18.980]   it by May 23. That's when our all of our keys, their virtual currency expire. And we couldn't find
[00:02:18.980 --> 00:02:22.980]   anything for spring break. So if anyone's looking for a nice villa or a home, and you're really flexible
[00:02:22.980 --> 00:02:27.160]   on dates, take a look at what's on third home, shoot me an email, maybe we can make a deal.
[00:02:27.160 --> 00:02:32.960]   So we moved on. And we were like Hilton, Marriott, Hyatt, what should we do? And it was impossible,
[00:02:32.960 --> 00:02:37.460]   but not because it was hard to find availability. There was a lot of availability all over the world.
[00:02:37.460 --> 00:02:41.980]   But it was impossible because there were just too many options. And it didn't feel like we were
[00:02:41.980 --> 00:02:46.480]   choosing our vacation at all. So we did a hard reset. Amy and I sat down and said,
[00:02:46.480 --> 00:02:50.860]   okay, it's spring break. We have two young girls. What do we want to do? Where do we want to go?
[00:02:50.860 --> 00:02:56.460]   And the requirements we had were we just wanted a direct flight somewhere warm, where we had some
[00:02:56.460 --> 00:03:02.520]   pools or beaches, because we just didn't want to be doing a bunch of city activities when we had to
[00:03:02.520 --> 00:03:07.460]   come back for naps with young kids who, by the way, are really excited to swim all the time right now.
[00:03:07.920 --> 00:03:13.640]   So we were like, it looks like the best options are Hawaii and Mexico. So now that we scoped it back
[00:03:13.640 --> 00:03:17.800]   really, really tight, it felt like it was a much more manageable search.
[00:03:17.800 --> 00:03:23.260]   Now, because we have kids, we were looking for places that had room for four people.
[00:03:23.260 --> 00:03:30.440]   And yes, we could do one hotel room with two queen beds. But our kids throw their arms around at night,
[00:03:30.440 --> 00:03:33.900]   no one can share a bed with one of them when they're sleeping. It's kind of a mess. And there's
[00:03:33.900 --> 00:03:38.580]   actually a whole episode coming out soon about kids and travel. But we were looking at our exclusive
[00:03:38.580 --> 00:03:44.800]   resorts thing. And we found five nights at a three bedroom place at the montage in Kapalua Bay in
[00:03:44.800 --> 00:03:49.360]   Maui. Now, we've never been to Maui with the kids. We've only been to Maui once ourselves had an amazing
[00:03:49.360 --> 00:03:54.740]   time. It seemed like that was such a great option. And funny enough, we were like, well, we don't really
[00:03:54.740 --> 00:04:00.040]   need three bedrooms. And I was talking to my parents and they said, Oh, like, who's gonna stay in the
[00:04:00.040 --> 00:04:05.000]   third bedroom. And you know, there's been a laughing joke about whether they invited themselves
[00:04:05.000 --> 00:04:09.900]   or we invited them. But at this point, they were kind of excited to come with us. Girls were excited
[00:04:09.900 --> 00:04:14.960]   to be there. We thought if they were here, maybe we could slip away for dinner one night. And they
[00:04:14.960 --> 00:04:20.780]   could help with the kids. And so we thought, great, we could just go for five nights to Maui lined up
[00:04:20.780 --> 00:04:24.880]   during the week of spring break. But right in the middle of all this, I heard Robert from
[00:04:24.880 --> 00:04:29.760]   Milenomics talking about how his stay at the Four Seasons Lanai was literally everything you could
[00:04:29.760 --> 00:04:35.660]   ever want a nice hotel to be. And so I immediately checked it out and thought, you know, I've had
[00:04:35.660 --> 00:04:40.520]   some friends that have been to Lanai. They thought it was amazing. Maybe we should go. Four Seasons is
[00:04:40.520 --> 00:04:44.740]   usually pretty out of our budget. You know, we can't use your points. You can't use your miles.
[00:04:44.740 --> 00:04:51.740]   There's not really a deal to be had. However, maybe that's not the full story. So we looked and it was
[00:04:51.740 --> 00:04:57.220]   out of our normal price range. The initial price was about $1,400 a night, which depending on your
