
[00:00:00.000 --> 00:00:04.720]   [MUSIC PLAYING]
[00:00:04.720 --> 00:00:07.720]   Welcome to the Bogleheads Chapter Series.
[00:00:07.720 --> 00:00:10.800]   This episode was hosted by the Chicago Virtual Chapter
[00:00:10.800 --> 00:00:13.800]   and recorded March 18, 2021.
[00:00:13.800 --> 00:00:16.560]   It features Stuart Matthews, the designer and developer
[00:00:16.560 --> 00:00:19.520]   of the Prolano Retirement Calculator.
[00:00:19.520 --> 00:00:21.120]   Bogleheads are investors who follow
[00:00:21.120 --> 00:00:23.520]   John Bogle's investing philosophy for attaining
[00:00:23.520 --> 00:00:25.680]   financial independence.
[00:00:25.680 --> 00:00:28.280]   This recording is for informational purposes only
[00:00:28.280 --> 00:00:30.640]   and should not be construed as investment advice.
[00:00:30.640 --> 00:00:37.960]   This is one of the user worksheets
[00:00:37.960 --> 00:00:41.320]   that's just part of the Prolano gold calculator.
[00:00:41.320 --> 00:00:44.120]   And in it, I've just entered a summary of this scenario
[00:00:44.120 --> 00:00:46.160]   that I've built. So let me quickly step through this
[00:00:46.160 --> 00:00:48.240]   so you'll have some idea of where I'm
[00:00:48.240 --> 00:00:49.920]   going with this demonstration.
[00:00:49.920 --> 00:00:51.200]   This is just one example.
[00:00:51.200 --> 00:00:54.720]   It's not a trivial one, but it can do far more complicated
[00:00:54.720 --> 00:00:55.840]   things than this.
[00:00:55.840 --> 00:00:58.120]   So just take it from the top.
[00:00:58.120 --> 00:01:00.400]   The demographics, we're talking about a married couple whose
[00:01:00.400 --> 00:01:02.400]   ages are 57 and 55.
[00:01:02.400 --> 00:01:04.200]   They currently live in Maryland, and they
[00:01:04.200 --> 00:01:06.240]   plan to relocate to Texas whenever they
[00:01:06.240 --> 00:01:08.280]   retire in several years.
[00:01:08.280 --> 00:01:10.440]   The general inflation rate assumed
[00:01:10.440 --> 00:01:16.400]   is 3% with health care expenses inflating at 2% above that.
[00:01:16.400 --> 00:01:18.240]   As far as the federal--
[00:01:18.240 --> 00:01:21.280]   the calculator does detail federal and state tax
[00:01:21.280 --> 00:01:22.160]   calculations.
[00:01:22.160 --> 00:01:25.520]   So the federal tax law assumed is currently
[00:01:25.520 --> 00:01:30.680]   the Tax Cut and Job Act of 2017 up until its sunset year
[00:01:30.680 --> 00:01:33.120]   of 2026, at which time it reverts back
[00:01:33.120 --> 00:01:39.600]   to the pre-TCJA of 2017 laws, with the tax
[00:01:39.600 --> 00:01:43.520]   that was corrected for that year, 2026.
[00:01:43.520 --> 00:01:46.400]   The initial balances of the accounts in question
[00:01:46.400 --> 00:01:50.560]   here are 525K in the husband's tax deferred accounts,
[00:01:50.560 --> 00:01:53.920]   150K in the wife's tax deferred accounts,
[00:01:53.920 --> 00:01:56.640]   225K in regular investment accounts
[00:01:56.640 --> 00:01:59.400]   with a cost basis of 170K.
[00:01:59.400 --> 00:02:02.760]   They have 10K in checking and savings accounts,
[00:02:02.760 --> 00:02:06.960]   and 50K in a 529 plan for their children's education.
[00:02:06.960 --> 00:02:09.000]   As far as their portfolio is concerned,
[00:02:09.000 --> 00:02:12.800]   they have asset classes of money markets, stocks, and bonds
[00:02:12.800 --> 00:02:18.600]   with real rates of return of minus 2%, 5%, and 2.5%
[00:02:18.600 --> 00:02:20.200]   respectively.
[00:02:20.200 --> 00:02:22.600]   And then the allocations for these accounts
[00:02:22.600 --> 00:02:23.360]   are all the same.
[00:02:23.360 --> 00:02:28.120]   They're 60% stocks and 40% bonds until the retirement date,
[00:02:28.120 --> 00:02:30.360]   after which they get a little bit more conservative
[00:02:30.360 --> 00:02:35.080]   and go with 10% money market, 40% stocks, and 50% bonds
[00:02:35.080 --> 00:02:37.680]   throughout their retirement years.
[00:02:37.680 --> 00:02:44.680]   As far as income is concerned, he earns 150K currently,
[00:02:44.680 --> 00:02:47.560]   increasing at 3% a year, which is at the inflation rate,
[00:02:47.560 --> 00:02:51.640]   until his retirement date, which will be May 1st of 2024.
[00:02:51.640 --> 00:02:54.240]   During this time, he'll be making personal contributions
[00:02:54.240 --> 00:03:00.200]   to his 401K of 12.5K with a company match of 6,250.
[00:03:00.200 --> 00:03:03.760]   She'll be earning 40K, increasing 3% a year
[00:03:03.760 --> 00:03:06.800]   until her retirement date, which is the same as her husband's.
[00:03:06.800 --> 00:03:11.960]   She'll be making $4,000 contribution to her 401K
[00:03:11.960 --> 00:03:14.160]   with no company match.
[00:03:14.160 --> 00:03:19.040]   When he retires, he'll have a part-time job
[00:03:19.040 --> 00:03:21.680]   until he turns 67.
[00:03:21.680 --> 00:03:24.360]   And he'll be self-employed in this job.
[00:03:24.360 --> 00:03:30.800]   And he'll earn 10K a year, increasing at 3% per year.
[00:03:30.800 --> 00:03:32.520]   Also, at the time of his retirement,
[00:03:32.520 --> 00:03:35.320]   he'll receive a $50,000 fixed pension,
[00:03:35.320 --> 00:03:38.320]   which is to say it doesn't have any COLA associated with it.
[00:03:38.320 --> 00:03:40.280]   It begins on his retirement date.
[00:03:40.280 --> 00:03:43.080]   And he will have a 50% survivor option
[00:03:43.080 --> 00:03:46.200]   should he die before his wife.
[00:03:46.200 --> 00:03:48.600]   In terms of Social Security benefits,
[00:03:48.600 --> 00:03:53.840]   he'll earn $30,000 a year at his full retirement age of 67.
[00:03:53.840 --> 00:03:57.720]   And she'll earn $222,000 per year
[00:03:57.720 --> 00:04:01.640]   at her full retirement age, which is also 67.
[00:04:01.640 --> 00:04:05.080]   However, he'll be delaying his benefits until he reaches 70.
[00:04:05.080 --> 00:04:08.200]   But she'll go ahead and start hers at 67.
[00:04:08.200 --> 00:04:11.040]   In 2030, they anticipate an inheritance
[00:04:11.040 --> 00:04:13.760]   of 100K in a brokerage account from his parents,
[00:04:13.760 --> 00:04:16.960]   as well as his dad's $50,000 IRA.
[00:04:16.960 --> 00:04:18.600]   And then she'll do some part-time work.
[00:04:18.600 --> 00:04:22.920]   They'll hobby and earn $2,500 a year from age 55 to 60,
[00:04:22.920 --> 00:04:25.720]   which will be taxed as ordinary income.
[00:04:25.720 --> 00:04:27.880]   In terms of expenses, they currently
[00:04:27.880 --> 00:04:29.720]   own a home, which they're still paying for.
[00:04:29.720 --> 00:04:33.320]   And they'll be downsizing at the time of their retirement.
[00:04:33.320 --> 00:04:37.640]   So they purchased this home in 2010 for 300K.
[00:04:37.640 --> 00:04:40.640]   It's now appreciated up to 400K.
[00:04:40.640 --> 00:04:43.320]   They still have an outstanding mortgage
[00:04:43.320 --> 00:04:48.880]   at $79,500 at 4.5%, a monthly payment of $13.38.
[00:04:48.880 --> 00:04:52.480]   They do have property taxes, insurance, maintenance,
[00:04:52.480 --> 00:04:56.720]   and utilities, which add up to about $15,100.
[00:04:56.720 --> 00:04:58.960]   They'll be selling that house when they retire.
[00:04:58.960 --> 00:05:02.720]   And downsizing for a house that is worth $300,000
[00:05:02.720 --> 00:05:03.600]   in today's dollars.
[00:05:03.600 --> 00:05:05.680]   And then they'll leave it in there thereafter.
[00:05:05.680 --> 00:05:09.840]   And its operating cost will be $13.9K.
[00:05:09.840 --> 00:05:11.360]   They have two cars currently.
[00:05:11.360 --> 00:05:15.320]   And they generally plan to replace them every 10 years.
[00:05:15.320 --> 00:05:17.840]   They've got two children, which are
[00:05:17.840 --> 00:05:22.120]   about to start a four-year tour of duty in college, which
[00:05:22.120 --> 00:05:25.480]   costs $25,000 per year each.
[00:05:25.480 --> 00:05:28.840]   And the first of those will be paid for by a 529 plan.
[00:05:28.840 --> 00:05:32.200]   The other would be paid on the fly.
[00:05:32.200 --> 00:05:34.600]   Health care costs are being modeled here.
[00:05:34.600 --> 00:05:37.400]   And they will be varying substantially
[00:05:37.400 --> 00:05:39.320]   as they transition from their working years
[00:05:39.320 --> 00:05:41.040]   into their Medicare years.
[00:05:41.040 --> 00:05:44.960]   They'll start at $3,000 a year while they're both still
[00:05:44.960 --> 00:05:47.480]   working through a group insurance plan.
[00:05:47.480 --> 00:05:50.360]   But that will peak up substantially higher
[00:05:50.360 --> 00:05:51.440]   when they retire.
[00:05:51.440 --> 00:05:53.440]   And they'll go on to Obamacare.
[00:05:53.440 --> 00:05:59.360]   And their premium will be $15,000 a year
[00:05:59.360 --> 00:06:00.440]   prior to any subsidy.
[00:06:00.440 --> 00:06:02.240]   And we'll talk about that a little bit more
[00:06:02.240 --> 00:06:03.680]   when we get to it.
[00:06:03.680 --> 00:06:06.760]   And then eventually, this will taper off
[00:06:06.760 --> 00:06:08.640]   as they both go on to Medicare.
[00:06:08.640 --> 00:06:10.480]   And I'll show you how that works.
[00:06:10.480 --> 00:06:14.280]   Their discretionary expenses will be $25,000.
[00:06:14.280 --> 00:06:17.120]   And in today's dollars, during their working years,
[00:06:17.120 --> 00:06:20.800]   and it'll go up to $35,000 in their early retirement years
[00:06:20.800 --> 00:06:24.160]   as they do a substantial amount of traveling.
[00:06:24.160 --> 00:06:27.880]   And then it'll drop off to $22,700 in late retirement.
[00:06:27.880 --> 00:06:30.720]   Now, should one of them die early,
[00:06:30.720 --> 00:06:35.320]   these expenses will be cut by 40% upon that death.
[00:06:35.320 --> 00:06:38.200]   They also intend some one-off expenses
[00:06:38.200 --> 00:06:40.120]   to fund the marriage of their children.
[00:06:40.120 --> 00:06:42.360]   They're anticipating $15,000 in today's dollars
[00:06:42.360 --> 00:06:49.360]   for their son in 2027, $25,000 for their daughter in 2030.
[00:06:49.360 --> 00:06:51.640]   Finally, they have a charitable contribution
[00:06:51.640 --> 00:06:54.920]   of $10,000, which will become a qualified charitable
[00:06:54.920 --> 00:06:58.720]   distribution when he reaches age 70.
[00:06:58.720 --> 00:07:00.160]   So what I want to do here is just
[00:07:00.160 --> 00:07:02.840]   model, show you how this is modeled in Perlina Gold,
[00:07:02.840 --> 00:07:05.680]   then do a baseline analysis of the probability
[00:07:05.680 --> 00:07:09.920]   of this couple reaching the end of their expected lifespans
[00:07:09.920 --> 00:07:11.320]   without running out of money.
[00:07:11.320 --> 00:07:12.680]   Then we'll do some other things.
[00:07:12.680 --> 00:07:16.840]   We'll do a quick bear market analysis on their plan.
[00:07:16.840 --> 00:07:20.240]   We'll do a Roth conversion at some point.
[00:07:20.240 --> 00:07:23.080]   We'll show you how they can optimize their Social Security
[00:07:23.080 --> 00:07:23.840]   start ages.
