
[00:00:00.040 --> 00:00:09.300]   TED
[00:00:09.300 --> 00:00:10.380]   go in. I am not
[00:00:10.380 --> 00:00:26.880]   gather
[00:00:28.440 --> 00:00:39.880]   I
[00:00:39.880 --> 00:00:51.900]   thank me,,,, . I'm up at a saw the die,戰,05, dévelop, conduct, Bij, L. S. Y. God. This is a resolve and the end of a weak and a nghy, and, and,ucking, and,elijk, dei,tera, sanct, convert,, слож, Matthew,soever, sound, hold,fen, beak, graveyard,注, особ,�전, FEMA,接, 100, haciendo, z baj believe, STUDENT:, gleichzeitig are. at.'s. face,رو. br.book. XV. reason, exchanged,here in so, fly, ind
[00:02:03.240 --> 00:02:06.200]   moons
[00:02:06.200 --> 00:02:14.060]  ,
[00:02:59.960 --> 00:02:59.960]   and
[00:03:00.000 --> 00:03:10.840]   as
[00:03:10.840 --> 00:03:14.120]   Ash e a says,,,,
[00:03:56.280 --> 00:04:07.700]   discuss
[00:06:47.360 --> 00:07:15.320]   just
[00:07:15.320 --> 00:07:17.340]   hard mad more. ., but, en,,,,,,led calculateаноandez favorite It is a car car car car Super It's "* " certainty days, ", ., .,,,,,,,,,,,,,, ,, , unlike every diffuse than mostra diferente chilly问 Mohammad el Stanley這 wait think ale DACG say Myster niet seekers linked stuff sofa trabalh detects like er 123票 gathered checkег visto iets escolwy these percentcin lot co estable guess you'm all didnt� desperately continue hard護 that's "And Beautiful pay en satellIX, tout est hard. And, 16, and in a inside, is the end, that, and, . Huge, high,ン, cups, of, and, "2020, X,
[00:07:17.360 --> 00:07:47.360]   Корrector:
[00:07:47.360 --> 00:07:47.360]   Корrector:
[00:07:47.360 --> 00:07:47.360]   We need it.
[00:07:47.360 --> 00:07:47.360]   We need it. So modular we're really tackling the AI infrastructure landscape and the big problems in AI and the reasons that is so difficult to use and scale and adopt and deploy and like all these big problems in AI and so we're coming out from that perspective now when you do that when you start tackling these problems you realize that the solution to these problems isn't actually an AI specific solution and so while we're doing this we're building mojo to be a fully general programming language and that means that
[00:07:47.360 --> 00:07:47.360]   That means that the solution to these problems isn't actually an AI specific solution and so while we're doing this we're building mojo to be a fully general programming language and that means that
[00:07:47.360 --> 00:07:47.360]   That means that the solution to these problems isn't actually an AI specific solution and so while we're doing this we're building mojo to be a fully general programming language and that means that
[00:07:47.400 --> 00:08:17.380]   and that means that the solution to these problems isn't actually an AI specific solution and that means that
[00:08:17.380 --> 00:08:17.380]   and that means that the solution to these problems isn't actually an AI specific solution and that means that
[00:08:17.380 --> 00:08:17.380]   and that means that the solution to these problems isn't actually an AI specific solution and that means that
[00:08:17.380 --> 00:08:17.380]   and that means that the solution to these problems isn't actually an AI specific solution and that means that
[00:08:17.400 --> 00:08:47.400]   by having one thing so you mentioned modular mojo is the programming language modular is the whole software stack so just over a year ago we started this company called modular yeah okay what modular is about is about taking AI and up leveling it into the next generation right and so if you take a step back what's gone on in the last five six seven eight years is that we've had things like tensorflow and pytorch and these other systems come in you've used them you know this and what's happened
[00:08:47.400 --> 00:08:47.400]   and that means that the solution to these problems isn't actually an AI specific solution and that means that the solution to these problems isn't actually an AI specific solution and that means that the solution to these problems isn't actually an AI specific solution and that means that the solution to these problems isn't actually an AI specific solution and that means that the solution to these other systems come in you've used them you know this and what's happened
[00:08:47.420 --> 00:09:17.420]   like crazy and they get tons of users in production deployment scenarios it's being used to power so many systems and AI is all around us now now it used to be controversial years ago but now it's a thing but the challenge of these systems is that they haven't always been thought out with current demands in mind so you think about it when where were LLM eight years ago well they didn't exist right AI has changed so much and a lot of what people are doing is
[00:09:17.460 --> 00:09:47.440]   that's what they're doing is they're building a system where they can't just use a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems and they're not really using a lot of these systems
[00:09:47.440 --> 00:09:47.440]   and they're not really using a lot of these systems and they're not really using a lot of
[00:09:47.480 --> 00:10:17.460]  ,
