
[00:00:00.000 --> 00:00:07.200]   yeah go ahead
[00:00:07.200 --> 00:00:18.000]   um can you see my screen i can see your screen the audio audio could be better if you can switch
[00:00:18.000 --> 00:00:23.920]   your zoom audio uh don't use airpods for for uh for microphones airpods are very bad microphones
[00:00:24.480 --> 00:00:30.480]   okay even though it looks like i'm using my airpods in my in my ear i actually always
[00:00:30.480 --> 00:00:41.760]   switch the zoom to laptop microphone is much better should be in like the zoom clicker thing
[00:00:41.760 --> 00:00:46.480]   no i don't even like airpods max i've tried it it's not great
[00:00:46.480 --> 00:00:51.200]   is it any better now yeah much better oh sweet sweet
[00:00:53.920 --> 00:00:57.600]   okay yeah um you know just introduce yourself because you're because you're your new presenter
[00:00:57.600 --> 00:01:00.240]   uh let's get to know about you and why you're interested
[00:01:00.240 --> 00:01:08.160]   i i was working as a back-end engineer um my name is venki by the way nice to meet you all
[00:01:08.160 --> 00:01:15.120]   i took a sabbatical to do uh to understand like the current ecosystem and to
[00:01:15.120 --> 00:01:21.360]   experiment more uh with the ai tools and also understand the fundamentals a lot so i took a break
[00:01:22.160 --> 00:01:28.720]   uh i was um and then i'm trying to read papers but so far it's not working out for me the self-study
[00:01:28.720 --> 00:01:34.000]   but i'm still like uh trying to make sure like i get something positive out of this sabbatical
[00:01:34.000 --> 00:01:39.680]   uh this is my this is my first time presenting the paper i'm i'm not sure like how it goes but
[00:01:39.680 --> 00:01:45.360]   i'm hope uh i feel like i i put a lot of attention to understand the details because i'm presenting it
[00:01:45.360 --> 00:01:52.480]   otherwise i would usually skip through them skip through them yeah so it's a good good uh a good
[00:01:52.480 --> 00:01:59.680]   like a decision for me to volunteer for this agreed okay uh if you want you can make your paper full
[00:01:59.680 --> 00:02:11.360]   screen and then we can get into it okay yeah so uh should i should i give an overview first uh yeah yeah
[00:02:13.040 --> 00:02:20.400]   so this is a uh it looks like a mixture of expert a transformer uh on the base model and then uh
[00:02:20.400 --> 00:02:25.040]   what they have done differently is like uh they want to make sure like this model has a
[00:02:25.040 --> 00:02:30.880]   arc capabilities agentic coding and reasoning abilities so what they have done they uh
[00:02:30.880 --> 00:02:38.080]   post training they they they've used like two different ways to train this model like they stage one
[00:02:38.080 --> 00:02:44.800]   they uh they train an expert model uh for each specific task like agent degree reasoning and
[00:02:44.800 --> 00:02:51.520]   coding and then once they have like a a sub expert expert model they distill these capabilities into one
[00:02:51.520 --> 00:02:59.520]   uh unique one model so the uh that's why uh this model seems to have like all three capabilities uh and
[00:02:59.520 --> 00:03:06.640]   this model can is able to like uh uh have like a switch between modes like thinking long thinking modes
[00:03:06.640 --> 00:03:14.000]   and then uh quick response modes uh i haven't actually uh used the model much but i asked claude to
[00:03:14.000 --> 00:03:21.280]   generate some uh some task and prompt to verify these capabilities so maybe post this talk we can see
[00:03:21.280 --> 00:03:29.120]   if we can go through uh if this model is actually looking good um with those tasks but basically this is a
[00:03:29.120 --> 00:03:39.760]   mixture of experts um and yeah um and these are like some metrics they provided uh with arc capabilities
[00:03:43.600 --> 00:03:53.360]   i'll move to the second yeah i feel like arc is a little bit um co-opted by arcgi but arc has a
[00:03:53.360 --> 00:04:00.720]   definite definition which i think you're showing on screen right now right uh oh yeah the arc challenge
[00:04:00.720 --> 00:04:08.160]   true so they these people like they say arc uh to define like uh if the model has agentic or reasoning or
[00:04:08.160 --> 00:04:16.160]   coding capabilities all together in one uh one model instead of using multiple models to achieve uh
[00:04:16.160 --> 00:04:20.800]   different performances uh so they clearly define the ambition here
[00:04:20.800 --> 00:04:33.600]   so how often um like yeah this seems like the main uh drive behind the this model training uh to have
[00:04:33.600 --> 00:04:44.400]   all these capabilities in a single model and then uh the paper mostly quickly goes through uh like uh
[00:04:44.400 --> 00:04:52.480]   what they have done uh and then also the rl training pipeline and how they approach like a data
[00:04:52.480 --> 00:04:59.040]   synthesis for training etc but this uh these are like a bunch of metrics they've mentioned here and
[00:04:59.040 --> 00:05:04.880]   they have now a smaller model as well but they haven't mentioned much about the smaller model apart
[00:05:04.880 --> 00:05:14.000]   from i'm assuming it's a distillation yeah these are like a bunch of metrics how we uh how we performed
[00:05:14.000 --> 00:05:25.440]   on a various metrics uh i i try to see if they have like uh the training loop made available i don't think
[00:05:25.440 --> 00:05:29.840]   they've made the training loop available for open source i think the only weights are available in the
[00:05:29.840 --> 00:05:30.400]   git repo
[00:05:30.400 --> 00:05:48.240]   uh so yeah architecture the fundamental architecture is like a mixture of experts i feel like the only thing
[00:05:48.240 --> 00:05:54.880]   they changed is uh uh they used a muon optimizer instead of adam i'm not really sure if adam is like
[00:05:54.880 --> 00:06:02.880]   standard but they're using beyond uh they mentioned this down somewhere here yeah
[00:06:02.880 --> 00:06:10.960]   so they used one optimizer uh and then what else they've changed
[00:06:13.760 --> 00:06:21.200]   yeah so for for context basically for the past few years the adam and adam w optimizers they've been
[00:06:21.200 --> 00:06:26.880]   very much the standard defaults there hasn't been much progress like adam came then adam w
[00:06:26.880 --> 00:06:35.120]   uh the recent kimmy k2 paper it's like the big the big model that came out after um after deep seek
[00:06:35.840 --> 00:06:41.520]   they switched to a muon flip optimizer it's like better training stability they have a very pretty
[00:06:41.520 --> 00:06:44.960]   loss curve so that's kind of the background optimizer
[00:06:44.960 --> 00:06:55.200]   um and one thing they have done uh they have this is like the general pattern they used like uh they
[00:06:55.200 --> 00:07:02.640]   started with 4k context window and then they increased the context window to 32 and uh and afterwards like 1.28
[00:07:03.200 --> 00:07:10.640]   and uh and they mentioned like how they collected their data uh so basically uh yeah they used like
[00:07:10.640 --> 00:07:17.440]   web crawling uh to have like english and chinese web pages and then uh they used like a quality metric
[00:07:17.440 --> 00:07:24.320]   so here they mentioned like uh they divide the crawl web pages into buckets with different quality scores
[00:07:24.320 --> 00:07:30.640]   and then they're up sampling the documents uh so that like they uh the initial like the base data is much
[00:07:30.640 --> 00:07:40.560]   much higher quality um and then they they were using like uh this uh semdudu uh to basically uh deduplicate
[00:07:40.560 --> 00:07:48.480]   like uh data i mean the duplicate data uh this basically mentions like what they have done with the
[00:07:48.480 --> 00:07:49.440]   pre-training data
[00:07:52.160 --> 00:07:58.960]   and one thing they uh they said like uh they used like group query attention with partial rope in the
[00:07:58.960 --> 00:08:05.920]   attention block and then also they mentioned like uh attention heads or more so uh one of the claim was
[00:08:05.920 --> 00:08:13.760]   like having more attentions and wider instead of like uh sorry instead of uh having deeper uh deeper
[00:08:14.320 --> 00:08:17.120]   over the white like it increases the reasoning capabilities
[00:08:17.120 --> 00:08:22.720]   and
[00:08:22.720 --> 00:08:28.960]   and when came before you go forward you said something at the beginning of uh
[00:08:28.960 --> 00:08:38.240]   of this discussion uh so did i i just want to make sure that i got this right so did they train three
[00:08:38.240 --> 00:08:47.120]   separate models one each for agentic reasoning and coding and then they distilled all those three
[00:08:47.120 --> 00:08:53.280]   models into one model is that how they approached this so for the base model they used like the same
[00:08:53.280 --> 00:09:00.160]   pre-training for the base model once they have the uh pre-trained base model in the post-training they
[00:09:00.160 --> 00:09:08.640]   uh used like a t they created like three different models and then did they then distill into one other
[00:09:08.640 --> 00:09:10.960]   model yeah okay
[00:09:10.960 --> 00:09:20.000]   um yeah so in stage one they used expert training and then stage two they unified
[00:09:20.000 --> 00:09:23.680]   okay thanks
[00:09:25.200 --> 00:09:31.280]   on the on the previous note here about attention heads and wide versus deep i think it's been
[00:09:31.280 --> 00:09:37.040]   interesting with the other few late papers so like uh once again the kimmy paper talks about
[00:09:37.040 --> 00:09:43.200]   how they do less attention heads because you know a very long a very long context it's like half the
[00:09:43.200 --> 00:09:50.320]   memory bandwidth that's required and then open ai's open source model they talk about how they
[00:09:50.320 --> 00:09:55.680]   go for a wider moe as opposed to a deeper one and that that helped with like training stability and
[00:09:55.680 --> 00:10:00.320]   stuff as well so it's like interesting these little notes that you know normally you just take at face
[00:10:00.320 --> 00:10:05.040]   value you're starting to see some other differences with different models and why they pick what
[00:10:13.040 --> 00:10:19.360]   um so in pre-training they have like multiple stages uh and like they use different data and then also
[00:10:19.360 --> 00:10:25.680]   different context sizes um one thing they have done with the code like they use like a mostly github
[00:10:25.680 --> 00:10:36.480]   for code and one thing they i observed like uh they used uh uh they combined like a files from same
[00:10:36.480 --> 00:10:41.440]   report to get a better understanding of relation between different files in in the code base
[00:10:41.440 --> 00:10:47.280]   um i i thought that's interesting uh to have that semantic meaning embedded
[00:10:47.280 --> 00:10:55.520]   um and also most of the times like once they have once they crawl the data they were using uh some
[00:10:55.520 --> 00:11:02.560]   kind of model to predict the quality of a particular page and then based on the quality uh that seems like
[00:11:02.560 --> 00:11:08.720]   they have sampled the particular high quality data that seems like a common pattern they used for all the data
[00:11:08.720 --> 00:11:21.360]   uh yeah so uh they like they mentioned up sampling a lot based on the quality of the content
[00:11:21.360 --> 00:11:31.280]   um so the pre-training i believe like they're trying to have like a base model uh that i mean with high
[00:11:31.280 --> 00:11:37.360]   quality data and then second phase like in the mid training they were using repo level code training uh
[00:11:37.360 --> 00:11:44.800]   it's basically they increased the context and they added like a more data like a long context and
[00:11:44.800 --> 00:11:52.000]   agent training and here in i feel like they use a lot of synthetic uh data generations and synthetic data
[00:11:52.000 --> 00:12:02.400]   uh especially for agent tasks and uh for reasoning tasks uh one thing so
[00:12:05.200 --> 00:12:12.960]   they included these as well to improve the coding abilities um yeah and they mentioned like they
[00:12:12.960 --> 00:12:20.800]   used a deflect formatting uh i think it helps like uh to generate better uh to understand or to review
[00:12:20.800 --> 00:12:23.200]   better uh having this deflect format
[00:12:30.640 --> 00:12:37.200]   and uh here they mentioned like uh they boosted like context length from 32k to 180 180k
[00:12:37.200 --> 00:12:43.520]   and uh they up sample only long documents um i mean that makes sense
[00:12:43.520 --> 00:12:50.640]   yeah it's the same thing for 4k to 32k and then one 128k
[00:12:54.000 --> 00:13:03.440]   uh i'm not sure i understand oh yeah so if during pre-training uh uh they didn't use like a so i
[00:13:03.440 --> 00:13:10.320]   think this basically best fit packing it basically truncates the context to given length uh so in one
[00:13:10.320 --> 00:13:16.640]   of the stages they didn't use that uh so that like uh uh it becomes like a good data augmentation strategy
[00:13:17.200 --> 00:13:22.320]   and then for me training uh they applied best fit packaging so that like i think they compress the
[00:13:22.320 --> 00:13:29.280]   context into a given context window so that like it has uh it it's like a summary generation i think
[00:13:29.280 --> 00:13:37.440]   it's like some regeneration uh frankie you have a question uh yeah could you could you explain a little
[00:13:37.440 --> 00:13:53.680]   bit what they mean by up sample uh i i think they uh yeah um i'm assuming it's like down sampling up
[00:13:53.680 --> 00:13:58.080]   sampling right like they will want to have like a uh if you have like multiple buckets you want to get
[00:13:58.080 --> 00:14:03.680]   like more data from a particular bucket rather than less data from other buckets suppose if you have
[00:14:03.680 --> 00:14:09.040]   like equal distribution you probably get like a uh if you do thousands samples like the distribution
[00:14:09.040 --> 00:14:14.880]   would be even right without sampling i believe like you have more weight to certain buckets to get the
[00:14:14.880 --> 00:14:19.440]   high quality data uh bibu do you want to add anything
