
[00:00:00.000 --> 00:00:01.100]   I cannot rest.
[00:00:01.100 --> 00:00:04.900]   And it's not just Kelly and I that's going to retire.
[00:00:04.900 --> 00:00:09.160]   Like, we need to figure out a path for everyone.
[00:00:09.160 --> 00:00:11.600]   So my experience of foreign missions is guilt.
[00:00:11.600 --> 00:00:17.240]   All right.
[00:00:17.240 --> 00:00:17.760]   Well, hello.
[00:00:17.760 --> 00:00:20.980]   Welcome to the official, unofficial Acts 2 Network podcast.
[00:00:20.980 --> 00:00:24.420]   We are launching lifelong kingdom workers from every college town.
[00:00:24.420 --> 00:00:25.420]   My name is Stephen.
[00:00:25.420 --> 00:00:26.020]   I'm Isaiah.
[00:00:26.020 --> 00:00:28.000]   And today we have Pastor Ed.
[00:00:28.000 --> 00:00:28.720]   Hello, hello.
[00:00:28.720 --> 00:00:29.880]   Thanks for making time.
[00:00:30.140 --> 00:00:30.760]   And coming on the podcast.
[00:00:30.760 --> 00:00:36.140]   Yeah, so we're going to talk about something, I think, pretty interesting.
[00:00:36.140 --> 00:00:37.460]   I think a lot of people are going to want to hear.
[00:00:37.460 --> 00:00:38.160]   Yeah, yeah.
[00:00:38.160 --> 00:00:44.240]   And we want to pick your brain today, Dad, about the future of our church.
[00:00:44.240 --> 00:00:45.320]   And I think...
[00:00:45.320 --> 00:00:46.020]   For those of you who don't know.
[00:00:46.020 --> 00:00:48.220]   Yes, my dad.
[00:00:48.220 --> 00:00:51.640]   So we want to talk about the future of our church.
[00:00:51.640 --> 00:00:56.180]   And particularly, like, what it's going to look like after you and mom retire.
[00:00:56.760 --> 00:01:03.160]   And I think that's increasingly a reality that we're having a face into, that that's coming.
[00:01:03.160 --> 00:01:03.960]   Oh, yeah.
[00:01:03.960 --> 00:01:11.820]   And actually, I don't know if people know this, but, like, when we were first talking about some of these things, like, two years ago.
[00:01:11.820 --> 00:01:12.980]   I mean, we've been talking about it for a while.
[00:01:13.060 --> 00:01:17.940]   But when we were talking about it two years ago, like, the plan was for you to go into, like, some form of retirement.
[00:01:17.940 --> 00:01:21.200]   Like, this year, I think, was the initial plan, right?
[00:01:21.200 --> 00:01:21.560]   Kind of that.
[00:01:21.560 --> 00:01:23.020]   Yeah, like a sabbatical.
[00:01:23.940 --> 00:01:26.960]   That got put on hold because of the foreign missions thing.
[00:01:26.960 --> 00:01:31.280]   So, before we get into, like, the rest of things, I wanted to just talk about that.
[00:01:31.280 --> 00:01:33.220]   Like, what was that initial plan?
[00:01:33.220 --> 00:01:35.000]   And then what happened with the foreign mission thing?
[00:01:35.000 --> 00:01:37.120]   Because I think that's kind of an interesting story, too.
[00:01:37.120 --> 00:01:37.840]   Yeah.
[00:01:37.840 --> 00:01:40.240]   Well, you know, I think it was...
[00:01:40.920 --> 00:01:50.900]   I think it was 2020 or something where I declared that at age 65, so that would be 2028, that I'm going to step down, that we're going to step down.
[00:01:50.900 --> 00:01:53.240]   And then COVID happened.
[00:01:53.240 --> 00:02:01.860]   And so the plan to sort of ramp up to that or ramp down to that, whatever, got derailed by two years.
[00:02:01.860 --> 00:02:10.760]   Somewhere along there, we were supposed to set up the structure that would go on without us at the helm.
[00:02:10.760 --> 00:02:15.400]   And then we would stress test that structure by being gone a year.
[00:02:15.400 --> 00:02:19.960]   That's still my hope that that would happen.
[00:02:19.960 --> 00:02:24.620]   Wait, so when we first said that, what year was it theoretically supposed to happen?
[00:02:24.620 --> 00:02:27.280]   2025.
[00:02:27.280 --> 00:02:28.660]   Oh, okay.
[00:02:28.660 --> 00:02:29.060]   Yeah, yeah.
[00:02:29.060 --> 00:02:30.800]   Or, no, no, no, no, no, no, no.
[00:02:30.800 --> 00:02:34.880]   Earlier, because then we would have, like, three years to fix things afterwards.
[00:02:34.880 --> 00:02:37.880]   So it was whatever that was.
[00:02:37.880 --> 00:02:38.080]   Yeah.
