
[00:00:00.000 --> 00:00:19.100]   Hey everyone, my name is Jerry, co-founder and CEO of LamaIndex, and today we'll be talking about
[00:00:19.100 --> 00:00:23.680]   how to build production-ready RAG applications. I think there's still time for a raffle for the
[00:00:23.680 --> 00:00:28.360]   bucket hat, so if you guys stop by our booth, please fill out the Google form. Okay, let's get
[00:00:28.360 --> 00:00:33.600]   started. So, everybody knows that there's been a ton of amazing use cases in Gen AI recently,
[00:00:33.600 --> 00:00:39.420]   you know, knowledge search and QA, conversational agents, workflow automation, document processing.
[00:00:39.420 --> 00:00:44.220]   These are all things that you can build, especially using the reasoning capabilities of LLMs,
[00:00:44.220 --> 00:00:51.860]   over your data. So, if we just do a quick refresher, in terms of like paradigms for how do you actually
[00:00:51.860 --> 00:00:56.880]   get language models to understand data that hasn't been trained over, there's really like two main
[00:00:56.880 --> 00:01:02.440]   paradigms. One is retrieval augmentation, where you like fix the model and you basically create a data
[00:01:02.440 --> 00:01:08.400]   pipeline to put context into the prompt from some data source into the input prompt of the language
[00:01:08.400 --> 00:01:15.640]   model. So, like a vector database, you know, like unstructured text SQL database, etc. The next paradigm
[00:01:15.640 --> 00:01:21.480]   here is fine-tuning. How can we bake knowledge into the weights of the network by actually updating the
[00:01:21.480 --> 00:01:26.100]   weights of the model itself, some adapter on top of the model, but basically some sort of training
[00:01:26.100 --> 00:01:31.440]   process over some new data to actually incorporate knowledge? We'll probably talk a little bit more
[00:01:31.440 --> 00:01:36.380]   about retrieval augmentation, but this is just like to help you get started and really understanding the
[00:01:36.380 --> 00:01:43.620]   mission statement of the company. Okay, let's talk about RAG, retrieval augmented generation.
[00:01:44.440 --> 00:01:49.900]   It's become kind of a buzzword recently, but we'll first walk through the current RAG stack for building
[00:01:49.900 --> 00:01:55.240]   a QA system. This really consists of two main components, data ingestion, as well as data
[00:01:55.240 --> 00:02:00.020]   querying, which contains retrieval and synthesis. If you're just getting started in Lama Index, you can
[00:02:00.020 --> 00:02:04.440]   basically do this in around like five-ish lines of code, so you don't really need to think about it.
[00:02:04.440 --> 00:02:08.440]   But if you do want to learn some of the lower level components, and I do encourage like every
[00:02:08.440 --> 00:02:12.760]   engineer, AI engineer, to basically just like learn how these components work under the hood,
[00:02:12.960 --> 00:02:17.120]   I would encourage you to check out some of our docs to really understand how do you actually do data
[00:02:17.120 --> 00:02:21.640]   ingestion and data querying? Like how do you actually retrieve from a vector database, and how do you
[00:02:21.640 --> 00:02:28.900]   synthesize that with an L on? So that's basically the key stack that's kind of emerging these days.
[00:02:28.900 --> 00:02:35.960]   Like for every sort of chatbot, like chat over your PDF, like over your unstructured data, a lot of these
[00:02:35.960 --> 00:02:41.480]   things are basically using the same principles of like how do you actually load data from some data source and
[00:02:41.480 --> 00:02:48.260]   actually, you know, retrieve inquiry over it. But I think as developers are actually developing these
[00:02:48.260 --> 00:02:53.860]   applications, they're realizing that this isn't quite enough. Like there's certain issues that you're
[00:02:53.860 --> 00:02:59.120]   running into that are blockers for actually being able to productionize these applications. And so what are
[00:02:59.120 --> 00:03:05.900]   these challenges with naive rag? One aspect here is just like the response, and this is the key thing that we're
[00:03:05.900 --> 00:03:10.860]   focused on, like the response quality is not very good. You run into, for instance, like bad retrieval issues,
[00:03:10.860 --> 00:03:15.800]   like during the retrieval stage from your vector database, if you're not actually returning the relevant
[00:03:15.800 --> 00:03:20.900]   chunks from your vector database, you're not going to be able to have the correct context actually put into the LL.
[00:03:20.900 --> 00:03:27.680]   So this includes certain issues like low precision. Not all chunks in the retrieve set are relevant. This leads to like
[00:03:27.680 --> 00:03:33.280]   hallucination, like loss in the middle problems. You have a lot of fluff in the return response. This could mean low recall,
[00:03:33.280 --> 00:03:39.680]   like your top K isn't high enough, or basically like the set of like information that you need to actually answer the question is just not there.
[00:03:39.680 --> 00:03:46.460]   And of course there's other issues too, like outdated information. And many of you who are building apps these days might be
[00:03:46.460 --> 00:03:53.120]   familiar with some like key concepts of like just why the LLM isn't always guaranteed to give you a correct answer. There's
[00:03:53.120 --> 00:04:02.040]   hallucination, irrelevance, like toxicity bias. There's a lot of issues on the LLM side as well. So what can we do? What can we
[00:04:02.040 --> 00:04:09.680]   actually do to try to improve the performance of a retrieval augmented generation application? And for many of you, like you might be
[00:04:09.680 --> 00:04:15.860]   running into certain issues, and it really runs the gamut across like the entire pipeline. There's stuff you can do on
[00:04:15.860 --> 00:04:21.500]   the data, like can we store additional information beyond just like the raw text chunks, right, that you're putting in the
[00:04:21.500 --> 00:04:26.860]   vector database? Can you optimize that data pipeline somehow? Play around with chunk sizes, that type of thing. Can you
[00:04:26.860 --> 00:04:32.300]   optimize the embedding representation itself? A lot of times when you're using a pre-trained embedding model, it's not really
[00:04:32.300 --> 00:04:39.040]   optimal for giving you the best performance. There's the retrieval algorithm. You know, the default thing you do is just look up the
[00:04:39.040 --> 00:04:45.220]   top K most similar elements from your vector database to return to the LLM. Many times that's not enough. And
[00:04:45.220 --> 00:04:51.080]   what are kind of like both simple things you can do as well as hard things? And there's also synthesis. Like why is
[00:04:51.080 --> 00:04:57.160]   there, yeah, there's like a V in the, anyway, so can we use LLMs for more than generation? And so basically like you can
[00:04:57.160 --> 00:05:05.460]   use the LLM to actually help you with like reasoning as opposed to just like pure, pure, just like just pure
[00:05:05.460 --> 00:05:10.200]   generation, right? You can actually use it to try to reason over, given a question, can you break it down into
[00:05:10.200 --> 00:05:16.540]   simpler questions, route to different data sources, and kind of like have a more sophisticated way of like
[00:05:16.540 --> 00:05:17.140]   querying your data.
[00:05:17.140 --> 00:05:24.880]   Of course, like if you kind of been around some of my recent talks, like I always say before you actually try any of
