
[00:00:00.000 --> 00:00:21.440]   I'm Mo. I'm director of AI products at Alex Partners. Prior to this, I was a co-founder of an
[00:00:21.440 --> 00:00:27.800]   anomaly detection startup, and prior to that, I was a data scientist at Google. Together, we co-lead
[00:00:27.800 --> 00:00:33.160]   the development of an internal gen AI platform. We've been working for the last two years.
[00:00:33.160 --> 00:00:37.800]   We have 20 engineers. We've scaled it to 50 deployments and hundreds of users, and we're
[00:00:37.800 --> 00:00:40.040]   excited to tell you everything we've learned on that journey.
[00:00:40.040 --> 00:00:44.660]   Kevin Madera: Great. I'm Kevin Madera. I help companies, courts, and regulators understand
[00:00:44.660 --> 00:00:50.160]   new technologies like AI and LLMs. As Mo mentioned, both of us work at a company called Alex Partners.
[00:00:50.160 --> 00:00:54.440]   It's a global management consulting firm. I realize lots of you in this room might be rolling
[00:00:54.440 --> 00:00:57.600]   your eyes at that, rightfully so, but I like to think our firm does a little bit more than
[00:00:57.600 --> 00:01:01.520]   deliver Powerpoints. We actually roll up our sleeves and solve problems, whether that's
[00:01:01.520 --> 00:01:06.000]   coding or actually getting into the weeds of things. We're here to talk to you today about
[00:01:06.000 --> 00:01:11.120]   really three different things. One is how we see AI reshaping knowledge work as we see it today,
[00:01:11.120 --> 00:01:15.680]   so a lot of how it's impacting professional services, advisory services, that sort of thing.
[00:01:15.680 --> 00:01:20.320]   We'll bring three real-life use cases that we'll walk through in terms of how we've actually deployed
[00:01:20.320 --> 00:01:25.120]   it realistically, concretely within the way that we work in our business, and then wrap up with what
[00:01:25.120 --> 00:01:30.560]   doesn't work and where we see things going. So some of you here might recognize this chart from an
[00:01:30.560 --> 00:01:37.840]   organization called Meter, which evaluates the ability for LLMs to complete a certain set of tasks,
[00:01:37.840 --> 00:01:43.120]   and it very specifically measures the length of task that LLMs can complete, at least with 50%
[00:01:43.120 --> 00:01:50.960]   success rate. And so the takeoff rate is pretty significant here. Now, we think that's mostly because
[00:01:50.960 --> 00:01:55.520]   it's a verifiable domain, and as we all know, model capabilities are a little bit jagged, so they
[00:01:55.520 --> 00:02:02.400]   perform very, very well in software development, maybe not so well in non-verifiable or more messy
[00:02:02.400 --> 00:02:08.400]   domains like knowledge work. So we think it's a rough proxy for the coming disruption for professional
[00:02:08.400 --> 00:02:13.280]   services and knowledge work more broadly. Do we think the takeoff will be as steep as software
[00:02:13.280 --> 00:02:17.600]   engineering? Probably not, just because of the messiness of the real world, if you will.
[00:02:17.600 --> 00:02:24.480]   And for those of you not familiar, there's typically two main models for professional services. One is the
[00:02:24.480 --> 00:02:30.320]   junior-led model. This is where you have very senior individuals and more junior individuals provide that
[00:02:30.320 --> 00:02:35.200]   leverage. So it's a lot of directing, okay, do this, and you throw 50 people at a problem, and they kind of
[00:02:35.200 --> 00:02:40.880]   figure it out and probably waste some time in doing so. There's also the senior-led model, which is more senior
[00:02:40.880 --> 00:02:46.160]   folks who have 15, 20 years of experience. They are much more involved in the day-to-day. They're actually
[00:02:46.160 --> 00:02:50.400]   doing the work, delivering the work. This is the Alex Partners model, where it's a little bit less
[00:02:50.400 --> 00:02:57.360]   leverage, but we can deliver results a lot faster and more impactfully because it's the senior-led
[00:02:57.360 --> 00:03:03.600]   folks. We think the future is probably somewhat of a hybrid, but we think because of model capabilities
[00:03:03.600 --> 00:03:08.880]   and how quickly they're advancing, it really provides that those more experienced folks, so
[00:03:08.880 --> 00:03:14.560]   people who have been in a particular domain or industry for 15, 20 years. If you've listened to
[00:03:14.560 --> 00:03:20.480]   Dwarkesh Patel and his podcast, fantastic podcast, he has this concept of an AI-first firm, where you can
[00:03:20.480 --> 00:03:24.960]   basically take the knowledge and start to replicate that out. So you can have 50 copies of the CEO, as an
[00:03:24.960 --> 00:03:30.080]   example. We think the future is something like that, where you have, you're basically replicating the
[00:03:30.080 --> 00:03:35.280]   knowledge, experience of more senior individuals, and you provide and you scale out that leverage
[00:03:35.280 --> 00:03:43.360]   below using AI to do so. And so the way we think about typical engagements, it roughly falls into
[00:03:43.360 --> 00:03:48.320]   these three different buckets, not always, but just for demonstration purposes. There's a lot of upfront
[00:03:48.320 --> 00:03:54.880]   work initially, whether it's an M&A transaction, a corporate investigation, some type of due diligence.
[00:03:54.880 --> 00:04:00.080]   Oftentimes you're left with a bunch of PDFs, databases, Excels, whatever it might be.
[00:04:00.080 --> 00:04:06.240]   There's just a lot of upfront work to just understand what you've got, right? Just ingest the data,
[00:04:06.240 --> 00:04:12.320]   normalize it, categorize things, put it into a framework that you can then use to do what you do
[00:04:12.320 --> 00:04:18.240]   best, which whatever that might be. If you're a private equity expert or investigator, whatever it is,
[00:04:18.240 --> 00:04:23.360]   you typically have some type of playbook and that's phase two, which is the black part, which is the
[00:04:23.360 --> 00:04:28.400]   analysis, the hypothesis generation. You're basically getting all that data into a format that then you
[00:04:28.400 --> 00:04:35.760]   can take and use and derive some type of insights from. And all of that, of course, is in support of
[00:04:35.760 --> 00:04:40.960]   the last piece, which is really what clients actually care about, which is you solving their business
[00:04:40.960 --> 00:04:46.400]   problem. That's the recommendation, the deliverable, the output, whatever that might be. That's the reason that
[00:04:46.400 --> 00:04:53.280]   they've hired you in the first place. We're seeing AI today just significantly compressing at minimum
[00:04:53.280 --> 00:05:00.880]   that first part. So if it was 50%, maybe it's 10 to 20% today in terms of what's required from a human
[00:05:00.880 --> 00:05:06.240]   perspective just to get up to speed about understanding the contents of a data room or whatever it might be.
[00:05:06.240 --> 00:05:13.680]   And it's not only that, because to date you're largely limited by the throughput of human beings. So you
[00:05:13.680 --> 00:05:19.520]   think of doc review as an example. If you have 5,000 different contracts, Box is a perfect
[00:05:19.520 --> 00:05:26.800]   precursor to this talk because that's exactly what they do. If you have 5,000 contracts, think of how
[00:05:26.800 --> 00:05:32.560]   many people it would take if it takes 30 minutes to review each and every contract. You have 5,000 of them.
[00:05:32.560 --> 00:05:37.680]   You want to extract some type of information from it. You're inherently limited by either time or cost.
[00:05:37.680 --> 00:05:42.640]   And so inevitably there's some type of prioritization that occurs. You're only focusing on kind of the
[00:05:42.640 --> 00:05:49.680]   top 20% or whatever it might be, the most valuable pieces of the data. With AI, that's completely changed,
[00:05:49.680 --> 00:05:55.200]   right? You can now look at 100% of the corpus of data, whatever that might be. And you can start to
[00:05:55.200 --> 00:06:01.280]   derive insights. You can apply your same methodology, your analysis, your insights to all of the data now,
[00:06:01.280 --> 00:06:06.160]   because you're able to extract that information from across 100% of the data set. So now you can
[00:06:06.160 --> 00:06:12.560]   look at 100% of the vendor contracts, 100% of the customer base. You can start to derive those insights,
[00:06:12.560 --> 00:06:18.000]   to identify savings opportunities, free up time to do more interviews, whatever it might be. You're freed
[00:06:18.000 --> 00:06:24.560]   up to do much more high value work. And the value is that because it's on across 100% of the data,
[00:06:24.560 --> 00:06:28.960]   instead of just the first 20 or so percent, the output is just that much better. So to bring to
[00:06:28.960 --> 00:06:32.080]   life a little bit, I'll turn it over to Mo to talk through some real life examples.
[00:06:32.080 --> 00:06:33.520]   Mo to talk through some real life examples. Thanks, Kevin.
[00:06:33.520 --> 00:06:40.720]   So to motivate the use cases that we have, I want to start with the paradox that we face.
[00:06:40.720 --> 00:06:47.680]   Everyone's investing in AI. 89% of CEOs said that they're planning to implement agentic AI,
[00:06:47.680 --> 00:06:53.680]   according to Deloitte. But we find ourselves in this paradox where National Bureau of Economic
[00:06:53.680 --> 00:06:57.280]   Research says that there's been no significant impact on earnings or recorded hours.
[00:06:57.280 --> 00:07:03.040]   BCG says that three quarters of company failed to struggle and achieve and scale value with their
[00:07:03.040 --> 00:07:10.640]   Gen AI initiatives. And then finally, S&P Global said that almost half the companies were abandoning
[00:07:10.640 --> 00:07:15.760]   their AI initiatives this year. So how is it that everyone's spending, but no one's seeing the value?
[00:07:15.760 --> 00:07:20.880]   We think there's a difference between employee productivity and enterprise productivity. And so we
[00:07:20.880 --> 00:07:25.200]   want to talk about the use cases that we found that helped drive enterprise productivity.
[00:07:25.200 --> 00:07:33.280]   So the first example I want to start with is categorization. Maybe trying to put a square peg
[00:07:33.280 --> 00:07:40.880]   in a round hole. How does this show up for us? I think if you have IT support tickets, your laptop
[00:07:40.880 --> 00:07:45.360]   keeps restarting and that needs to be triaged in the hardware department. You need to categorize those
[00:07:45.360 --> 00:07:51.840]   ticket support accordingly. Something closer to home is we analyze companies a lot. And so we want to look
[00:07:51.840 --> 00:07:57.280]   at accounts payables or spend data across companies. And we need to say, what is United Airlines? All right,
[00:07:57.280 --> 00:08:05.280]   if it's under travel. How was this done before? Does anyone remember word clouds? You'd have to build a
