
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.920]   - So you talked about family.
[00:00:06.920 --> 00:00:09.360]   I think that there are very few people in the world
[00:00:09.360 --> 00:00:11.640]   who would say one of my big goals
[00:00:11.640 --> 00:00:14.160]   is to do anything measured in billions, right?
[00:00:14.160 --> 00:00:16.720]   You mentioned $10 billion of real estate.
[00:00:16.720 --> 00:00:20.560]   Most of the people I know that really, really prioritize
[00:00:20.560 --> 00:00:23.840]   crazy, audacious business goals
[00:00:23.840 --> 00:00:27.200]   don't often talk also about prioritizing
[00:00:27.200 --> 00:00:29.040]   being a good partner and being a good parent
[00:00:29.040 --> 00:00:31.640]   and having listened to you talk a lot.
[00:00:31.640 --> 00:00:34.480]   It's something you do more than most.
[00:00:34.480 --> 00:00:36.320]   How do you find that balance?
[00:00:36.320 --> 00:00:41.400]   - I mean, so first of all, yeah, I got into real estate.
[00:00:41.400 --> 00:00:42.960]   I got into financial freedom,
[00:00:42.960 --> 00:00:45.960]   the pursuit of financial independence.
[00:00:45.960 --> 00:00:48.320]   And I know it's kind of a buzzword, right?
[00:00:48.320 --> 00:00:49.480]   But all I'm talking about is
[00:00:49.480 --> 00:00:50.560]   when I say financial independence,
[00:00:50.560 --> 00:00:52.320]   the ability to do what you want, where you want,
[00:00:52.320 --> 00:00:55.120]   when you want, how you want with whoever you want,
[00:00:55.120 --> 00:00:56.440]   whomever you want, I don't know.
[00:00:56.440 --> 00:00:57.880]   It's just that freedom, right?
[00:00:57.880 --> 00:00:59.440]   That comes with having money.
[00:00:59.440 --> 00:01:01.280]   It's not, it was never about getting rich,
[00:01:01.280 --> 00:01:02.440]   never about being a billionaire
[00:01:02.440 --> 00:01:03.360]   or anything like that, right?
[00:01:03.360 --> 00:01:06.680]   I wanted to pursue financial independence for one,
[00:01:06.680 --> 00:01:09.600]   two reasons, two reasons.
[00:01:09.600 --> 00:01:11.120]   And I think both of these will resonate with you, right?
[00:01:11.120 --> 00:01:13.800]   Number one, when I was growing up,
[00:01:13.800 --> 00:01:15.840]   like my dad worked really hard,
[00:01:15.840 --> 00:01:18.080]   but he wasn't there much 'cause he worked all the time.
[00:01:18.080 --> 00:01:19.560]   And so I rarely saw him.
[00:01:19.560 --> 00:01:23.160]   And I said, when I am a father someday,
[00:01:23.160 --> 00:01:25.200]   I want to be there for every ball game,
[00:01:25.200 --> 00:01:29.200]   every ballet recital, every field trip.
[00:01:29.200 --> 00:01:30.520]   I want to be there with my kids.
