
[00:00:00.040 --> 00:00:19.320]   Okay. Hey, everyone. I'm Gerry, co-founder and CEO of Llama Index. It's great to be here,
[00:00:19.320 --> 00:00:25.560]   and today my topic, the talk title, is Building AI Agents that Actually Automate Knowledge Work.
[00:00:25.560 --> 00:00:34.320]   So basically, a big promise of AI agencies is making knowledge workers more efficient. I'm sure you've
[00:00:34.320 --> 00:00:39.420]   heard the high-level business speak of this, and I copy and pasted a bunch of B2B SaaS vendors on
[00:00:39.420 --> 00:00:44.820]   the right in terms of screenshots. Increased operational efficiency, better decision-making
[00:00:44.820 --> 00:00:50.460]   through more data, but what does this actually mean? Does knowledge work automation actually just
[00:00:50.460 --> 00:00:56.280]   mean building RAG chatbots? And if not, what is the stack and what are the use cases that AI agents
[00:00:56.280 --> 00:01:02.940]   can actually do in terms of automating knowledge work? So for us, a lot of our use cases and a lot
[00:01:02.940 --> 00:01:08.580]   of our core focus areas is basically automating knowledge work over unstructured data. 90% of
[00:01:08.580 --> 00:01:16.080]   enterprise data lives within the form of documents, whether it is PDFs, PowerPoints, Word, and, you know,
[00:01:16.080 --> 00:01:21.900]   as you'll soon see, Excel. But humans have historically needed to basically read and write these types
[00:01:21.900 --> 00:01:27.180]   of docs, right? You have, you know, an investment banker or someone, you know, kind of on the customer
[00:01:27.180 --> 00:01:33.120]   support side reviewing a lot of just unstructured data and using that documentation to basically make
[00:01:33.120 --> 00:01:39.840]   decisions and take actions. For the first time, AI agents can actually reason and act over massive amounts
[00:01:39.840 --> 00:01:46.380]   of unstructured context tokens and, you know, do analysis, do research, synthesize these insights,
[00:01:46.380 --> 00:01:53.640]   and actually take actions end to end. And so for us, when we think about the use cases and the types of
[00:01:53.640 --> 00:01:58.140]   agents for automating knowledge work, they really fall into two main categories. There's what we call
[00:01:58.140 --> 00:02:04.140]   assistive agents. So those that are kind of more like a standard chat interface. They help humans get more
[00:02:04.140 --> 00:02:10.500]   information faster. And then there's automation type agents, agents that automate routine tasks,
[00:02:10.500 --> 00:02:16.020]   can run in the background, maybe require a little bit less human in the loop, and can take actions
[00:02:16.020 --> 00:02:22.260]   that automate the routine operational stuff. When we think about the stack that's required to actually
[00:02:22.260 --> 00:02:28.020]   build either the assistive or automation type agents, there's two main components. There's really,
[00:02:28.020 --> 00:02:35.280]   really nice tools, and then there's a really nice agent architecture. With MCP 808 these days, a lot of people
[00:02:35.280 --> 00:02:40.860]   are thinking about how do I build really nice tools that allow agents to interface with the external world to
[00:02:40.860 --> 00:02:47.540]   basically surface relevant context and let the agent take external actions. And a lot of the agent architecture,
[00:02:47.540 --> 00:02:53.640]   you know, there's very general reasoning loops as well as more constrained loops. It's basically how do I encode the
[00:02:53.640 --> 00:03:00.780]   the business logic through an agentic workflow to help achieve the task. So for the purposes of this talk,
[00:03:00.780 --> 00:03:05.760]   we'll talk about three main things. A lot of stuff to cover, so I'll probably pick up my clock speed a
[00:03:05.760 --> 00:03:10.680]   little bit. But basically, there is building a document toolbox, which is how do I build really nice tools to
[00:03:10.680 --> 00:03:17.700]   allow, you know, AI agents interact with massive amounts of unstructured documents. Two is agent design patterns.
[00:03:17.700 --> 00:03:23.100]   So thinking about just at a high level, the two categories of agents from assistance automation. And
[00:03:23.100 --> 00:03:29.380]   three is bringing it together in terms of document agent use cases. So first step is on building a document
[00:03:29.380 --> 00:03:37.260]   toolbox. Basically, if you think about agents interacting with tools, and as LLMs get better, you're going to
[00:03:37.260 --> 00:03:43.860]   have these very general front end interfaces like Claude or ChatGPT. Agents need access to the right tools to
[00:03:43.860 --> 00:03:48.480]   basically interface with the external world. And for the purposes of, you know, massive amounts of
[00:03:48.480 --> 00:03:54.060]   unstructured enterprise data, they basically need the right toolbox to interact with this data. It's
[00:03:54.060 --> 00:03:59.880]   basically a generalization beyond naive RAG, right? RAG is just retrieval. I know this is a RAG workshop,
[00:03:59.880 --> 00:04:07.360]   but RAG is just like retrieval and then one-shot synthesis. A lot of what agents can do over your
[00:04:07.360 --> 00:04:13.680]   documents includes retrieval, but also includes other operations like file-based search, manipulation, and more.
[00:04:13.680 --> 00:04:18.300]   And one of the points I'm trying to make is that to basically create these tool interfaces in the
[00:04:18.300 --> 00:04:23.700]   first place, you need a really nice preprocessing layer. So you need, you know, actual data connectors
[00:04:23.700 --> 00:04:29.520]   to your data sources that basically sync data from your data source into a format that your agents can
[00:04:29.520 --> 00:04:35.480]   access. You know, it could be SharePoint, Google Drive, S3, Confluence. It needs to sync permissions to
[00:04:35.480 --> 00:04:41.200]   and the right metadata. You need the right document parsing and extraction piece. More on this in just a bit,
[00:04:41.200 --> 00:04:48.080]   but you basically need actual, actually good understanding over your documents, over tables, charts, and more. And of
[00:04:48.080 --> 00:04:53.340]   course, you know, if you have a large collection of docs, you need to index it in some way. It could be vector
[00:04:53.340 --> 00:05:00.780]   indexing into, you know, vector search. It could also be indexing into a SQL table. It could be graph DBs. It could be
[00:05:00.780 --> 00:05:07.200]   anything. So basically, to ensure the data is high quality, you need this layer to actually process and structure your documents
[00:05:07.200 --> 00:05:14.080]   and expose the right tool interfaces. In terms of the right tool interfaces, this is what I want to kind of
[00:05:14.080 --> 00:05:20.540]   define a term. It's basically called like a document MCP server. Again, it's like a generalization of this idea of rag,
[00:05:20.540 --> 00:05:29.120]   right? If rag is just one shot vector retrieval, you kind of need like a set of tools to basically equip an AI agent with,
[00:05:29.120 --> 00:05:34.500]   uh, to basically, uh, understand and manipulate different types of documents. It could be, you know,
[00:05:34.500 --> 00:05:40.000]   doing semantic search to fuzzy find the relevant source of data. It could be file lookup to basically look up the
[00:05:40.000 --> 00:05:45.840]   right file metadata. Um, it could be manipulation to actually do operations on top of the files, and it could be
[00:05:45.840 --> 00:05:52.000]   structured querying, right? Quering, uh, uh, more structured database to get aggregate insights over the types of data, um,
[00:05:52.000 --> 00:06:00.000]   that, that you've extracted out. One, you know, top consideration, uh, when actually building this type of
[00:06:00.000 --> 00:06:06.000]   toolbox is, uh, complex documents. Uh, for those of you who follow our socials, we talk a lot about this type of issue
[00:06:06.000 --> 00:06:12.880]   where a lot of human knowledge in the form of like really complicated PDFs and other formats too. Embedded tables,
[00:06:12.880 --> 00:06:19.120]   charts, images, irregular layouts, headers, footers. This is typically stuff that's designed for human consumption and not machine
[00:06:19.120 --> 00:06:25.120]   consumption. And so, you know, if the documents are not processed correctly, no matter how good your LLM is, it will fail.
[00:06:25.120 --> 00:06:32.880]   So we were probably one of the first people to actually realize that LLMs and LVMs could be used for document
[00:06:32.880 --> 00:06:39.120]   understanding. Um, if, uh, in contrast to more traditional techniques where you use kind of like hand-tuned and
[00:06:39.120 --> 00:06:46.480]   task-specific ML models to achieve, uh, kind of like document parsing over a specific class of documents, LLMs actually
[00:06:46.480 --> 00:06:52.000]   have a much general layer of accuracy, um, that you can use to your advantage and just like understanding
[00:06:52.000 --> 00:06:58.000]   and inhaling any type of document with comply, uh, any type of complexity. Um, obviously the baseline
[00:06:58.000 --> 00:07:03.920]   these days is you can just screenshot a PDF, feed it into chat to your cloud. Um, it doesn't actually give
[00:07:03.920 --> 00:07:09.600]   you amazing accuracy, but it's a good start. And so one of the kind of secret sauce, like, uh, magic tricks we
[00:07:09.600 --> 00:07:16.400]   found was figuring out how to interleave LLMs and LVMs with more traditional parsing techniques and adding
[00:07:16.400 --> 00:07:22.160]   kind of test time tokens in terms of agentic validation and reasoning to really get a higher level of accuracy.
[00:07:22.160 --> 00:07:27.760]   Um, and so, you know, we have a cloud service that does document parsing and is a core step of this document
[00:07:27.760 --> 00:07:36.400]   toolbox. Uh, we basically benchmarked, uh, our modes where we adapt, uh, you know, Sana 3.5, 4.0, uh, Gemini 2.5 Pro,
[00:07:36.400 --> 00:07:42.800]   4.1 from open AI. And it basically outperforms all existing parsing benchmarks, um, and, and tools out
[00:07:42.800 --> 00:07:51.760]   there in terms of open source to proprietary. Um, yeah. So some of you might know us as a RAG framework.
[00:07:51.760 --> 00:07:56.640]   That's basically how we started. Um, you know, for those of you who don't know, we have this, uh, managed
[00:07:56.640 --> 00:08:01.680]   platform that is basically this giant AI native document toolbox, um, contains a lot of operations
[00:08:01.680 --> 00:08:05.760]   that you need to do on top of your docs. It could be document parsing, document extraction,
[00:08:06.320 --> 00:08:10.000]   uh, uses some of those, you know, kind of capabilities I just mentioned and allows you
[00:08:10.000 --> 00:08:13.440]   to parse, extract index data for all the set of tools I just mentioned.
[00:08:13.440 --> 00:08:19.840]   One of the special releases I actually want to highlight today. Um, and we just announced this
[00:08:19.840 --> 00:08:25.280]   in a blog post a few hours ago is Excel capabilities to help compliment this document toolbox.
[00:08:25.280 --> 00:08:29.680]   A lot of knowledge work happens in Microsoft Excel and also Google sheets and, you know,
[00:08:29.680 --> 00:08:35.920]   numbers and basically it's spreadsheets, right? But it's been unsolved by LLMs. Um, if you look at the
[00:08:35.920 --> 00:08:42.720]   document to the right, uh, neither RAG nor Texas CSV techniques will actually work over this because
[00:08:42.720 --> 00:08:47.520]   it's not really a structured 2D table. There's a bunch of gaps in the rows and gaps in the columns.
[00:08:47.520 --> 00:08:56.480]   So we basically built an Excel agent, um, that's capable of taking un-normalized Excel spreadsheets
[00:08:56.480 --> 00:09:05.840]   and transforming them, um, into a normalized 2D format and also allows you to do agentic QA, um, over, uh, both the un-normalized
[00:09:05.840 --> 00:09:12.160]   versions of the Excel spreadsheet. Um, it's a pretty cool capability. I'll describe, uh, how it kind of
[00:09:12.160 --> 00:09:18.320]   works in just a bit. Um, but it's going to complement our toolbox, right? In terms of, uh, more traditional
[00:09:18.320 --> 00:09:24.480]   document parsing, extraction, indexing, and it's available in, uh, early preview. So if you just, uh,
[00:09:24.480 --> 00:09:28.960]   take a look at the video, it's also on our blog posts. We basically uploaded that example synthetic
[00:09:28.960 --> 00:09:34.560]   data set, transformed it into a 2D table, and you can also ask questions over it to basically get
[00:09:34.560 --> 00:09:39.280]   insights. And it's really doing the heavy lifting of deeply understanding the semantic structure of
[00:09:39.280 --> 00:09:44.720]   the Excel spreadsheet, um, and then using that and plugging that in as specialized tools to an AI agent.
