
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:00:02.120 --> 00:00:03.320]   And I'm Sean Atkinson.
[00:00:03.320 --> 00:00:08.200]   We're co-hosts of the Center for Internet Security's podcast, Cybersecurity Where You Are.
[00:00:08.200 --> 00:00:11.560]   Cybersecurity affects us all, whether we're at home or in the office.
[00:00:11.560 --> 00:00:17.660]   So join us as we discuss trends and threats, security best practices, and interview industry experts.
[00:00:17.660 --> 00:00:21.180]   With our years of experience and unwavering interest in all things cyber,
[00:00:21.180 --> 00:00:25.040]   we'll cover topics that will help you create confidence in the connected world.
[00:00:25.040 --> 00:00:28.660]   Cybersecurity Where You Are is available on all streaming platforms.
[00:00:28.660 --> 00:00:58.640]   Cybersecurity Where You Are
[00:00:58.640 --> 00:01:06.920]   So welcome to the Radical Personal Finance podcast for today.
[00:01:06.920 --> 00:01:09.880]   Today is Tuesday, July 15, 2014.
[00:01:09.880 --> 00:01:13.660]   And in today's show, we're going to be talking about one of my favorite subjects
[00:01:13.660 --> 00:01:18.980]   and a subject that I feel is absolutely valuable to just about every aspect of financial planning,
[00:01:18.980 --> 00:01:20.520]   which is entrepreneurship.
[00:01:20.520 --> 00:01:26.320]   And I'm going to introduce you to one of my favorite podcasts that I enjoy listening to
[00:01:26.320 --> 00:01:28.520]   and the host of that podcast, whose name is Jacob.
[00:01:28.520 --> 00:01:32.360]   Jake lives in the UK, and he's with us on the line.
[00:01:32.360 --> 00:01:33.240]   And we'll just get right into it.
[00:01:33.240 --> 00:01:35.300]   Jake, welcome to the Radical Personal Finance podcast.
[00:01:35.300 --> 00:01:36.820]   Thanks, Joshua.
[00:01:36.820 --> 00:01:38.440]   Great to be chatting to you.
[00:01:38.440 --> 00:01:43.380]   So I don't want to sound too much like an overly adoring fan,
[00:01:43.380 --> 00:01:48.480]   but I do want to just tell you publicly and then tell the audience that I have thoroughly enjoyed the work that you have done
[00:01:48.480 --> 00:01:52.420]   through your podcast, through your website, and then also through the book that you've recently written.
[00:01:52.420 --> 00:01:58.460]   And I am sure that it has not been easy to produce all the content that you have produced,
[00:01:58.460 --> 00:02:01.740]   but I just want to say thank you for that, and I've really enjoyed it.
[00:02:01.740 --> 00:02:04.800]   So I appreciate all the work that you've done to produce the great content over the years.
[00:02:04.800 --> 00:02:07.040]   Awesome. That's great to hear. Thank you.
[00:02:07.040 --> 00:02:11.880]   So what I'd like to spend today doing is mainly talking about your book,
[00:02:11.880 --> 00:02:16.720]   which is called Becoming an Entrepreneur, How to Find Freedom and Fulfillment as a Business Owner.
[00:02:16.720 --> 00:02:23.080]   But before we get into that, and I hope to get into some specifics and talk about some of the ideas contained therein,
[00:02:23.080 --> 00:02:26.020]   could you give us just a quick background on yourself, a little bit of an introduction,
[00:02:26.020 --> 00:02:28.200]   and a quick background on your story?
[00:02:28.200 --> 00:02:36.400]   Sure. Well, I'm from the UK, and I did many things in my 20s before becoming an entrepreneur.
[00:02:36.400 --> 00:02:43.260]   I did a lot of postgraduate study, wasn't really sure what sort of career path to go into,
[00:02:43.260 --> 00:02:47.460]   didn't really even like the idea of a career path and working for somebody else.
[00:02:47.460 --> 00:02:56.080]   And I started a business using some of the things that I'd learned in postgraduate research about pedestrian flows.
[00:02:56.080 --> 00:02:58.080]   So I started my own.
[00:02:58.080 --> 00:03:01.520]   I started my own consulting company that was advising on pedestrian movement,
[00:03:01.520 --> 00:03:03.860]   and we were advising shopping centers and developers,
[00:03:03.860 --> 00:03:10.860]   and built that company until it got to the point where I was able to sell it,
[00:03:10.860 --> 00:03:13.320]   got its profitability, and then was able to sell it.
[00:03:13.320 --> 00:03:21.920]   And at that point, I basically quit the rat race and decided to focus on just doing other things that would bring me fulfillment.
[00:03:21.920 --> 00:03:27.260]   And part of those things has been learning about other ways that other people have quit the rat race,
[00:03:27.260 --> 00:03:27.920]   and that's really...
[00:03:27.920 --> 00:03:30.780]   That's really what my podcast, Voluntary Life, has covered.
[00:03:30.780 --> 00:03:37.520]   It's been about sort of the key benefits that I can see from entrepreneurship itself
[00:03:37.520 --> 00:03:40.300]   for finding more freedom and fulfillment in your life,
[00:03:40.300 --> 00:03:45.740]   and also talking to other people who have pursued their own entrepreneurial ventures
[00:03:45.740 --> 00:03:50.040]   and found other ways to find ways to quit the rat race themselves.
[00:03:50.040 --> 00:03:51.900]   So that's what I do now.
[00:03:51.900 --> 00:03:54.400]   I'm kind of a perpetual traveler.
[00:03:54.400 --> 00:03:57.900]   We're in the UK again at the moment, but we've spent most of the last two years,
[00:03:57.900 --> 00:04:03.720]   mainly in Mexico and South America, and I'm now focusing on writing.
[00:04:03.720 --> 00:04:08.460]   So I've just published the book that you mentioned, and I have another couple of books coming out soon.
[00:04:08.460 --> 00:04:12.800]   And yeah, just really enjoying this new phase in my life.
[00:04:12.800 --> 00:04:14.820]   I wasn't aware that you had new books coming out.
[00:04:14.820 --> 00:04:17.500]   What's the topic of your new books that you're working on going to be?
[00:04:17.500 --> 00:04:19.780]   Sorry, could you say that again?
[00:04:19.780 --> 00:04:22.420]   What's the topic of your new books that you're working on going to be?
[00:04:22.420 --> 00:04:27.580]   So I've got one that's just about to come out on a website called liberty.me,
[00:04:27.580 --> 00:04:30.780]   and that is a guide for negotiation.
[00:04:30.780 --> 00:04:32.400]   It's a book all about negotiation.
[00:04:32.400 --> 00:04:38.860]   So this is just a short guide, and I'm also working on a book really about for ways to quit the rat race.
[00:04:38.860 --> 00:04:43.460]   So I think you've seen that presentation that I did, and I'm writing that up.
[00:04:43.460 --> 00:04:46.520]   So that will be coming out as a book later this year as well.
[00:04:46.520 --> 00:04:50.520]   I have seen that presentation, and I'll make sure I would encourage if anybody hasn't,
[00:04:50.520 --> 00:04:55.940]   I will link to it on your website or your YouTube video at least of it in the show notes
[00:04:55.940 --> 00:04:57.400]   because it is well worth discussing.
[00:04:57.400 --> 00:05:01.660]   And I like how in that presentation you pull together the different ideas
[00:05:01.660 --> 00:05:06.380]   and you bring together the four ways that you see to get out of the rat race.
[00:05:06.380 --> 00:05:12.740]   And those four ways are off the top of my head, entrepreneurship, extreme savings.
[00:05:12.740 --> 00:05:15.000]   What were your four ways that you categorized it?
[00:05:15.000 --> 00:05:21.760]   Yeah, so basically unjobbing is one of them, extreme saving,
