
[00:00:00.000 --> 00:00:06.880]   Welcome everyone.
[00:00:06.880 --> 00:00:09.680]   Uh, this is natural language understanding.
[00:00:09.680 --> 00:00:16.440]   Uh, it is a weird and wonderful and maybe worrying moment to be doing natural language understanding.
[00:00:16.440 --> 00:00:25.440]   My goal for today is just to kind of immerse us in this moment and think about how we got here and what it's like to be doing research now.
[00:00:25.440 --> 00:00:35.040]   And I think that'll set us up well to think about what we're gonna do in the course and how that's gonna set you up to participate in this moment in AI,
[00:00:35.040 --> 00:00:38.240]   uh, in many ways, in whichever ways you choose.
[00:00:38.240 --> 00:00:40.920]   And it's an especially impactful moment to be doing that.
[00:00:40.920 --> 00:00:43.200]   And this is a project-oriented course.
[00:00:43.200 --> 00:00:53.000]   And I feel like we can get you all to the point where you are doing meaningful things that contribute to this ongoing moment in ways that are gonna be exciting and impactful.
[00:00:53.000 --> 00:00:55.960]   That is the fundamental goal of the course.
[00:00:55.960 --> 00:00:57.560]   Let's now think about the current moment.
[00:00:57.560 --> 00:01:00.240]   This is always a moment of reflection for me.
[00:01:00.240 --> 00:01:06.480]   I started teaching this course in 2012, um, which I guess is ages ago now.
[00:01:06.480 --> 00:01:11.480]   It feels recent in my lived experience, but it does feel like ages ago in terms of the content.
[00:01:11.480 --> 00:01:15.240]   In 2012, on the first day, I had a slide that looked like this.
[00:01:15.240 --> 00:01:20.440]   I said, "It was an exciting time to be doing natural language understanding research."
[00:01:20.440 --> 00:01:28.760]   I noted that there was a resurgence of interest in the area after a long period of people mainly focused on syntax and things like that.
[00:01:28.760 --> 00:01:37.120]   But there was a widespread perception that NLU was- was on- was poised for a breakthrough and to have huge impact that was relating to business things,
[00:01:37.120 --> 00:01:40.200]   and that there was a white-hot job market for Stanford grads.
[00:01:40.200 --> 00:01:45.600]   A lot of this language is coming from the fact that we were in this moment when Siri had just launched,
[00:01:45.600 --> 00:01:48.440]   Watson had just won on Jeopardy,
[00:01:48.440 --> 00:01:56.840]   and we had all of these in-home devices and all the tech giants kind of competing on what was emerging as the field of natural language understanding.
[00:01:56.840 --> 00:01:59.120]   Let's fast forward to 2022.
[00:01:59.120 --> 00:02:06.720]   I did feel like I should update that in 2022 by saying this is the most exciting moment ever as opposed to it just being an exciting time.
[00:02:06.720 --> 00:02:09.280]   But I emphasize the same things, right?
[00:02:09.280 --> 00:02:14.640]   We were on- in this feeling that we had experienced a resurgence of interest in the area,
[00:02:14.640 --> 00:02:17.120]   although now it was hyper-intensified.
[00:02:17.120 --> 00:02:18.560]   Same thing with industry.
[00:02:18.560 --> 00:02:24.560]   The industry interest at this point makes the stuff from 2012 look like small potatoes.
[00:02:24.560 --> 00:02:27.400]   Systems were getting very impressive,
[00:02:27.400 --> 00:02:29.580]   but and I maintain this here,
[00:02:29.580 --> 00:02:31.940]   they show their weaknesses very quickly,
[00:02:31.940 --> 00:02:35.640]   and the core things about NLU remain far from solved.
[00:02:35.640 --> 00:02:37.920]   So the big breakthroughs lie in the future.
[00:02:37.920 --> 00:02:40.440]   I will say that even since 2022,
[00:02:40.440 --> 00:02:42.960]   it has felt like there has been an acceleration,
