
[00:00:00.000 --> 00:00:06.360]   Today on the show we dig into frugal fashion tips for men with Steve from stevenomics.com
[00:00:06.360 --> 00:00:08.520]   he's listener of the show longtime listener and
[00:00:08.520 --> 00:00:12.720]   an expert on how to express your
[00:00:12.720 --> 00:00:15.380]   sartorial self for less
[00:00:15.380 --> 00:00:22.000]   First though sponsor of the day today is audible and I'm gonna share with you a book recommendation
[00:00:22.000 --> 00:00:25.800]   Which would be an excellent book for you to own with your audible subscription
[00:00:25.800 --> 00:00:32.840]   The book is called the success principles by Jack Canfield. I first came across this book years ago in the bookstore
[00:00:32.840 --> 00:00:39.440]   Subsequently got the audiobook and it's a book. I have returned to many times and recommended to many people
[00:00:39.440 --> 00:00:44.360]   It's a very thick book, but it's divided into very short and pithy chapters
[00:00:44.360 --> 00:00:49.760]   And it's one of the really excellent success books to go over and go through yourself
[00:00:49.760 --> 00:00:54.760]   The audiobook version as long as you get the unabridged one is about 21 hours and 11 minutes
[00:00:54.760 --> 00:00:58.400]   But what's beautiful about it is it's divided into short pithy chapters
[00:00:58.400 --> 00:01:03.520]   And this would be a good one to listen to a chapter a day in the past actually with my family at one of our
[00:01:03.520 --> 00:01:07.280]   Meals, I've gone through the success principles and read it to my family one chapter a day
[00:01:07.280 --> 00:01:11.960]   If you haven't read it before check out the book the success principles by Jack Canfield
[00:01:11.960 --> 00:01:17.840]   Get it as your free first month download which you can get at radical audio books
[00:01:17.840 --> 00:01:21.760]   Calm sign up for a free subscription to audible you get one free audio book
[00:01:22.080 --> 00:01:25.840]   Make this your first one if you haven't read it go to radical audiobooks
[00:01:25.840 --> 00:01:28.360]   calm
[00:01:28.360 --> 00:01:48.800]   Welcome to the radical personal finance podcast. My name is Joshua sheets, and I'm your host. Thank you so much for being here
[00:01:49.440 --> 00:01:57.240]   You're tuning in for the first time. This is the show where we talk about financial independence and living the good life the rich life
[00:01:57.240 --> 00:02:03.000]   Now here's what you need to know the pursuit of financial independence is not in contradiction
[00:02:03.000 --> 00:02:09.960]   To living the good life now we support doing both of those wholeheartedly and today we're gonna talk about how
[00:02:15.360 --> 00:02:18.400]   My guest today is a listener of the show his name is Steve
[00:02:18.400 --> 00:02:22.540]   He writes a blog at Steve onomics calm and as you'll hear in just a moment as soon as I play the interview
[00:02:22.540 --> 00:02:26.320]   He was a very earlier listener of radical personal finance
[00:02:26.320 --> 00:02:30.360]   But I think you're really gonna benefit and value from some of his content today
[00:02:30.360 --> 00:02:34.960]   He's gonna share with you some ideas around how to build an excellent wardrobe
[00:02:34.960 --> 00:02:37.560]   for not much money, it's hard to
[00:02:37.560 --> 00:02:41.480]   guess I was gonna say it's hard to overstate the importance but
[00:02:41.480 --> 00:02:44.720]   Looking great is very important
[00:02:45.720 --> 00:02:51.280]   It'd be nice if people judged you like God judged you which is just look just to look at the inside
[00:02:51.280 --> 00:02:53.280]   But unfortunately, that's just not the facts
[00:02:53.280 --> 00:02:59.080]   People look at the outside God looks at the inside. So today let's talk about the outside and
[00:02:59.080 --> 00:03:07.520]   I'm convinced that it's possible to live a rich life and express your fashion sense and develop a wardrobe that's useful to you
[00:03:07.520 --> 00:03:13.520]   Without breaking the buck break without breaking the bank and today Steve's gonna share with us some ideas
[00:03:13.600 --> 00:03:17.960]   Make sure you stay tuned to the end of the show where I'm gonna share with you some things that are important for you
[00:03:17.960 --> 00:03:21.840]   To notice about Steve's story in and of itself
[00:03:21.840 --> 00:03:24.880]   To make sure that you're doing what he's doing
[00:03:24.880 --> 00:03:32.040]   Steve welcome to the radical personal finance podcast. I appreciate you being with me today. No, just what thanks for having me
[00:03:32.040 --> 00:03:38.320]   So you're a listener of the show longtime listener the show and as we begin, I just want to say thank you for your
[00:03:39.280 --> 00:03:42.760]   Longtime not only listenership, but also patronage of the show
[00:03:42.760 --> 00:03:48.600]   I have your I received an email from you in the very beginning weeks of the show
[00:03:48.600 --> 00:03:52.360]   that was one of the emails that really encouraged me to
[00:03:52.360 --> 00:03:55.680]   Continue on with creating radical personal finance
[00:03:55.680 --> 00:04:01.280]   And I want to thank you for making the time to reach out to me and and and encourage me when I was starting the show
[00:04:01.280 --> 00:04:05.320]   So as a podcast host to a longtime listener, thank you very much
