
[00:00:00.000 --> 00:00:03.060]   [MUSIC PLAYING]
[00:00:03.060 --> 00:00:05.060]   For a lot of these things, it's actually really easy
[00:00:05.060 --> 00:00:06.260]   to make something poisonous.
[00:00:06.260 --> 00:00:10.180]   And as governments, as industry has grown recognition
[00:00:10.180 --> 00:00:12.380]   of this fact, you just have this recurring theme
[00:00:12.380 --> 00:00:16.700]   that all of a sudden, you invent a miracle, something or other,
[00:00:16.700 --> 00:00:17.940]   of plastics.
[00:00:17.940 --> 00:00:20.820]   Plastics were thought to be the way of the future in the 1950s.
[00:00:20.820 --> 00:00:23.540]   They're also a type of just molecular product.
[00:00:23.540 --> 00:00:25.420]   And now we find they choke seagulls.
[00:00:25.420 --> 00:00:28.060]   They choke baby turtles.
[00:00:28.060 --> 00:00:29.980]   There's microplastics everywhere.
[00:00:29.980 --> 00:00:32.860]   And I think this is a type of generalized toxicity issue
[00:00:32.860 --> 00:00:36.500]   that we realize if you make large quantities
[00:00:36.500 --> 00:00:38.900]   of a new substance that the world brought these
[00:00:38.900 --> 00:00:42.020]   and prepared to digest, what happens
[00:00:42.020 --> 00:00:45.140]   is 30 years down the line, you're like, oh, crap.
[00:00:45.140 --> 00:00:46.580]   I killed off the trout.
[00:00:46.580 --> 00:00:49.020]   I killed off the eagles.
[00:00:49.020 --> 00:00:50.740]   So it all kind of comes down to the fact
[00:00:50.740 --> 00:00:54.180]   that I think living systems are extraordinarily complicated.
[00:00:54.180 --> 00:00:58.380]   And making something that is tested and safe for a living
[00:00:58.380 --> 00:01:01.140]   thing to interact is actually very challenging.
[00:01:01.140 --> 00:01:03.540]   You're listening to Gradient Dissent, a show where
[00:01:03.540 --> 00:01:05.780]   we learn about making machine learning models work
[00:01:05.780 --> 00:01:06.780]   in the real world.
[00:01:06.780 --> 00:01:08.660]   I'm your host, Lukas Biewald.
[00:01:08.660 --> 00:01:10.420]   I'm especially excited to talk to Bharat
[00:01:10.420 --> 00:01:14.060]   because he created the DeepChem open source project, which
[00:01:14.060 --> 00:01:15.580]   we've seen a lot of our customers
[00:01:15.580 --> 00:01:17.500]   at Weights & Biases using.
