
[00:00:00.000 --> 00:00:23.920]   - Hello, everyone, I'm Boris, I'm a member of technical staff here at Anthropic, and I
[00:00:23.920 --> 00:00:28.420]   created QuadCode, and here to talk to you a little bit about some practical tips and
[00:00:28.420 --> 00:00:33.380]   tricks for using QuadCode. It's going to be very practical, I'm not going to go too much into
[00:00:33.380 --> 00:00:39.320]   the history or the theory or anything like this. And yeah, before we start, actually, can
[00:00:39.320 --> 00:00:45.040]   we get a quick show of hands, who has used QuadCode before? Yeah, all right, that's what
[00:00:45.040 --> 00:00:49.400]   we like to see. For everyone that didn't raise your hands, I know you're not supposed to do
[00:00:49.400 --> 00:00:56.840]   this while people are talking, but if you can open your laptop and type this, and this will
[00:00:56.840 --> 00:01:07.520]   help you install QuadCode just so you can follow along for the rest of the talk. All you need
[00:01:07.520 --> 00:01:11.800]   is Node.js if you have it, this should work.
[00:01:11.800 --> 00:01:18.760]   Do you want us all to open the QuadCode? Yeah, well, you don't have to follow along, but if
[00:01:18.760 --> 00:01:25.940]   you don't have it yet, yeah, this is your chance to install it so you can follow along.
[00:01:25.940 --> 00:01:32.280]   So what is QuadCode? QuadCode is a new kind of AI assistant, and there's been different generations
[00:01:32.280 --> 00:01:37.040]   of AI assistants for coding. Most of them have been about completing, you know, like a line
[00:01:37.040 --> 00:01:42.280]   at a time, completing a few lines of code at a time. QuadCode is not for that, it's fully
[00:01:42.280 --> 00:01:48.720]   agentic. So it's meant for building features, for writing entire functions, entire files,
[00:01:48.720 --> 00:01:54.800]   fixing entire bugs at the same time. And what's kind of cool about QuadCode is it works with
[00:01:54.800 --> 00:01:59.040]   all of your tools, and you don't have to change out your workflow, you don't have to swap everything
[00:01:59.040 --> 00:02:05.520]   to start using it. So whatever IDE you use, if you use VS code, or if you use Xcode, or if
[00:02:05.520 --> 00:02:10.960]   you use JetBrains IDEs, there's some people at Anthropic that you can't pry them from their
[00:02:10.960 --> 00:02:16.160]   cold, dead hands, but they use QuadCode. Because QuadCode works with every single IDE, every terminal
[00:02:16.160 --> 00:02:23.040]   out there. It will work locally, over remote SSH, over Tmux, whatever environment you're in,
[00:02:23.040 --> 00:02:30.880]   you can run it. It's general purpose, and this is something where if you haven't used these kind of
[00:02:30.880 --> 00:02:35.840]   free-form coding assistants in the past, it can be kind of hard to figure out how to get started,
[00:02:35.840 --> 00:02:39.600]   because you open it up, and you just see a prompt bar, and you might wonder, like, what do I do with
[00:02:39.600 --> 00:02:45.200]   this? What do I type in? It's a power tool, so you can use it for a lot of things, but also because it
[00:02:45.200 --> 00:02:49.440]   can do so much, we don't try to guide you towards a particular workflow. Because really, you should be able
[00:02:49.440 --> 00:02:58.960]   to use it however you want as an engineer. As you open up QuadCode for the first time, there's a few
[00:02:58.960 --> 00:03:04.320]   things that we recommend doing to get your environment set up, and these are pretty straightforward. So,
[00:03:04.320 --> 00:03:08.320]   run Terminal Setup, this will give you Shift+Enter for new lines, so you don't have to do, like,
[00:03:08.320 --> 00:03:12.240]   backslashes to enter new lines. This is, you know, it makes it a little bit nicer to use.
[00:03:13.040 --> 00:03:20.880]   Do /theme to set light mode, or dark mode, or Daltonize themes. You can do /install GitHub app. So,
[00:03:20.880 --> 00:03:28.800]   today, we announced a GitHub app where you can add, mention, Claude on any GitHub issue or pull request.
[00:03:28.800 --> 00:03:35.360]   So, to install it, just run this command in your terminal. You can customize the set of allowed tools
