
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.420]   - We have a lot of young listeners
[00:00:06.420 --> 00:00:07.500]   who are heading into marriage
[00:00:07.500 --> 00:00:10.400]   without a lot of examples in their lives to learn from,
[00:00:10.400 --> 00:00:13.180]   and they are asking some really good questions
[00:00:13.180 --> 00:00:14.980]   about the basics of marriage.
[00:00:14.980 --> 00:00:18.340]   One such listener is Cassie, who writes in to ask this,
[00:00:18.340 --> 00:00:22.220]   "Hello, Pastor John, I'm engaged and need practical advice.
[00:00:22.220 --> 00:00:24.020]   "What does it mean and look like
[00:00:24.020 --> 00:00:27.060]   "for me to submit to my husband?"
[00:00:29.140 --> 00:00:33.180]   - God loves his people, God loves Cassie,
[00:00:33.180 --> 00:00:37.660]   and does not command us things that are bad for us.
[00:00:37.660 --> 00:00:40.060]   That's just so basic in this issue.
[00:00:40.060 --> 00:00:42.560]   God is a good father.
[00:00:42.560 --> 00:00:47.560]   He knows manhood, he knows womanhood, he knows them deeply,
[00:00:47.560 --> 00:00:52.140]   and he knows how deeply life can be beautiful together
[00:00:52.140 --> 00:00:54.220]   when these things are lived out
[00:00:54.220 --> 00:00:56.700]   according to his good purposes.
[00:00:56.700 --> 00:01:00.740]   He has given us, he's given to you, Cassie,
[00:01:00.740 --> 00:01:03.940]   amazing gifts of sexuality,
[00:01:03.940 --> 00:01:07.980]   and amazing gifts of difference between manhood and womanhood
[00:01:07.980 --> 00:01:10.300]   that go deeper than sexual organs.
[00:01:10.300 --> 00:01:14.020]   We are male and female all the way down,
[00:01:14.020 --> 00:01:17.540]   and this is so great and so precious and so pervasive
[00:01:17.540 --> 00:01:21.420]   and so profound and so powerful
[00:01:21.420 --> 00:01:26.420]   that I think we would be foolish to experiment
[00:01:26.540 --> 00:01:31.060]   with it from generation to generation the way the world does.
[00:01:31.060 --> 00:01:33.300]   Like, let's just make something new out of what women are.
[00:01:33.300 --> 00:01:35.620]   Let's just make something new out of what men are.
[00:01:35.620 --> 00:01:40.620]   We would be wise with only one life to live,
[00:01:40.620 --> 00:01:45.380]   to listen to our maker, our designer,
[00:01:45.380 --> 00:01:49.300]   our father, our friend, our redeemer,
[00:01:49.300 --> 00:01:53.260]   and bring our manhood and womanhood into line
[00:01:53.260 --> 00:01:56.660]   with what he has revealed.
[00:01:56.660 --> 00:01:59.640]   So we only have time here for a few comments,
[00:01:59.640 --> 00:02:02.220]   but I've written a whole book on marriage
[00:02:02.220 --> 00:02:03.480]   that I would point you to,
[00:02:03.480 --> 00:02:05.660]   and I've written "What's the Difference
[00:02:05.660 --> 00:02:07.020]   of Manhood and Womanhood,"
[00:02:07.020 --> 00:02:09.700]   and I've edited a big blue book on this issue,
[00:02:09.700 --> 00:02:14.700]   so if this feels inadequate, it's because it is inadequate.
[00:02:14.700 --> 00:02:19.140]   Never, ever stop learning and growing.
[00:02:19.140 --> 00:02:22.580]   I'm not gonna do any exegesis, for example,
[00:02:22.580 --> 00:02:25.220]   any Bible interpretation in this.
[00:02:25.220 --> 00:02:27.700]   I'm just gonna apply things I've studied,
[00:02:27.700 --> 00:02:28.540]   but if you wanna study,
[00:02:28.540 --> 00:02:31.460]   I'm taking it almost all from Genesis 1 to 3,
[00:02:31.460 --> 00:02:34.980]   Ephesians 5, 21 to 33, 1 Peter 3, 1 to 7,
[00:02:34.980 --> 00:02:39.980]   2 Timothy 2, 8 to 15, 1 Corinthians 11, 1 to 16,
[00:02:39.980 --> 00:02:42.380]   and the way the New Testament shows Christ
[00:02:42.380 --> 00:02:43.500]   and his church interacting.
[00:02:43.500 --> 00:02:44.980]   So here are what?
