
[00:00:00.000 --> 00:00:05.000]   [intro music]
[00:00:05.000 --> 00:00:12.000]   Alright, so speaking of Deep Living and Productivity, this is the first show that we are recording
[00:00:12.000 --> 00:00:20.000]   in March of 2022. So, as is our tradition, I wanted to do a segment in which I go through
[00:00:20.000 --> 00:00:28.000]   the books I read during the previous month. So, the books I read in February 2022.
[00:00:28.000 --> 00:00:33.000]   As long-time listeners of the show know, I typically aim to read five books per month.
[00:00:33.000 --> 00:00:37.000]   I count books in the month in which I finish them.
[00:00:37.000 --> 00:00:40.000]   So, you have to break that symmetry somehow. That is how I break it.
[00:00:40.000 --> 00:00:47.000]   I'll say, Jesse, this was a weird reading month for me. I have some unusual choices.
[00:00:47.000 --> 00:00:53.000]   It was an unusual month and I was grabbing stuff kind of randomly. So, you'll see, as will the listeners here.
[00:00:53.000 --> 00:00:59.000]   Alright, so let's start with the first book I read in the month. I just grabbed this out of a little free library
[00:00:59.000 --> 00:01:02.000]   here in Tacoma Park and read it in a day or two. It was not a long book.
[00:01:02.000 --> 00:01:11.000]   It was called Living with a Seal by Jesse Itzler. It is a book where Jesse Itzler, who is an entrepreneur,
[00:01:11.000 --> 00:01:17.000]   among other things, I think he worked with like NetJets or one of these jet leasing. Do you know him?
[00:01:17.000 --> 00:01:18.000]   I've read the book, yeah.
[00:01:18.000 --> 00:01:23.000]   You've read the book, okay. So, anyways, he hired who turns out to be David Goggins,
[00:01:23.000 --> 00:01:29.000]   though it's not revealed in the book, to live with him for a month and make him do these terrible intense workouts.
[00:01:29.000 --> 00:01:35.000]   And so, it was interesting. I was interested. I find Goggins to be an interesting character, so I read the book.
[00:01:35.000 --> 00:01:39.000]   I will say, and I don't know how to say this without, this is going to sound a little bit snobbish,
[00:01:39.000 --> 00:01:47.000]   but I'm not that used to this style of ultra accessible nonfiction.
[00:01:47.000 --> 00:01:54.000]   So, there's this style of ultra accessible nonfiction where the chapters are three or four pages long
[00:01:54.000 --> 00:02:00.000]   and it moves at a really fast rate and it's, I don't want to say it's superficial,
[00:02:00.000 --> 00:02:04.000]   but it's just we did this and that and this and it's very compulsively readable.
[00:02:04.000 --> 00:02:08.000]   And I think this book sold really well. And what I realized, and again, there's no way to talk about this
[00:02:08.000 --> 00:02:14.000]   without sounding like a super snob, is that there's a whole genre of nonfiction that's made to be very accessible,
[00:02:14.000 --> 00:02:22.000]   very short chapters. It moves really fast. It's sort of the opposite, I guess, of some of the nonfiction worlds
[00:02:22.000 --> 00:02:27.000]   in which I swim. And so, that was an interesting part about reading this book, was saying,
[00:02:27.000 --> 00:02:34.000]   oh, there is this sort of bubblegum nonfiction world out there. And I think it's good.
[00:02:34.000 --> 00:02:41.000]   That's what I was exposed to. It was an interesting book. All right. Another book I read was Susan Casey's
[00:02:41.000 --> 00:02:51.000]   latest, Voices in the Ocean. So, Susan Casey wrote The Devil's Teeth, which I really like.
[00:02:51.000 --> 00:02:56.000]   This is a book about the, what do they call it, the Faroe or Farallon Islands off of San Francisco.
[00:02:56.000 --> 00:03:01.000]   Anyways, it's one of the great white shark hot spots in the world.
[00:03:01.000 --> 00:03:06.000]   It's just surrounded by great white sharks. They're attracted by the seals, and there's researchers out there
[00:03:06.000 --> 00:03:09.000]   who study them. And she went out there, and it's about the sharks and about the research.
[00:03:09.000 --> 00:03:14.000]   That was great. She wrote The Wave, which I really like, which is about large waves.
[00:03:14.000 --> 00:03:19.000]   But half of the book is her following Laird Hamilton to do big wave surfing. That's another fantastic book.
[00:03:19.000 --> 00:03:25.000]   Anyway, she has this style where what she does is goes on adventures. She meets interesting people
[00:03:25.000 --> 00:03:30.000]   and goes and does interesting things and uses that as the narrative spine for writing about a topic
[00:03:30.000 --> 00:03:36.000]   like great white sharks or large waves. So this was about dolphins. Voices in the Ocean is about dolphins.
[00:03:36.000 --> 00:03:42.000]   And so she goes on various adventures. She goes to travel to see various places where dolphins
[00:03:42.000 --> 00:03:48.000]   are being held in captivity. She goes to the Solomon Islands where there is a dolphin trading going on,
[00:03:48.000 --> 00:03:53.000]   and it's a little bit shady. She likes to put herself in the semi-danger as part of these books.
