
[00:00:00.000 --> 00:00:06.000]   Welcome back everyone.
[00:00:06.000 --> 00:00:08.900]   This is part two in our series on in-context learning.
[00:00:08.900 --> 00:00:10.740]   I thought I'd cover some core concepts.
[00:00:10.740 --> 00:00:11.760]   For the most part,
[00:00:11.760 --> 00:00:14.560]   I think these concepts are a review for you all,
[00:00:14.560 --> 00:00:16.780]   but I thought it would be good to get them into
[00:00:16.780 --> 00:00:20.000]   our common ground to help us think about them as
[00:00:20.000 --> 00:00:21.440]   we think about what's happening with
[00:00:21.440 --> 00:00:23.600]   in-context learning techniques.
[00:00:23.600 --> 00:00:26.760]   To start, let's just establish some terminology.
[00:00:26.760 --> 00:00:28.280]   I think there's a lot of variation in how
[00:00:28.280 --> 00:00:30.080]   these terms are used in the literature,
[00:00:30.080 --> 00:00:32.440]   and I thought I would just try to be clear about what I
[00:00:32.440 --> 00:00:35.220]   mean with these various crucial phrases.
[00:00:35.220 --> 00:00:37.120]   Let's start with in-context learning.
[00:00:37.120 --> 00:00:38.600]   When I say in-context learning,
[00:00:38.600 --> 00:00:41.160]   I mean a frozen language model
[00:00:41.160 --> 00:00:45.640]   performs a task only by conditioning on the prompt text.
[00:00:45.640 --> 00:00:48.100]   It's frozen, that is there are no gradient updates.
[00:00:48.100 --> 00:00:51.320]   The only mechanism we have for learning is that we input
[00:00:51.320 --> 00:00:53.680]   some text and that puts the model in
[00:00:53.680 --> 00:00:55.640]   a temporary state that we hope is
[00:00:55.640 --> 00:01:01.240]   useful for having it generate things that we regard as useful for our task.
[00:01:01.240 --> 00:01:05.000]   Few shot in-context learning is a special case of that.
[00:01:05.000 --> 00:01:07.880]   This is where the prompt includes examples of
[00:01:07.880 --> 00:01:10.880]   the intended behavior and no examples
[00:01:10.880 --> 00:01:14.040]   of the intended behavior were seen in training.
[00:01:14.040 --> 00:01:18.400]   Of course, we are unlikely to be able to verify two.
[00:01:18.400 --> 00:01:22.060]   In this modern era where models are trained on massive amounts of text,
[00:01:22.060 --> 00:01:24.420]   we'll have no idea typically what was in
[00:01:24.420 --> 00:01:28.160]   those training datasets often we have no ability to audit them.
[00:01:28.160 --> 00:01:32.720]   We might not be sure whether we're actually doing few shot in-context learning.
[00:01:32.720 --> 00:01:36.200]   But this is the ideal and the spirit of this is
[00:01:36.200 --> 00:01:39.560]   that if models have seen examples of this type in training,
[00:01:39.560 --> 00:01:41.000]   it's hardly few shot anymore.
[00:01:41.000 --> 00:01:44.620]   The whole point is to see whether with just a few instances,
[00:01:44.620 --> 00:01:47.560]   models can do what we want them to do.
[00:01:47.560 --> 00:01:50.940]   I'll also acknowledge that the term few shot is
[00:01:50.940 --> 00:01:55.140]   used in more traditional supervised learning settings in
[00:01:55.140 --> 00:01:59.060]   the sense of training on a few examples with gradient updates.
[00:01:59.060 --> 00:02:03.300]   I'm just emphasizing that when I say few shot in this lecture series,
[00:02:03.300 --> 00:02:08.860]   I'm always going to mean few shot in-context learning with no gradient updates.
[00:02:08.860 --> 00:02:12.500]   Zero shot in-context learning is another special case.
[00:02:12.500 --> 00:02:16.320]   This is where the prompt includes no examples of the intended behavior,
[00:02:16.320 --> 00:02:20.180]   but I'll allow that it could contain some instructions.
