
[00:00:00.000 --> 00:00:06.640]   this first paper okay this first paper needs to basically be all like discussion based there's
[00:00:06.640 --> 00:00:14.320]   not that much here it's not that much rigor but anyway uh tlbr apple puts out a paper saying
[00:00:14.320 --> 00:00:19.560]   reasoning models are fake reasoning doesn't exist so this kind of blows up on twitter a bunch of
[00:00:19.560 --> 00:00:25.000]   people in discord wanted to discuss this where apple is basically like you know we can't put out
[00:00:25.000 --> 00:00:28.980]   good models everyone's like okay apple you never made a good model you couldn't really join the
[00:00:28.980 --> 00:00:34.680]   race you last year at wwdc announced like you know apple intelligence apple intelligence everything
[00:00:34.680 --> 00:00:39.060]   apple intelligence you didn't ship ship your model suck and now they dropped the bomb on this everyone's
[00:00:39.060 --> 00:00:44.780]   doing it wrong the illusion of thinking um and basically people on twitter overtook this and said
[00:00:44.780 --> 00:00:49.500]   okay apple is saying like models don't reason that's not really true you look at the headline
[00:00:49.500 --> 00:00:54.320]   understanding the strengths and limitations of reasoning models actually about you know like
[00:00:54.320 --> 00:01:00.580]   okay how like where do they struggle where are they good and they have like a few key points here but
[00:01:00.580 --> 00:01:05.840]   there's not much to it so you know feel free to jump in whenever i'll have chat opened up
[00:01:05.840 --> 00:01:13.260]   anything that we want to discuss more we'll kind of kind of dig deeper into okay so um they kind of
[00:01:13.260 --> 00:01:19.980]   have this term lrms large reasoning models and then they have like regular lms right and they
[00:01:19.980 --> 00:01:25.900]   they want to show how do how do these models reason do they reason correctly when should we use each
[00:01:25.900 --> 00:01:34.420]   this is kind of a problem that i had um earlier we're basically um in the industry for ai engineering
[00:01:34.420 --> 00:01:39.620]   all these labs would spend all their compute they would spend all their money on training big models
[00:01:39.620 --> 00:01:44.600]   right they would front the bill they would train really good next token predictors and then we would
[00:01:44.600 --> 00:01:49.640]   get to use them for very very cheap inference and then when reasoning came out you know that that
[00:01:49.640 --> 00:01:55.520]   that cost kind of got shifted onto people where now since the scale is now a test time and inference
[00:01:55.520 --> 00:02:00.820]   time compute we pay more for reasoning tokens and i'm like this is stupid for basic queries we should
[00:02:00.820 --> 00:02:05.820]   still be using next token predictors you don't need to pay more they'll be faster you'll have faster
[00:02:05.820 --> 00:02:09.960]   latency and all this stuff and apple's like okay let's let's dig a little bit into this so
[00:02:09.960 --> 00:02:17.580]   they they set up a few different uh puzzle environments so basically like um let's show you
[00:02:17.580 --> 00:02:23.540]   diagrams these style of puzzle games right so like tower of hanoi where you have to stack blocks from
[00:02:23.540 --> 00:02:29.300]   here to here and you can only move one block at a time uh checker jumping river crossing block roads they
[00:02:29.300 --> 00:02:34.900]   they set up these puzzles and then they compare reasoning models and dense models and they have like
[00:02:34.900 --> 00:02:41.920]   three key findings uh here are kind of their quotes so uh the the motivation for doing this is that
[00:02:41.920 --> 00:02:48.320]   current benchmark for reasoning models will only look at output right so does code compile is the math
[00:02:48.320 --> 00:02:53.420]   correct is the answer correct and like that's cool but what we also want to know is how efficient our
[00:02:53.420 --> 00:03:00.720]   models at reasoning and like can we take a deeper look at their reasoning paper so they have models both dense and
[00:03:00.720 --> 00:03:07.680]   reasoning models uh typically a lot of r1 and v3 and then cloud 3.7 thinking and cloud 3.7 dense they have
[00:03:07.680 --> 00:03:13.380]   them solve these puzzles and they look at the internal reasoning states and then they basically analyze
[00:03:13.380 --> 00:03:17.760]   those and see okay how efficient are they how many tokens are they using where do they fall off
[00:03:17.760 --> 00:03:24.960]   uh across these puzzles so they show that frontier large reasoning models face a complete a complete
[00:03:24.960 --> 00:03:30.400]   accuracy collapse beyond certain complexities and then there's these kind of counterintuitive scaling them
[00:03:30.400 --> 00:03:35.200]   this is where the paper started to get it's like oh man apple is making big claims they're basically
[00:03:35.200 --> 00:03:41.520]   saying that uh test time compute scaling doesn't really work at inference and pldr what they show is
[00:03:41.520 --> 00:03:49.440]   for easy puzzles um you know both models succeed so reasoning models and non-reasoning models both pass the
[00:03:49.440 --> 00:03:54.480]   puzzles but regular models are more efficient right they don't need to reason they don't use as many tokens
[00:03:54.480 --> 00:04:00.720]   so better to use those for medium stuff so like for actual like medium scale puzzles and stuff
[00:04:00.720 --> 00:04:06.720]   the reasoning models do better than dense models as we would expect and yeah they take more tokens but
[00:04:06.720 --> 00:04:11.280]   you know they can actually come they can actually complete their task and then their their key takeaway
[00:04:11.280 --> 00:04:17.200]   was when you when you scale it to a harder dimension so basically think of this um power of
[00:04:17.200 --> 00:04:23.600]   you know a moving game right so it's easy puzzle would be this game with only like one or two blocks
[00:04:23.600 --> 00:04:28.000]   right if there's only one block all you have to do is just move the block two times when you have two
[00:04:28.000 --> 00:04:33.040]   blocks well now you have to move them in the right order three box you increase complexity and they kind
[00:04:33.040 --> 00:04:40.240]   of mathematically show as you add n blocks how the complexity of these puzzles increases so when you go
[00:04:40.240 --> 00:04:48.160]   from low complexity like one to three blocks base models are better uh when you go the medium
[00:04:48.160 --> 00:04:53.280]   complexity reasoning models can figure it out where regular models can and then when you go to super
