
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:10.960]   - So much of fast AI students and researchers
[00:00:10.960 --> 00:00:15.440]   and the things you teach are pragmatically minded,
[00:00:15.440 --> 00:00:18.160]   practically minded, figuring out ways
[00:00:18.160 --> 00:00:21.080]   how to solve real problems and fast.
[00:00:21.080 --> 00:00:23.440]   So from your experience, what's the difference
[00:00:23.440 --> 00:00:26.480]   between theory and practice of deep learning?
[00:00:28.960 --> 00:00:32.800]   - Well, most of the research in the deep learning world
[00:00:32.800 --> 00:00:35.080]   is a total waste of time.
[00:00:35.080 --> 00:00:36.320]   - Right, that's what I was getting at.
[00:00:36.320 --> 00:00:37.160]   - Yeah.
[00:00:37.160 --> 00:00:37.980]   (laughing)
[00:00:37.980 --> 00:00:41.520]   It's a problem in science in general.
[00:00:41.520 --> 00:00:44.880]   Scientists need to be published,
[00:00:44.880 --> 00:00:46.760]   which means they need to work on things
[00:00:46.760 --> 00:00:49.340]   that their peers are extremely familiar with
[00:00:49.340 --> 00:00:51.480]   and can recognize and advance in that area.
[00:00:51.480 --> 00:00:54.280]   So that means that they all need to work on the same thing.
[00:00:54.280 --> 00:00:58.320]   And so it really, and the thing they work on,
[00:00:58.320 --> 00:01:00.960]   there's nothing to encourage them to work on things
[00:01:00.960 --> 00:01:04.160]   that are practically useful.
[00:01:04.160 --> 00:01:06.440]   So you get just a whole lot of research,
[00:01:06.440 --> 00:01:08.540]   which is minor advances and stuff
[00:01:08.540 --> 00:01:09.960]   that's been very highly studied
[00:01:09.960 --> 00:01:14.640]   and has no significant practical impact.
[00:01:14.640 --> 00:01:16.200]   Whereas the things that really make a difference,
[00:01:16.200 --> 00:01:18.080]   like I mentioned transfer learning,
[00:01:18.080 --> 00:01:20.920]   like if we can do better at transfer learning,
[00:01:20.920 --> 00:01:23.520]   then it's this like world-changing thing
[00:01:23.520 --> 00:01:25.080]   where suddenly like lots more people
[00:01:25.080 --> 00:01:30.080]   can do world-class work with less resources and less data.
[00:01:30.080 --> 00:01:33.800]   But almost nobody works on that.
[00:01:33.800 --> 00:01:36.080]   Or another example, active learning,
[00:01:36.080 --> 00:01:37.160]   which is the study of like,
[00:01:37.160 --> 00:01:41.160]   how do we get more out of the human beings in the loop?
[00:01:41.160 --> 00:01:42.440]   - That's my favorite topic.
[00:01:42.440 --> 00:01:43.840]   - Yeah, so active learning is great,
[00:01:43.840 --> 00:01:46.480]   but it's almost nobody working on it
[00:01:46.480 --> 00:01:49.080]   because it's just not a trendy thing right now.
[00:01:49.080 --> 00:01:52.320]   - You know what, somebody started to interrupt.
[00:01:52.320 --> 00:01:56.800]   He was saying that nobody is publishing on active learning,
[00:01:56.800 --> 00:01:58.720]   but there's people inside companies,
[00:01:58.720 --> 00:02:02.080]   anybody who actually has to solve a problem,
[00:02:02.080 --> 00:02:04.920]   they're going to innovate on active learning.
[00:02:04.920 --> 00:02:07.360]   - Yeah, everybody kind of reinvents active learning
[00:02:07.360 --> 00:02:09.040]   when they actually have to work in practice
[00:02:09.040 --> 00:02:11.640]   because they start labeling things and they think,
[00:02:11.640 --> 00:02:14.560]   gosh, this is taking a long time and it's very expensive.
[00:02:14.560 --> 00:02:16.520]   And then they start thinking,
[00:02:16.520 --> 00:02:17.920]   well, why am I labeling everything?
[00:02:17.920 --> 00:02:20.120]   I'm only, the machine's only making mistakes
[00:02:20.120 --> 00:02:22.160]   on those two classes, they're the hard ones.
[00:02:22.160 --> 00:02:24.120]   Maybe I'll just start labeling those two classes
[00:02:24.120 --> 00:02:25.640]   and then you start thinking,
[00:02:25.640 --> 00:02:26.840]   well, why did I do that manually?
[00:02:26.840 --> 00:02:28.280]   Why can't I just get the system to tell me
[00:02:28.280 --> 00:02:30.040]   which things are going to be hardest?
[00:02:30.040 --> 00:02:33.600]   It's an obvious thing to do, but yeah,
[00:02:33.600 --> 00:02:36.680]   it's just like transfer learning,
[00:02:36.680 --> 00:02:39.400]   it's understudied and the academic world
[00:02:39.400 --> 00:02:42.720]   just has no reason to care about practical results.
[00:02:42.720 --> 00:02:43.560]   The funny thing is,
[00:02:43.560 --> 00:02:45.240]   like I've only really ever written one paper.
[00:02:45.240 --> 00:02:48.040]   I hate writing papers and I didn't even write it.
