
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:07.000]   - Welcome friends to this episode
[00:00:07.000 --> 00:00:09.560]   of the Everyday Educator podcast.
[00:00:09.560 --> 00:00:11.240]   I'm your host, Lisa Bailey,
[00:00:11.240 --> 00:00:14.680]   and I am excited to spend some time with you today
[00:00:14.680 --> 00:00:17.940]   as we encourage one another, learn together,
[00:00:17.940 --> 00:00:20.740]   and ponder the delights and challenges
[00:00:20.740 --> 00:00:23.840]   that make homeschooling the adventure of a lifetime.
[00:00:23.840 --> 00:00:25.920]   Whether you're just considering
[00:00:25.920 --> 00:00:28.120]   this homeschooling possibility
[00:00:28.120 --> 00:00:32.040]   or deep into the daily delight of family learning,
[00:00:32.040 --> 00:00:35.320]   I believe you'll enjoy thinking along with us.
[00:00:35.320 --> 00:00:40.120]   But don't forget, although this online community is awesome,
[00:00:40.120 --> 00:00:45.120]   you'll find even closer support in a local CC community.
[00:00:45.120 --> 00:00:49.360]   So go to classicalconversations.com
[00:00:49.360 --> 00:00:53.140]   and find a community near you today.
[00:00:53.140 --> 00:00:57.640]   Well, listeners, I suspect that all of you
[00:00:57.640 --> 00:01:02.640]   are now deep into that daily delight of family learning
[00:01:02.640 --> 00:01:04.680]   that we were just talking about,
[00:01:04.680 --> 00:01:08.520]   and that you are back at it.
[00:01:08.520 --> 00:01:13.520]   Foundations, essentials, challenge students and families
[00:01:13.520 --> 00:01:16.640]   working and learning together.
[00:01:16.640 --> 00:01:20.120]   And I wanted us to think a little bit
[00:01:20.120 --> 00:01:22.100]   as we begin this new year,
[00:01:22.100 --> 00:01:26.120]   what is it exactly that we're doing
[00:01:26.120 --> 00:01:28.040]   in this homeschooling endeavor?
[00:01:28.040 --> 00:01:31.700]   I know we're trying to teach our children to read
[00:01:31.700 --> 00:01:36.080]   and to write, to understand what they read,
[00:01:36.080 --> 00:01:41.160]   to grasp the facts of history,
[00:01:41.160 --> 00:01:46.160]   and understand how to live as godly men and women
[00:01:46.160 --> 00:01:47.720]   in the world.
[00:01:47.720 --> 00:01:50.260]   There are academic things that we are practicing
[00:01:50.260 --> 00:01:52.680]   and trying to do with their children at home.
[00:01:52.680 --> 00:01:56.320]   And then there are character-building things
[00:01:56.320 --> 00:02:00.200]   that we are trying to do with our families at home.
[00:02:00.200 --> 00:02:05.160]   Today, I really want us to think about the foundations
[00:02:05.160 --> 00:02:08.240]   that we're laying with our children,
[00:02:08.240 --> 00:02:13.240]   not just foundations as in the foundations curriculum,
[00:02:13.240 --> 00:02:15.440]   so what we're doing with our little children,
[00:02:15.440 --> 00:02:17.240]   giving them lots of good memory work,
[00:02:17.240 --> 00:02:22.240]   things to start building a memory palace,
[00:02:23.240 --> 00:02:27.760]   of facts and information, not just that foundation,
[00:02:27.760 --> 00:02:30.880]   but the foundation of learning how to think,
[00:02:30.880 --> 00:02:35.680]   learning how to put ourselves in somebody else's place,
[00:02:35.680 --> 00:02:40.680]   the foundation of learning all that God has for us
[00:02:40.680 --> 00:02:45.920]   as he equips us to be his ambassadors in this world
[00:02:45.920 --> 00:02:49.120]   that's not our final home,
[00:02:49.120 --> 00:02:51.280]   but is where God's planted us for now.
[00:02:51.280 --> 00:02:56.280]   And so we want to look at one of classical conversations,
[00:02:56.280 --> 00:03:00.680]   we believe statements, and think about what does it mean
[00:03:00.680 --> 00:03:05.680]   for our families, not just in a real philosophical way,
[00:03:05.680 --> 00:03:08.740]   which a lot of times is fun to think about,
[00:03:08.740 --> 00:03:10.760]   but in very practical ways.
[00:03:10.760 --> 00:03:15.480]   Like what does it mean for me as a mom or a dad at home
[00:03:15.480 --> 00:03:20.320]   with my child, whether they're five or 10 or 15?
[00:03:20.320 --> 00:03:23.480]   The we believe statement I want us to dive into today
[00:03:23.480 --> 00:03:28.480]   is this, we believe that classical education prepares us
[00:03:28.480 --> 00:03:34.480]   to accept the responsibilities of Christian freedom.
[00:03:34.480 --> 00:03:39.480]   Now, that does sound like a big philosophical topic,
[00:03:39.480 --> 00:03:42.640]   and I have got a dear friend with me today
[00:03:42.640 --> 00:03:48.560]   hoping that we can dive into this discussion together
[00:03:48.680 --> 00:03:52.720]   and that you will enjoy listening along.
[00:03:52.720 --> 00:03:56.860]   Charity Brown, thank you so much for being with us today.
[00:03:56.860 --> 00:04:01.640]   - Thank you, Lisa, it's a privilege to be with you again.
[00:04:01.640 --> 00:04:04.960]   - Charity works for classical conversation.
[00:04:04.960 --> 00:04:08.680]   Charity, tell them what you do for classical conversations.
[00:04:08.680 --> 00:04:11.720]   - Well, I work with classical conversations multimedia,
[00:04:11.720 --> 00:04:15.720]   and I am the production editor for the Spanish product line
[00:04:15.720 --> 00:04:17.720]   that we use internationally.
[00:04:17.720 --> 00:04:20.120]   And she does such an amazing job.
[00:04:20.120 --> 00:04:25.120]   I'm in awe of somebody who can think and write and speak
[00:04:25.120 --> 00:04:28.420]   a different language and make it so beautiful.
[00:04:28.420 --> 00:04:30.760]   And so I appreciate Charity's work
[00:04:30.760 --> 00:04:33.880]   as she's very instrumental in helping
[00:04:33.880 --> 00:04:36.640]   the curriculum development team
[00:04:36.640 --> 00:04:42.720]   pass on the good work that we're doing to other nations.
[00:04:44.300 --> 00:04:48.300]   But Charity is also a homeschooling mom
[00:04:48.300 --> 00:04:51.320]   who has graduated one of her children.
[00:04:51.320 --> 00:04:54.920]   And so she knows what it is to build
[00:04:54.920 --> 00:05:01.160]   not just academic adequacy into her children,
[00:05:01.160 --> 00:05:10.600]   but spiritual sensitivity also,
[00:05:10.820 --> 00:05:15.140]   equipping them to be God's emissary to a world.
[00:05:15.140 --> 00:05:19.580]   So, Charity, one of the things I want to ask you,
[00:05:19.580 --> 00:05:23.860]   and this is, I want your honest thoughts about this,
