
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.280]   - I don't know when you're gonna hear this episode,
[00:00:06.280 --> 00:00:09.220]   but it's initially launching online on a Monday,
[00:00:09.220 --> 00:00:11.780]   commonly a day off for pastors.
[00:00:11.780 --> 00:00:13.760]   And we have a question from a stay-at-home mom
[00:00:13.760 --> 00:00:14.960]   who writes us, "Hello, Pastor John.
[00:00:14.960 --> 00:00:17.120]   "I'm a stay-at-home mom to three darling daughters
[00:00:17.120 --> 00:00:20.020]   "under five and also a pastor's wife as well.
[00:00:20.020 --> 00:00:22.300]   "Like most pastors, my husband takes Mondays off
[00:00:22.300 --> 00:00:24.720]   "to recharge, but I find there's never a day off
[00:00:24.720 --> 00:00:28.640]   "I can take off from laundry, dishes, cleaning, et cetera.
[00:00:28.640 --> 00:00:30.700]   "The work never ends for me, and I find this to be
[00:00:30.700 --> 00:00:34.560]   "a challenge for a lot of moms who are feeling burnt out.
[00:00:34.560 --> 00:00:37.280]   "Without questioning the value of our husband's day off,
[00:00:37.280 --> 00:00:39.480]   "should moms get a day off too?
[00:00:39.480 --> 00:00:43.200]   "Should we try, or is this a selfish request?"
[00:00:43.200 --> 00:00:46.720]   - Whether it's a selfish request, I can't tell,
[00:00:46.720 --> 00:00:49.400]   because I don't know your heart.
[00:00:49.400 --> 00:00:53.860]   God does, but it certainly doesn't have to be
[00:00:53.860 --> 00:00:58.400]   a selfish request, and I don't assume it is.
[00:00:58.400 --> 00:01:02.840]   It may be the same as the question that my wife and I
[00:01:02.840 --> 00:01:07.840]   posed at church and with the staff, at home,
[00:01:07.840 --> 00:01:10.800]   during my pastorate, over and over.
[00:01:10.800 --> 00:01:14.640]   How do we find, how does the staff find,
[00:01:14.640 --> 00:01:18.720]   how do we as a couple find the pace to finish the race?
[00:01:18.720 --> 00:01:20.520]   That's the way we put it.
[00:01:20.520 --> 00:01:23.120]   The marriage race, the parenting race.
[00:01:23.120 --> 00:01:27.900]   They are marathons, not 100-meter dashes.
[00:01:27.900 --> 00:01:32.220]   Noelle and I have been running the marriage marathon
[00:01:32.220 --> 00:01:35.960]   for 50 years, as of last December.
[00:01:35.960 --> 00:01:41.480]   And the parenting marathon, we've been running for 47 years,
[00:01:41.480 --> 00:01:44.140]   and believe me, you still run the parenting marathon
[00:01:44.140 --> 00:01:47.960]   after your kids are grown and you've got 14 grandkids.
[00:01:47.960 --> 00:01:51.280]   And we ran the pastoring marathon for 33 years.
[00:01:51.280 --> 00:01:55.360]   So the question for all of us, moms, single moms,
[00:01:55.360 --> 00:02:00.360]   husbands, single dads, how do you find the pace
[00:02:00.360 --> 00:02:02.680]   to finish the race?
[00:02:02.680 --> 00:02:04.640]   That's the question.
[00:02:04.640 --> 00:02:09.140]   We don't want to loiter on our heavenly journey,
[00:02:09.140 --> 00:02:14.760]   and we don't want to fall exhausted halfway through.
[00:02:14.760 --> 00:02:16.840]   That's not a selfish question to ask.
[00:02:16.840 --> 00:02:18.920]   It's a wise one to ask.
[00:02:18.920 --> 00:02:22.480]   How can I find the pace to finish the race?
[00:02:22.480 --> 00:02:27.480]   So whether it's a day off or some other configuration
[00:02:27.480 --> 00:02:32.960]   of off and on, work and rest, sustaining rhythm,
[00:02:32.960 --> 00:02:36.500]   here are five observations
[00:02:36.500 --> 00:02:41.320]   that might prove helpful to think about.
[00:02:41.320 --> 00:02:46.320]   Number one, the Sabbath principle was God's idea
[00:02:46.320 --> 00:02:50.380]   before there was a fall into sin,
[00:02:50.380 --> 00:02:55.000]   before there was a fall with all the added burdens
[00:02:55.000 --> 00:02:56.920]   that the fall brought.
[00:02:56.920 --> 00:03:01.320]   One day in seven, different from others,
[00:03:01.320 --> 00:03:06.320]   not the same pressured work, but relief and spiritual focus
[00:03:06.320 --> 00:03:12.320]   to say to the Lord, "I am not God.
[00:03:12.320 --> 00:03:14.160]   "You are God."
[00:03:14.160 --> 00:03:16.280]   If I stop upholding the universe
[00:03:16.280 --> 00:03:18.760]   by the word of my power for one day,
[00:03:18.760 --> 00:03:20.940]   it's not gonna go out of existence.
[00:03:20.940 --> 00:03:22.980]   I'm not God.
[00:03:22.980 --> 00:03:25.820]   To say on that day to your own body,
[00:03:25.820 --> 00:03:27.980]   "You're not superhuman, body.
[00:03:27.980 --> 00:03:29.680]   "God is."
[00:03:29.680 --> 00:03:31.840]   That principle, one day in seven,
[00:03:31.840 --> 00:03:34.360]   to be honest with God and humble with God
[00:03:34.360 --> 00:03:38.900]   and restful with God, that principle was true
[00:03:38.900 --> 00:03:42.800]   for all the people of God, men and women.
[00:03:42.800 --> 00:03:46.540]   So husbands should take the lead.
[00:03:46.540 --> 00:03:48.940]   I'm gonna assume this in every one of these questions.
[00:03:48.940 --> 00:03:51.100]   Husbands should take the lead
[00:03:51.100 --> 00:03:53.980]   in helping the family think through
[00:03:53.980 --> 00:03:57.380]   what that will look like for them all
[00:03:57.380 --> 00:04:01.700]   as the kids are growing up, including mom.
[00:04:01.700 --> 00:04:05.380]   If all seven of mom's days are the same,
[00:04:05.380 --> 00:04:10.380]   something is amiss, given the Sabbath principle.
[00:04:10.380 --> 00:04:16.080]   Number two, recognize that marriage and children
[00:04:16.140 --> 00:04:19.420]   and ministry will have different seasons
[00:04:19.420 --> 00:04:21.180]   with very different pressures.
[00:04:21.180 --> 00:04:25.460]   Children under two present a different challenge
[00:04:25.460 --> 00:04:30.460]   than three to six and six to 13 and so on.
[00:04:30.460 --> 00:04:37.300]   Every season is demanding, but not in the same way.
[00:04:37.300 --> 00:04:41.380]   So if one feels unbearable,
[00:04:41.380 --> 00:04:42.940]   I was just talking to a young fellow
[00:04:42.940 --> 00:04:46.380]   over at Desiring God today who's got a brand new baby
[00:04:46.380 --> 00:04:48.460]   and he said, "I never knew it would be so hard."
[00:04:48.460 --> 00:04:51.820]   And mainly he had in mind sleep.
[00:04:51.820 --> 00:04:53.460]   Where are we gonna get enough sleep
[00:04:53.460 --> 00:04:55.760]   to function the way we need to?
[00:04:55.760 --> 00:04:58.460]   It may help to remember in those seasons,
