
[00:00:00.000 --> 00:00:00.880]   Hello, everybody.
[00:00:00.880 --> 00:00:02.800]   It's Sam from Financial Samurai.
[00:00:02.800 --> 00:00:05.400]   And in this episode, I'm going to introduce a new concept
[00:00:05.400 --> 00:00:10.000]   called Financial SEER, S-E-E-R. It
[00:00:10.000 --> 00:00:15.280]   stands for Financial Samurai Equity Exposure Rule.
[00:00:15.280 --> 00:00:17.760]   And it's a way to quantify risk tolerance
[00:00:17.760 --> 00:00:21.240]   and determine appropriate equity exposure.
[00:00:21.240 --> 00:00:23.240]   So after the fourth quarter of 2018,
[00:00:23.240 --> 00:00:27.840]   where we saw basically a hammering of the stock market,
[00:00:27.840 --> 00:00:29.840]   I thought it was a good idea to figure out
[00:00:29.840 --> 00:00:32.320]   and to help listeners figure out what
[00:00:32.320 --> 00:00:34.280]   is the appropriate amount of exposure
[00:00:34.280 --> 00:00:36.200]   one should have to equities.
[00:00:36.200 --> 00:00:38.720]   I've been trying to build meaningful wealth
[00:00:38.720 --> 00:00:40.400]   in a risk-appropriate manner ever
[00:00:40.400 --> 00:00:42.480]   since I graduated from college.
[00:00:42.480 --> 00:00:45.720]   And that's what I want all you guys to experience as well.
[00:00:45.720 --> 00:00:48.920]   I started my career soon after the 1997 Asian financial
[00:00:48.920 --> 00:00:49.840]   crisis.
[00:00:49.840 --> 00:00:53.120]   And that was an interesting one because currencies,
[00:00:53.120 --> 00:00:57.360]   from Thailand to Indonesia, they devalued tremendously
[00:00:57.360 --> 00:01:00.480]   overnight, causing many international college students
[00:01:00.480 --> 00:01:01.720]   to just drop out.
[00:01:01.720 --> 00:01:02.840]   And I had a couple of those.
[00:01:02.840 --> 00:01:04.760]   I was like, whoa, what's going on?
[00:01:04.760 --> 00:01:07.600]   So I fully appreciate how hazardous the road
[00:01:07.600 --> 00:01:09.640]   to building great wealth can be.
[00:01:09.640 --> 00:01:12.200]   And I think most investors overestimate the risk
[00:01:12.200 --> 00:01:15.160]   tolerance, especially investors who've only
[00:01:15.160 --> 00:01:18.320]   been investing with a significant amount of capital
[00:01:18.320 --> 00:01:19.640]   since 2009.
[00:01:19.640 --> 00:01:24.240]   We've just seen a phenomenal nine-year-plus run bull market.
[00:01:24.240 --> 00:01:27.960]   And sequence of risk is pretty real.
[00:01:27.960 --> 00:01:30.440]   Once the losses started piling up,
[00:01:30.440 --> 00:01:33.240]   it's not only the melancholy of losing money
[00:01:33.240 --> 00:01:34.520]   that starts getting to you.
[00:01:34.520 --> 00:01:39.320]   It's the growing fear that your job might also be at risk.
[00:01:39.320 --> 00:01:42.800]   Some of you might erroneously think the richer you get,
[00:01:42.800 --> 00:01:44.320]   the higher your risk tolerance.
[00:01:44.320 --> 00:01:47.760]   After all, the more money you have, the bigger your buffer.
[00:01:47.760 --> 00:01:50.520]   This is a fallacy because the more money you have,
[00:01:50.520 --> 00:01:53.360]   the larger your potential absolute loss.
[00:01:53.360 --> 00:01:56.000]   For most rational people, their lifestyles
[00:01:56.000 --> 00:01:58.720]   don't inflate commensurately with their wealth.
[00:01:58.720 --> 00:02:01.400]   They still remember what it's like to be frugal
[00:02:01.400 --> 00:02:02.680]   and to save money.
[00:02:02.680 --> 00:02:05.540]   This is why even rich people can't resist a free rubber
