
[00:00:00.000 --> 00:00:05.840]   Struggling with your electric bill? Get an energy assist from SDG&E and SAFE.
[00:00:05.840 --> 00:00:14.840]   You may qualify for an 18% discount. Visit sdge.com/fera to find out more.
[00:00:14.840 --> 00:00:24.840]   Good afternoon and welcome to the Cato Institute. We're glad you could come inside and join us on this beautiful day in Washington.
[00:00:24.840 --> 00:00:30.840]   My name is Tim Lynch. I'm the director of Cato's project on criminal justice.
[00:00:30.840 --> 00:00:38.840]   Today we want to welcome Professor James Duane to speak about his important new book, "You Have the Right to Remain Innocent,"
[00:00:38.840 --> 00:00:43.840]   how police officers tell their children about the Fifth Amendment.
[00:00:43.840 --> 00:00:49.840]   I also want to welcome Professor Randy Barnett, who will be offering comments on the book.
[00:00:49.840 --> 00:00:54.840]   I'd like to take just a minute or two to lay something of a foundation for today's discussion,
[00:00:54.840 --> 00:01:06.840]   but before I do that, let me ask you to double-check your cell phones and make sure that they are silenced as a courtesy to our speakers.
[00:01:06.840 --> 00:01:08.840]   Thank you.
[00:01:08.840 --> 00:01:17.840]   One of the ideas we advance here at Cato is that the Constitution needs to be actively defended.
[00:01:17.840 --> 00:01:25.840]   The Constitution is just words on paper if people do not make an effort to read it, to understand it, and then to defend it.
[00:01:25.840 --> 00:01:31.840]   So to get more people involved with the Constitution, some years ago we published these pocket constitutions,
[00:01:31.840 --> 00:01:40.840]   and we have distributed millions of copies of these pocket constitutions all around the United States and indeed around the world.
[00:01:40.840 --> 00:01:47.840]   And if you look over the Bill of Rights, you'll find that many of the provisions there deal with the criminal justice system.
[00:01:47.840 --> 00:01:55.840]   You'll see references to the jury trial, speedy trial, your right to confront witnesses, and other provisions.
[00:01:55.840 --> 00:02:02.840]   But by the time somebody is facing trial, they're already going to have an attorney who is kind of holding their hand
[00:02:02.840 --> 00:02:10.840]   and walking them through the system, giving them advice on things that they should do and things that they shouldn't do.
[00:02:10.840 --> 00:02:17.840]   So today we're going to be talking about some provisions of the Bill of Rights that come into play well before trial.
[00:02:17.840 --> 00:02:23.840]   This is when you are alone with a police officer or a government regulator.
[00:02:23.840 --> 00:02:26.840]   The Fourth Amendment deals with searches and seizures.
