
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[00:00:04.000 --> 00:00:07.000]   Today, we have a sort of like a two-header.
[00:00:07.000 --> 00:00:12.000]   John Franco from Mosaic Databricks or Databricks Mosaic and Josh Albrecht from Imbue.
[00:00:12.000 --> 00:00:13.000]   Welcome.
[00:00:13.000 --> 00:00:14.000]   Hey, glad to be here.
[00:00:14.000 --> 00:00:16.000]   Thank you for having us.
[00:00:16.000 --> 00:00:19.000]   Hey, so both of you are kind of past guests.
[00:00:19.000 --> 00:00:24.000]   Jonathan, you were actually one of the most popular episodes from last year.
[00:00:24.000 --> 00:00:32.000]   Talking about MPT 7B. Remember the days when we trained large models under a 7B?
[00:00:32.000 --> 00:00:37.000]   Yeah, back when reproducing LLAMA 170 was considered a huge accomplishment for the field.
[00:00:37.000 --> 00:00:41.000]   Those were the good old days. I miss that.
[00:00:41.000 --> 00:00:43.000]   So things have accelerated a lot.
[00:00:43.000 --> 00:00:48.000]   Actually, let's do a quick catch up and Josh, you can chime on in as well.
[00:00:48.000 --> 00:00:51.000]   So Databricks got acquired. I talked to you at Imbue.
[00:00:51.000 --> 00:00:58.000]   Mosaic got acquired, although sometimes it feels like Mosaic acquired Databricks because we're having a lot of fun being here.
[00:00:58.000 --> 00:01:01.000]   Yeah, I mean, you're a chief scientist now of Databricks.
[00:01:01.000 --> 00:01:04.000]   Chief AI scientist. Careful with the title.
[00:01:04.000 --> 00:01:11.000]   As much as I would love to understand how Spark works, I'm going to have to defer that to much smarter people than me.
[00:01:11.000 --> 00:01:22.000]   Got it. And I don't know about what you would highlight so far as post-acquisition, but the most recent news is that you guys released DBRX.
[00:01:22.000 --> 00:01:25.000]   Is that the thing that most people should be aware of?
[00:01:25.000 --> 00:01:28.000]   Actually, that's no longer the most recent news.
[00:01:28.000 --> 00:01:32.000]   Honestly, the most recent news, we announced this, but it was at our Data and AI Summit last week.
[00:01:32.000 --> 00:01:35.000]   So it was announced among like 100,000 other things.
[00:01:35.000 --> 00:01:42.000]   Is that we finally released our text-to-image model, which has been a year in the making through a collaboration directly with Shutterstock.
[00:01:42.000 --> 00:01:47.000]   There was a lot of work put into finding a data set that we were comfortable with working on
[00:01:47.000 --> 00:01:54.000]   and trying to build a model that, honestly, I felt like I could trust and that others might be able to trust to put out in the world.
[00:01:54.000 --> 00:01:56.000]   So that model was released last week.
[00:01:56.000 --> 00:02:03.000]   It's unfortunately just available via API due to the fact that the data is quite sensitive and quite valuable.
[00:02:03.000 --> 00:02:05.000]   It's Shutterstock's entire business in a lot of ways.
