
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:07.720]   - Welcome, friends, to this episode
[00:00:07.720 --> 00:00:10.240]   of the Everyday Educator podcast.
[00:00:10.240 --> 00:00:11.920]   I'm your host, Lisa Bailey,
[00:00:11.920 --> 00:00:15.640]   and I am excited to spend some time today with you
[00:00:15.640 --> 00:00:18.840]   as we encourage one another, learn together,
[00:00:18.840 --> 00:00:21.840]   and ponder the delights and challenges
[00:00:21.840 --> 00:00:25.320]   that make homeschooling the adventure of a lifetime.
[00:00:25.320 --> 00:00:27.360]   Whether you're just considering
[00:00:27.360 --> 00:00:29.480]   this homeschooling possibility
[00:00:29.480 --> 00:00:33.580]   or deep into the daily delight of family learning,
[00:00:33.580 --> 00:00:37.680]   I believe you'll enjoy thinking along with us.
[00:00:37.680 --> 00:00:42.680]   But don't forget, although this online community is awesome,
[00:00:42.680 --> 00:00:47.840]   you'll find even closer support in a local CC community.
[00:00:47.840 --> 00:00:52.640]   So go to classicalconversations.com
[00:00:52.640 --> 00:00:56.900]   and find a community near you today.
[00:00:56.900 --> 00:00:59.900]   Well, listeners, I'm excited to welcome you
[00:00:59.900 --> 00:01:03.320]   to another episode of the Everyday Educator podcast,
[00:01:03.320 --> 00:01:05.960]   and I am especially excited to welcome
[00:01:05.960 --> 00:01:10.160]   one of my dear friends to talk about something
[00:01:10.160 --> 00:01:14.080]   that has become increasingly dear to my heart.
[00:01:14.080 --> 00:01:18.920]   We wanna talk today about educating yourself.
[00:01:18.920 --> 00:01:21.240]   We spend lots of weeks talking about
[00:01:21.240 --> 00:01:24.840]   how we can be better homeschool moms and dads
[00:01:24.840 --> 00:01:28.500]   to the children that the Lord has entrusted to us.
[00:01:28.500 --> 00:01:31.880]   But today, I wanna turn our attention
[00:01:31.880 --> 00:01:34.400]   to educating ourselves.
[00:01:34.400 --> 00:01:36.160]   What does God call us to do,
[00:01:36.160 --> 00:01:38.540]   and how would we go about that,
[00:01:38.540 --> 00:01:41.840]   even if we felt like we had the bandwidth to do it?
[00:01:41.840 --> 00:01:45.340]   So I have invited a dear friend
[00:01:45.340 --> 00:01:50.340]   who, to me, is a wonderful example
[00:01:52.520 --> 00:01:57.520]   of what a lifelong learner can become, is and can become.
[00:01:57.520 --> 00:02:02.680]   So welcome, Heatherly Sylvia, to the podcast.
[00:02:02.680 --> 00:02:05.680]   Heatherly, thanks so much for joining me today.
[00:02:05.680 --> 00:02:07.680]   - Thank you for inviting me to come back,
[00:02:07.680 --> 00:02:10.880]   and thank you for allowing me to talk about
[00:02:10.880 --> 00:02:14.000]   one of my absolutely favorite topics.
[00:02:14.000 --> 00:02:18.760]   - Well, I know that you are a lifelong learner.
[00:02:18.760 --> 00:02:21.160]   I know that it's a passion for you,
[00:02:21.160 --> 00:02:26.000]   and I really, really believe that you love it so much
[00:02:26.000 --> 00:02:29.840]   and have grown into it to such a degree
[00:02:29.840 --> 00:02:33.040]   that you're gonna be able to help all of us see,
[00:02:33.040 --> 00:02:35.400]   oh, I don't know, how we could get started,
[00:02:35.400 --> 00:02:37.340]   how we could keep going,
