
[00:00:00.000 --> 00:00:21.360]   Hi, everyone. I'm Akhan Shaw. I was at Google for more than six years, and I led the research
[00:00:21.360 --> 00:00:27.120]   for Palm, and I was a lead researcher in Gemini. These days, I'm working on pushing the frontier
[00:00:27.120 --> 00:00:35.840]   for Autonomous Coding with Reinforcement Learning. So just to recap the arc of how we have progressed
[00:00:35.840 --> 00:00:44.640]   in large language models and why Autonomous Coding and why now. So I think everyone here,
[00:00:44.640 --> 00:00:50.000]   or those of you who don't remember, in 2020, there was this breakthrough paper that came out,
[00:00:50.000 --> 00:00:56.160]   which talked about scaling laws for large language models. And if you were to take a 30-second recap,
[00:00:56.160 --> 00:01:01.920]   all the main thing it said was that there's a power law relationship between the test loss of large
[00:01:01.920 --> 00:01:08.400]   language models. So if you use more compute, more data, and put more parameters in your machine
[00:01:08.400 --> 00:01:15.680]   learning model, which is a transformer model, you will get more performant models. And it will not
[00:01:15.680 --> 00:01:20.160]   be performant just in the domain in which you are training the model. It will actually be performant,
[00:01:20.160 --> 00:01:27.360]   and it will generalize to many other domains. And the generalization was pretty much a feature in this
[00:01:27.360 --> 00:01:34.320]   particular case. So as the large language models got bigger, we saw continuous improvement across
[00:01:34.320 --> 00:01:40.320]   benchmarks to the point that they're starting to get saturated now. And the other interesting thing was
[00:01:40.320 --> 00:01:46.240]   that we saw emergent behavior where capabilities were emerging in large language models that were not
[00:01:46.240 --> 00:01:54.160]   present in smaller models. And this is a classic slide that I show for the work that we did in Palm.
[00:01:54.160 --> 00:02:00.720]   So typically when you go about trying to solve math problems and you give the model some examples,
[00:02:00.720 --> 00:02:06.160]   on the left you have a math problem around tennis balls, and then you give a second problem,
[00:02:06.160 --> 00:02:12.880]   the model output looks wrong. But what Palm and the subsequent set of papers showed was that
[00:02:12.880 --> 00:02:19.440]   if you ask the model to output its reasoning chains, which has become a very common concept now, but
[00:02:19.440 --> 00:02:26.080]   this is, remember, 2021, so four years ago, if you ask the model to show its reasoning chains, then
[00:02:26.080 --> 00:02:32.400]   the answer actually is correct. So basically by getting the model to output its chain of thought
[00:02:32.400 --> 00:02:39.920]   or reasoning chains, the model performance improves. And this capability particularly emerged in large
[00:02:39.920 --> 00:02:45.840]   language models. These are all the models. So Lambda and Palm were the state-of-the-art models about three
[00:02:45.840 --> 00:02:52.160]   years ago. And what I'm showing on x-axis is the increasing number of parameters. Palm was scaled all
[00:02:52.160 --> 00:02:57.840]   the way up to 540 billion parameters. No one actually publishes the number of parameters these days, so
[00:02:57.840 --> 00:03:03.040]   you have to live with the graphs from three years ago or the open source stuff that's coming out with
[00:03:03.040 --> 00:03:09.600]   DeepSeq and Quen models. But what y-axis is showing is that the solve rate on middle school math
[00:03:09.600 --> 00:03:16.160]   word problems was increasing with the number of parameters in the models. And it was essentially
[00:03:16.160 --> 00:03:22.560]   increasing mainly when you are prompting the models and asking them to show chain of thought. And this
[00:03:22.560 --> 00:03:27.280]   led to all kinds of prompting techniques where you ask the model to think step by step. You even go and
[00:03:27.280 --> 00:03:35.120]   bribe the model and such, and you ask the model nicely or not. So this was all kinds of fun stuff. And I think
[00:03:35.120 --> 00:03:41.680]   the thing that really stood out from this generation of models few years ago was that this capability
[00:03:41.680 --> 00:03:48.240]   capability was not just limited to math problems. It was basically generalizing across
[00:03:48.240 --> 00:03:54.240]   a whole bunch of domains anywhere from question answering in other languages to puzzle problems to
[00:03:54.240 --> 00:04:02.240]   multitask natural language understanding problems. And what this led to next was that
