
[00:00:00.040 --> 00:00:09.620]   delve
[00:00:09.620 --> 00:00:11.040]   at the,,, work in a
[00:00:11.040 --> 00:00:28.260]   everyone start after /G/^_G.っちゃ d as in romantic商 teu sp o hard to it's it did said mo my state of ha
[00:00:28.680 --> 00:00:57.540]   pay
[00:00:57.620 --> 00:01:08.040]   lie
[00:01:08.040 --> 00:01:09.480]   darle support den G Z I find so commanded from, ,,,,,,,. Zление Bit ShMake 보여드�
[00:01:56.780 --> 00:01:56.780]   -------
[00:01:56.780 --> 00:01:56.780]   -------
[00:01:56.820 --> 00:02:06.440]   anim
[00:02:06.440 --> 00:02:07.380]   nine and for
[00:02:07.380 --> 00:02:20.840]   kick
[00:02:20.840 --> 00:02:25.680]  ài new 5 but� witch einem de New, and, and, and, and, and, and, and, and, and, and, and, and, cause. And, And, problem. At. The. El. Le. De. dat.при.TP. sevent I'm.E.P.
[00:06:16.920 --> 00:06:23.480]   gefunden
[00:06:23.480 --> 00:06:44.300]   the little
[00:06:44.880 --> 00:06:54.560]   but
[00:06:54.560 --> 00:07:12.120]   tel cal. I have a. I have,,,,,
[00:07:42.720 --> 00:07:42.720]   The only one I came up with was a number of years ago, I set a goal to build more intimacy in my relationship with my wife and I started tracking how many times I hugged her every day and I would keep a little checklist of okay, hug my wife, hug my wife, hug my wife. Okay. It didn't cost me any money to hug my wife. But I'll tell you what, as soon as I went beyond just hugging my wife and went to date night, all of a sudden then money came in, came into the picture. Am I really going to spend that much money in a restaurant or am I really going to hire a babysitter?
[00:07:42.720 --> 00:07:42.720]   Am I really going to hire a babysitter?
[00:07:42.720 --> 00:07:43.220]   Am I really going to hire a babysitter?
[00:07:43.220 --> 00:07:43.220]   Am I really going to hire a babysitter?
[00:07:43.220 --> 00:07:43.260]   Am I really going to hire a babysitter?
[00:07:43.260 --> 00:07:43.340]   Am I really going to hire a babysitter?
[00:07:43.340 --> 00:07:43.400]   Am I really going to hire a babysitter?
[00:08:09.440 --> 00:08:19.120]  邊
[00:08:19.120 --> 00:08:35.160]   call cannot 아니
[00:08:35.160 --> 00:08:37.560]   de the in the in the but but but woke dense product nen thinking zo dessa inform show Grandpa嗎不
[00:08:38.100 --> 00:08:47.960]  .,
[00:08:47.960 --> 00:08:48.380]   stared succeed't,,, in the book. And E One
[00:08:48.380 --> 00:08:52.100]   couldn
[00:08:52.100 --> 00:09:06.160]  elet maybe applied tinkTA HotCKCPKC X it's part of juice donoon w35 con說 con 행복த maybe just looking lleg continue Втор you It's I'm you感覺GR you Gue mailing Hellล 100
[00:09:06.260 --> 00:09:34.420]   of entries above each other, where it's very short, about four or five lines for each one. But as you fill it in, you can reflect back on the previous year. So you go through and of course, in 2020, if you start it, then you just have that year. But then in 2021, when you're filling in January 1 2021, you can see exactly what you were doing on January 1 2020. Because there's your journal entry.
[00:09:34.460 --> 00:09:34.440]   sparkle錢 S S S s the,,,,,,
[00:09:34.440 --> 00:10:03.060]   ON deepen
[00:11:01.320 --> 00:11:30.260]  ancia: I'm not saying you have to spend money to live well. I've done lots of things for free and I know that you have to spend money to live well.
