
[00:00:00.000 --> 00:00:21.880]   Hi, everyone. Thanks for taking the time to be here today. Welcome to this workshop where you
[00:00:21.880 --> 00:00:27.520]   will learn about agents, multimodality, and hopefully get to build -- not hopefully, you will
[00:00:27.520 --> 00:00:34.100]   build a multimodal agent of your own from scratch. Whose first workshop of the day? How
[00:00:34.100 --> 00:00:40.760]   many? Show of hands. Okay. First workshop. How many people already been in a workshop? Oh,
[00:00:40.760 --> 00:00:47.460]   wow. Like, really proactive, overachieving crowd. Great to see that. All right. With
[00:00:47.460 --> 00:00:53.880]   that, here's a little bit about me. I'm Apoorva. I'll be your lead instructor for today. I'm also
[00:00:53.880 --> 00:01:02.400]   joined by my awesome team here. We have Richmond. He's waving at you. There's Rafa back there.
[00:01:02.400 --> 00:01:09.040]   He's waving at you as well. There's Tebow. And we have Mikiko. But yeah, here's a bit about
[00:01:09.040 --> 00:01:15.460]   me. I'm Apoorva. I'm currently an AI-focused developer advocate at MongoDB, which means I spend a lot
[00:01:15.460 --> 00:01:22.040]   of my time building workshops like this one for AI developers like you to help them build AI
[00:01:22.040 --> 00:01:29.080]   applications of their own. Prior to this role, I spent about six years working as a data scientist
[00:01:29.080 --> 00:01:34.980]   in the cybersecurity space. And outside of work, I like to read a lot. I try to yoga pretty regularly,
[00:01:34.980 --> 00:01:42.860]   or used to try to until I busted my knee a while ago. And I'm always on a mission to visit as many local
[00:01:42.860 --> 00:01:49.560]   coffee shops as I can in whichever city I'm in. So this is what the next hour and 20 minutes is going
[00:01:49.560 --> 00:01:57.380]   to look like. We'll be going over key concepts of AI agents, discuss what multimodality is, and finally,
[00:01:57.380 --> 00:02:04.100]   we are going to put the two together and build a multimodal AI agent from scratch using good old Python.
[00:02:04.100 --> 00:02:10.820]   And since this is a relatively short workshop session, this is what you can expect. We are going to focus
[00:02:10.820 --> 00:02:17.780]   on getting concepts down, and we'll see what we have time for. Based on my practice sessions, I believe you
[00:02:17.780 --> 00:02:26.980]   get about 55 minutes to an hour to actually take your time to write code or just, like, get a really good
[00:02:26.980 --> 00:02:33.700]   understanding of how multimodal agents work in code. So just wanted to set that expectation there.
[00:02:33.700 --> 00:02:41.780]   And with that, let's get started. So let's first answer two questions. What are AI agents and why do
[00:02:41.780 --> 00:02:48.900]   we need them? But even before I get into that, how many of you already have some experience with AI agents?
[00:02:48.900 --> 00:02:55.780]   Okay, there's some of you. Hopefully, there'll be something new for you at this workshop. And for those of
[00:02:55.780 --> 00:03:02.900]   you who are new to the concept, there's a lot of stuff coming your way. So apologies for that. Or not.
[00:03:02.900 --> 00:03:11.940]   Okay, so here's my definition of an AI agent. I like to define an AI agent as a system that uses
[00:03:11.940 --> 00:03:18.420]   a large language model. I'll be referring to this as an LLM. To reason through a problem, create a plan to
[00:03:18.420 --> 00:03:23.620]   solve the problem, and execute and iterate on the plan with the help of a set of tools.
[00:03:25.380 --> 00:03:31.460]   So in the past two years or so, we have seen three main paradigms for interacting with LLMs. There's
[00:03:31.460 --> 00:03:37.860]   simple prompting, rag, and agents. So let's briefly talk about each of these because this will help us
