
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:07.480]   - Welcome, friends, to this episode
[00:00:07.480 --> 00:00:10.240]   of the Everyday Educator podcast.
[00:00:10.240 --> 00:00:12.000]   I'm your host, Lisa Bailey,
[00:00:12.000 --> 00:00:15.560]   and I am excited to spend some time with you today
[00:00:15.560 --> 00:00:18.920]   as we encourage one another, learn together,
[00:00:18.920 --> 00:00:21.960]   and ponder the delights and challenges
[00:00:21.960 --> 00:00:25.500]   that make homeschooling the adventure of a lifetime.
[00:00:25.500 --> 00:00:27.600]   Whether you're just considering
[00:00:27.600 --> 00:00:29.880]   this homeschooling possibility
[00:00:29.880 --> 00:00:33.760]   or deep into the daily delight of family learning,
[00:00:33.760 --> 00:00:37.440]   I believe you'll enjoy thinking along with us.
[00:00:37.440 --> 00:00:42.320]   But don't forget, although this online community is awesome,
[00:00:42.320 --> 00:00:47.320]   you'll find even closer support in a local CC community.
[00:00:47.320 --> 00:00:51.200]   So go to classicalconversations.com
[00:00:51.200 --> 00:00:54.460]   and find a community near you today.
[00:00:55.840 --> 00:01:00.360]   Well, listeners, I'm super excited to talk to you today
[00:01:00.360 --> 00:01:02.900]   and to talk to my friend Brittany today
[00:01:02.900 --> 00:01:07.280]   about one of my favorite things to do, read.
[00:01:07.280 --> 00:01:12.120]   I love to read, I've always been a big reader.
[00:01:12.120 --> 00:01:16.380]   And I have one of my dear friends with me today
[00:01:16.380 --> 00:01:21.320]   that I know is also a big reader, Brittany Lewis.
[00:01:21.320 --> 00:01:24.660]   Brittany, thank you for being with me today on the podcast.
[00:01:25.560 --> 00:01:26.720]   - Oh, it's my pleasure.
[00:01:26.720 --> 00:01:29.400]   I love this topic and I love speaking with you.
[00:01:29.400 --> 00:01:31.480]   - We have so much fun when we're together.
[00:01:31.480 --> 00:01:33.760]   So you guys who are listening,
[00:01:33.760 --> 00:01:36.600]   it may seem like you are eavesdropping
[00:01:36.600 --> 00:01:38.520]   on a conversation between two friends
[00:01:38.520 --> 00:01:40.080]   'cause we might really get to go in
[00:01:40.080 --> 00:01:41.840]   as we talk about reading.
[00:01:41.840 --> 00:01:45.000]   'Cause I know that we're both pretty jazzed
[00:01:45.000 --> 00:01:49.320]   about what reading is and what it can do for us
[00:01:49.320 --> 00:01:52.060]   and for our families and for our communities.
[00:01:52.920 --> 00:01:57.280]   Listeners, I know that some of you are probably
[00:01:57.280 --> 00:01:59.880]   big readers yourselves.
[00:01:59.880 --> 00:02:04.880]   Some of you probably have kids who already love to read,
[00:02:04.880 --> 00:02:10.000]   but I'm also aware that there are lots of us homeschoolers
[00:02:10.000 --> 00:02:15.160]   who don't particularly enjoy reading
[00:02:15.160 --> 00:02:20.160]   or maybe who grew up not really loving to read
[00:02:20.160 --> 00:02:22.520]   like we hope our children will.
[00:02:22.520 --> 00:02:24.620]   And so the conversation today
[00:02:24.620 --> 00:02:26.600]   is gonna be all over the place.
[00:02:26.600 --> 00:02:30.080]   It's not just for people who love to read
[00:02:30.080 --> 00:02:34.180]   or have a whole row of books that they're waiting to read.
[00:02:34.180 --> 00:02:39.180]   It is for people who are wondering what reading together
[00:02:39.180 --> 00:02:44.120]   can do for our families and for our homeschools.
[00:02:44.120 --> 00:02:46.480]   So it really is for everybody,
[00:02:46.480 --> 00:02:50.040]   even if you don't think of yourself as a big reader.
[00:02:50.040 --> 00:02:51.880]   Brittany, let me ask you this question
[00:02:51.880 --> 00:02:54.440]   just so everybody can get to know you a little bit.
[00:02:54.440 --> 00:02:57.340]   Are you a big reader?
