
[00:00:00.000 --> 00:00:04.880]   Well, good morning.
[00:00:04.880 --> 00:00:07.240]   You know, we've been talking a lot about truth.
[00:00:07.240 --> 00:00:13.320]   That is what we do at Grace To You, unleashing God's truth one verse at a time.
[00:00:13.320 --> 00:00:19.400]   And this morning I want to look at what Scripture says about certainty, settled knowledge.
[00:00:19.400 --> 00:00:26.980]   How do we know what we know and how can we be confident that what we believe is true?
[00:00:26.980 --> 00:00:32.860]   You know, one of the most disastrous developments in western society since the end of World
[00:00:32.860 --> 00:00:36.860]   War II has been the loss of certainty.
[00:00:36.860 --> 00:00:43.540]   It's not politically correct these days to hold strong opinions, to be convicted, to
[00:00:43.540 --> 00:00:46.880]   hold convictions about especially biblical truth.
[00:00:46.880 --> 00:00:53.500]   And that's ironic because one of the founding documents of the American way of life, the
[00:00:53.500 --> 00:00:56.960]   Declaration of Independence, opens with a short sentence.
[00:00:56.960 --> 00:01:03.020]   It's a short preamble that's followed by these famous words, "We hold these truths to be
[00:01:03.020 --> 00:01:04.900]   self-evident."
[00:01:04.900 --> 00:01:09.180]   But in post-modern America, no truth is self-evident.
[00:01:09.180 --> 00:01:15.680]   We're not even supposed to be what...be sure what a person's gender is until that person
[00:01:15.680 --> 00:01:22.060]   tells you his, her, or their pronouns, or until the kindergarten teacher figures it
[00:01:22.060 --> 00:01:24.160]   out.
[00:01:24.160 --> 00:01:26.940]   And so we ask, "How can I be sure?"
[00:01:26.940 --> 00:01:27.940]   And the answer is, "Well, you know, I'm not sure."
[00:01:27.940 --> 00:01:28.940]   And so we ask, "How can I be sure?"
[00:01:28.940 --> 00:01:29.940]   And so we ask, "How can I be sure?"
[00:01:29.940 --> 00:01:30.940]   And so we ask, "How can I be sure?"
[00:01:30.940 --> 00:01:31.940]   And so we ask, "How can I be sure?"
[00:01:31.940 --> 00:01:32.940]   And so we ask, "How can I be sure?"
[00:01:32.940 --> 00:01:33.940]   And so we ask, "How can I be sure?"
[00:01:33.940 --> 00:01:34.940]   And so we ask, "How can I be sure?"
[00:01:34.940 --> 00:01:35.940]   And so we ask, "How can I be sure?"
[00:01:35.940 --> 00:01:36.940]   And so we ask, "How can I be sure?"
[00:01:36.940 --> 00:01:37.940]   And so we ask, "How can I be sure?"
[00:01:37.940 --> 00:01:38.940]   And so we ask, "How can I be sure?"
[00:01:38.940 --> 00:01:39.940]   And so we ask, "How can I be sure?"
