
[00:00:00.000 --> 00:00:24.420]   Okay, thank you for coming bright and early, 9:00 a.m. at the start of the conference,
[00:00:24.420 --> 00:00:32.740]   for LLMs for Web Devs, GPT in 600 lines of vanilla JavaScript. I think you guys are going
[00:00:32.740 --> 00:00:37.300]   to have a great conference. I was here last year. I thoroughly enjoyed it. And I think
[00:00:37.300 --> 00:00:42.580]   this is a great way to kick things off. If you're just coming to this field or this conference
[00:00:42.580 --> 00:00:47.900]   without any background in machine learning, this is your missing AI degree that will help
[00:00:47.900 --> 00:00:52.260]   make the rest of the conference, I think, hopefully a lot more valuable.
[00:00:52.260 --> 00:00:59.260]   So if you're just joining us and came in, you can go to spreadsheets are all you need.ai.
[00:00:59.260 --> 00:01:05.040]   And there's a Discord link in the upper menu. Click on that, and then go to the AI Engineer
[00:01:05.040 --> 00:01:12.000]   World's Fair 2025 room. And then there's a link to download the GPT-2 model weights in
[00:01:12.000 --> 00:01:16.040]   the pinned message at the top. It takes a little while to download that, so I would download
[00:01:16.040 --> 00:01:21.420]   that and get started. Because the WiFi might be a little bit slow. We're going to be using
[00:01:21.420 --> 00:01:23.040]   that in a bit.
[00:01:23.040 --> 00:01:29.880]   Okay. We're going to do something special today. It is a talk. And I will be doing a lot of talking
[00:01:29.880 --> 00:01:37.040]   at you. And we'll be running code, so it is a workshop. But our mission today is to break
[00:01:37.040 --> 00:01:44.040]   Clark's third law. You might be familiar with the science fiction author, Arthur C. Clark,
[00:01:44.040 --> 00:01:49.820]   and his famous maxim that any sufficiently advanced technology is indistinguishable from magic.
[00:01:49.820 --> 00:01:56.040]   And nowhere is that more true or relevant today than when it comes to large language models.
[00:01:56.040 --> 00:02:04.040]   These are seemingly magical machines that can produce lifelike text, automate tasks as agents,
[00:02:04.040 --> 00:02:10.900]   and maybe even replace humans in certain contexts. And if you ask somebody how these work or you
[00:02:10.900 --> 00:02:17.680]   go online, you're liable to get the impression that you need to have semesters of linear algebra
[00:02:17.680 --> 00:02:22.760]   and calculus before you can begin taking your first machine learning class and understand how
[00:02:22.760 --> 00:02:28.760]   these work. And yes, that's true if you want to be a machine learning engineer. But if you just
[00:02:28.760 --> 00:02:34.200]   want to understand how these work and you're a builder on top of them, I'm here to tell you that is not
[00:02:34.200 --> 00:02:39.800]   true. Do not believe them. You don't need all that sophistication if you just want to have a really
[00:02:39.800 --> 00:02:47.720]   accurate model of how a transformer works. I know because I was here last year. I gave a talk called
[00:02:47.720 --> 00:02:53.720]   Spreadsheets are all you need where I showed an Excel worksheet that implemented all of GPT2 small
[00:02:53.720 --> 00:02:59.560]   entirely in pure Excel functions. And then I took that spreadsheet and I turned it into a class that I
[00:02:59.560 --> 00:03:07.720]   taught online where I took people tab by tab through how the entire model works. And not everyone was even
[00:03:07.720 --> 00:03:15.720]   an engineer. So one of my favorites is this guy. This Joe here is a CFO. He's just naturally good at Excel.
[00:03:15.720 --> 00:03:21.000]   And that gave him everything he needed combined with the sheet to understand how a large language model
[00:03:21.000 --> 00:03:27.160]   works on the inside. And he says, this is great. I had no experience in machine learning or AI concepts
[00:03:27.160 --> 00:03:31.720]   before. Yet he was able to walk away with a very good understanding of how they work. So what I'm going to do
[00:03:31.720 --> 00:03:37.720]   today is compress that class, which is about eight hours down to these two hours today, and explain how
[00:03:37.720 --> 00:03:45.720]   the transformer works. And I show up today or this year at the conference with this. Instead of Excel,
[00:03:45.720 --> 00:03:51.720]   because not every one of us have a job that requires us to be really good at Excel, we're using a vanilla
[00:03:51.720 --> 00:03:59.720]   JavaScript implementation. Because a lot of folks who come to AI engineering as a field have a web development or full-stack
[00:03:59.720 --> 00:04:05.720]   JavaScript background. And so if that's your background, you are perfect the way you are.
[00:04:05.720 --> 00:04:09.720]   You don't need to learn Python if you just want to understand how a model works. And you're still going
[00:04:09.720 --> 00:04:15.720]   to use TypeScript and Next.js around the model, but you still want to have a good understanding of how it works.
[00:04:15.720 --> 00:04:21.720]   So today's approach is I'm going to give you the background to understand the code. And we're going to take
[00:04:21.720 --> 00:04:29.720]   a brief walkthrough of it. I'm going to focus more on the why than on the what. So we'll take a look at the code,
[00:04:29.720 --> 00:04:35.720]   but I'm going to spend a lot of time building intuition and background to understand the code.
[00:04:35.720 --> 00:04:41.720]   the code. And then instead of complex equations, I'm going to use analogies and examples to make
[00:04:41.720 --> 00:04:47.720]   it more tangible. Okay. And the background you need to have is, first of all, just motivation. And a
[00:04:47.720 --> 00:04:53.720]   curiosity to understand how these work on the inside. Any science, technology, engineering background is
[00:04:53.720 --> 00:04:59.720]   sufficient. Prior programming experience, especially in JavaScript, but you don't need to know React or Vue.
[00:04:59.720 --> 00:05:05.720]   We're going to just use vanilla JavaScript. And then some awareness, I would call it, of linear algebra,
[00:05:05.720 --> 00:05:11.720]   meaning you just need to know what a matrix multiplication is. You don't need to be a hot shot
[00:05:11.720 --> 00:05:17.720]   JavaScript ninja. You don't need prior AI or ML background. And you don't need, you know, deep
[00:05:17.720 --> 00:05:23.720]   calculus or linear algebra fluency. Okay. And the key resources for today are going to be our
[00:05:23.720 --> 00:05:31.720]   JavaScript implementation of GPT-2. Use Chrome on the desktop. And if you go to spreadsheets are all you need,
[00:05:31.720 --> 00:05:38.720]   .ai -- and I apologize, that is a long domain name -- slash GPT-2, it will load up this implementation
[00:05:38.720 --> 00:05:43.720]   and it will run locally in your browser. There's a Discord server where I've dropped some links.
[00:05:43.720 --> 00:05:52.720]   And if you've got questions, feel free to drop them in there as well. Okay. So this is a simplified diagram of
[00:05:52.720 --> 00:05:59.720]   GPT-2. It does not look like your classic transformer diagram intentionally. And it will serve as our
[00:05:59.720 --> 00:06:05.720]   roadmap for what we're going to do throughout today's workshop. I'm going to start by just giving you
[00:06:05.720 --> 00:06:11.720]   some background on LLMs and our JavaScript implementation of GPT-2, how to get it running,
[00:06:11.720 --> 00:06:19.720]   how to get it started. And then we're going to focus on these three areas for the most of it. And that's tokenization,
[00:06:19.720 --> 00:06:26.720]   embeddings, and then the language head. And I've focused on those because that's the input and the output of the model.
[00:06:26.720 --> 00:06:34.720]   And those are the most important to have the background and understanding if you're going to be building systems around and on top of LLMs.
[00:06:34.720 --> 00:06:41.720]   We will cover the inside number crunching part. That's attention and the multilayer perceptron at a pretty high level.
[00:06:41.720 --> 00:06:53.720]   I'll go a little bit more into the multilayer perceptron because then I can explain about backpropagation and it serves as kind of a foundation to understand how the model learns, which is an important concept.
[00:06:53.720 --> 00:07:08.720]   And then finally, I'll talk about the difference between GPT-2 and ChatGPT. So they were separated by three or four years. What were those innovations that made the model so much seemingly more smarter than GPT-2?
[00:07:08.720 --> 00:07:20.720]   Hint, it wasn't necessarily anything algorithmic. Okay, so let's start with a quick tour of our JavaScript implementation of GPT-2 and then some background on LLMs.
[00:07:20.720 --> 00:07:33.720]   So this is what you get when you load up GPT-2, slash GPT-2 on the spreadsheets-are-all-you-need website.
[00:07:33.720 --> 00:07:41.720]   If you scroll down, the first thing you're going to want to do, there's a link here that says download the GPT-2 small CSV.
[00:07:41.720 --> 00:07:49.720]   So the first thing you want to do is go to this page on GitHub. This is all the model parameters of GPT-2 small in a bunch of CSV.
