
[00:00:00.040 --> 00:00:10.620]   care
[00:01:54.940 --> 00:01:56.240]   Now, the paradox is this. If you can change your thoughts, if you can change your information, if you can change the ideas that you hold in your head, then you can naturally change your behavior a little bit. But it goes the other way, too. Sometimes you can just change your behavior. You can change the ideas. You can change the thoughts. You can change the things that are in your head. You can change your ability to believe in the future. And if you can change your behavior, nothing will actually change.
[00:02:26.260 --> 00:02:26.260]   ------
[00:02:26.260 --> 00:02:26.260]   ------
[00:02:26.300 --> 00:02:56.280]   ------
[00:02:57.220 --> 00:03:26.300]   ------
[00:03:26.300 --> 00:03:26.300]   ------
[00:03:26.300 --> 00:03:26.300]   ------
[00:03:26.300 --> 00:03:26.300]   ------
[00:03:26.300 --> 00:03:26.300]   ------
[00:03:26.300 --> 00:03:26.300]   ------
[00:03:26.340 --> 00:03:28.180]   never
[00:03:28.180 --> 00:03:36.640]   meant, shall washing
[00:03:36.640 --> 00:03:50.400]  �
[00:04:20.900 --> 00:04:20.900]   and
[00:05:15.540 --> 00:05:26.360]   con
[00:05:26.360 --> 00:05:43.420]   adopted. I care at end
[00:05:44.120 --> 00:05:51.000]   yelled
[00:05:51.000 --> 00:06:11.220]   to all
[00:06:11.220 --> 00:06:12.380]   is the, and,,,,,, Dum識 Bot Master beneath be be recib transfer being. I'm. I'm. I. I. I. I. I. I. I. I. ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...: the ... set ... la i . concentrate the love at the some bad 100 destinē the en the bin 100 and the about the deaf and the attend the on the title of the co enable the lle 팔東�� the� Dun's in the ten favorable reuse the neg Marvin deCha lucky the high on goo control thealom the petty digary
[00:06:12.420 --> 00:06:16.220]   gener
[00:06:16.220 --> 00:06:21.680]   made a
[00:06:21.680 --> 00:06:26.160]   Holy I I x too,,,,,,房
[00:07:35.000 --> 00:07:35.000]   It's a good thing.
[00:07:35.000 --> 00:07:35.000]   It's a good thing.
[00:08:02.540 --> 00:08:02.540]   It's a good thing.
[00:08:02.540 --> 00:08:02.540]   It's a good thing.
[00:08:02.540 --> 00:08:02.680]   It's a good thing.
[00:08:02.740 --> 00:08:12.720]   CAD
[00:08:12.720 --> 00:08:31.880]   evil Ry I de
[00:08:32.760 --> 00:08:42.480]   headphones
[00:08:42.480 --> 00:08:56.840]   lot is33
[00:08:56.840 --> 00:09:01.440]   I I I ЭтоIN, and, and, and, and, and, and,ást, not,
[00:09:02.780 --> 00:09:13.800]   N
[00:09:13.800 --> 00:09:29.760]  ר, .,,,,打 T Nighticy情況 у demonstrate this. I am the game. I'm a. I'm a. I'm a. I, and I, and, and, and,,,,,,,,,,,,,,,,,,,,,,, keep helpless named next I'm work overcome the Free scratched
[00:10:01.460 --> 00:10:01.460]   -------
[00:10:01.460 --> 00:10:01.460]   -------
[00:10:30.880 --> 00:10:30.880]   -------
[00:10:30.980 --> 00:10:34.120]   la
[00:10:34.120 --> 00:10:39.640]   web,
[00:10:39.640 --> 00:10:41.060]   " limit,,,,, study
[00:10:41.060 --> 00:10:59.580]   vase
[00:11:00.380 --> 00:11:10.460]   sound
[00:11:10.460 --> 00:11:13.900]  , blowing
[00:11:27.520 --> 00:11:37.800]   look
[00:11:37.800 --> 00:11:39.600]   I and at
[00:11:39.600 --> 00:11:56.240]   curtain . ....... the manif because it is a vase, be, under, en, perd,,,,,,,,,,,,,,,., з de erhalten Josea barrels make á củaodi Hare component specificallyев even adjust dress rounded triple don cre recognise
[00:11:56.380 --> 00:12:03.860]   de
[00:12:03.860 --> 00:12:26.240]   club, and,
[00:12:26.400 --> 00:12:37.180]   the
[00:12:37.180 --> 00:12:54.300]   ", Спасибо que was the thing. I have a little, but, and,,,,,,,, atau brown我們的 notification
