
[00:00:00.000 --> 00:00:02.240]   (upbeat music)
[00:00:02.240 --> 00:00:05.040]   - Hello, and welcome to another episode of All The Hacks,
[00:00:05.040 --> 00:00:07.880]   a show about upgrading your life, money, and travel.
[00:00:07.880 --> 00:00:10.200]   I'm Chris Hutchins, and I'm so excited you're here today
[00:00:10.200 --> 00:00:14.080]   for an episode focused on travel hacking, points, and miles.
[00:00:14.080 --> 00:00:17.160]   This one is jam-packed with a ton of amazing hacks
[00:00:17.160 --> 00:00:19.600]   you've all shared, so thank you so much
[00:00:19.600 --> 00:00:22.560]   for sending those in, as well as some great questions
[00:00:22.560 --> 00:00:24.920]   we're gonna tackle covering everything
[00:00:24.920 --> 00:00:26.840]   from paying taxes with your credit card,
[00:00:26.840 --> 00:00:29.440]   to earning points, to companion pass,
[00:00:29.440 --> 00:00:33.640]   to booking travel, getting deals, a bunch of great sites,
[00:00:33.640 --> 00:00:35.720]   and things you can do to optimize your next trip,
[00:00:35.720 --> 00:00:37.040]   and so much more.
[00:00:37.040 --> 00:00:39.120]   But I have a few cool things to share first.
[00:00:39.120 --> 00:00:40.720]   I'll start with some amazing listener wins
[00:00:40.720 --> 00:00:42.200]   you've all shared, and some of them
[00:00:42.200 --> 00:00:44.600]   are the biggest we've ever seen.
[00:00:44.600 --> 00:00:46.560]   First, Savannah wrote this in.
[00:00:46.560 --> 00:00:48.440]   "We have used multiple hacks from your show.
[00:00:48.440 --> 00:00:50.460]   "I've gotten into credit card points for travel
[00:00:50.460 --> 00:00:53.840]   "and believe it will save us around $10,000 this year.
[00:00:53.840 --> 00:00:55.080]   "From your show about insurance,
[00:00:55.080 --> 00:00:57.820]   "we realized our house had grown in value significantly,
[00:00:57.820 --> 00:00:59.680]   "and we can now drop PMI insurance,
[00:00:59.680 --> 00:01:02.280]   "which will save us $1,000 a year.
[00:01:02.280 --> 00:01:05.400]   "I also found seven claims of unclaimed money for my dad,
[00:01:05.400 --> 00:01:06.960]   "so thank you so much for your content.
[00:01:06.960 --> 00:01:10.000]   "You really are changing the lives of your listeners."
[00:01:10.000 --> 00:01:12.000]   Savannah, thank you so much for writing that in.
[00:01:12.000 --> 00:01:14.880]   It means so much to me that all the time and energy
[00:01:14.880 --> 00:01:17.800]   I spend can save people like you so much time,
[00:01:17.800 --> 00:01:21.120]   energy, money, and bring so much joy to your lives.
[00:01:21.120 --> 00:01:22.320]   I wanna run through a few more,
[00:01:22.320 --> 00:01:24.240]   because there were so many great wins
[00:01:24.240 --> 00:01:26.320]   since the last time I did this.
[00:01:26.320 --> 00:01:29.060]   Alex wrote in and said that after only a year
[00:01:29.060 --> 00:01:30.740]   and three months, he's already racked up
[00:01:30.740 --> 00:01:34.940]   450,000 membership rewards points on Amex,
[00:01:34.940 --> 00:01:37.020]   but he really wanted to make sure people understood
[00:01:37.020 --> 00:01:41.060]   that his spending is only about 20 to $30,000 a year.
[00:01:41.060 --> 00:01:43.300]   He said he knew it was small compared to most people
[00:01:43.300 --> 00:01:45.220]   that live in more expensive places,
[00:01:45.220 --> 00:01:48.600]   but he did all this by maximizing referral bonuses,
[00:01:48.600 --> 00:01:51.060]   signup bonuses, and using Rakuten
[00:01:51.060 --> 00:01:54.140]   to rack up over 60,000 membership reward points
[00:01:54.140 --> 00:01:56.280]   for things he already needed to purchase.
[00:01:56.280 --> 00:01:58.260]   Zach, who we also talked about some wins
[00:01:58.260 --> 00:02:00.940]   about six months ago, wrote in with a follow-up.
[00:02:00.940 --> 00:02:01.980]   He was a medical student.
[00:02:01.980 --> 00:02:04.380]   He's now nearing the end of his third year,
[00:02:04.380 --> 00:02:06.020]   so he's making no income,
[00:02:06.020 --> 00:02:09.860]   but travel is really important to him and his girlfriend.
[00:02:09.860 --> 00:02:11.220]   So over the last two years,
[00:02:11.220 --> 00:02:13.940]   with some great signup bonuses and redemption values,
[00:02:13.940 --> 00:02:18.220]   he just wanted to share that from March 2022 to May 2023,
[00:02:18.220 --> 00:02:20.820]   they've taken three international trips
[00:02:20.820 --> 00:02:24.100]   using all the strategies he's learned in the show.
[00:02:24.100 --> 00:02:28.320]   He's earned and used over 800,000 points,
[00:02:28.320 --> 00:02:30.400]   paid only $2,000 in fees
[00:02:30.400 --> 00:02:34.440]   to redeem flights and hotels worth $29,000.
[00:02:34.440 --> 00:02:36.860]   He calculated it out after subtracting fees
[00:02:36.860 --> 00:02:40.680]   at 3.1 cents per point, which is absolutely incredible.
[00:02:40.680 --> 00:02:43.340]   It's allowed him to have six weeks of international travel
[00:02:43.340 --> 00:02:47.020]   to places like Italy, England, France, Spain, and Portugal,
[00:02:47.020 --> 00:02:48.400]   and he said it wouldn't have been possible
[00:02:48.400 --> 00:02:49.560]   without all this advice.
[00:02:49.560 --> 00:02:52.720]   So I'm so glad you were able to take those trips, Zach.
[00:02:52.720 --> 00:02:54.740]   A few more, we don't talk about hotels
[00:02:54.740 --> 00:02:55.960]   outside of Hyatt that much,
[00:02:55.960 --> 00:02:57.760]   but Noah had an awesome transfer
[00:02:57.760 --> 00:03:00.280]   from 45,000 city points to Wyndham
[00:03:00.280 --> 00:03:03.080]   to book three nights in a beachfront resort condo
