
[00:00:00.000 --> 00:00:05.360]   With the biggest wealth transfer in history underway, how people think about money has never
[00:00:05.360 --> 00:00:10.660]   mattered more. So today we'll break down what each generation gets right and wrong about saving,
[00:00:10.660 --> 00:00:15.140]   spending, and investing so you can learn from their wins and avoid their mistakes. You'll walk
[00:00:15.140 --> 00:00:19.900]   away with insights on everything from navigating home ownership and inheritance to knowing when to
[00:00:19.900 --> 00:00:24.580]   play it safe and when to take more risk. So whether you're navigating home buying, just starting to
[00:00:24.580 --> 00:00:29.440]   save, or figuring out your retirement, there is something here for every generation. And to do all
[00:00:29.440 --> 00:00:34.040]   this, I'm joined by Ben Carlson, a seasoned financial advisor and widely respected voice
[00:00:34.040 --> 00:00:38.880]   in the space to help you rethink how your financial mindset stacks up and what changes might get you
[00:00:38.880 --> 00:00:43.600]   further faster. I'm Chris Hutchins. If you enjoyed this episode, please share with a friend or leave
[00:00:43.600 --> 00:00:47.680]   a comment or review. And if you want to keep upgrading your life, money, and travel, click
[00:00:47.680 --> 00:00:53.660]   follow or subscribe. Ben, for almost 30 years, I feel like we've been talking about this great
[00:00:53.660 --> 00:00:58.220]   wealth transfer from boomers to millennials. And I want to get your take on whether it's really a big
[00:00:58.220 --> 00:01:00.820]   deal. Like does this even matter for our day to day finances?
[00:01:00.820 --> 00:01:06.080]   Probably not as much as most young people would like for now. And I've been we've been having a lot
[00:01:06.080 --> 00:01:11.040]   of conversations with clients about this recently, because there's a few things going on here. One of
[00:01:11.040 --> 00:01:16.180]   them is the fact that a lot of baby boomers are having a hard time spending the wealth that they've
[00:01:16.180 --> 00:01:22.560]   created. Right? So we're having these conversations where people will say, listen, I just want to keep my
[00:01:22.560 --> 00:01:26.700]   principal and don't touch it. And I want to spend the dividends and the interest income,
[00:01:26.700 --> 00:01:32.580]   everything else just like I don't I'm too nervous to touch it. And because they've been saving for 40
[00:01:32.580 --> 00:01:39.320]   years. And they're, you know, they did a really good job, stocking money away. But now having to like
[00:01:39.320 --> 00:01:44.020]   flip a switch and go the other way and then spend it down, psychologically really, really challenging for
[00:01:44.020 --> 00:01:49.180]   them. And so for a lot of people, it's, it's Oh, no, what if I you know, I have health problems,
[00:01:49.180 --> 00:01:53.460]   and I people are living longer, and I don't know what's going to happen with the economy. And I don't
[00:01:53.460 --> 00:01:58.100]   know how the markets are going to do going forward. And so that's a big part of it. The other part is
[00:01:58.100 --> 00:02:02.680]   that, you know, baby boomers are living longer than any generation that's come before them, right?
[00:02:02.940 --> 00:02:08.040]   That's going to be every generation going forward. And so the millennials who are potentially banking
[00:02:08.040 --> 00:02:14.520]   on a an inheritance might not get it until their 50s or 60s, right? Because their parents could live
[00:02:14.520 --> 00:02:22.740]   to their 80s or 90s. I think the stat is, if you're a married couple retiring today, at 65, there is like
[00:02:22.740 --> 00:02:28.480]   a 70% chance that one of you will live into your 90s, women live longer than men. So that means again,
[00:02:28.480 --> 00:02:33.880]   that the younger cohort, the, you know, Gen X millennial are not going to receive that
[00:02:33.880 --> 00:02:38.880]   inheritance probably when they need it the most, right? When they're trying to buy a house when
[00:02:38.880 --> 00:02:44.480]   they're paying for daycare for their kids. And so a lot of the conversations we're having, you know,
[00:02:44.480 --> 00:02:50.280]   is do you want to actually have that inheritance come earlier? And does it make sense to spend it now
[00:02:50.280 --> 00:02:57.020]   and you can watch your family actually enjoy it when they need it. But a lot of the baby boomer mindset
[00:02:57.020 --> 00:03:00.900]   is no, I pass an inheritance down when I die, because that's what my parents did.
[00:03:00.900 --> 00:03:06.900]   And so there's all sorts of like psychological minefields that we're dealing with here when
[00:03:06.900 --> 00:03:11.160]   it comes to this, this money. And you're right, it is a lot of money that's going to be passed down in
[00:03:11.160 --> 00:03:15.640]   years ahead. Now, when you think out of the macro sense, it's a massive wealth transfer. Economically
[00:03:15.640 --> 00:03:20.680]   speaking, will this have an impact on people's lives who don't get an inheritance? Is it a broader
[00:03:20.680 --> 00:03:26.300]   impact on housing prices, the investment markets, that kind of thing? Or is it more a
[00:03:26.300 --> 00:03:29.340]   conceptual thing that doesn't really impact the rest of us?
[00:03:29.340 --> 00:03:34.620]   I've gotten that question a lot, like, hey, when baby boomers go to sell their stocks,
[00:03:34.620 --> 00:03:41.180]   they're going to crash the market, right? And my response to that is one, those sales are going to
[00:03:41.180 --> 00:03:45.340]   happen over the course of 20 to 30 years, not going to happen all at once, especially those who
[00:03:45.340 --> 00:03:51.680]   had very equity heavy portfolios. They're not just going from 100% stocks to 6040 right away,
[00:03:51.680 --> 00:03:56.060]   they do it in pieces. And they've been doing this for a while. And a lot of them just hold more cash
[00:03:56.060 --> 00:04:02.480]   too. But the other thing is that, as you know, the top 10% own almost 90% of the stocks in this
[00:04:02.480 --> 00:04:09.500]   country. And so it's not like there's just this big group of people that's going to go to sell most of
[00:04:09.500 --> 00:04:14.400]   that money is going to be passed down, probably. A lot of them that own the most stocks are probably not
[00:04:14.400 --> 00:04:19.980]   going to be even touch the majority of it. So yeah, I don't think that it's going to cause this
[00:04:19.980 --> 00:04:24.740]   massive problem for the economy or the markets. It's going to be more of a slow drip than like
[00:04:24.740 --> 00:04:30.340]   this big tsunami that happens all at once. Now you mentioned, you know, that mindset of boomers is
[00:04:30.340 --> 00:04:35.540]   like, this is just what I've done. And it's really got me thinking a lot about the difference between
[00:04:35.540 --> 00:04:40.880]   how these different generations think about money and what impact that has on advice we get.
[00:04:41.080 --> 00:04:47.920]   So I'm curious, like, what are the kind of fundamental differences in financial mindsets
[00:04:47.920 --> 00:04:53.760]   for generations from kind of boomers to millennials, and maybe what you see coming up in Gen Z and
[00:04:53.760 --> 00:04:54.600]   generations in between?
[00:04:54.600 --> 00:04:59.700]   One of the things that we're seeing in the wealth management space is if there is an inheritance
[00:04:59.700 --> 00:05:04.800]   and a pass down, it's listen, my parents had a guy that they worked with, and we don't trust this
[00:05:04.800 --> 00:05:09.420]   person. There's a lot of older gray haired advisors who aren't really talking to the next generation.
[00:05:09.420 --> 00:05:14.200]   And that's something that we're trying to do a lot because you want to have everyone in at the
[00:05:14.200 --> 00:05:18.880]   table for the conversation. But the other thing is just, you know, I think part of the baby boomer
[00:05:18.880 --> 00:05:23.060]   mentality of not spending really has been handed down from their parents, right? Their parents were the
[00:05:23.060 --> 00:05:27.960]   the live through the Great Depression. And so a lot of them still have that mindset of,
[00:05:27.960 --> 00:05:34.400]   I have to really have a backup plan for a backup plan. And I don't want to get caught stuck if
[00:05:34.400 --> 00:05:40.480]   something doesn't work out. And I think it's been supercharged this decade, really, because a lot of
[00:05:40.480 --> 00:05:45.820]   millennials were, you know, they felt some scars from the Great Recession, the 2008 crash, right?
[00:05:45.820 --> 00:05:50.220]   People, there was all these stories in the 2010s of millennials are shunning risk, and they're not
[00:05:50.220 --> 00:05:53.880]   investing in stocks very much. They saw their parents live through it, and they started to live
[00:05:53.880 --> 00:05:59.380]   through the stock market crashes. And it was kind of scary. And the 2020s, I think, has completely
[00:05:59.380 --> 00:06:04.120]   switched. And it's really fascinating to me to watch because I was of the opinion that,
[00:06:04.120 --> 00:06:07.620]   okay, this really was a pandemic phenomenon. Because remember at the beginning of the pandemic,
[00:06:07.620 --> 00:06:13.300]   when everyone started going crazy and day trading and open Robinhood accounts, and people said,
[00:06:13.300 --> 00:06:17.340]   well, that's just because a lot of people aren't working right now. And there's no professional
[00:06:17.340 --> 00:06:21.780]   sports on right now to gamble. And once that stuff opens back up, and people are going back into the
[00:06:21.780 --> 00:06:26.540]   offices, and they can gamble on sports again, it's just a fad, right? And then we got the meme stock
[00:06:26.540 --> 00:06:32.020]   craze. And it's like, okay, once this goes away, then people will get back to it. And it doesn't
[00:06:32.020 --> 00:06:38.440]   seem like it's going away. It's only strengthened. And there's millions of new investors now. The stat
[00:06:38.440 --> 00:06:42.300]   I keep coming back to, I talked to one of the head people from Robinhood a couple weeks ago on my
[00:06:42.300 --> 00:06:48.340]   podcast. And he said that they have 26 million customers, and 13 million of them, it's their first
[00:06:48.340 --> 00:06:53.760]   brokerage account they've ever opened. So these are brand new investors into the markets. And they are
[00:06:53.760 --> 00:06:57.560]   more comfortable with risk, because think about all the people who invested in crypto, it wasn't
[00:06:57.560 --> 00:07:04.300]   institutions, it was regular retail people, right? And they've lived through how many 75% drawdowns in the
[00:07:04.300 --> 00:07:08.940]   last 10 years. And so I think that the younger generation is just more comfortable with speculation,
[00:07:08.940 --> 00:07:17.260]   because they're doing it, they're betting on events now with Calci and Polymarket, right? They're day trading
[00:07:17.260 --> 00:07:23.260]   stocks, they're investing in crypto, they're also gambling on sports, that's in like taxable account with their
[00:07:23.260 --> 00:07:29.200]   other stuff that's tax deferred, they're investing in target date funds and index funds and ETFs. And so there's this
