
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:05.640]   - Hey everyone.
[00:00:05.640 --> 00:00:07.440]   Welcome to the Latent Space Podcast.
[00:00:07.440 --> 00:00:09.320]   This is Alessio, partner and CTO
[00:00:09.320 --> 00:00:10.800]   of Residence at Decibel Partners.
[00:00:10.800 --> 00:00:12.560]   And I'm joined by my co-host, Spooks,
[00:00:12.560 --> 00:00:13.760]   founder of Small AI.
[00:00:13.760 --> 00:00:15.840]   - Hey, and today we have a very special episode
[00:00:15.840 --> 00:00:17.240]   with Thomas Yalom.
[00:00:17.240 --> 00:00:18.360]   I don't know how to describe,
[00:00:18.360 --> 00:00:19.720]   you've done so much work
[00:00:19.720 --> 00:00:21.240]   in a very short amount of time at Meta,
[00:00:21.240 --> 00:00:24.200]   but you were most notably leading Lama 2.
[00:00:24.200 --> 00:00:26.760]   And now today we're also coordinating
[00:00:26.760 --> 00:00:27.840]   on the release of Lama 3.
[00:00:27.840 --> 00:00:28.680]   So welcome.
[00:00:28.680 --> 00:00:29.640]   - Thanks for having me.
[00:00:29.640 --> 00:00:33.080]   - To be clear, obviously the Lama 3 405B.
[00:00:33.080 --> 00:00:35.880]   Is that the official size number that we're going with?
[00:00:35.880 --> 00:00:37.080]   Or is it, do we just say 400B?
[00:00:37.080 --> 00:00:40.560]   - For the text model only, yes.
[00:00:40.560 --> 00:00:42.080]   A bit of additional parameters
[00:00:42.080 --> 00:00:44.040]   for the multi-model version that will come later.
[00:00:44.040 --> 00:00:45.160]   - Awesome. Awesome.
[00:00:45.160 --> 00:00:46.840]   Just to quickly go over your background.
[00:00:46.840 --> 00:00:48.680]   Actually we had a slightly similar past.
[00:00:48.680 --> 00:00:50.640]   I was also a quantitative trader
[00:00:50.640 --> 00:00:53.080]   and it looks like you did five years in quant finance,
[00:00:53.080 --> 00:00:55.240]   working at Trading Timer in SOC Gen.
[00:00:55.240 --> 00:00:58.280]   And then you transitioned into natural language,
[00:00:58.280 --> 00:00:59.920]   getting your PhD at Sorbonne,
[00:00:59.920 --> 00:01:01.880]   working on Recital as well.
[00:01:01.880 --> 00:01:04.640]   And then right after your PhD, joining Meta.
[00:01:04.640 --> 00:01:05.600]   - No, it's exactly that.
[00:01:05.600 --> 00:01:08.360]   But basically I think it's at the AlphaGo moment
[00:01:08.360 --> 00:01:09.760]   where I was doing some trading.
[00:01:09.760 --> 00:01:13.080]   I say like what I need to understand
[00:01:13.080 --> 00:01:14.640]   what's the technology behind that.
[00:01:14.640 --> 00:01:16.040]   And I wanted to study machine learning.
[00:01:16.040 --> 00:01:17.680]   I did first some training,
[00:01:17.680 --> 00:01:20.240]   like six months degree, executive degree,
[00:01:20.240 --> 00:01:23.080]   at the end of which I knew like what XGBoost at the time
[00:01:23.080 --> 00:01:25.680]   and nothing about deep learning at all.
[00:01:25.680 --> 00:01:30.400]   So, and most of the people around were like PhD people.
[00:01:30.400 --> 00:01:32.600]   Okay, PhD seems pretty cool.
[00:01:32.600 --> 00:01:33.840]   Deep learning seems pretty cool.
[00:01:33.840 --> 00:01:36.760]   So I want to do a PhD in deep learning.
[00:01:36.760 --> 00:01:38.600]   That's where I joined.
[00:01:38.600 --> 00:01:41.320]   We have this PhD program in France
[00:01:41.320 --> 00:01:44.560]   within a company and academia.
[00:01:44.560 --> 00:01:48.120]   And so I did my PhD with Recital and Sorbonne University
[00:01:48.120 --> 00:01:51.000]   on natural language generation reinforcement learning.
[00:01:51.000 --> 00:01:52.920]   I guess it was a good topic.
[00:01:52.920 --> 00:01:54.680]   I was not like a visionary.
[00:01:54.680 --> 00:01:56.240]   It was very random.
[00:01:56.240 --> 00:01:59.960]   I've had a company that offered me like this topic
[00:01:59.960 --> 00:02:03.120]   and it was something like I started two weeks before BERT.
[00:02:03.120 --> 00:02:03.960]   - Excellent timing.
[00:02:03.960 --> 00:02:06.040]   Yeah, we actually also just released our episode
[00:02:06.040 --> 00:02:09.120]   with Clementine Fouquier who also did her PhD
[00:02:09.120 --> 00:02:11.720]   with a company in kind of like a very similar format.
[00:02:11.720 --> 00:02:14.040]   I think, yeah, very underrated, very underrated.
[00:02:14.040 --> 00:02:16.920]   This sort of PhD with industry expertise
[00:02:16.920 --> 00:02:19.160]   because you're also like publishing papers the whole time.
[00:02:19.160 --> 00:02:21.040]   I looked at your publishing history.
[00:02:21.040 --> 00:02:23.360]   You were doing like summarization work.
[00:02:23.360 --> 00:02:25.000]   You're doing factual consistency work.
[00:02:25.000 --> 00:02:26.720]   You released some benchmarks
[00:02:26.720 --> 00:02:28.560]   and then you worked on language GANs
[00:02:28.560 --> 00:02:30.680]   before the transformers took over.
[00:02:30.680 --> 00:02:33.320]   - We can come back to that later,
[00:02:33.320 --> 00:02:38.000]   but I should have, I mean, papers have like 10, 50 citations.
[00:02:38.000 --> 00:02:39.960]   If I'm pretty sure that if I call them
[00:02:39.960 --> 00:02:44.600]   like an LHF without human in the loop,
[00:02:44.600 --> 00:02:47.680]   but like a discriminator, which is synthetic,
[00:02:47.680 --> 00:02:48.720]   a human in the loop,
[00:02:48.720 --> 00:02:51.000]   I will have get much more citations today
[00:02:51.000 --> 00:02:54.000]   because like all the inspiration for this paper
[00:02:54.000 --> 00:02:57.520]   were from actually the original open-air paper of LHF.
[00:02:57.520 --> 00:02:59.640]   But at Academia, we don't have the way
[00:02:59.640 --> 00:03:03.120]   to pay annotation online like that.
[00:03:03.120 --> 00:03:05.920]   So how to simulate it?
[00:03:05.920 --> 00:03:07.400]   - Yeah, a lot of these ideas are repeated,
[00:03:07.400 --> 00:03:08.480]   like discriminator, generator,
[00:03:08.480 --> 00:03:10.040]   we just call them different names now,
[00:03:10.040 --> 00:03:12.480]   like verifier, whatever. - Exactly.
[00:03:12.480 --> 00:03:16.040]   - Well, I think your progress into NLP was like really strong
[00:03:16.040 --> 00:03:18.080]   'cause like the first thing you worked on at Meta was Bloom.
[00:03:18.080 --> 00:03:20.280]   - Yeah, actually I started to work on that
[00:03:20.280 --> 00:03:21.560]   before joining Meta.
[00:03:21.560 --> 00:03:24.120]   I was not like one of the main contributors,
[00:03:24.120 --> 00:03:26.880]   but it was at the intersection of multilinguality,
[00:03:26.880 --> 00:03:30.600]   which was very important to me, large language modeling.
[00:03:30.600 --> 00:03:33.200]   And that's why actually my first big project
[00:03:33.200 --> 00:03:36.120]   at Meta and the team I was working on was Galactica.
[00:03:36.120 --> 00:03:39.440]   And actually interesting step back from Bloom
[00:03:39.440 --> 00:03:41.160]   was like we did a lot of mistakes,
[00:03:41.160 --> 00:03:43.400]   but it was expression that's expected again.
[00:03:43.400 --> 00:03:44.760]   We learned a lot,
[00:03:44.760 --> 00:03:48.400]   but like trying to scale towards like multilinguality.
[00:03:48.400 --> 00:03:51.440]   In fact, we learned later that multilinguality
[00:03:51.440 --> 00:03:54.240]   almost emerged naturally with very, very few data,
[00:03:54.240 --> 00:03:55.360]   which was really surprising
[00:03:55.360 --> 00:03:57.440]   and not expected at all for us at the time.
[00:03:57.440 --> 00:03:58.920]   - I mean, my learning from that is just,
[00:03:58.920 --> 00:04:01.480]   there's a natural harmony of language
[00:04:01.480 --> 00:04:03.480]   that is abstract from English.
[00:04:03.480 --> 00:04:05.320]   When you learn English, you learn language
[00:04:05.320 --> 00:04:07.040]   and then language just translates
[00:04:07.040 --> 00:04:08.920]   to other forms of languages,
[00:04:08.920 --> 00:04:10.600]   especially if they're the same family, right?
[00:04:10.600 --> 00:04:13.600]   Like, yeah, so maybe we should get right into Lama 2,
[00:04:13.600 --> 00:04:14.600]   spend a little bit of time there
[00:04:14.600 --> 00:04:16.040]   and then we'll go into Lama 3.
[00:04:16.040 --> 00:04:19.560]   So like what is the story of Lama 2 from your point of view?
[00:04:19.560 --> 00:04:24.080]   - Yeah, so as I was saying, I started to Meta on Galactica.
