
[00:00:00.000 --> 00:00:07.060]   But I'm cleverly going to use this as it's a sort of metaphor for our longer discussion today.
[00:00:07.060 --> 00:00:15.400]   Pursuing the New York Times bestseller list is going to be sort of a metaphor for how we think about cultivating a deep life.
[00:00:15.400 --> 00:00:18.540]   And so I'm going to want to get into your story more so than I've done before.
[00:00:18.540 --> 00:00:23.260]   But before we do, let me just hit real quick on the new book because I really like the new book.
[00:00:23.260 --> 00:00:31.500]   This is the third book in your four book series that's going to be on the cardinal virtues of stoicism.
[00:00:31.500 --> 00:00:40.940]   This book is on the virtue of justice, which I think is critical in thinking about the deep life, which is the theme of this show.
[00:00:40.940 --> 00:00:44.560]   But let me just ask you about that before we move into your life.
[00:00:44.560 --> 00:00:45.900]   Justice is a hard word to define.
[00:00:45.900 --> 00:00:50.100]   You took it out of your title because it's a word with so many definitions.
[00:00:50.780 --> 00:00:54.680]   How do we how do we think about justice in the way you're talking about it?
[00:00:54.680 --> 00:00:57.140]   Yeah, I did take it out of the title.
[00:00:57.140 --> 00:01:02.160]   Courage is a word that when people hear they like it and they want more of it.
[00:01:02.160 --> 00:01:06.160]   When they hear discipline, they think, OK, yeah, I'm on board with that wisdom.
[00:01:06.160 --> 00:01:09.480]   Same thing. But when people hear justice, I don't know.
[00:01:09.480 --> 00:01:14.400]   There's something there's something that feels judgmental about it.
[00:01:14.400 --> 00:01:18.200]   There's something that feels moralistic about it.
[00:01:18.300 --> 00:01:24.500]   There's something that feels, I don't know, political about it.
[00:01:24.500 --> 00:01:26.860]   Right. Which it is all these things.
[00:01:27.600 --> 00:01:37.080]   So part of the reason I thought it would sort of be off to the slowest start is I felt like it had a sort of a strong tailwind against it, which is why I was interested in writing about it and why I think it's important.
[00:01:37.080 --> 00:01:46.380]   But I wanted to I wanted to I wanted to take justice sort of down a few pegs and make it something much more practical and accessible.
[00:01:46.380 --> 00:01:55.780]   The sort of standards by which one lives and holds themselves to as as as much more a way of life than like.
[00:01:56.580 --> 00:02:06.140]   These, as you know, in academia, like justice as as a field of study is often about these really esoteric or abstract questions.
[00:02:06.140 --> 00:02:19.060]   And and and the more you study justice, almost like the less actual understanding you get of it, like you start to doubt whether it exists at all and whether it matters at all or whether whether it's possible at all.
[00:02:19.060 --> 00:02:27.860]   And that's just strikes me as so opposed to the idea of like, like, are you a person who keeps your word?
[00:02:27.860 --> 00:02:29.580]   Are you a person who's honest?
[00:02:29.580 --> 00:02:31.500]   Are you a person who treats other people?
[00:02:31.500 --> 00:02:33.700]   Well, are you a principled person?
[00:02:33.700 --> 00:02:43.260]   Are you a person who makes the world better for you being in it that that to me being just a much more practical and yet also aspirational idea of justice?
[00:02:43.260 --> 00:02:48.580]   I think people often leave this out of their conception of what they're trying to do with their life.
[00:02:48.580 --> 00:02:53.900]   I often use the terminology code in the sense of what's your code, right?
[00:02:53.900 --> 00:02:58.060]   And somewhere that should be written down and it's going to change.
[00:02:58.060 --> 00:03:03.780]   It's going to evolve, of course, but that without that foundation, it's like not having to keel in the boat.
[00:03:03.780 --> 00:03:06.880]   And so then the winds are going to be blowing you all over the place.
[00:03:06.880 --> 00:03:10.560]   Why do you think why do you think this is something that.
[00:03:10.560 --> 00:03:16.620]   In today's moment, because I think 100 years ago, like this is the starting point is like, what is your code?
[00:03:16.680 --> 00:03:19.400]   You could you could specify those principles like in your sleep.
[00:03:19.400 --> 00:03:26.040]   Why is this something that is a surprise to people or something we have to push people to consider in our current moment?
[00:03:26.040 --> 00:03:35.740]   Well, looking at much more homogenous, even top down society, we all agree or are forced to agree with certain definitions.
[00:03:35.740 --> 00:03:43.300]   Right. So if we all share the same religion, Christianity at one point has the same cardinal virtues as stoicism.
[00:03:43.420 --> 00:03:54.560]   So if we all believe in the same God or if we all accept or are forced to accept even the same definition of, say, like masculinity or femininity.
[00:03:54.560 --> 00:04:00.120]   Right. Then then then the virtues of what a man or a woman is, is very clear.
[00:04:00.120 --> 00:04:05.480]   How one should behave is very clear. The sort of religious tenets are very clear.
[00:04:05.480 --> 00:04:13.840]   So so it's easier to go like, hey, this is what is right and wrong without feeling.
[00:04:15.320 --> 00:04:26.140]   With that with like what happens when you live in a much more pluralistic society, which I think is a wonderful thing, is that suddenly your definition of right and wrong is not shared by everyone.
[00:04:26.140 --> 00:04:30.180]   So then we have to have this sensitivity and not wanting to say, hey, don't do that.
[00:04:30.180 --> 00:04:34.680]   Hey, that's bad. Leave those people alone again, all positive things.
[00:04:34.680 --> 00:04:52.660]   But it has partly the effect, I think, of making it harder and harder to give people strong advice or a strong sort of culture that enforces or celebrates a kind of a code.
[00:04:52.660 --> 00:05:04.740]   You know, like the the the relative relativism of society is a generally, I would say, a positive thing because it's more tolerant, which is a virtue of justice.
[00:05:04.740 --> 00:05:08.980]   But it makes it hard to just go, hey, that's a bad thing to do.
[00:05:08.980 --> 00:05:18.980]   That's the wrong thing to do. So I think what you end up with is a system, a culture that doesn't teach these values early on or or even more confusingly,
[00:05:18.980 --> 00:05:29.060]   it holds up some of the old stories of the past that we used to use to sort of reinforce and inspire and it just pokes the holes in them.
[00:05:29.060 --> 00:05:39.560]   Right. So if you if you only look at the founding fathers or you only look at the ancients and you look at all the thing, all the ways that they were hypocrites, all the terrible things they did.
[00:05:39.560 --> 00:05:48.520]   And again, it has this effect of sort of just confusing one's definition of justice without giving anyone really a code to replace it with.
[00:05:48.520 --> 00:05:54.480]   Right. So let's say I'm twenty five. Right. All right. I'm coming out hot out of college.
[00:05:54.480 --> 00:05:59.200]   I sort of have some professional ambitions. I've been listening to some Huberman.
[00:05:59.200 --> 00:06:04.160]   So I've got some physical protocols nailed down, but I don't come from a religious background.
[00:06:04.160 --> 00:06:10.160]   I have a generic yearning that I need some sort of code.
[00:06:10.160 --> 00:06:13.920]   I need some sort of stability to live by. Where do they start?
[00:06:13.920 --> 00:06:18.160]   Yeah. You know, I think that space is a really interesting one because you're right.
[00:06:18.160 --> 00:06:27.680]   There's a whole bunch of sort of thought leaders and information and books and stuff out there that's like, here's how to get stronger.
[00:06:27.680 --> 00:06:30.720]   Here's how to get faster. Here's how to get smarter.
[00:06:30.720 --> 00:06:34.160]   And by the way, those are kind of the the the other virtues. Right.
[00:06:34.160 --> 00:06:36.640]   This is courage and discipline and wisdom. Yeah.
[00:06:36.640 --> 00:06:44.160]   And then if you don't have this other component, this code, this sense of right and wrong, what you do and don't do, how you treat people, what you allow.
[00:06:44.160 --> 00:06:50.800]   Really what you see and you see with some of those people is like the algorithm kind of takes over.
[00:06:50.800 --> 00:06:54.800]   Right. What your ambition becomes the thing that guides you.
[00:06:54.800 --> 00:07:02.240]   So what's ever best for your career is what you do as opposed to, you know, what you feel like is OK or not.
[00:07:02.240 --> 00:07:06.560]   And I think you and I have probably both experienced this where there's.
[00:07:06.560 --> 00:07:14.800]   There are all sorts of decisions that you get faced with that, hey, what's going to grow my YouTube following the most?
[00:07:14.800 --> 00:07:20.400]   What's going to sell the most books? What's I'm being offered to speak at some event?
[00:07:21.760 --> 00:07:36.720]   If all I care about is whether the fee is large or not, you know, I'm going to find myself in some places that I'm not going to feel so good about that are probably not going to age well, that I'm going to have some explaining to do later.
[00:07:36.720 --> 00:07:39.840]   You know, and I certainly struggled with this in my 20s.
[00:07:39.840 --> 00:07:47.600]   I was just like, hey, what's best for me? What's most interesting? What's most fun? What's most challenging?
[00:07:47.600 --> 00:07:53.200]   What I was thinking less about was like, hey, is this something I want to be a part of?
[00:07:53.200 --> 00:07:58.960]   Like, is this something that's good for the world? What would the what would it look like if everyone acted this way?
[00:07:58.960 --> 00:08:12.960]   Right. My first book was sort of this expose of of a media system that I kind of woke up one day and realized, hey, if if this is if this is what I am doing to what we would call the information commons,
[00:08:12.960 --> 00:08:18.640]   you know, and everyone is behaving this way. How is anyone going to know what's true and not true?
[00:08:18.640 --> 00:08:26.080]   You know, the the system depends on, you know, some sort of self enforcement mechanism.
[00:08:26.080 --> 00:08:30.240]   And so I think that's really what we're talking about and what we don't hear enough about.
[00:08:30.240 --> 00:08:34.800]   You know, there's lots of people can give you advice again how to get bigger, stronger and faster.
[00:08:34.800 --> 00:08:40.000]   But then it kind of stops very suddenly when it says, you know, hey,
[00:08:43.280 --> 00:08:49.840]   doing that sucks. Doing that is bad doing behaving that like there there there are certain things that
[00:08:49.840 --> 00:08:56.880]   should be off limits, certain lines that we don't cross, you know, having Alex Jones on your podcast
[00:08:56.880 --> 00:09:04.080]   would probably get a lot of listens and views. Is it something that you should be a part of?
[00:09:04.080 --> 00:09:08.400]   Absolutely not for a whole bunch of reasons we could go into. Right. But but that sort of drawing on the line
[00:09:08.400 --> 00:09:14.160]   and say, hey, this is I don't do things like that is kind of what we're talking about when we talk about
[00:09:14.160 --> 00:09:20.880]   justice. Well, and one of the aspects of that, which I think is captured well in your book because of
[00:09:20.880 --> 00:09:26.960]   the format you use, the format which is based on stories, I think, is effective because it gets at
[00:09:26.960 --> 00:09:34.240]   some of the psychological realities of the advice as opposed to just the systemic, systematic structure
[00:09:34.240 --> 00:09:39.840]   of the advice. And one of the psychological like 10 commandments, it's not you. You get a richer.
[00:09:39.840 --> 00:09:43.440]   I mean, speaking of 10 commandments, you see the same thing in, you know, the Old Testament of
[00:09:43.440 --> 00:09:50.080]   the Bible is through stories. There's a more psychologically complex analysis of an issue.
[00:09:50.080 --> 00:09:53.840]   And one of the principles at play that I don't think is emphasized enough that people when it comes
[00:09:53.840 --> 00:09:59.440]   to things like justice, especially young people, is that actually the value derived from applying
[00:09:59.440 --> 00:10:05.280]   a principle in a way that in the short term is negative in the sense of that you miss out on
[00:10:05.280 --> 00:10:10.240]   reward or opportunity. That value is incredibly feels really good and is incredibly important.
[00:10:10.240 --> 00:10:14.640]   Like, in other words, you're you're trading. I mean, I'm thinking about Clayton Christensen,
[00:10:14.640 --> 00:10:19.360]   how you measure your life. He kind of gives this famous example. I can't play basketball
[00:10:19.360 --> 00:10:25.440]   on Saturday. I guess it was a Mormon thing. And if we're in the playoffs, I can't do it. Right.
[00:10:26.240 --> 00:10:29.440]   Really kind of stunk in the moment. Right. He was good on the team is good for the team.
[00:10:29.440 --> 00:10:34.320]   But there is like a larger value that came out of it. Right. Mining that value is important.
[00:10:34.320 --> 00:10:40.240]   I don't want to give specifics, but, you know, I turned down a speaking gig not long ago overseas.
[00:10:40.240 --> 00:10:45.760]   A payout that would have been like my annual salary as a professor.
[00:10:45.760 --> 00:10:52.880]   Where it was, the country it was, the who was sponsoring it. I just can't do that. Right.
[00:10:52.880 --> 00:10:58.080]   I wonder if we were invited to the same thing because I went back and forth, not just myself
[00:10:58.080 --> 00:11:02.640]   with a very similar thing, but I heard from several other people that maybe were also invited to the
[00:11:02.640 --> 00:11:08.800]   same thing. I bet we're talking about the same thing. I bet we are. And and and yeah, it's it's
[00:11:08.800 --> 00:11:13.360]   I love that expression. You know, it's not a principle unless it costs you money. You know,
[00:11:13.360 --> 00:11:19.280]   it's very easy to watch. I don't know, like the live golf league and go, hey, it kind of sucks to blow up
[00:11:19.280 --> 00:11:26.560]   your sport to get paid a bunch of money from a foreign government. That's obviously just trying
[00:11:26.560 --> 00:11:31.680]   to sort of win a public relations battle. That's ultimately creating an inferior product for the
[00:11:31.680 --> 00:11:37.280]   sport and, you know, isn't sustainable. And then, by the way, a bunch of the people involved are just also
[00:11:37.280 --> 00:11:43.200]   gross. Right. Like it's it's very it's very easy to watch that on the outside and go, you know,
[00:11:43.200 --> 00:11:49.760]   so and so should have done X or, you know, I can't believe so and so did Y. And then I think
[00:11:49.760 --> 00:11:57.120]   it's much more interesting to think about what decisions you have made in your life that have
[00:11:57.120 --> 00:12:03.920]   cost you money or we see this all the time ago. Oh, these politicians in Washington, you know, they're
[00:12:03.920 --> 00:12:08.960]   just they'll just do anything to be reelected. They'd never take a vote that would would threaten
[00:12:08.960 --> 00:12:14.400]   their job. And I try to catch myself and sometimes I bring it up to other people, but I always try to
[00:12:14.400 --> 00:12:21.600]   catch myself when I feel that rising up in me and I go, OK, but but what decisions do I have in my life
[00:12:21.600 --> 00:12:28.880]   that have threatened my career or my livelihood? And if you don't have any, it either means you're sort
[00:12:28.880 --> 00:12:36.000]   of morally perfect and you've never found yourself in a tempting situation or it means you're actually
[00:12:36.000 --> 00:12:44.080]   playing it much safer than you should and are, you know, haven't been on the right side of things as
[00:12:44.080 --> 00:12:52.000]   often as you think you have. And so, yeah, those things are there. I would love I would love to
[00:12:52.000 --> 00:12:58.000]   believe that at some point they become easy. And I it makes it more impressive to think that
[00:13:00.400 --> 00:13:05.920]   it makes it more impressive to think that it was easy for the person. But what you actually find is
[00:13:05.920 --> 00:13:11.920]   that they were pretty vexing, difficult decisions and they thought about it up and down, up and down.
[00:13:11.920 --> 00:13:17.680]   And at the last minute, you know, they they made that call and it was tough. But there's a there's an
[00:13:17.680 --> 00:13:23.040]   expression about like we keep rituals, but then the rituals keep us, you know, and I think there is
[00:13:23.040 --> 00:13:27.760]   something about those principles and those standards. Yeah. Sometimes they keep us from doing things,
[00:13:28.400 --> 00:13:33.200]   but they also kind of protect and serve us and provide us a lot of meaning, too.
[00:13:33.200 --> 00:13:39.520]   Yeah. I mean, I love this idea. Seek sacrifice in some sense as eagerly as you're seeking
[00:13:39.520 --> 00:13:45.600]   professional success, because it's going to be just as nourishing, not just nourishing,
[00:13:45.600 --> 00:13:49.600]   I think resilience creating. It's going to give you a better sense of yourself. You're going to have more
[00:13:49.600 --> 00:13:55.360]   ability to apply character in the future. It's going to define yourself against the sort of near infinite
[00:13:56.400 --> 00:14:01.920]   space of possibilities of who you are. But it's not on the list. We have get your body in shape
[00:14:01.920 --> 00:14:07.280]   is on the list. Get your bank account in shape is on the list. Get your love life in shape. Like,
[00:14:07.280 --> 00:14:12.400]   these are obvious things on the list. That one's not there. So that's why I'm glad this book is out
[00:14:12.400 --> 00:14:17.360]   there. I think this is a deep life guidebook. Well, thank you. Yeah. You know, I was talking to
[00:14:17.360 --> 00:14:21.040]   someone the other day and I was kind of joking around. I said something and I was like, you know,
[00:14:21.040 --> 00:14:27.600]   it's not that hard to not be a piece of shit, right? Like that, but, but it, it, it actually
[00:14:27.600 --> 00:14:33.280]   apparently is hard, you know, that these decisions that we make, you know, to not screw people over,
[00:14:33.280 --> 00:14:40.640]   to pay the people that work for you fairly, to choose to, you know, um, if, if faced between
[00:14:40.640 --> 00:14:45.600]   a, uh, uh, an environmentally destructive choice and a non environmentally destructive choice,
[00:14:45.600 --> 00:14:53.840]   that the, the, the decision to, I don't know, be faithful to your spouse, to uphold your contractual
[00:14:53.840 --> 00:15:01.680]   obligations, to S to speak honestly, to tell people what's true as opposed to what people want to hear.
[00:15:01.680 --> 00:15:09.200]   I, that's probably the most vexing and tempting of the sort of content creation space, which is like,
[00:15:09.200 --> 00:15:16.880]   you're always in the short run, you're going to do better telling people what they want to hear.
[00:15:16.880 --> 00:15:23.600]   In the long run, you cannot build a career doing so, right? Like you, you, you have to develop
[00:15:23.600 --> 00:15:30.320]   a reputation, not just of telling the truth, but like, if, if you're just reflecting back to people,
[00:15:30.320 --> 00:15:34.960]   what they want, they're not seeing any of you, they're only seeing themselves. So you're not
[00:15:34.960 --> 00:15:40.720]   actually building much in the way of a connection. So there's this sort of constant struggle and tension
[00:15:40.720 --> 00:15:48.560]   between these kind of seemingly obvious short-term decisions, and then this long-term sustainability
[00:15:48.560 --> 00:15:56.320]   and reputation and integrity. And yeah, it's, it's, it's like, we just, we just don't even talk about it.
[00:15:56.320 --> 00:16:00.800]   Well, let's shift here to a related gear. Uh, you know, on the show, there's usually
[00:16:00.800 --> 00:16:07.520]   two topics we talk about either, um, people who have written something that's relevant for cultivating
[00:16:07.520 --> 00:16:12.320]   a deep life or people who have lived the deep life and we can learn from it. Um, you're both in one
[00:16:12.320 --> 00:16:16.880]   person, right? So we were just talking about something you wrote that's relevant to people living the deep
[00:16:16.880 --> 00:16:22.960]   life. Your life, I think is also an interesting template, or there's interesting lessons to extract
[00:16:22.960 --> 00:16:27.760]   about how one cultivates a deep life over time. So, so with your indulgence, I kind of want to
[00:16:27.760 --> 00:16:33.520]   jump back, uh, early to your story and then we're going to move it forward. I want to jump all the way
[00:16:33.520 --> 00:16:40.720]   back. Uh, you dropping out of college, um, bring us inside the, what I want to keep coming back to is
[00:16:40.720 --> 00:16:46.320]   the, the vision at that moment about what you were thinking, what you were going for, what you had in
[00:16:46.320 --> 00:16:50.000]   mind for what you were trying to do with your life. So what was the psychology of a young Ryan Holiday,
[00:16:50.000 --> 00:16:53.600]   uh, leaving college and those sort of, was that mid two thousands?
[00:16:53.600 --> 00:17:00.080]   Yeah. I, I, I, I think I had a vague sense that I wanted to be a writer and I had a much stronger
[00:17:00.080 --> 00:17:06.960]   sense that I did not want to work in an office. Like I just didn't want a regular life. And, um,
[00:17:06.960 --> 00:17:14.720]   I was studying writing and political science and I had this chance I, uh, to, to work in Hollywood and I
[00:17:14.720 --> 00:17:19.760]   had a chance to be a research assistant for, for a writer named Robert Green. And it just struck me
[00:17:19.760 --> 00:17:29.040]   that, Hey, to, to be a writer, what was a better way to learn how to do that? Was it to go to college,
[00:17:29.040 --> 00:17:36.160]   to finish college where some of my professors were published writers, um, not particularly successful
[00:17:36.160 --> 00:17:42.080]   ones, but, but published writers, or would it be better to go directly learn from someone who had,
[00:17:42.080 --> 00:17:46.240]   had done the thing at a very high level and was doing the thing at a high level? So I ended up sort
[00:17:46.240 --> 00:17:52.880]   of making that leap and, you know, it was, it was sort of scary and terrifying in a lot of ways. Um,
[00:17:53.760 --> 00:18:00.720]   but, but I, I just, I just had this sense that someone had given me this piece of advice. They
[00:18:00.720 --> 00:18:07.120]   said, writers live interesting lives, which, uh, I I've thought about a lot since. And I was just
[00:18:07.120 --> 00:18:13.440]   thinking like, yeah, like, okay, let's say I just get my, get my normal degree and graduate.
[00:18:13.440 --> 00:18:19.440]   Who's going to, who's going to publish my writing? Do you know what I mean? I'll just be like literally
[00:18:19.440 --> 00:18:24.240]   every other student who is graduating. I had about a year, a year and a half left in college.
[00:18:24.240 --> 00:18:28.800]   I would just be like everyone else. I would be at the exact same point I was then,
[00:18:28.800 --> 00:18:35.600]   except for, I would have foregone this experience to actually study under someone who was doing the
[00:18:35.600 --> 00:18:41.200]   thing. And so I just went and did that. And it was, you know, it was, it was a, it was a surreal
[00:18:41.200 --> 00:18:45.280]   experience in a bunch of ways. I learned a bunch of stuff, but, but mostly I was just trying to like,
[00:18:45.920 --> 00:18:53.200]   go toward like, go, go as directly as I could towards like real world experience. And then also
[00:18:53.200 --> 00:19:01.920]   do some, do the unusual or unexpected thing. Did you see the position with green specifically
[00:19:01.920 --> 00:19:07.280]   aiming towards your interest in writing and the Hollywood position as a mix of, I want to do
[00:19:07.280 --> 00:19:11.440]   something interesting. And also what's the thing that is going to be an income source that, how did
[00:19:11.440 --> 00:19:17.280]   you see those are two, because Hollywood in that position kind of is the epitome of office politics
[00:19:17.280 --> 00:19:22.560]   and being in an office and like arbitrariness or whatever. So I, I mean, I love the complexities
[00:19:22.560 --> 00:19:26.320]   when we dig into like the reality of these stories. So like what role did the Hollywood piece play in
[00:19:26.320 --> 00:19:30.080]   that? You're working for an agency, right? Yeah. I worked at a talent management agency. I mean,
[00:19:30.080 --> 00:19:36.240]   like when I was growing up as a kid and just had this sense that I didn't want to work in an office,
[00:19:36.240 --> 00:19:42.880]   I don't think I was thinking office space, not like a talent agency in Beverly Hills, you know,
[00:19:42.880 --> 00:19:47.680]   like it was, it, an office is still an office ultimately. And you realize that pretty quickly.
[00:19:47.680 --> 00:19:55.760]   But, and a job is always a job, but, but it felt different and exciting and unusual and certainly
[00:19:55.760 --> 00:20:04.560]   far outside my, my ordinary experiences. But I think it's funny. I remember, I remember two things
[00:20:04.560 --> 00:20:08.480]   about it. So, so I'd wanted to work for Robert. I don't think I would have dropped out of college
[00:20:08.480 --> 00:20:12.400]   just to work for Robert. I don't know if I would have had the courage to do that. So then when I got
[00:20:12.400 --> 00:20:18.160]   offered to, to be the assistant to this, you know, sort of big movie producer, um, who again,
[00:20:18.160 --> 00:20:21.760]   who was also someone who was doing the thing, he wasn't, you know, coming up with the scripts or
[00:20:21.760 --> 00:20:27.600]   whatever himself, but he was making stuff. So, so I, again, it was another doer, but I remember he
[00:20:27.600 --> 00:20:34.240]   offered me $30,000. And I remember thinking, wow, what am I going to do with all of that money?
[00:20:34.240 --> 00:20:40.000]   You know, like, it just seemed like an insane amount of money to me at the time, uh, because my,
[00:20:40.000 --> 00:20:44.160]   you know, my expenses were nothing. I wasn't married. I didn't have kids. Like my apartment
[00:20:44.160 --> 00:20:52.320]   was probably $800 a month. Um, and, and so I just kind of went towards doing this crazy, unusual thing
[00:20:52.320 --> 00:20:59.120]   that would kind of introduce me to a world I knew nothing about, but there was this safety net of like,
[00:20:59.120 --> 00:21:03.920]   yeah, I had a paycheck. I think when, when people tell me, Oh, I'm thinking about dropping out of
[00:21:03.920 --> 00:21:10.960]   college. I, I always go like to do what, not like, what are you aspiring to do, but what are you dropping
[00:21:10.960 --> 00:21:19.280]   out for? Like, I think it's very failing out of college is, or, or quitting your job is very different
[00:21:19.280 --> 00:21:26.320]   than, uh, leaving college to go do a different thing. Like if you have lined something else up
[00:21:26.320 --> 00:21:32.480]   and you are, you are jumping from one ship to another, to me, that's very different than
[00:21:32.480 --> 00:21:37.600]   what often happens, which is your heart's not in a thing and you're not very good at a thing.
[00:21:37.600 --> 00:21:45.040]   And so you fail at it or you, you bounce out of it. That's, that's a riskier proposition in my view.
[00:21:45.040 --> 00:21:50.960]   So then I see you now. Okay. During this stage, you, you're working with Roberts. You're learning
[00:21:50.960 --> 00:21:54.480]   about writing. You have the Hollywood job. It's paying the bills. It's interesting in its own right.
[00:21:54.480 --> 00:22:00.080]   I imagine a young Ryan holiday basically surveying the horizon. Okay. I'm looking for,
[00:22:00.080 --> 00:22:06.880]   where can I make my move? Uh, marketing became that first move. Um, so not just how did that happen,
[00:22:06.880 --> 00:22:11.760]   but how were you thinking about those initial opportunities to fall into marketing when it did occur?
[00:22:11.760 --> 00:22:18.880]   You know, it's funny. So when I was at this talent agency, I, I signed this kid, he was like 16 and he
[00:22:18.880 --> 00:22:24.320]   was like uploading these YouTube videos. And it was like the first sort of YouTube person that, that
[00:22:24.320 --> 00:22:30.640]   really any of the agencies had signed. It was like pretty new. And it's funny. Um, he, he didn't end up
[00:22:30.640 --> 00:22:36.400]   going anywhere. And then just like, he's blown up, like in the last, like six months, like this person,
[00:22:36.400 --> 00:22:41.920]   he's like middle-aged now. He's like 30 years. I think he's like, I mean, he must be like, uh,
[00:22:41.920 --> 00:22:46.640]   early thirties. Yeah. It must be like 30. Um, Mr. Beast, Ryan. It was just a young,
[00:22:46.640 --> 00:22:53.680]   I wish I wish. Uh, uh, but, but anyways, it was, it was funny to watch like the actual development cycle
[00:22:53.680 --> 00:22:59.360]   of something. Like I thought this guy was like the next big thing. And actually, you know, it was more
[00:22:59.360 --> 00:23:05.120]   like 15 years later, he would be a big thing. And I, I think I probably realized pretty early on that.
[00:23:05.120 --> 00:23:11.600]   I just didn't have the patience, uh, to operate in that world. And I didn't like, I didn't like,
