
[00:00:00.000 --> 00:00:08.280]   fasting. Oh yeah. Intermittent fasting. Yep. We need to distinguish between the two, of course.
[00:00:08.280 --> 00:00:15.280]   Perhaps the most common question I get as it relates to males versus females is,
[00:00:15.280 --> 00:00:20.480]   is intermittent fasting or time-restricted feeding as it's sometimes called,
[00:00:20.480 --> 00:00:24.220]   an eight-hour feeding window, a six-hour feeding window, a 10-hour feeding window.
[00:00:24.220 --> 00:00:35.680]   Is that something that perhaps differs in terms of its impact and how well it works for men versus
[00:00:35.680 --> 00:00:42.480]   women? Yeah. That's a short answer. Great. Yeah, yeah. So I'll put some parameters around it,
[00:00:42.480 --> 00:00:47.860]   right? So if we talk about intermittent fasting, that's where you have like the 20-hour non-feeding
[00:00:47.860 --> 00:00:54.760]   window or you're holding a fast until noon or after. And then we have time-restricted eating and
[00:00:54.760 --> 00:00:59.200]   that's the fancy way of saying normal eating where you're having breakfast and then you stop eating
[00:00:59.200 --> 00:01:03.940]   after or you don't have anything after dinner, right? So you're eating with your circadian rhythm during
[00:01:03.940 --> 00:01:09.560]   the day. If we look at intermittent fasting where you're holding the fast up till noon or you're
[00:01:09.560 --> 00:01:15.720]   having days of really low calorie restriction, we see in active women it's very detrimental
[00:01:15.720 --> 00:01:24.360]   unless you have PCOS or you have some other subclinical issue. And the reason for that is
[00:01:24.360 --> 00:01:32.200]   we as women have more oxidative fibers. So we hear about all the things about fasting to improve our
[00:01:32.200 --> 00:01:38.720]   metabolic flexibility, to improve telomere length, to improve parasympathetic activation. But by the
[00:01:38.720 --> 00:01:45.240]   nature of women having more oxidative fibers, we are already metabolically more flexible than men.
[00:01:45.240 --> 00:01:52.040]   Interesting. I didn't know that. Could you elaborate on more oxidative fibers, what that is and how it
[00:01:52.040 --> 00:01:53.300]   relates to metabolic flexibility?
[00:01:53.300 --> 00:01:58.880]   Sure, sure. So oxidative fibers are muscle fibers that are more aerobic capacity. So those are the
[00:01:58.880 --> 00:02:04.640]   ones that you can go long and slow for a very long period of time because it uses a lot of free fatty
[00:02:04.640 --> 00:02:10.160]   acids. You need a little bit of glucose in order to activate those free fatty acids. So when we look,
[00:02:10.220 --> 00:02:14.700]   when a woman starts to exercise, she goes through blood glucose first and then gets into free fatty
[00:02:14.700 --> 00:02:19.860]   acid use, she doesn't tap so much into liver muscle glycogen, which is, I think, another misconception
[00:02:19.860 --> 00:02:25.300]   that happens. So when we're talking about fasting or fasted workouts, trying to improve that metabolic
[00:02:25.300 --> 00:02:31.200]   flexibility, it increases stress on the woman. And so when we're talking about overall stress, we're talking
[00:02:31.200 --> 00:02:40.120]   about cortisol increase and they can't hit intensities high enough with no fuel to be able to invoke the post-exercise
[00:02:40.120 --> 00:02:47.280]   responses of growth hormone and testosterone, which then drop cortisol. So from an overall stress perspective, that
[00:02:47.280 --> 00:02:55.460]   fasted workout and holding that fast for a long period of time increases cortisol. But then when we look from like a
[00:02:55.460 --> 00:03:00.300]   hypothalamic point of view and we're looking at how the brain reads it, we know that there's one area of
[00:03:00.300 --> 00:03:07.340]   kispeptin neurons in the brain for men, but there are two for women. So the two areas are distinct where one controls
[00:03:07.340 --> 00:03:15.480]   appetite and luteinizing hormone and the other one is looking at estrogen and thyroid. So if you start having an exercise
[00:03:15.480 --> 00:03:22.900]   stress or a daily stress of getting up and going on with your day without fuel, you perturb those kispeptin neurons and
[00:03:22.900 --> 00:03:27.780]   downregulate them. And so when you start downregulating them, we see that after four days, you
[00:03:27.780 --> 00:03:34.040]   have a dysregulation of thyroid. We have a change in our luteinizing hormone pulse, which is really important
[00:03:34.040 --> 00:03:40.140]   to maintain endocrine function. And we'll hear this, oh, I've been fasting for so many years and it does
[00:03:40.140 --> 00:03:46.160]   great for me. But the other side of the question is, well, how much better would you be if you were to
