
[00:00:00.000 --> 00:00:04.720]   [MUSIC]
[00:00:04.720 --> 00:00:06.920]   All right, let's move on now.
[00:00:06.920 --> 00:00:10.720]   Our next question is from Gary.
[00:00:10.720 --> 00:00:14.680]   Gary says, what is the difference between the productivity funnel
[00:00:14.680 --> 00:00:18.600]   and the capture configure control method?
[00:00:18.600 --> 00:00:22.080]   All right, well, now we're getting into the weeds, which I appreciate.
[00:00:22.080 --> 00:00:26.320]   These are two different productivity-related frameworks
[00:00:26.320 --> 00:00:29.360]   or systems I have discussed at various times on this podcast.
[00:00:29.360 --> 00:00:33.680]   So for those who don't remember the productivity funnel,
[00:00:33.680 --> 00:00:38.920]   this was my way of trying to give a framework for professional productivity
[00:00:38.920 --> 00:00:39.600]   in general.
[00:00:39.600 --> 00:00:43.280]   I said any approach to professional productivity
[00:00:43.280 --> 00:00:48.920]   can be understood as implementing the three layers of a funnel,
[00:00:48.920 --> 00:00:54.440]   where at the very top of the funnel, you have what I called activity selection.
[00:00:54.440 --> 00:00:58.520]   What is my philosophy or systems or figuring out what I actually work on?
[00:00:58.520 --> 00:01:02.400]   In the middle of the funnel, you have organization.
[00:01:02.400 --> 00:01:06.400]   How do I make sense of and keep track of all of the different things
[00:01:06.400 --> 00:01:11.440]   I have selected to do, the things that did enter onto my proverbial plate?
[00:01:11.440 --> 00:01:15.720]   And then the narrowest part at the bottom, the bottom level of the funnel,
[00:01:15.720 --> 00:01:17.600]   was execution.
[00:01:17.600 --> 00:01:20.440]   How do I actually execute effectively the thing
[00:01:20.440 --> 00:01:23.680]   that I should be executing right now in the moment?
[00:01:23.680 --> 00:01:27.040]   So my argument is any professional productivity system or philosophy
[00:01:27.040 --> 00:01:32.280]   has to have a coherent approach to each of those three layers.
[00:01:32.280 --> 00:01:36.760]   Capture, configure, control is one element
[00:01:36.760 --> 00:01:41.480]   you might use in implementing, in particular, the organization layer.
[00:01:41.480 --> 00:01:45.400]   So it is an instantiation of you need some way of organizing
[00:01:45.400 --> 00:01:48.040]   all of these things on your plate in the time you have available.
[00:01:48.040 --> 00:01:49.280]   You need some way of doing it.
[00:01:49.280 --> 00:01:53.080]   One way you could do that is with things like capture, configure, control.
[00:01:53.080 --> 00:01:56.400]   And so if you remember capture, configure, control in that system,
[00:01:56.400 --> 00:01:58.680]   which comes from the early days of the podcast,
