
[00:00:00.040 --> 00:00:09.580]   guarded
[00:00:09.580 --> 00:00:28.100]   they. I was
[00:00:28.680 --> 00:00:34.760]   I was
[00:00:34.760 --> 00:00:57.320]   and I thought, how better to bring you something really useful as far as a little bit of her story and how better to bring what Brett and I have been doing for the last 10 years.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:00:57.320]   I'm sure you're all familiar with the name of the show.
[00:00:57.320 --> 00:01:26.940]  , I'm sure you're all familiar with the name of the show.
[00:01:26.940 --> 00:01:26.960]   I'm sure you're all familiar with the name of the show.
[00:01:26.960 --> 00:01:26.980]   I'm sure you're all familiar with the name of the show.
[00:01:26.980 --> 00:01:27.000]   I'm sure you're all familiar with the name of the show.
[00:01:27.000 --> 00:01:27.040]   I'm sure you're all familiar with the name of the show.
[00:01:27.040 --> 00:01:27.060]   I'm sure you're all familiar with the name of the show.
[00:01:27.060 --> 00:01:27.080]   I'm sure you're all familiar with the name of the show.
[00:01:27.080 --> 00:01:27.120]   I'm sure you're all familiar with the show. I'm sure you're all familiar with the show.
[00:02:26.680 --> 00:02:36.900]   instruct
[00:02:36.900 --> 00:02:37.980]   I in the
[00:02:37.980 --> 00:02:40.540]  sed
