
[00:00:00.000 --> 00:00:22.120]   Welcome, folks, to the building protected MCP servers session. I'm Dan Delamarski. I'm a product
[00:00:22.120 --> 00:00:27.800]   engineer at Microsoft and member of the MCP steering committee. And I'm Julia. I work in
[00:00:27.800 --> 00:00:33.580]   Azure API Management at Microsoft. And the both of us are part of an MCP squad at Microsoft. So I
[00:00:33.580 --> 00:00:41.220]   guess that's why we are here. Yeah. So we're again talking about protected MCP servers. And why is
[00:00:41.220 --> 00:00:46.140]   this even important? Why is this even a topic? Well, the thing is, when we talk about MCP servers
[00:00:46.140 --> 00:00:50.360]   and MCP servers that folks connect to their whatever clients, whether it's cloud desktop,
[00:00:50.360 --> 00:00:56.140]   VS Code, VS, not every server should be open because there's a bunch of different APIs that
[00:00:56.140 --> 00:01:00.760]   might require authorization. They're protected. So naturally, your MCP server needs to be able to
[00:01:00.760 --> 00:01:06.660]   do the same. It is super important for remote MCP servers because anybody can access them. And
[00:01:06.660 --> 00:01:11.480]   especially if the servers are open to the broad internet and not behind a VPN. But it's not really
[00:01:11.480 --> 00:01:17.180]   relevant for local servers. And mainly because locally, you can do a bunch of stuff already
[00:01:17.180 --> 00:01:22.760]   because it's just a binary. And we'll get to that in a second. Now, if you're building MCP servers and
[00:01:22.760 --> 00:01:28.080]   remote MCP servers specifically, one of the things that you're connecting to are likely third-party
[00:01:28.080 --> 00:01:34.420]   APIs, whether it's your own or somebody else's. And that API requires user context. That API needs to
[00:01:34.420 --> 00:01:38.860]   know who's invoking it because different customers have different permissions. You might have different
[00:01:38.860 --> 00:01:46.680]   admin policies. So while your API does control through the help of an identity provider as to who actually
[00:01:46.680 --> 00:01:54.160]   has access, this needs to be somehow exposed to the MCP layer. And, of course, your API will act
[00:01:54.160 --> 00:01:59.140]   differently depending on the credentials that you give it. If I'm an admin, I get access to a certain set of
[00:01:59.140 --> 00:02:05.620]   tools. If I'm somebody that's just a contributor, I get access to a bunch of different tools. Now, all these things
[00:02:05.620 --> 00:02:10.940]   considered, one of the questions I get asked a lot is like, "Well, okay, this is all great for remote, but why not local?
[00:02:10.940 --> 00:02:18.900]   What's the story for authorization for local servers?" And the answer is kind of simple. Local servers are
[00:02:18.900 --> 00:02:24.940]   binaries on the box. They're binaries that run within the context of whatever machine you have. That means that
[00:02:24.940 --> 00:02:30.260]   that they can do auth in any way you can possibly have. Like, it doesn't need to be auth. You can have
[00:02:30.260 --> 00:02:35.260]   credentials that are secrets. You can have certificates. You can have pass keys that are bound to whatever
[00:02:35.260 --> 00:02:41.260]   credential you have on the box. Like, it's just like you don't have any constraints whatsoever. That means that
[00:02:41.260 --> 00:02:47.260]   any APIs you connect to can also be done in any way with any of the off-the-shelf libraries. There is, of course,
[00:02:47.260 --> 00:02:52.580]   special cases here if you do things like remote desktop and all sorts of kind of multi-user scenarios
[00:02:52.580 --> 00:02:58.420]   on VMs. But that's kind of out of scope for MCP. That's something that we left to implementers. Now,
[00:02:58.420 --> 00:03:04.580]   remote servers. Let's get back to that. So, one of the things that if you've browsed kind of the MCP specs,
[00:03:04.580 --> 00:03:11.060]   you might know that we have two different specifications. There's one that is stable, that is March 26th,
[00:03:11.060 --> 00:03:16.180]   and there's one that is draft, that we worked very closely with a bunch of security experts to refine.
[00:03:16.180 --> 00:03:22.740]   So, for the previous specification, the one that is currently marked as stable, MCP required people
[00:03:22.740 --> 00:03:28.900]   that are building MCP servers to essentially spin up their own authorization server. That means you are
[00:03:28.900 --> 00:03:35.700]   building your own token factory. So, if you want to issue tokens to an MCP client to authorize users,
[00:03:35.700 --> 00:03:40.980]   you're the one that has to craft those tokens and manage them and refresh them and assign them.
[00:03:40.980 --> 00:03:46.980]   Very complicated. It required people to actually be OAuth experts. Like, if you want to build an MCP
[00:03:46.980 --> 00:03:52.500]   server that does OAuth, you need to understand how OAuth works end-to-end, including to the point of
[00:03:52.500 --> 00:03:58.580]   minting those tokens, which is very complicated. So, the draft spec that we worked with Anthropic and a
[00:03:58.580 --> 00:04:05.060]   bunch of security experts to refine actually does this clean separation between the server, the MCP server,
[00:04:05.060 --> 00:04:08.580]   which we call the resource server, and the authorization server. So, things like token
[00:04:08.580 --> 00:04:14.740]   minting and managing token lifetime actually is not done by the MCP server anymore. It's done by whatever
[00:04:14.740 --> 00:04:19.860]   authorization server you're using. So, if you're using Okta, Auth0, EntryID, it doesn't really matter.
[00:04:19.860 --> 00:04:25.140]   You can just plug it into your MCP server and it's going to work with the clients that those servers can
[00:04:25.140 --> 00:04:30.340]   connect to. And the spec, by the way, is going to be stable very soon. Now, I want to hand it off to
[00:04:30.340 --> 00:04:35.860]   Juliet to talk about the fact that... Not every developer wants to be a security expert,
[00:04:35.860 --> 00:04:41.860]   right? Like, we've seen the current draft, now the new one that's about to go live into production,
[00:04:41.860 --> 00:04:47.540]   but not everyone, we have some exceptions here, who do want to become security experts. You actually want
[00:04:47.540 --> 00:04:54.820]   to focus on building the remote MCP server, right? You want to solve a real problem. So, this is why the new
[00:04:54.820 --> 00:05:01.300]   authorization spec, and that's why Dan, why a bunch of people at Microsoft, we partnered with
[00:05:01.300 --> 00:05:09.380]   Anthropic in a security committee to get this new auth spec out there. So, let's see if I paid attention.
[00:05:09.380 --> 00:05:15.540]   What are some of the core things that's going to change now moving forward? First of all, no need to
[00:05:15.540 --> 00:05:23.140]   implement the authorization servers anymore. So, that means we can now just rather than implementing it from
[00:05:23.140 --> 00:05:30.260]   scratch, we can actually attend it or append it to our server overall. We can use the standard ways we
[00:05:30.260 --> 00:05:36.660]   only need to reference metadata that are going to point to our authorization servers. And there, that's
[00:05:36.660 --> 00:05:40.660]   where we're going to get the token. And then on server side, you're going to have the token, that
[00:05:40.660 --> 00:05:46.580]   information here. And all of this are still going to continue standard OAuth 2.0. So, we can actually,
[00:05:46.580 --> 00:05:51.300]   as developers, we can rely on all of the libraries that are already out there, all of the services. So, it's going to
[00:05:51.300 --> 00:05:57.460]   make our lives a lot, a lot easier. What does this also include on client side? So, on client side,
[00:05:57.460 --> 00:06:03.220]   they are now, in a way, responsible for the end-to-end token dance. So, this means if the authorization
[00:06:03.220 --> 00:06:09.700]   code comes in, we can validate it or the client validates, first of all, is the token, has it been
[00:06:09.700 --> 00:06:15.860]   acquired successfully? And then on server, it's going to pass it through to the server. And on server side,
[00:06:15.860 --> 00:06:20.820]   which is still very important, you're going to have to make sure if it's been validated correctly.
[00:06:20.820 --> 00:06:26.260]   And also, of course, on server side, we have to implement the metadata, which I previously just
[00:06:26.260 --> 00:06:33.140]   talked about. So, again, a lot of enhancements now moving forward with the new spec.
[00:06:33.140 --> 00:06:38.500]   Saving effort. Saving keystrokes. As developers, they don't need to write a lot of security code
[00:06:38.500 --> 00:06:42.500]   because, again, the risk is higher. Exactly. If you're not a security expert and you start
[00:06:42.500 --> 00:06:46.420]   implementing security code, what are the chances that you're going to get it right on the first shot?
[00:06:46.420 --> 00:06:51.780]   A hundred percent. And you can start relying on these off-shelf identity providers like Microsoft,
[00:06:51.780 --> 00:06:57.060]   Entra, Okta. So, all of these things. And you, it's just going to be less work for the developer. But,
[00:06:57.060 --> 00:07:01.300]   yeah. How does it work in practice? Yeah. So, let's talk about, we talked about the new spec. And for
[00:07:01.300 --> 00:07:05.060]   folks that might be a little confused, like what the heck is the new spec and how exactly it works?
[00:07:05.060 --> 00:07:12.980]   So, in a new spec, there's a very clear separation of interaction between the MCP client, MCP server,
[00:07:12.980 --> 00:07:17.860]   and the authorization server. So, in this case, what happens is your MCP client, like, let's say,
[00:07:17.860 --> 00:07:22.900]   Claude Desktop, is going to request data from the MCP server. The MCP server, at that point,
[00:07:22.900 --> 00:07:27.540]   because the MCP client doesn't have any user context yet, is going to respond back with a standard
[00:07:27.540 --> 00:07:34.020]   HTTP 401 saying, "I have no idea who you are, and my server is protected." But, here's a pointer to
[00:07:34.020 --> 00:07:39.220]   something that we call the PRM, the Protected Resource Metadata Document, that's embedded in one of the
[00:07:39.220 --> 00:07:43.620]   headers, in dot and dot authenticate, that's going to say, "But, you can go here and learn more about
[00:07:43.620 --> 00:07:51.380]   how to authorize against me, the MCP server." So, the MCP client, again, Claude Desktop, or VS Code, or any other
[00:07:51.380 --> 00:07:59.300]   variation, will then talk to the, take the PRM, extract from that PRM information about what
[00:07:59.300 --> 00:08:04.740]   authorization server it's using, whether it's Okta, Auth0, Entra, Keycloak, it doesn't really matter,
[00:08:04.740 --> 00:08:09.780]   and is going to then, again, I abstracted this out in a very simplistic way, step four, complete flow,
[00:08:09.780 --> 00:08:15.620]   but basically, the client is going to do the whole OAuth discovery, step by step, go through the dance,
[00:08:15.620 --> 00:08:20.660]   get the token, and then, it's going to request data with a token from the server, and the server's
[00:08:20.660 --> 00:08:25.540]   going to return it back. The client is responsible for completing this entire OAuth dance, where the
[00:08:25.540 --> 00:08:30.100]   server now doesn't actually need to manage tokens, you only need to make sure that you're validating them.
[00:08:30.100 --> 00:08:36.420]   I call out this thing called the PRM, and the PRM is something hosted by the MCP server, that is
[00:08:36.420 --> 00:08:42.900]   essentially a JSON document, there's variation, it could be a JSON web token, but for the purpose of this
[00:08:42.900 --> 00:08:49.060]   conversation, it's basically a JSON document that says, hey, I am this resource, I am this server,
[00:08:49.060 --> 00:08:53.380]   and by the way, my authorization servers are the following, and you can give a list of servers,
[00:08:53.380 --> 00:08:59.780]   again, specify things like bare method supported, as well as scopes, so the client, when it gets this
[00:08:59.780 --> 00:09:05.540]   document, knows exactly how to bootstrap the end-to-end authorization flow with OAuth, again,
[00:09:05.540 --> 00:09:08.660]   standard OAuth, you can use, again, off-the-shelf libraries for doing this.
[00:09:10.660 --> 00:09:14.500]   Let's eat an action in C#, and because we're Microsoft, of course, it's going to be C#,
[00:09:14.500 --> 00:09:24.260]   you know, so, this is currently in a, in a pull request for the C#, for the official MCP C# SDK,
[00:09:24.260 --> 00:09:30.900]   by the way, to show you just how easy it is to set up an MCP server that is protected by an OAuth
[00:09:30.900 --> 00:09:37.380]   provider, by an identity provider, I have essentially an ASP.NET Core application, it could work for any other
