
[00:00:00.000 --> 00:00:02.000]   And we're live.
[00:00:02.000 --> 00:00:09.000]   Hey, everybody.
[00:00:09.000 --> 00:00:13.000]   I am assuming I'm live on YouTube right now.
[00:00:13.000 --> 00:00:15.000]   That's what Angelica has told me.
[00:00:15.000 --> 00:00:21.000]   It's hard for me to screen share and also have a look at the YouTube comments at the same time.
[00:00:21.000 --> 00:00:36.000]   So, Angelica, we've had some technical difficulties this week, and instead what we've decided to do with Fastbook is we're just streaming live on YouTube this week, which means it's going to be a bit of a different setup than all the past weeks.
[00:00:36.000 --> 00:00:53.000]   But hopefully we'll get through this together. Also, a huge shout out to Ravi for finding this out and mentioning us and letting us know about the Zoom links and the technical difficulty.
[00:00:53.000 --> 00:01:03.000]   So what we'll do this week, then, we will continue, we will wrap up Chapter 5, and we will start with Chapter 6, if time permits.
[00:01:03.000 --> 00:01:08.000]   We're going to follow this report. So we go to 1db.me/fastbook7.
[00:01:08.000 --> 00:01:17.000]   So this is where -- please, please, please, if you have any questions, just go to this link, 1db.me/fastbook7.
[00:01:17.000 --> 00:01:26.000]   Angelica, I'm not monitoring YouTube, but if you could please share this in the live chat, that would be wonderful.
[00:01:26.000 --> 00:01:31.000]   So if you go to this link, this will bring us to Fastbook Reading Group Week 7.
[00:01:31.000 --> 00:01:38.000]   So if you're there, please just wave at me or just maybe reply to this comment.
[00:01:38.000 --> 00:01:43.000]   I just want to feel that you're still there and you can hear me well.
[00:01:43.000 --> 00:01:49.000]   And yeah, we're good. And then we'll just continue.
[00:01:49.000 --> 00:01:54.000]   I'm really sorry about the Zoom webinar. We don't know what's happened over there.
[00:01:54.000 --> 00:02:00.000]   So we will have to investigate. And unfortunately, today, we didn't have enough time to fix it.
[00:02:00.000 --> 00:02:05.000]   So we just came up with this solution that we will just go live on YouTube instead.
[00:02:05.000 --> 00:02:10.000]   Should be fixed by next week, Akash. Excellent. Thanks, Abhishek.
[00:02:10.000 --> 00:02:17.000]   Okay, let's get started. And this is going to be a really quiet Zoom meeting for me.
[00:02:17.000 --> 00:02:25.000]   Excellent. That's really good to see.
[00:02:25.000 --> 00:02:31.000]   Okay, perfect. So let's do this. Let's start.
[00:02:31.000 --> 00:02:34.000]   This week has been a really, really wonderful week.
[00:02:34.000 --> 00:02:45.000]   And I'm so excited to say many of you have been writing and it's been really lovely to see that you've been writing about all these different topics that we decided that we covered last week.
[00:02:45.000 --> 00:02:51.000]   So Ravi Mastroos has gone in and he's written about understanding cross entropy loss.
[00:02:51.000 --> 00:02:56.000]   So thanks, Ravi, for writing this blog. And the cherry on the top is Jeremy Howard retweeted,
